O*NET-SOC Code,Title,Alias
11-1011.00,Chief Executives,Chief Executive
11-1011.00,Chief Executives,CEO
11-1011.03,Chief Sustainability Officers,Chief Sustainability Officer
11-1011.03,Chief Sustainability Officers,Chief Sustainability
11-1011.03,Chief Sustainability Officers,CSO
11-1021.00,General and Operations Managers,Operations Manager
11-1021.00,General and Operations Managers,management job
11-1021.00,General and Operations Managers,General & Operations Managers
11-1021.00,General and Operations Managers,General and Operations
11-1021.00,General and Operations Managers,General and Operations Manager
11-1021.00,General and Operations Managers,Ops Manager
11-1021.00,General and Operations Managers,General Manager
11-1031.00,Legislators,Legislator
11-2011.00,Advertising and Promotions Managers,Advertising and Promotions
11-2011.00,Advertising and Promotions Managers,management job
11-2011.00,Advertising and Promotions Managers,Advertising and Promotions Manager
11-2011.00,Advertising and Promotions Managers,Advertising & Promotions Managers
11-2021.00,Marketing Managers,Marketing
11-2021.00,Marketing Managers,Marketing Manager
11-2021.00,Marketing Managers,management job
11-2022.00,Sales Managers,management job
11-2022.00,Sales Managers,Sales Manager
11-2022.00,Sales Managers,Sales
11-2032.00,Public Relations Managers,Public Relations
11-2032.00,Public Relations Managers,management job
11-2032.00,Public Relations Managers,Public Relations Manager
11-2033.00,Fundraising Managers,Fundraising Manager
11-2033.00,Fundraising Managers,Fundraising
11-2033.00,Fundraising Managers,management job
11-3012.00,Administrative Services Managers,Administrative Services
11-3012.00,Administrative Services Managers,management job
11-3012.00,Administrative Services Managers,Administrative Services Manager
11-3013.00,Facilities Managers,management job
11-3013.00,Facilities Managers,Facilities Manager
11-3013.00,Facilities Managers,Facilities
11-3013.01,Security Managers,management job
11-3013.01,Security Managers,Security Manager
11-3013.01,Security Managers,Security
11-3021.00,Computer and Information Systems Managers,Computer and Information Systems
11-3021.00,Computer and Information Systems Managers,management job
11-3021.00,Computer and Information Systems Managers,Computer and Information Systems Manager
11-3021.00,Computer and Information Systems Managers,Computer & Information Systems Managers
11-3031.00,Financial Managers,Financial
11-3031.00,Financial Managers,Financial Manager
11-3031.00,Financial Managers,management job
11-3031.01,Treasurers and Controllers,Treasurers and Controller
11-3031.01,Treasurers and Controllers,Treasurers & Controllers
11-3031.03,Investment Fund Managers,Investment Fund Manager
11-3031.03,Investment Fund Managers,Investment Fund
11-3031.03,Investment Fund Managers,management job
11-3051.00,Industrial Production Managers,Industrial Production
11-3051.00,Industrial Production Managers,management job
11-3051.00,Industrial Production Managers,Industrial Production Manager
11-3051.01,Quality Control Systems Managers,Quality Control Systems Manager
11-3051.01,Quality Control Systems Managers,management job
11-3051.01,Quality Control Systems Managers,Quality Control Systems
11-3051.02,Geothermal Production Managers,Geothermal Production Manager
11-3051.02,Geothermal Production Managers,management job
11-3051.02,Geothermal Production Managers,Geothermal Production
11-3051.03,Biofuels Production Managers,management job
11-3051.03,Biofuels Production Managers,Biofuels Production
11-3051.03,Biofuels Production Managers,Biofuels Production Manager
11-3051.04,Biomass Power Plant Managers,Biomass Power Plant Manager
11-3051.04,Biomass Power Plant Managers,management job
11-3051.04,Biomass Power Plant Managers,Biomass Power Plant
11-3051.06,Hydroelectric Production Managers,Hydroelectric Production
11-3051.06,Hydroelectric Production Managers,management job
11-3051.06,Hydroelectric Production Managers,Hydroelectric Production Manager
11-3061.00,Purchasing Managers,Purchasing Manager
11-3061.00,Purchasing Managers,management job
11-3061.00,Purchasing Managers,Purchasing
11-3071.00,"Transportation, Storage, and Distribution Managers","Transportation, Storage, & Distribution Managers"
11-3071.00,"Transportation, Storage, and Distribution Managers",management job
11-3071.00,"Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution"
11-3071.00,"Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Manager"
11-3071.04,Supply Chain Managers,Supply Chain
11-3071.04,Supply Chain Managers,Supply Chain Manager
11-3071.04,Supply Chain Managers,management job
11-3111.00,Compensation and Benefits Managers,Compensation and Benefits Manager
11-3111.00,Compensation and Benefits Managers,Compensation & Benefits Managers
11-3111.00,Compensation and Benefits Managers,management job
11-3111.00,Compensation and Benefits Managers,Compensation and Benefits
11-3121.00,Human Resources Managers,People Operations Manager
11-3121.00,Human Resources Managers,management job
11-3121.00,Human Resources Managers,Human Resources Manager
11-3121.00,Human Resources Managers,Human Resources
11-3121.00,Human Resources Managers,HR Manager
11-3131.00,Training and Development Managers,management job
11-3131.00,Training and Development Managers,Training & Development Managers
11-3131.00,Training and Development Managers,Training and Development
11-3131.00,Training and Development Managers,Training and Development Manager
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",management job
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Manager"
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural"
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, & Other Agricultural Managers"
11-9021.00,Construction Managers,Construction
11-9021.00,Construction Managers,management job
11-9021.00,Construction Managers,Construction Manager
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare","Education & Childcare Administrators, Preschool & Daycare"
11-9041.00,Architectural and Engineering Managers,management job
11-9041.00,Architectural and Engineering Managers,Architectural & Engineering Managers
11-9041.00,Architectural and Engineering Managers,Architectural and Engineering
11-9041.00,Architectural and Engineering Managers,Architectural and Engineering Manager
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Biofuels/Biodiesel Technology and Product Development Manager
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,management job
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Biofuels/Biodiesel Technology & Product Development Managers
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Biofuels/Biodiesel Technology and Product Development
11-9051.00,Food Service Managers,management job
11-9051.00,Food Service Managers,Food Service Manager
11-9051.00,Food Service Managers,Food Service
11-9071.00,Gambling Managers,Gambling Manager
11-9071.00,Gambling Managers,management job
11-9071.00,Gambling Managers,Gambling
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",management job
11-9072.00,"Entertainment and Recreation Managers, Except Gambling","Entertainment & Recreation Managers, Except Gambling"
11-9081.00,Lodging Managers,management job
11-9081.00,Lodging Managers,Lodging Manager
11-9081.00,Lodging Managers,Lodging
11-9111.00,Medical and Health Services Managers,Medical and Health Services
11-9111.00,Medical and Health Services Managers,management job
11-9111.00,Medical and Health Services Managers,Medical and Health Services Manager
11-9111.00,Medical and Health Services Managers,Medical & Health Services Managers
11-9121.00,Natural Sciences Managers,management job
11-9121.00,Natural Sciences Managers,Natural Sciences Manager
11-9121.00,Natural Sciences Managers,Natural Sciences
11-9121.01,Clinical Research Coordinators,Clinical Research Coordinator
11-9121.02,Water Resource Specialists,Water Resource
11-9121.02,Water Resource Specialists,Water Resource Specialist
11-9131.00,Postmasters and Mail Superintendents,Postmasters & Mail Superintendents
11-9131.00,Postmasters and Mail Superintendents,Postmasters and Mail Superintendent
11-9141.00,"Property, Real Estate, and Community Association Managers",management job
11-9141.00,"Property, Real Estate, and Community Association Managers","Property, Real Estate, & Community Association Managers"
11-9141.00,"Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Manager"
