O*NET-SOC Code,Title,Alias
11-1011.00,Chief Executives,C.E.
11-1011.00,Chief Executives,CE
11-1011.00,Chief Executives,Category: Business & Management
11-1011.00,Chief Executives,Business and Management
11-1011.00,Chief Executives,Business & Management
11-1011.00,Chief Executives,Business&Management
11-1011.00,Chief Executives,Chief Executive
11-1011.00,Chief Executives,Chief Execs
11-1011.03,Chief Sustainability Officers,C.S.O.
11-1011.03,Chief Sustainability Officers,CSO
11-1011.03,Chief Sustainability Officers,Category: Business & Management
11-1011.03,Chief Sustainability Officers,Chief Sustainability Officer
11-1011.03,Chief Sustainability Officers,Business and Management
11-1011.03,Chief Sustainability Officers,Business & Management
11-1011.03,Chief Sustainability Officers,Chief Sustainability
11-1011.03,Chief Sustainability Officers,Business&Management
11-1021.00,General and Operations Managers,G.O.M.
11-1021.00,General and Operations Managers,GOM
11-1021.00,General and Operations Managers,Category: Business & Management
11-1021.00,General and Operations Managers,General and Operations Manager
11-1021.00,General and Operations Managers,General & Operations Managers
11-1021.00,General and Operations Managers,General / Operations Managers
11-1021.00,General and Operations Managers,General and Operations Mgrs
11-1021.00,General and Operations Managers,Business and Management
11-1021.00,General and Operations Managers,General and Operations
11-1021.00,General and Operations Managers,Business & Management
11-1021.00,General and Operations Managers,Business&Management
11-1031.00,Legislators,Category: Legal & Government
11-1031.00,Legislators,Legal and Government
11-1031.00,Legislators,Legal & Government
11-1031.00,Legislators,Legal&Government
11-1031.00,Legislators,Legislator
11-2011.00,Advertising and Promotions Managers,A.P.M.
11-2011.00,Advertising and Promotions Managers,APM
11-2011.00,Advertising and Promotions Managers,Advertising and Promotions Manager
11-2011.00,Advertising and Promotions Managers,Advertising & Promotions Managers
11-2011.00,Advertising and Promotions Managers,Advertising / Promotions Managers
11-2011.00,Advertising and Promotions Managers,Advertising and Promotions Mgrs
11-2011.00,Advertising and Promotions Managers,Category: Finance & Accounting
11-2011.00,Advertising and Promotions Managers,Advertising and Promotions
11-2011.00,Advertising and Promotions Managers,Finance and Accounting
11-2011.00,Advertising and Promotions Managers,Finance & Accounting
11-2011.00,Advertising and Promotions Managers,Finance&Accounting
11-2021.00,Marketing Managers,M.M.
11-2021.00,Marketing Managers,MM
11-2021.00,Marketing Managers,Category: Marketing & Communications
11-2021.00,Marketing Managers,Marketing and Communications
11-2021.00,Marketing Managers,Marketing & Communications
11-2021.00,Marketing Managers,Marketing&Communications
11-2021.00,Marketing Managers,Marketing Manager
11-2021.00,Marketing Managers,Marketing Mgrs
11-2021.00,Marketing Managers,Marketing
11-2022.00,Sales Managers,S.M.
11-2022.00,Sales Managers,SM
11-2022.00,Sales Managers,Category: Sales
11-2022.00,Sales Managers,Sales Manager
11-2022.00,Sales Managers,Sales Mgrs
11-2022.00,Sales Managers,Sales
11-2032.00,Public Relations Managers,P.R.M.
11-2032.00,Public Relations Managers,PRM
11-2032.00,Public Relations Managers,Category: Marketing & Communications
11-2032.00,Public Relations Managers,Marketing and Communications
11-2032.00,Public Relations Managers,Marketing & Communications
11-2032.00,Public Relations Managers,Marketing&Communications
11-2032.00,Public Relations Managers,Public Relations Manager
11-2032.00,Public Relations Managers,Public Relations Mgrs
11-2032.00,Public Relations Managers,Public Relations
11-2033.00,Fundraising Managers,F.M.
11-2033.00,Fundraising Managers,FM
11-2033.00,Fundraising Managers,Category: Business & Management
11-2033.00,Fundraising Managers,Business and Management
11-2033.00,Fundraising Managers,Business & Management
11-2033.00,Fundraising Managers,Business&Management
11-2033.00,Fundraising Managers,Fundraising Manager
11-2033.00,Fundraising Managers,Fundraising Mgrs
11-2033.00,Fundraising Managers,Fundraising
11-3012.00,Administrative Services Managers,A.S.M.
11-3012.00,Administrative Services Managers,ASM
11-3012.00,Administrative Services Managers,Administrative Services Manager
11-3012.00,Administrative Services Managers,Category: Business & Management
11-3012.00,Administrative Services Managers,Administrative Services Mgrs
