O*NET-SOC Code,Title,Analyzing Data or Information Combined,Documenting/Recording Information Combined,E-Mail,"Estimating the Quantifiable Characteristics of Products, Events, or Information Combined",Getting Information Combined,Information Ordering Combined,Interpreting the Meaning of Information for Others Combined,Processing Information Combined,Programming Combined,Working with Computers Combined
11-1011.00,Chief Executives,3.3370285714285712,2.4114285714285715,4.97,1.9944,3.486914285714285,2.765714285714286,2.521,3.4615428571428573,1.1071428571428572,2.372157142857142
11-1011.03,Chief Sustainability Officers,3.2126,2.188628571428572,5.0,2.5784285714285717,3.8998,2.4035714285714285,3.4571428571428573,3.021257142857143,1.1408,2.449
11-1021.00,General and Operations Managers,2.8544,2.4154,4.86,1.9397857142857144,2.988485714285715,2.2928571428571427,2.1346285714285718,2.8172,1.0442857142857145,3.051285714285714
11-2011.00,Advertising and Promotions Managers,2.3107999999999995,2.0065,5.0,1.6597428571428572,3.214914285714286,2.205357142857143,1.8327142857142853,2.477314285714286,1.0803571428571428,3.031914285714286
11-2021.00,Marketing Managers,2.587142857142857,1.7228571428571429,5.0,2.1248,3.369057142857143,2.125,2.017457142857143,2.3216,1.157142857142857,2.515428571428572
11-2022.00,Sales Managers,3.0270714285714284,2.426028571428572,5.0,1.9018571428571431,3.1479000000000004,1.9085714285714288,2.326,2.705928571428572,1.0664285714285715,2.7014
11-2033.00,Fundraising Managers,2.3508571428571425,2.494342857142857,5.0,1.335714285714286,3.1996285714285717,2.1607142857142856,1.9613571428571424,3.0391428571428567,1.1257142857142857,2.7404571428571427
11-3012.00,Administrative Services Managers,2.335714285714286,2.6646428571428573,4.96,1.9657142857142855,3.601228571428572,1.9449142857142856,1.8917857142857144,2.7174,1.0336571428571428,2.6740000000000004
11-3013.00,Facilities Managers,2.6015999999999995,2.395457142857143,4.96,2.418214285714286,3.3256,2.422142857142857,2.4628,2.551085714285714,1.0992,2.5030857142857146
11-3013.01,Security Managers,3.288071428571429,3.050428571428571,5.0,2.250357142857143,3.488928571428572,2.4732142857142856,2.531428571428571,2.9885714285714284,1.077942857142857,3.1357142857142857
11-3021.00,Computer and Information Systems Managers,3.2935714285714286,2.385657142857143,5.0,2.550057142857143,3.4940999999999995,2.571428571428571,2.5542857142857143,3.1882,1.655,4.3985714285714295
11-3031.00,Financial Managers,2.8416428571428574,2.319914285714286,4.98,1.5003714285714285,3.284071428571429,2.375,2.070142857142857,3.265642857142857,1.2036571428571428,2.67
