O*NET-SOC Code,Title,Degree of Automation,Importance of Repeating Same Tasks,Pace Determined by Speed of Equipment,Spend Time Making Repetitive Motions,Time Pressure
11-1011.00,Chief Executives,2.23,3.37,1.35,2.55,4.16
11-1011.03,Chief Sustainability Officers,1.56,1.81,1.19,2.0,3.48
11-1021.00,General and Operations Managers,2.31,3.11,1.19,2.42,4.08
11-2011.00,Advertising and Promotions Managers,2.01,2.7,1.0,2.5,4.4
11-2021.00,Marketing Managers,2.1,2.78,1.02,2.73,4.21
11-2022.00,Sales Managers,2.26,2.16,1.1,1.52,3.9
11-2033.00,Fundraising Managers,1.69,3.0,1.0,2.67,3.97
11-3012.00,Administrative Services Managers,2.14,3.36,1.48,2.76,3.7
11-3013.00,Facilities Managers,2.02,3.82,1.54,2.44,3.9
11-3013.01,Security Managers,2.21,3.26,1.58,2.58,3.8
11-3021.00,Computer and Information Systems Managers,2.56,3.88,1.28,3.61,3.37
11-3031.00,Financial Managers,2.8,4.37,1.07,2.38,4.54
11-3031.01,Treasurers and Controllers,2.58,3.68,1.12,2.76,4.36
11-3031.03,Investment Fund Managers,2.46,2.67,1.13,2.38,4.01
11-3051.00,Industrial Production Managers,2.02,3.16,3.22,1.92,4.2
11-3051.01,Quality Control Systems Managers,2.25,3.55,1.5,1.94,4.32
11-3051.02,Geothermal Production Managers,2.49,3.53,2.73,2.34,4.19
11-3051.03,Biofuels Production Managers,3.41,3.53,3.58,2.07,3.97
11-3051.04,Biomass Power Plant Managers,2.67,3.92,3.74,2.29,4.13
11-3051.06,Hydroelectric Production Managers,2.5,3.58,2.35,2.53,3.93
11-3061.00,Purchasing Managers,2.79,3.5,1.42,2.58,4.16
11-3071.00,"Transportation, Storage, and Distribution Managers",2.53,3.25,1.65,2.66,4.38
11-3071.04,Supply Chain Managers,2.5,2.7,2.0,2.19,4.43
11-3111.00,Compensation and Benefits Managers,2.71,3.71,1.0,2.95,3.62
11-3121.00,Human Resources Managers,2.68,3.23,1.05,2.55,3.91
11-3131.00,Training and Development Managers,1.96,2.71,1.07,2.54,3.64
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",2.34,3.06,2.21,2.57,3.49
11-9021.00,Construction Managers,1.9,3.4,2.2,2.95,4.25
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",2.1,3.68,1.19,2.8,3.93
11-9032.00,"Education Administrators, Kindergarten through Secondary",1.04,1.89,1.02,1.89,3.46
11-9033.00,"Education Administrators, Postsecondary",1.88,2.35,1.01,2.61,3.95
11-9041.00,Architectural and Engineering Managers,2.04,3.48,1.14,2.25,3.79
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,2.08,2.86,1.89,2.33,3.49
11-9051.00,Food Service Managers,1.71,3.35,1.64,3.21,4.12
11-9071.00,Gambling Managers,2.43,3.72,1.5,3.01,3.91
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",1.65,2.6,1.78,1.68,3.44
11-9081.00,Lodging Managers,2.86,4.14,1.8,2.52,4.35
