O*NET-SOC Code,Title,Complex Problem Solving ,Critical Thinking ,Systems Analysis ,Deductive Reasoning ,Inductive Reasoning ,Mathematical Reasoning ,Judgment and Decision Making ,Making Decisions and Solving Problems ,Systems Evaluation ,Operations Analysis ,Analyzing Data or Information ,Troubleshooting ,Active Learning ,Learning Strategies ,Oral Comprehension ,Reading Comprehension ,Written Comprehension ,Fluency of Ideas ,Visualization ,Science ,Working with Computers ,Programming ,Technology Design ,Updating and Using Relevant Knowledge ,"Determine Tasks, Priorities and Goals",Written Expression 
11-1011.00,Chief Executives,3.3563428571428573,3.2935714285714286,3.282057142857143,3.117142857142857,3.091428571428572,2.205357142857143,3.8821428571428576,4.3,3.321428571428572,2.1750857142857143,3.3370285714285712,1.0357142857142856,2.7678571428571432,2.1357142857142857,3.523657142857143,3.0592,3.265714285714286,2.9008000000000003,1.9657142857142855,1.0664285714285715,2.372157142857142,1.1071428571428572,1.0942857142857143,3.406842857142857,4.8,3.117142857142857
11-1011.03,Chief Sustainability Officers,2.765714285714286,2.8363428571428573,2.645714285714285,2.954285714285714,2.6950857142857143,1.75,2.645714285714285,3.898814285714285,2.645714285714285,1.837942857142857,3.2126,1.0,2.524285714285714,2.275,2.98,2.821428571428571,2.821428571428571,2.6950857142857143,1.7200000000000002,1.3008,2.449,1.1408,1.1408,3.635285714285714,4.44,2.9522285714285714
11-1021.00,General and Operations Managers,2.4522285714285714,2.596342857142857,1.9449142857142856,2.6950857142857143,2.25,1.837942857142857,2.4522285714285714,3.3214857142857146,1.9842857142857144,1.51,2.8544,1.1071428571428572,2.4035714285714285,1.8914285714285717,2.765714285714286,2.7142857142857144,2.7142857142857144,2.086428571428572,1.6875,1.0442857142857145,3.051285714285714,1.0442857142857145,1.0442857142857145,2.668,4.7,2.7142857142857144
11-2011.00,Advertising and Promotions Managers,2.3857142857142857,2.765714285714286,1.9449142857142856,2.8514285714285714,2.3857142857142857,1.8914285714285717,2.571428571428571,2.683942857142857,2.1357142857142857,1.78,2.3107999999999995,1.0,2.3242857142857147,1.9285714285714288,2.877142857142857,2.571428571428571,2.7142857142857144,2.6185714285714288,2.0028571428571427,1.0549142857142857,3.031914285714286,1.0803571428571428,1.0803571428571428,2.7831714285714284,4.23,2.645714285714285
11-2021.00,Marketing Managers,2.4522285714285714,2.748571428571428,2.205357142857143,2.8020571428571426,2.524285714285714,2.096342857142857,2.571428571428571,3.2282571428571427,2.3392857142857144,2.2308,2.587142857142857,1.0,2.6950857142857143,2.06,2.877142857142857,2.748571428571428,2.765714285714286,2.6696428571428568,1.8571428571428568,1.1607142857142858,2.515428571428572,1.157142857142857,1.0942857142857143,2.8273714285714284,4.63,2.6950857142857143
11-2022.00,Sales Managers,2.524285714285714,2.645714285714285,2.4522285714285714,2.645714285714285,2.645714285714285,2.007142857142857,2.645714285714285,3.8417714285714286,2.4522285714285714,1.6063428571428573,3.0270714285714284,1.0,2.524285714285714,2.096342857142857,2.877142857142857,2.645714285714285,2.7142857142857144,2.524285714285714,1.4464285714285716,1.0549142857142857,2.7014,1.0664285714285715,1.0357142857142856,2.984928571428571,4.38,2.7142857142857144
11-2033.00,Fundraising Managers,2.4035714285714285,2.729371428571429,1.8328571428571427,2.6950857142857143,2.105,1.8728571428571428,2.524285714285714,2.6668285714285718,1.9285714285714288,1.268571428571429,2.3508571428571425,1.0,2.2308,1.6364285714285711,2.8363428571428573,2.596342857142857,2.6950857142857143,2.4971428571428573,1.32,1.0089285714285714,2.7404571428571427,1.1257142857142857,1.0942857142857143,3.2824,4.58,2.8020571428571426
11-3012.00,Administrative Services Managers,2.0028571428571427,2.524285714285714,1.9449142857142856,2.4522285714285714,2.2071428571428573,1.5785714285714287,2.0028571428571427,3.1482,1.78,1.625,2.335714285714286,1.157142857142857,2.023657142857143,1.9285714285714288,2.7142857142857144,2.7142857142857144,2.7142857142857144,1.9449142857142856,1.7385714285714284,1.0,2.6740000000000004,1.0336571428571428,1.0535714285714286,3.0459,4.03,2.645714285714285
11-3013.00,Facilities Managers,2.1492,2.4732142857142856,1.8914285714285717,2.4522285714285714,2.4035714285714285,1.655,2.2071428571428573,3.6175,1.9285714285714288,1.1734857142857142,2.6015999999999995,1.5207142857142857,1.9449142857142856,1.9285714285714288,2.524285714285714,2.524285714285714,2.571428571428571,1.837942857142857,1.6364285714285711,1.0535714285714286,2.5030857142857146,1.0992,1.077942857142857,3.1011999999999995,4.57,2.4522285714285714
11-3013.01,Security Managers,2.7142857142857144,2.912857142857143,2.0028571428571427,2.782857142857143,2.729371428571429,1.6665142857142858,2.671428571428572,3.92,2.105,1.3571428571428572,3.288071428571429,1.2142857142857144,2.354914285714286,2.19,2.782857142857143,2.782857142857143,2.8363428571428573,2.645714285714285,1.8057142857142856,1.0206285714285714,3.1357142857142857,1.077942857142857,1.0664285714285715,3.446742857142857,4.0,2.765714285714286
