O*NET-SOC Code,Title,Thinking Creatively ,Originality ,Category Flexibility ,Flexibility of Closure ,Dynamic Flexibility ,Extent Flexibility 
11-1011.00,Chief Executives,3.110571428571429,2.6696428571428568,2.4285714285714284,2.1635714285714283,1.0,1.0
11-1011.03,Chief Sustainability Officers,3.3072142857142857,2.645714285714285,2.06,1.8057142857142856,1.0,1.0
11-1021.00,General and Operations Managers,2.523571428571429,2.06,2.105,1.5785714285714287,1.0,1.0089285714285714
11-2011.00,Advertising and Promotions Managers,3.060928571428572,2.524285714285714,2.3192,1.9449142857142856,1.0,1.0
11-2021.00,Marketing Managers,3.206971428571429,2.4971428571428573,2.1635714285714283,1.8571428571428568,1.0,1.0
11-2022.00,Sales Managers,2.809971428571428,2.524285714285714,2.1635714285714283,1.7734857142857143,1.0,1.0
11-2033.00,Fundraising Managers,2.600714285714286,2.3857142857142857,1.8914285714285717,1.4821428571428572,1.0,1.0
11-3012.00,Administrative Services Managers,2.4935714285714283,1.8914285714285717,1.9449142857142856,1.6391999999999998,1.0,1.0535714285714286
11-3013.00,Facilities Managers,3.1825571428571435,1.75,1.9842857142857144,1.8728571428571428,1.0089285714285714,1.4017857142857142
11-3013.01,Security Managers,2.9131428571428573,2.2928571428571427,2.31,2.354914285714286,1.0,1.3392000000000002
11-3021.00,Computer and Information Systems Managers,2.9165714285714284,2.125,2.0028571428571427,1.8571428571428568,1.0,1.0
11-3031.00,Financial Managers,2.0320428571428573,1.837942857142857,2.06,2.086428571428572,1.0,1.0
11-3031.01,Treasurers and Controllers,2.7142285714285714,2.125,2.3857142857142857,1.8571428571428568,1.0,1.0
11-3031.03,Investment Fund Managers,2.8837,2.19,2.275,2.19,1.0,1.0
11-3051.00,Industrial Production Managers,2.648471428571429,2.1750857142857143,2.2471428571428573,1.9285714285714288,1.0,1.2142857142857144
11-3051.01,Quality Control Systems Managers,2.611757142857143,1.8914285714285717,2.023657142857143,2.4285714285714284,1.0,1.0271428571428571
11-3051.02,Geothermal Production Managers,2.7485,1.8728571428571428,2.125,1.9449142857142856,1.0065142857142857,1.0178571428571428
11-3051.03,Biofuels Production Managers,2.7204,2.06,2.023657142857143,2.044642857142857,1.0,1.1885714285714286
11-3051.04,Biomass Power Plant Managers,2.677857142857143,1.837942857142857,2.125,2.044642857142857,1.0020571428571428,1.231428571428571
11-3051.06,Hydroelectric Production Managers,2.4805,1.9842857142857144,2.1635714285714283,2.1635714285714283,1.0,1.25
11-3061.00,Purchasing Managers,2.6521142857142856,2.3392857142857144,2.06,1.75,1.0,1.0
11-3071.00,"Transportation, Storage, and Distribution Managers",2.701171428571429,2.044642857142857,2.327857142857143,1.9642857142857144,1.0,1.0
11-3071.04,Supply Chain Managers,2.914,2.044642857142857,2.4732142857142856,1.8571428571428568,1.0,1.0
11-3111.00,Compensation and Benefits Managers,2.5664285714285717,1.9449142857142856,1.9449142857142856,1.51,1.0,1.0
11-3121.00,Human Resources Managers,2.8252,2.571428571428571,2.2308,1.8057142857142856,1.0,1.0
11-3131.00,Training and Development Managers,3.3214,2.524285714285714,2.4035714285714285,1.7200000000000002,1.0,1.0
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",2.922285714285714,2.1635714285714283,2.524285714285714,2.125,1.0042857142857142,1.5357142857142858
11-9021.00,Construction Managers,2.369814285714286,1.9842857142857144,2.524285714285714,2.354914285714286,1.0,1.2592
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",2.790057142857143,2.125,1.9449142857142856,1.7734857142857143,1.0,1.1408
11-9032.00,"Education Administrators, Kindergarten through Secondary",3.247342857142857,2.645714285714285,2.645714285714285,1.9449142857142856,1.0,1.0206285714285714
11-9033.00,"Education Administrators, Postsecondary",3.0925857142857143,2.645714285714285,2.4035714285714285,1.9449142857142856,1.0,1.0
11-9041.00,Architectural and Engineering Managers,3.3828,2.4971428571428573,2.2471428571428573,2.06,1.0,1.0
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,3.4095,2.4714285714285715,2.3392857142857144,2.044642857142857,1.0,1.12
11-9051.00,Food Service Managers,2.134,1.8057142857142856,1.8571428571428568,1.6364285714285711,1.0,1.2857142857142856
11-9071.00,Gambling Managers,2.1253714285714285,1.7200000000000002,2.0028571428571427,2.044642857142857,1.0,1.0
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",3.2577142857142856,2.086428571428572,2.044642857142857,1.6875,1.0,1.1885714285714286
11-9081.00,Lodging Managers,2.7624571428571425,2.2308,1.9642857142857144,1.8571428571428568,1.0,1.197142857142857
11-9111.00,Medical and Health Services Managers,2.8983428571428576,2.1357142857142857,2.1142857142857143,1.7734857142857143,1.0,1.0
11-9121.00,Natural Sciences Managers,2.9352,2.3192,2.645714285714285,1.9085714285714288,1.0,1.0271428571428571
11-9121.01,Clinical Research Coordinators,2.0771714285714284,1.8057142857142856,2.125,1.8571428571428568,1.0,1.0020571428571428
11-9121.02,Water Resource Specialists,3.0397000000000003,2.125,2.1492,2.125,1.0,1.0
11-9131.00,Postmasters and Mail Superintendents,2.287414285714286,1.8571428571428568,2.071428571428572,1.7142857142857144,1.0,1.0357142857142856
11-9141.00,"Property, Real Estate, and Community Association Managers",2.309285714285714,1.7200000000000002,1.8571428571428568,1.5614285714285714,1.0,1.0020571428571428
11-9151.00,Social and Community Service Managers,2.6359000000000004,2.4732142857142856,1.9657142857142855,1.8571428571428568,1.0,1.0206285714285714
11-9161.00,Emergency Management Directors,2.8057857142857143,2.6185714285714288,2.4971428571428573,1.8914285714285717,1.0,1.0664285714285715
11-9171.00,Funeral Home Managers,3.350857142857143,1.7734857142857143,1.9085714285714288,1.5614285714285714,1.0,1.1071428571428572
11-9179.01,Fitness and Wellness Coordinators,2.839428571428571,2.1357142857142857,1.9449142857142856,1.7200000000000002,1.3392000000000002,1.6171428571428572
11-9179.02,Spa Managers,2.6900857142857144,2.023657142857143,2.086428571428572,1.6875,1.0,1.1071428571428572
11-9199.01,Regulatory Affairs Managers,2.6272,1.8914285714285717,1.8571428571428568,1.8057142857142856,1.0,1.0
11-9199.02,Compliance Managers,2.625657142857143,1.8057142857142856,2.096342857142857,1.7734857142857143,1.0,1.0
11-9199.08,Loss Prevention Managers,2.505285714285714,2.2308,1.9642857142857144,2.06,1.0,1.157142857142857
11-9199.09,Wind Energy Operations Managers,3.107671428571429,1.8914285714285717,2.0342857142857143,1.9085714285714288,1.0,1.4017857142857142
11-9199.10,Wind Energy Development Managers,2.538457142857143,1.8728571428571428,2.044642857142857,1.9085714285714288,1.0,1.0135714285714286
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,2.5860571428571437,2.096342857142857,2.4971428571428573,1.9285714285714288,1.0,1.0
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",3.2403,2.023657142857143,1.8571428571428568,1.3392000000000002,1.0,1.0
13-1021.00,"Buyers and Purchasing Agents, Farm Products",2.6100000000000003,1.8571428571428568,1.9285714285714288,1.5892857142857142,1.0,1.0357142857142856
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",2.130285714285714,1.8914285714285717,2.205357142857143,1.7734857142857143,1.0,1.0803571428571428
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.392,1.8571428571428568,2.1492,1.5785714285714287,1.0,1.0
13-1031.00,"Claims Adjusters, Examiners, and Investigators",1.8495714285714284,1.6063428571428573,2.2308,2.086428571428572,1.0,1.0
13-1032.00,"Insurance Appraisers, Auto Damage",1.886757142857143,1.5165142857142857,1.9449142857142856,1.7385714285714284,1.0,1.1071428571428572
13-1041.00,Compliance Officers,1.8412857142857144,1.7036571428571428,2.1492,1.837942857142857,1.0,1.1408
13-1041.01,Environmental Compliance Inspectors,1.8414285714285712,1.837942857142857,2.4971428571428573,2.6950857142857143,1.0,1.1257142857142857
13-1041.03,Equal Opportunity Representatives and Officers,2.222857142857143,1.94,2.125,2.044642857142857,1.0,1.0
13-1041.04,Government Property Inspectors and Investigators,2.0690857142857144,1.8057142857142856,2.3392857142857144,2.571428571428571,1.0,1.2142857142857144
13-1041.06,Coroners,2.4935714285714283,1.9085714285714288,2.4971428571428573,2.4732142857142856,1.0,1.4017857142857142
13-1041.07,Regulatory Affairs Specialists,1.8414285714285712,1.8728571428571428,2.0,1.9722285714285717,1.0,1.0
13-1041.08,Customs Brokers,2.089257142857143,1.8057142857142856,2.2308,1.8571428571428568,1.0,1.0
13-1051.00,Cost Estimators,2.6575,1.8057142857142856,2.1357142857142857,1.8571428571428568,1.0,1.0
13-1071.00,Human Resources Specialists,2.1979,1.78,1.9842857142857144,1.78,1.0,1.0
13-1074.00,Farm Labor Contractors,1.182057142857143,1.2857142857142856,1.5785714285714287,1.4017857142857142,1.0,1.1885714285714286
13-1075.00,Labor Relations Specialists,2.376428571428572,2.3392857142857144,1.9449142857142856,1.7200000000000002,1.0,1.0
13-1081.00,Logisticians,2.4714285714285715,2.3857142857142857,2.06,1.8571428571428568,1.0,1.0
13-1081.01,Logistics Engineers,2.9065000000000003,2.645714285714285,2.4522285714285714,2.044642857142857,1.0,1.0
13-1081.02,Logistics Analysts,2.665,2.1357142857142857,2.205357142857143,2.086428571428572,1.0,1.0
13-1111.00,Management Analysts,3.4133142857142857,2.205357142857143,2.205357142857143,1.8571428571428568,1.0,1.0
13-1121.00,"Meeting, Convention, and Event Planners",2.934957142857143,2.354914285714286,1.9842857142857144,1.7734857142857143,1.0,1.22
13-1131.00,Fundraisers,3.366,2.205357142857143,1.9449142857142856,1.5508,1.0,1.0
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",2.316857142857143,1.9285714285714288,1.9285714285714288,1.8571428571428568,1.0,1.0
13-1151.00,Training and Development Specialists,2.841614285714286,2.4522285714285714,2.125,1.6063428571428573,1.0,1.0
13-1161.00,Market Research Analysts and Marketing Specialists,3.283228571428571,2.1492,2.4732142857142856,1.9285714285714288,1.0,1.0
13-1161.01,Search Marketing Strategists,3.256,2.2471428571428573,2.1607142857142856,1.9449142857142856,1.0,1.0
13-1199.04,Business Continuity Planners,2.5232,2.3392857142857144,2.2308,2.19,1.0,1.0
13-1199.05,Sustainability Specialists,2.855371428571429,2.2928571428571427,2.044642857142857,1.837942857142857,1.0,1.0
13-1199.06,Online Merchants,2.3505142857142856,1.7200000000000002,1.8914285714285717,1.467857142857143,1.0020571428571428,1.0020571428571428
13-1199.07,Security Management Specialists,3.0439285714285718,2.3857142857142857,2.2928571428571427,2.4732142857142856,1.0020571428571428,1.268571428571429
13-2011.00,Accountants and Auditors,2.3347571428571428,1.75,2.086428571428572,1.9657142857142855,1.0,1.0
13-2022.00,Appraisers of Personal and Business Property,2.1784285714285714,1.6364285714285711,2.3392857142857144,1.7734857142857143,1.0,1.0992
13-2023.00,Appraisers and Assessors of Real Estate,1.8391857142857144,1.4249999999999998,2.1635714285714283,1.8914285714285717,1.0,1.0135714285714286
13-2031.00,Budget Analysts,2.192457142857143,1.8057142857142856,2.06,1.8057142857142856,1.0,1.0
13-2041.00,Credit Analysts,1.7542857142857144,1.6063428571428573,2.06,1.8914285714285717,1.0,1.0
13-2052.00,Personal Financial Advisors,2.474971428571429,1.8571428571428568,1.8571428571428568,1.7200000000000002,1.0,1.0
13-2053.00,Insurance Underwriters,1.9005714285714288,1.7385714285714284,2.044642857142857,1.8571428571428568,1.0,1.0
13-2061.00,Financial Examiners,1.6394142857142855,1.8914285714285717,2.645714285714285,1.9449142857142856,1.0,1.0
13-2071.00,Credit Counselors,2.116342857142857,1.837942857142857,1.8057142857142856,1.6364285714285711,1.0,1.0
13-2072.00,Loan Officers,2.1429142857142853,1.4,1.8571428571428568,1.595,1.0,1.0
