O*NET-SOC Code,Title,E-Mail,Written Letters and Memos,Quality Control Analysis ,Evaluating Information to Determine Compliance with Standards ,Documenting/Recording Information ,Processing Information ,Monitoring and Controlling Resources ,Operations Monitoring ,"Monitoring Processes, Materials, or Surroundings ",Monitoring ,"Estimating the Quantifiable Characteristics of Products, Events, or Information ",Number Facility ,Mathematics ,Equipment Maintenance ,Repairing and Maintaining Mechanical Equipment ,Repairing and Maintaining Electronic Equipment ,Repairing ,"Operating Vehicles, Mechanized Devices, or Equipment ",Controlling Machines and Processes ,Operation and Control ,Installation ,Equipment Selection ,"Inspecting Equipment, Structures, or Materials ",Getting Information ,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment ","Organizing, Planning, and Prioritizing Work ",Management of Material Resources ,Management of Financial Resources ,Time Management ,Coordination ,Writing ,Depth Perception ,Far Vision ,Near Vision ,Visual Color Discrimination ,Glare Sensitivity ,Night Vision ,Peripheral Vision ,Sound Localization ,Hearing Sensitivity ,Speech Clarity ,Speech Recognition ,Rate Control ,Response Orientation ,Spatial Orientation ,Staffing Organizational Units ,"Identifying Objects, Actions, and Events ","Judging the Qualities of Objects, Services, or People "
11-1011.00,Chief Executives,4.97,4.14,1.1408,3.418071428571429,2.4114285714285715,3.4615428571428573,3.110357142857143,1.2142857142857144,3.418928571428572,3.25,1.9944,2.1357142857142857,2.125,1.0,1.0081,1.0315,1.0,1.4485142857142856,1.2704,1.1734857142857142,1.0,1.0042857142857142,1.481042857142857,3.486914285714285,1.1107142857142858,3.869385714285715,3.0357142857142856,3.4375,3.0357142857142856,3.265714285714286,2.9522285714285714,1.147857142857143,1.9285714285714288,2.684285714285714,1.2857142857142856,1.0089285714285714,1.0089285714285714,1.0089285714285714,1.0206285714285714,1.32,3.205357142857143,2.928571428571429,1.0206285714285714,1.0206285714285714,1.0271428571428571,2.906285714285714,3.367128571428572,3.012485714285714
11-1011.03,Chief Sustainability Officers,5.0,3.44,1.1885714285714286,2.666842857142857,2.188628571428572,3.021257142857143,2.978971428571428,1.268571428571429,2.441942857142857,2.571428571428571,2.5784285714285717,1.8057142857142856,1.837942857142857,1.0,1.0456857142857143,1.0637714285714286,1.0,1.111,1.08,1.1428571428571428,1.0,1.0042857142857142,1.3758142857142857,3.8998,1.3014285714285714,3.922271428571429,1.467857142857143,1.837942857142857,2.3192,2.524285714285714,2.894285714285714,1.25,1.7385714285714284,2.096342857142857,1.32,1.0,1.0,1.0,1.0,1.25,2.607142857142857,2.662857142857143,1.0,1.0,1.0,2.3753714285714285,2.8484285714285718,2.7832857142857144
11-1021.00,General and Operations Managers,4.86,4.01,1.4179428571428572,2.2913,2.4154,2.8172,2.846742857142857,1.3785714285714286,2.5921857142857143,2.765714285714286,1.9397857142857144,1.8057142857142856,1.6364285714285711,1.0,1.2264714285714289,1.2377571428571428,1.0,1.2198571428571428,1.2873714285714286,1.22,1.0,1.0,1.5346000000000002,2.988485714285715,1.2592,3.1028571428571428,1.9842857142857144,1.9657142857142855,2.4522285714285714,2.645714285714285,2.3857142857142857,1.2036571428571428,1.6364285714285711,2.2071428571428573,1.22,1.0,1.0020571428571428,1.0089285714285714,1.0089285714285714,1.1607142857142858,2.4893714285714283,2.31,1.0,1.0,1.0442857142857145,2.6701428571428574,2.6376,2.718285714285714
11-2011.00,Advertising and Promotions Managers,5.0,3.78,1.0885714285714283,1.3934285714285712,2.0065,2.477314285714286,1.6688,1.0549142857142857,1.7832,2.3660714285714284,1.6597428571428572,1.837942857142857,1.9285714285714288,1.0,1.0198,1.0233142857142856,1.0,1.1241714285714286,1.1687857142857143,1.0,1.0,1.0020571428571428,1.1188,3.214914285714286,1.0216,3.5178857142857143,1.6063428571428573,1.905,2.3857142857142857,2.4714285714285715,2.524285714285714,1.1071428571428572,1.837942857142857,2.6185714285714288,1.7385714285714284,1.0,1.0,1.0,1.0,1.1339285714285714,2.662857142857143,2.645714285714285,1.0,1.0,1.0,1.4257,2.4411428571428573,2.239171428571429
11-2021.00,Marketing Managers,5.0,3.52,1.1734857142857142,1.5911,1.7228571428571429,2.3216,2.1990000000000003,1.1339285714285714,2.173914285714286,2.6696428571428568,2.1248,2.06,1.78,1.0,1.0056,1.0066428571428572,1.0,1.1047428571428572,1.010571428571429,1.0,1.0,1.0,1.0462857142857145,3.369057142857143,1.0261,3.8044285714285713,1.6364285714285711,2.007142857142857,2.3392857142857144,2.3392857142857144,2.2471428571428573,1.0803571428571428,1.8728571428571428,2.3392857142857144,1.7734857142857143,1.0,1.0,1.0,1.0,1.1885714285714286,2.524285714285714,2.4522285714285714,1.0,1.0,1.0,1.3892857142857142,3.1106285714285717,2.195157142857143
11-2022.00,Sales Managers,5.0,3.95,1.1071428571428572,2.305257142857143,2.426028571428572,2.705928571428572,2.272,1.1607142857142858,2.071,2.9008000000000003,1.9018571428571431,1.9722285714285717,1.8914285714285717,1.0,1.0007142857142857,1.0058,1.0,1.134628571428571,1.058971428571429,1.0803571428571428,1.0,1.0,1.0974285714285714,3.1479000000000004,1.0315857142857143,3.404714285714286,1.78,2.0342857142857143,2.571428571428571,2.571428571428571,2.4971428571428573,1.0357142857142856,1.6875,2.023657142857143,1.231428571428571,1.0,1.0,1.0,1.0,1.0885714285714283,2.571428571428571,2.6185714285714288,1.0,1.0,1.0442857142857145,2.9448,2.722128571428572,3.1870000000000003
11-2033.00,Fundraising Managers,5.0,3.84,1.0135714285714286,2.508142857142857,2.494342857142857,3.0391428571428567,1.5957,1.1071428571428572,2.0112000000000005,2.1750857142857143,1.335714285714286,1.8914285714285717,1.7857142857142856,1.0,1.0003857142857142,1.0115142857142858,1.0,1.1177,1.0525,1.0042857142857142,1.0,1.0,1.221228571428571,3.1996285714285717,1.0006285714285714,3.4823142857142866,1.5508,2.1635714285714283,2.2071428571428573,2.4732142857142856,2.645714285714285,1.0,1.75,2.3192,1.32,1.0,1.0,1.0,1.0135714285714286,1.1734857142857142,2.596342857142857,2.4732142857142856,1.0,1.0,1.0089285714285714,1.3553571428571427,1.9314142857142853,1.7742857142857142
11-3012.00,Administrative Services Managers,4.96,3.55,1.3785714285714286,2.498242857142857,2.6646428571428573,2.7174,2.6738714285714287,1.4017857142857142,2.7301571428571427,2.2308,1.9657142857142855,1.6875,1.3785714285714286,1.0,1.5342714285714285,1.483,1.0,1.4323428571428571,1.7625142857142857,1.0885714285714283,1.0,1.0042857142857142,1.86,3.601228571428572,1.2941714285714283,3.639357142857142,1.7734857142857143,1.7734857142857143,2.7142857142857144,2.422142857142857,2.4732142857142856,1.231428571428571,1.6875,2.354914285714286,1.2857142857142856,1.0442857142857145,1.0442857142857145,1.0442857142857145,1.0535714285714286,1.3392000000000002,2.31,2.354914285714286,1.077942857142857,1.0442857142857145,1.0357142857142856,2.2107142857142854,2.8083142857142858,2.3733714285714287
11-3013.00,Facilities Managers,4.96,3.26,1.7734857142857143,2.686628571428572,2.395457142857143,2.551085714285714,2.8176,1.6714285714285717,3.1692,2.524285714285714,2.418214285714286,1.6063428571428573,1.6875,1.4435714285714285,2.165,1.9234285714285717,1.335714285714286,1.953457142857143,2.4322285714285714,1.4017857142857142,1.0020571428571428,1.335714285714286,2.613942857142857,3.3256,2.529457142857143,3.735357142857143,1.75,1.6964285714285714,2.275,2.4035714285714285,2.205357142857143,1.4179428571428572,1.9085714285714288,2.25,1.4691999999999998,1.1339285714285714,1.1339285714285714,1.3008,1.12,1.32,2.2928571428571427,2.354914285714286,1.1885714285714286,1.3214285714285714,1.5357142857142858,2.2720571428571428,3.1839142857142857,2.9585714285714286
11-3013.01,Security Managers,5.0,3.84,1.51,3.2750000000000004,3.050428571428571,2.9885714285714284,2.874942857142857,1.3125,3.015357142857143,2.98,2.250357142857143,1.7385714285714284,1.51,1.0942857142857143,1.4375,1.5792142857142857,1.1071428571428572,1.4821428571428572,1.5599999999999998,1.302857142857143,1.0,1.2142857142857144,2.492714285714285,3.488928571428572,1.825,3.2928571428571427,2.0028571428571427,2.354914285714286,2.3392857142857144,2.6950857142857143,2.524285714285714,1.32,2.2928571428571427,2.422142857142857,1.655,1.2036571428571428,1.3571428571428572,1.2592,1.335714285714286,1.625,2.4893714285714283,2.645714285714285,1.0942857142857143,1.3392000000000002,1.3193714285714284,3.1055714285714284,3.1375,2.837885714285714
