O*NET-SOC Code,Title,Freedom to Make Decisions,Frequency of Decision Making,Impact of Decisions on Co-workers or Company Results,Health and Safety of Other Workers,Work Outcomes and Results of Other Workers,Consequence of Error,Conflict Situations,Time Pressure,Level of Competition,Developing Objectives and Strategies 
11-1011.00,Chief Executives,4.95,4.59,4.75,4.16,4.7,3.02,3.86,4.16,3.57,3.7846
11-1011.03,Chief Sustainability Officers,4.37,3.67,3.96,2.63,3.85,2.15,3.04,3.48,3.7,3.78
11-1021.00,General and Operations Managers,4.81,4.92,4.53,4.54,4.33,2.52,3.35,4.08,3.37,2.436228571428571
11-2011.00,Advertising and Promotions Managers,4.04,4.31,4.03,2.52,3.8,2.19,3.15,4.4,3.34,2.3482857142857143
11-2021.00,Marketing Managers,4.42,4.1,4.15,2.21,4.04,2.76,3.18,4.21,3.95,2.828842857142857
11-2022.00,Sales Managers,4.24,4.1,4.15,2.43,3.9,2.0,3.52,3.9,4.35,3.1589285714285715
11-2033.00,Fundraising Managers,4.38,4.16,4.11,2.67,3.63,2.79,2.71,3.97,4.02,2.754642857142857
11-3012.00,Administrative Services Managers,4.12,3.9,3.85,4.03,4.04,2.77,3.2,3.7,2.48,1.9352
11-3013.00,Facilities Managers,4.28,4.46,3.96,4.54,4.32,2.73,3.32,3.9,2.62,2.432628571428572
11-3013.01,Security Managers,4.25,3.72,4.15,4.1,3.89,3.26,3.53,3.8,3.58,3.1214285714285714
11-3021.00,Computer and Information Systems Managers,4.42,3.93,4.34,2.94,4.54,3.72,3.3,3.37,3.65,2.9776714285714285
11-3031.00,Financial Managers,4.12,4.26,4.52,3.04,4.53,2.99,3.09,4.54,3.37,2.548857142857143
11-3031.01,Treasurers and Controllers,4.36,3.88,4.2,2.16,4.12,3.33,3.12,4.36,3.54,3.4258428571428574
11-3031.03,Investment Fund Managers,4.53,4.49,4.35,1.65,3.67,3.74,2.9,4.01,4.54,2.548857142857143
11-3051.00,Industrial Production Managers,4.39,4.44,4.27,4.54,4.48,3.02,3.18,4.2,3.04,2.277257142857142
11-3051.01,Quality Control Systems Managers,4.23,4.4,4.43,4.13,4.13,2.76,3.58,4.32,3.84,2.435528571428572
11-3051.02,Geothermal Production Managers,4.63,4.24,4.39,4.83,4.73,4.11,3.43,4.19,3.47,2.3213714285714286
11-3051.03,Biofuels Production Managers,4.42,4.61,4.55,4.79,4.74,3.95,3.43,3.97,3.05,1.9919714285714285
11-3051.04,Biomass Power Plant Managers,4.54,4.25,4.32,4.94,4.74,3.56,2.95,4.13,2.67,2.577
11-3051.06,Hydroelectric Production Managers,4.57,4.42,4.42,4.85,4.62,4.0,3.13,3.93,3.15,2.553828571428572
11-3061.00,Purchasing Managers,4.21,3.58,3.84,2.79,4.16,2.16,3.32,4.16,3.39,2.820571428571429
11-3071.00,"Transportation, Storage, and Distribution Managers",4.16,4.4,4.02,3.94,4.08,3.04,3.63,4.38,3.37,2.5022
11-3071.04,Supply Chain Managers,4.05,3.6,3.67,3.95,4.2,2.35,3.81,4.43,3.55,3.0270714285714284
11-3111.00,Compensation and Benefits Managers,4.33,3.86,3.86,2.76,3.24,2.62,3.1,3.62,3.29,2.92
11-3121.00,Human Resources Managers,4.27,4.14,4.05,3.5,3.64,2.95,4.05,3.91,3.24,2.9554285714285715
11-3131.00,Training and Development Managers,4.36,3.14,3.14,2.32,4.04,1.68,2.86,3.64,2.75,3.0892857142857144
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",4.55,3.54,4.09,4.22,3.96,3.04,2.61,3.49,3.09,2.633742857142857
11-9021.00,Construction Managers,4.2,4.1,4.15,4.3,3.8,3.5,3.2,4.25,3.58,2.426285714285714
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",4.38,4.48,4.14,4.52,4.58,3.85,3.69,3.93,2.93,2.2968571428571427
11-9032.00,"Education Administrators, Kindergarten through Secondary",4.14,3.92,3.9,3.85,4.66,1.92,3.81,3.46,2.31,3.021257142857143
11-9033.00,"Education Administrators, Postsecondary",4.63,4.47,4.54,2.71,4.03,2.35,3.18,3.95,2.88,3.0858571428571424
11-9041.00,Architectural and Engineering Managers,4.53,3.99,4.15,3.22,4.19,2.52,3.29,3.79,3.38,1.9387857142857143
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4.46,3.98,3.79,3.4,3.91,2.82,2.75,3.49,3.61,2.9781571428571434
11-9051.00,Food Service Managers,4.19,4.57,4.55,4.24,4.61,2.83,3.63,4.12,2.26,2.1351142857142857
11-9071.00,Gambling Managers,4.27,4.65,4.38,4.25,4.1,3.54,3.93,3.91,3.13,2.1908000000000003
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",4.37,3.83,3.95,4.16,3.8,3.21,2.96,3.44,2.67,2.6142714285714286
11-9081.00,Lodging Managers,4.52,4.55,4.52,4.2,4.55,2.6,3.72,4.35,3.51,2.6628857142857143
11-9111.00,Medical and Health Services Managers,3.89,3.74,3.52,3.54,4.11,2.41,3.71,3.93,3.43,2.856342857142857
11-9121.00,Natural Sciences Managers,4.13,3.25,4.03,3.89,4.22,3.12,2.28,3.28,3.76,3.148514285714286
11-9121.01,Clinical Research Coordinators,4.21,3.52,3.71,2.98,3.34,2.68,2.57,3.36,2.55,1.7640285714285715
11-9121.02,Water Resource Specialists,4.14,3.52,3.59,3.41,3.62,2.19,2.86,3.5,3.26,3.228228571428572
11-9131.00,Postmasters and Mail Superintendents,3.97,4.5,4.16,4.68,4.69,2.42,4.15,4.92,3.39,2.517085714285714
11-9141.00,"Property, Real Estate, and Community Association Managers",4.25,3.95,4.05,3.3,3.85,2.6,3.6,3.95,3.65,2.3712142857142857
11-9151.00,Social and Community Service Managers,4.35,4.26,4.41,3.73,4.19,2.92,3.51,3.91,2.21,2.7198857142857147
11-9161.00,Emergency Management Directors,4.36,3.33,3.55,4.14,3.64,2.68,3.09,3.45,3.14,2.996142857142857
11-9171.00,Funeral Home Managers,4.53,4.64,4.29,3.65,3.99,3.72,3.28,4.39,3.09,2.4196428571428568
11-9179.01,Fitness and Wellness Coordinators,4.5,3.2,3.04,3.85,3.52,2.04,3.42,3.15,3.23,2.313542857142857
11-9179.02,Spa Managers,4.33,4.73,4.63,3.94,3.86,2.13,3.14,3.52,2.75,2.3445142857142853
11-9199.01,Regulatory Affairs Managers,3.96,3.61,4.04,1.91,3.43,2.91,2.96,3.65,3.3,3.0585142857142857
11-9199.02,Compliance Managers,4.28,4.08,4.26,4.0,3.93,3.07,3.43,4.3,3.33,2.653928571428572
11-9199.08,Loss Prevention Managers,4.36,4.09,4.18,4.64,3.52,2.82,3.95,3.91,3.1,2.7527714285714286
11-9199.09,Wind Energy Operations Managers,4.57,4.39,4.39,4.88,4.2,4.39,3.14,3.79,3.7,2.297528571428571
11-9199.10,Wind Energy Development Managers,4.43,3.6,3.84,2.46,3.33,2.35,3.09,3.5,3.24,2.3464
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,3.77,3.32,3.73,3.41,3.32,2.23,2.59,3.64,3.32,2.7004
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",4.22,4.59,4.13,1.5,3.11,2.78,3.33,4.65,3.96,2.418614285714286
13-1021.00,"Buyers and Purchasing Agents, Farm Products",4.6,4.63,4.46,2.99,3.18,3.68,3.2,3.81,3.64,2.4050714285714285
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",4.4,4.45,4.24,2.38,3.73,3.15,3.4,4.03,3.4,1.8825142857142856
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4.05,4.05,4.05,2.55,3.28,2.74,2.9,4.3,3.21,2.6032857142857138
13-1031.00,"Claims Adjusters, Examiners, and Investigators",4.51,4.86,4.52,1.92,2.34,2.71,4.03,4.39,3.16,1.7776
13-1032.00,"Insurance Appraisers, Auto Damage",4.45,4.8,4.48,1.39,2.43,2.65,3.87,4.55,3.31,1.7934857142857146
13-1041.00,Compliance Officers,3.68,3.73,3.57,2.29,2.32,3.51,3.57,3.53,2.72,1.8714857142857144
13-1041.01,Environmental Compliance Inspectors,3.95,3.11,3.35,2.8,2.35,2.26,3.0,3.65,2.3,1.7135714285714283
13-1041.03,Equal Opportunity Representatives and Officers,4.49,4.08,4.26,1.87,2.45,2.55,3.68,3.51,2.21,1.9442285714285716
13-1041.04,Government Property Inspectors and Investigators,3.98,4.38,4.01,3.17,3.67,2.2,3.98,3.92,3.18,2.506614285714286
13-1041.06,Coroners,4.3,4.25,4.0,4.05,3.75,3.6,3.55,4.45,3.1,2.651585714285714
13-1041.07,Regulatory Affairs Specialists,3.8,3.15,3.45,1.6,2.85,2.8,2.85,3.75,3.0,2.771071428571428
13-1041.08,Customs Brokers,3.65,4.1,3.95,2.35,3.45,3.35,3.25,4.8,3.95,1.9081428571428571
13-1051.00,Cost Estimators,3.91,3.36,3.82,2.1,2.81,2.36,2.45,3.77,3.23,2.3485714285714288
13-1071.00,Human Resources Specialists,4.36,4.01,4.19,3.43,3.7,2.93,3.93,3.76,2.97,1.9793142857142856
13-1074.00,Farm Labor Contractors,4.81,3.87,4.21,4.58,4.63,2.5,2.93,4.45,3.8,1.2691428571428571
13-1075.00,Labor Relations Specialists,4.19,3.74,3.86,2.86,3.0,2.84,4.0,3.71,3.1,2.1702142857142857
13-1081.00,Logisticians,4.04,3.71,3.79,3.0,3.42,2.58,3.08,4.42,3.38,2.7207142857142856
13-1081.01,Logistics Engineers,4.04,3.65,3.7,3.48,3.83,2.74,3.27,3.91,3.27,2.7275714285714283
13-1081.02,Logistics Analysts,4.18,3.45,3.41,2.55,2.95,2.64,3.23,4.18,2.95,2.5764571428571426
13-1111.00,Management Analysts,4.14,3.75,4.1,2.45,3.61,2.79,2.95,4.0,3.55,3.621914285714286
13-1121.00,"Meeting, Convention, and Event Planners",4.52,4.51,4.31,3.23,3.91,1.87,3.53,4.57,3.9,2.314
