O*NET-SOC Code,Title,Spend Time Bending or Twisting Your Body,"Spend Time Climbing Ladders, Scaffolds, or Poles",Spend Time Keeping or Regaining Balance,"Spend Time Kneeling, Crouching, Stooping, or Crawling",Spend Time Sitting,Spend Time Standing,"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls",Spend Time Walking or Running,Dynamic Strength ,Explosive Strength ,Static Strength ,Stamina ,Gross Body Coordination ,Multilimb Coordination ,Gross Body Equilibrium ,Trunk Strength ,Manual Dexterity ,Finger Dexterity ,Arm-Hand Steadiness ,Control Precision ,Handling and Moving Objects ,Performing General Physical Activities ,Exposed to Contaminants,"Exposed to Cramped Work Space, Awkward Positions",Exposed to Disease or Infections,Exposed to Extremely Bright or Inadequate Lighting Conditions,Exposed to Hazardous Conditions,Exposed to Hazardous Equipment,Exposed to High Places,"Exposed to Minor Burns, Cuts, Bites, or Stings",Exposed to Radiation,"Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable",Exposed to Very Hot or Cold Temperatures,Exposed to Whole Body Vibration,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection",In an Enclosed Vehicle or Operate Enclosed Equipment,In an Open Vehicle or Operating Equipment,"Indoors, Environmentally Controlled","Indoors, Not Environmentally Controlled","Outdoors, Exposed to All Weather Conditions","Outdoors, Under Cover"
11-1011.00,Chief Executives,1.47,1.06,1.43,1.13,4.18,2.13,2.17,1.72,1.0089285714285714,1.0,1.0,1.0,1.0,1.0803571428571428,1.0,1.0336571428571428,1.0,1.0714285714285714,1.0271428571428571,1.0803571428571428,1.2555428571428573,1.2605714285714285,1.41,1.2,1.37,1.36,1.33,1.38,1.14,1.23,1.0,2.08,1.59,1.12,1.77,1.21,3.13,1.26,4.82,2.19,2.12,1.84
11-1011.03,Chief Sustainability Officers,1.33,1.38,1.22,1.3,3.89,2.31,1.73,1.89,1.0,1.0,1.0,1.0,1.0,1.0357142857142856,1.0,1.0271428571428571,1.0,1.147857142857143,1.0,1.0357142857142856,1.0817142857142856,1.193242857142857,1.59,1.37,1.04,1.52,1.37,1.38,1.48,1.48,1.15,2.15,1.63,1.19,1.89,1.37,2.93,1.26,4.74,2.15,2.23,2.0
11-1021.00,General and Operations Managers,1.96,1.32,1.17,1.78,3.09,2.9,2.42,2.53,1.0020571428571428,1.0206285714285714,1.062857142857143,1.077942857142857,1.0442857142857145,1.0357142857142856,1.0206285714285714,1.3008,1.0357142857142856,1.0357142857142856,1.077942857142857,1.0020571428571428,1.3742857142857143,1.3377571428571429,1.64,1.19,1.21,1.63,1.34,1.36,1.31,1.56,1.0,1.8,2.33,1.05,3.06,1.18,3.48,1.93,4.39,2.12,2.93,1.79
11-2011.00,Advertising and Promotions Managers,1.31,1.09,1.27,1.37,4.33,2.11,2.07,1.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.077942857142857,1.0206285714285714,1.0992,1.0271428571428571,1.0020571428571428,1.378,1.2005714285714286,1.42,1.38,1.03,1.48,1.06,1.2,1.16,1.27,1.0,2.36,1.47,1.03,1.24,1.0,2.28,1.13,4.62,1.68,2.46,2.0
11-2021.00,Marketing Managers,1.22,1.02,1.19,1.26,4.36,2.09,2.31,1.95,1.0089285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0942857142857143,1.0,1.1339285714285714,1.0020571428571428,1.0,1.0428142857142857,1.1075142857142857,1.54,1.2,1.07,1.34,1.06,1.46,1.08,1.09,1.33,2.4,1.5,1.02,1.3,1.04,2.26,1.08,4.53,1.86,1.38,1.25
11-2022.00,Sales Managers,1.25,1.0,1.05,1.1,4.1,2.4,1.65,1.85,1.0,1.0,1.0,1.0,1.0,1.0089285714285714,1.0,1.157142857142857,1.0206285714285714,1.0357142857142856,1.0020571428571428,1.0206285714285714,1.0217142857142858,1.0325,1.42,1.14,1.15,1.48,1.15,1.35,1.05,1.05,1.0,2.05,1.53,1.05,1.45,1.1,3.67,1.05,4.45,1.71,1.85,1.62
11-2033.00,Fundraising Managers,1.09,1.0,1.04,1.21,4.88,1.9,2.08,1.47,1.0803571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.3193714285714284,1.0020571428571428,1.0020571428571428,1.0,1.0020571428571428,1.1717714285714285,1.372,1.13,1.29,1.0,1.25,1.0,1.0,1.04,1.0,1.0,1.44,1.01,1.0,1.0,1.04,1.63,1.11,4.84,1.43,1.53,1.54
11-3012.00,Administrative Services Managers,1.71,1.33,1.31,1.67,3.66,2.49,2.24,2.48,1.0535714285714286,1.0535714285714286,1.0885714285714283,1.0271428571428571,1.0442857142857145,1.0885714285714283,1.0442857142857145,1.1339285714285714,1.231428571428571,1.4542857142857144,1.32,1.25,2.2810714285714284,2.0943,2.12,1.52,1.93,1.59,1.43,1.49,1.43,1.74,1.0,2.73,1.82,1.03,1.82,1.14,2.14,1.51,4.26,1.9,1.79,1.69
11-3013.00,Facilities Managers,2.08,1.83,1.66,1.92,3.34,2.93,2.59,2.62,1.1885714285714286,1.157142857142857,1.25,1.3008,1.1885714285714286,1.32,1.1734857142857142,1.5785714285714287,1.51,1.4691999999999998,1.5785714285714287,1.4928571428571429,2.426342857142857,2.375,2.9,2.08,1.67,1.95,2.47,2.62,2.19,2.14,1.01,2.97,2.28,1.28,3.01,1.57,2.71,1.8,4.49,2.85,2.66,2.1
11-3013.01,Security Managers,1.72,1.53,1.67,1.75,3.5,2.47,2.21,2.37,1.25,1.2036571428571428,1.335714285714286,1.2678571428571428,1.231428571428571,1.28,1.197142857142857,1.4691999999999998,1.28,1.2363428571428572,1.36,1.22,1.8957142857142852,2.145428571428571,2.26,1.8,1.56,2.4,1.88,2.05,1.7,1.68,1.25,3.05,2.68,1.21,2.94,1.7,2.85,1.95,4.68,2.75,3.0,2.5
11-3021.00,Computer and Information Systems Managers,1.26,1.15,1.11,1.32,4.58,1.57,2.94,1.64,1.0357142857142856,1.0,1.0,1.0,1.0,1.0206285714285714,1.0,1.12,1.32,1.32,1.3571428571428572,1.2857142857142856,1.219142857142857,1.2727,1.49,1.57,1.05,1.33,1.36,1.15,1.27,1.32,1.02,2.31,1.22,1.0,1.51,1.06,1.27,1.09,3.8,1.66,1.17,1.13
11-3031.00,Financial Managers,1.2,1.0,1.0,1.13,4.42,1.98,2.61,1.57,1.0,1.0,1.0,1.0042857142857142,1.0,1.0,1.0,1.1734857142857142,1.0942857142857143,1.12,1.0942857142857143,1.0135714285714286,1.0913714285714289,1.1634285714285717,1.55,1.08,1.03,1.1,1.0,1.0,1.06,1.06,1.0,2.28,1.18,1.0,1.0,1.0,1.45,1.01,4.71,1.02,1.39,1.3
11-3031.01,Treasurers and Controllers,1.25,1.0,1.16,1.12,4.64,1.72,1.83,1.44,1.0089285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.062857142857143,1.0020571428571428,1.32,1.0,1.0,1.0347428571428572,1.0282285714285715,1.04,1.0,1.08,1.04,1.0,1.0,1.04,1.04,1.0,2.2,1.12,1.0,1.0,1.0,1.28,1.0,4.44,1.12,1.04,1.04
11-3031.03,Investment Fund Managers,1.02,1.0,1.0,1.0,4.75,1.7,2.1,1.26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.335714285714286,1.0,1.0,1.0091428571428571,1.0091428571428571,1.09,1.11,1.0,1.06,1.0,1.0,1.0,1.02,1.0,2.44,1.05,1.0,1.02,1.0,1.59,1.0,4.64,1.12,1.15,1.07
11-3051.00,Industrial Production Managers,1.71,1.38,1.54,1.55,2.73,3.47,2.71,3.05,1.1071428571428572,1.0336571428571428,1.2142857142857144,1.2036571428571428,1.2142857142857144,1.25,1.0271428571428571,1.4691999999999998,1.3125,1.5357142857142858,1.4435714285714285,1.4017857142857142,2.6203000000000003,1.9387714285714288,3.47,1.97,1.22,2.21,2.2,3.35,2.04,2.57,1.06,3.76,2.7,1.45,4.59,1.61,2.38,1.86,3.49,3.85,2.32,1.97
11-3051.01,Quality Control Systems Managers,1.26,1.18,1.16,1.37,3.6,2.67,1.78,2.31,1.0135714285714286,1.0,1.0206285714285714,1.0357142857142856,1.0135714285714286,1.1885714285714286,1.0020571428571428,1.1885714285714286,1.4017857142857142,1.4017857142857142,1.4691999999999998,1.4249999999999998,1.7190857142857143,1.5747142857142855,2.88,1.27,1.66,1.42,2.59,2.01,1.43,1.28,1.0,2.47,2.09,1.0,3.43,1.35,1.25,1.0,4.72,2.08,1.9,1.23
11-3051.02,Geothermal Production Managers,1.71,1.79,1.37,1.5,3.56,2.6,1.71,2.19,1.0135714285714286,1.0042857142857142,1.0221428571428572,1.0020571428571428,1.0135714285714286,1.4542857142857144,1.2036571428571428,1.32,1.3785714285714286,1.7385714285714284,1.4435714285714285,1.6063428571428573,1.4922285714285717,1.618428571428571,3.42,1.62,1.14,2.47,3.42,3.33,2.73,2.32,1.14,3.89,3.43,1.29,4.74,2.02,4.71,1.63,4.96,4.42,4.09,2.82
11-3051.03,Biofuels Production Managers,1.83,2.09,1.55,1.93,3.28,2.62,2.51,2.4,1.0885714285714283,1.0535714285714286,1.2142857142857144,1.231428571428571,1.1071428571428572,1.3008,1.157142857142857,1.4179428571428572,1.394285714285714,1.335714285714286,1.655,1.4435714285714285,1.4406714285714286,1.7382857142857144,3.87,2.6,1.4,2.85,4.12,3.15,3.45,2.9,1.07,3.95,4.08,1.7,4.64,2.7,2.81,2.69,4.57,4.36,4.03,3.52
11-3051.04,Biomass Power Plant Managers,2.39,1.95,1.66,1.93,3.51,2.46,2.4,2.53,1.0442857142857145,1.0336571428571428,1.2592,1.197142857142857,1.197142857142857,1.3392000000000002,1.2036571428571428,1.4017857142857142,1.4017857142857142,1.6063428571428573,1.6875,1.5142857142857142,2.0248,1.6712857142857145,4.06,2.48,1.3,3.37,3.07,3.5,3.75,2.48,1.14,4.27,3.68,1.27,4.79,2.01,2.54,1.84,4.66,4.76,3.63,2.9
11-3051.06,Hydroelectric Production Managers,2.08,1.84,1.51,1.95,3.7,2.22,2.48,2.32,1.0885714285714283,1.0,1.0,1.0135714285714286,1.0,1.28,1.1339285714285714,1.4017857142857142,1.4464285714285716,1.4928571428571429,1.5892857142857142,1.5614285714285714,1.5175142857142858,1.6065428571428573,2.91,2.4,1.31,2.75,3.36,2.91,2.58,2.44,1.09,4.02,3.42,1.58,4.73,2.33,3.9,1.92,4.23,3.56,3.51,2.82
11-3061.00,Purchasing Managers,1.33,1.06,1.21,1.26,4.53,1.84,1.63,1.63,1.0442857142857145,1.0,1.0,1.0,1.0,1.0,1.0,1.12,1.0,1.0,1.0,1.0,1.1776,1.1805428571428571,1.68,1.16,1.16,1.53,1.26,1.39,1.32,1.05,1.16,2.22,1.58,1.16,1.84,1.32,2.05,1.44,4.42,1.89,1.74,1.58
11-3071.00,"Transportation, Storage, and Distribution Managers",1.8,1.32,1.48,1.53,3.6,2.52,2.83,2.35,1.0357142857142856,1.0,1.0,1.0,1.0,1.0535714285714286,1.0,1.3008,1.1071428571428572,1.1339285714285714,1.0992,1.12,1.6903714285714284,1.4940571428571428,2.43,1.5,1.22,1.89,1.77,2.31,1.73,1.52,1.11,3.16,2.28,1.2,3.22,1.7,3.09,2.09,4.15,3.65,2.77,2.0
11-3071.04,Supply Chain Managers,1.3,1.19,1.1,1.14,3.95,2.3,1.81,1.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0664285714285715,1.0,1.1734857142857142,1.0,1.0020571428571428,1.372,1.2185714285714286,1.65,1.33,1.1,1.95,1.25,1.29,1.52,1.15,1.1,3.0,2.2,1.2,2.95,1.62,2.38,1.53,4.25,3.05,2.1,1.81
11-3111.00,Compensation and Benefits Managers,1.1,1.05,1.05,1.15,4.9,1.81,2.2,1.55,1.0089285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.1339285714285714,1.0,1.0020571428571428,1.0089285714285714,1.0,1.0685714285714285,1.0486857142857142,1.05,1.19,1.0,1.19,1.0,1.0,1.0,1.0,1.0,2.29,1.05,1.0,1.0,1.0,1.33,1.0,4.38,1.05,1.05,1.05
11-3121.00,Human Resources Managers,1.59,1.05,1.14,1.32,4.23,2.3,1.86,1.91,1.0206285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.1785714285714286,1.0020571428571428,1.0336571428571428,1.0020571428571428,1.0020571428571428,1.1855428571428572,1.2475857142857143,1.27,1.32,1.68,1.43,1.32,1.1,1.05,1.27,1.0,2.0,1.41,1.0,1.73,1.32,1.91,1.0,4.05,1.73,1.55,1.41
