O*NET-SOC Code,Title,Importance of Repeating Same Tasks,Spend Time Making Repetitive Motions,Pace Determined by Speed of Equipment,Degree of Automation,Memorization ,Time Sharing ,Perceptual Speed ,Speed of Closure ,Speed of Limb Movement ,Wrist-Finger Speed ,Reaction Time ,Scheduling Work and Activities ,Performing Administrative Activities ,Importance of Being Exact or Accurate,Selective Attention ,Auditory Attention ,Problem Sensitivity ,Information Ordering 
11-1011.00,Chief Executives,3.37,2.55,1.35,2.23,1.837942857142857,1.7734857142857143,1.8571428571428568,1.8914285714285717,1.0,1.0271428571428571,1.0206285714285714,2.7829,3.006142857142857,4.47,1.8914285714285717,1.32,3.091428571428572,2.765714285714286
11-1011.03,Chief Sustainability Officers,1.81,2.0,1.19,1.56,1.542142857142857,1.5508,1.3785714285714286,1.5165142857142857,1.0,1.0020571428571428,1.0,2.852271428571429,2.278142857142857,3.52,1.9085714285714288,1.25,2.6950857142857143,2.4035714285714285
11-1021.00,General and Operations Managers,3.11,2.42,1.19,2.31,1.4017857142857142,1.7200000000000002,1.4435714285714285,1.4435714285714285,1.0,1.0942857142857143,1.0549142857142857,2.5736,2.272,4.24,1.7734857142857143,1.32,2.6950857142857143,2.2928571428571427
11-2011.00,Advertising and Promotions Managers,2.7,2.5,1.0,2.01,1.51,1.5300000000000002,1.7385714285714284,1.6364285714285711,1.0,1.0803571428571428,1.0,2.3572,2.100214285714286,4.3,1.7385714285714284,1.1339285714285714,2.4971428571428573,2.205357142857143
11-2021.00,Marketing Managers,2.78,2.73,1.02,2.1,1.6942857142857144,1.655,1.7200000000000002,1.75,1.0,1.0664285714285715,1.0,2.3577142857142857,1.6700714285714289,3.81,1.7734857142857143,1.2036571428571428,2.4522285714285714,2.125
11-2022.00,Sales Managers,2.16,1.52,1.1,2.26,1.8057142857142856,1.4906285714285716,1.5207142857142857,1.8057142857142856,1.0,1.0549142857142857,1.0,2.466742857142857,2.213214285714286,3.38,1.6875,1.2036571428571428,2.596342857142857,1.9085714285714288
11-2033.00,Fundraising Managers,3.0,2.67,1.0,1.69,1.6063428571428573,1.6391999999999998,1.3392000000000002,1.4821428571428572,1.0,1.2000000000000002,1.0,2.0659,2.3912571428571425,4.37,1.68,1.3571428571428572,2.2308,2.1607142857142856
11-3012.00,Administrative Services Managers,3.36,2.76,1.48,2.14,1.6063428571428573,1.872228571428572,1.595,1.4192,1.0,1.0135714285714286,1.062857142857143,3.3195857142857146,2.826657142857143,4.15,1.9085714285714288,1.4017857142857142,2.3392857142857144,1.9449142857142856
11-3013.00,Facilities Managers,3.82,2.44,1.54,2.02,1.5892857142857142,1.6364285714285711,1.6875,1.5357142857142858,1.0042857142857142,1.3392000000000002,1.302857142857143,3.008657142857143,2.568914285714286,4.09,1.7385714285714284,1.4928571428571429,2.4732142857142856,2.422142857142857
11-3013.01,Security Managers,3.26,2.58,1.58,2.21,1.7200000000000002,1.9285714285714288,1.9257142857142855,2.19,1.1785714285714286,1.2208,1.3008,3.023214285714286,2.376428571428572,4.05,2.375,1.7200000000000002,3.375,2.4732142857142856
11-3021.00,Computer and Information Systems Managers,3.88,3.61,1.28,2.56,1.6063428571428573,1.4906285714285716,1.6875,1.6875,1.0,1.197142857142857,1.0089285714285714,2.760228571428572,2.247,4.04,1.7734857142857143,1.25,2.7142857142857144,2.571428571428571
11-3031.00,Financial Managers,4.37,2.38,1.07,2.8,1.5614285714285714,1.3571428571428572,1.7036571428571428,1.8571428571428568,1.0,1.231428571428571,1.0,2.580228571428572,2.3452,4.69,1.655,1.231428571428571,2.645714285714285,2.375
11-3031.01,Treasurers and Controllers,3.68,2.76,1.12,2.58,1.6875,1.394285714285714,1.9449142857142856,1.837942857142857,1.0,1.0135714285714286,1.0,2.6552285714285717,2.337142857142857,4.64,1.6063428571428573,1.12,2.98,2.596342857142857
11-3031.03,Investment Fund Managers,2.67,2.38,1.13,2.46,1.8057142857142856,1.7200000000000002,1.8571428571428568,1.837942857142857,1.0,1.0,1.0,1.8070857142857144,1.3271142857142857,4.24,1.9842857142857144,1.24,2.6696428571428568,2.596342857142857
11-3051.00,Industrial Production Managers,3.16,1.92,3.22,2.02,1.7734857142857143,1.7734857142857143,1.9085714285714288,1.7734857142857143,1.12,1.268571428571429,1.4017857142857142,2.569728571428572,1.926742857142857,4.47,1.8914285714285717,1.7200000000000002,2.765714285714286,2.7142857142857144
11-3051.01,Quality Control Systems Managers,3.55,1.94,1.5,2.25,1.8057142857142856,1.7200000000000002,2.125,1.9842857142857144,1.0,1.157142857142857,1.077942857142857,2.709557142857143,2.106828571428572,4.33,1.8728571428571428,1.4249999999999998,3.0592,2.3392857142857144
11-3051.02,Geothermal Production Managers,3.53,2.34,2.73,2.49,1.5614285714285714,1.625,1.9285714285714288,1.6364285714285711,1.0992,1.0135714285714286,1.3808,3.7846428571428574,2.4586,4.27,1.9285714285714288,1.5892857142857142,2.765714285714286,2.2928571428571427
11-3051.03,Biofuels Production Managers,3.53,2.07,3.58,3.41,1.6364285714285711,1.9642857142857144,2.1635714285714283,1.837942857142857,1.0042857142857142,1.4542857142857144,1.6150857142857142,2.4487,2.025442857142857,4.27,2.2928571428571427,1.8125,2.4732142857142856,2.1357142857142857
11-3051.04,Biomass Power Plant Managers,3.92,2.29,3.74,2.67,1.7200000000000002,1.6063428571428573,2.023657142857143,1.8571428571428568,1.0020571428571428,1.0178571428571428,1.36,3.3348285714285715,1.7990285714285714,4.31,1.9449142857142856,1.78,2.98,2.4522285714285714
11-3051.06,Hydroelectric Production Managers,3.58,2.53,2.35,2.5,1.6942857142857144,1.9085714285714288,2.4035714285714285,1.8728571428571428,1.0,1.51,1.5892857142857142,3.095028571428572,2.376614285714286,4.09,2.086428571428572,1.8057142857142856,2.6950857142857143,2.4285714285714284
11-3061.00,Purchasing Managers,3.5,2.58,1.42,2.79,1.6364285714285711,1.6063428571428573,1.75,1.6875,1.0,1.0271428571428571,1.0,2.4043428571428573,2.5419857142857145,4.26,2.0028571428571427,1.3571428571428572,2.4522285714285714,2.524285714285714
11-3071.00,"Transportation, Storage, and Distribution Managers",3.25,2.66,1.65,2.53,1.5785714285714287,1.6364285714285711,1.7734857142857143,1.6665142857142858,1.0,1.1735714285714285,1.0942857142857143,2.8758857142857144,2.1744000000000003,4.08,1.75,1.3785714285714286,2.5428571428571427,2.327857142857143
11-3071.04,Supply Chain Managers,2.7,2.19,2.0,2.5,1.5207142857142857,1.6665142857142858,1.7734857142857143,1.5785714285714287,1.0,1.0135714285714286,1.0,2.7316,2.061357142857143,4.0,1.9085714285714288,1.28,2.645714285714285,2.5428571428571427
11-3111.00,Compensation and Benefits Managers,3.71,2.95,1.0,2.71,1.32,1.32,1.3785714285714286,1.4017857142857142,1.0,1.0442857142857145,1.0,2.571428571428572,2.7659571428571423,4.1,1.5,1.1257142857142857,2.375,1.9449142857142856
11-3121.00,Human Resources Managers,3.23,2.55,1.05,2.68,1.8571428571428568,1.5625,1.6063428571428573,1.9449142857142856,1.0,1.16,1.0,2.788642857142857,2.8178571428571426,4.09,2.0285714285714285,1.32,2.645714285714285,2.265085714285714
11-3131.00,Training and Development Managers,2.71,2.54,1.07,1.96,1.8057142857142856,1.5508,1.7200000000000002,1.7734857142857143,1.0,1.0357142857142856,1.0,3.2496,2.2350857142857143,3.43,1.7200000000000002,1.28,2.571428571428571,2.524285714285714
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",3.06,2.57,2.21,2.34,1.6665142857142858,1.6364285714285711,2.0608,1.7200000000000002,1.0271428571428571,1.32,1.5892857142857142,2.6784714285714286,2.113857142857143,3.49,1.8571428571428568,1.5614285714285714,2.6950857142857143,2.4522285714285714
11-9021.00,Construction Managers,3.4,2.95,2.2,1.9,1.6875,1.8914285714285717,1.8571428571428568,1.9449142857142856,1.0020571428571428,1.0942857142857143,1.2142857142857144,3.321428571428572,2.4485714285714284,4.05,2.0608,1.8057142857142856,2.894285714285714,2.821428571428571
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",3.68,2.8,1.19,2.1,1.8571428571428568,1.7385714285714284,1.5785714285714287,1.6875,1.0,1.077942857142857,1.0,2.715657142857143,2.8020571428571426,4.05,1.9449142857142856,1.3571428571428572,2.645714285714285,2.422142857142857
11-9032.00,"Education Administrators, Kindergarten through Secondary",1.89,1.89,1.02,1.04,1.8571428571428568,1.7857142857142856,1.7036571428571428,1.9085714285714288,1.0,1.0803571428571428,1.0,2.5021714285714287,3.3265,3.47,1.9085714285714288,1.4179428571428572,3.0892857142857144,2.7142857142857144
11-9033.00,"Education Administrators, Postsecondary",2.35,2.61,1.01,1.88,1.6875,1.655,1.6063428571428573,1.7385714285714284,1.0,1.0,1.0,2.661828571428572,2.8135000000000003,4.13,2.02,1.197142857142857,2.729371428571429,2.524285714285714
11-9041.00,Architectural and Engineering Managers,3.48,2.25,1.14,2.04,1.7200000000000002,1.5614285714285714,1.8057142857142856,1.8057142857142856,1.0,1.0178571428571428,1.0,2.881728571428572,1.6683,3.99,1.9842857142857144,1.2857142857142856,2.6950857142857143,2.524285714285714
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,2.86,2.33,1.89,2.08,1.6942857142857144,1.8057142857142856,1.9077714285714285,1.655,1.0,1.1071428571428572,1.1339285714285714,2.588457142857143,1.6534714285714287,4.13,2.2071428571428573,1.5357142857142858,2.7142857142857144,2.596342857142857
11-9051.00,Food Service Managers,3.35,3.21,1.64,1.71,1.6875,1.7385714285714284,1.7734857142857143,1.5625,1.0206285714285714,1.1885714285714286,1.1106285714285715,2.3897714285714287,1.9881,4.13,1.872228571428572,1.6063428571428573,2.596342857142857,1.8571428571428568
11-9071.00,Gambling Managers,3.72,3.01,1.5,2.43,1.7734857142857143,1.9285714285714288,1.9085714285714288,1.9449142857142856,1.0357142857142856,1.0135714285714286,1.0803571428571428,2.5694,2.030857142857143,4.48,2.06,1.7200000000000002,2.571428571428571,2.2928571428571427
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",2.6,1.68,1.78,1.65,1.51,1.5785714285714287,1.4928571428571429,1.3785714285714286,1.0042857142857142,1.1607142857142858,1.0135714285714286,3.0689428571428574,2.3068857142857144,3.46,1.8571428571428568,1.3008,2.4035714285714285,2.086428571428572
11-9081.00,Lodging Managers,4.14,2.52,1.8,2.86,1.6364285714285711,1.7734857142857143,1.7734857142857143,1.8057142857142856,1.0,1.16,1.2142857142857144,2.9197714285714285,2.771828571428572,4.14,1.8914285714285717,1.32,2.607142857142857,2.225714285714286
11-9111.00,Medical and Health Services Managers,3.79,3.37,1.29,2.86,1.6875,1.5614285714285714,1.655,1.4928571428571429,1.0,1.0942857142857143,1.0,3.2896,3.171428571428572,4.36,1.8057142857142856,1.3571428571428572,2.7142857142857144,2.4035714285714285
11-9121.00,Natural Sciences Managers,2.95,2.44,1.22,1.5,1.4017857142857142,1.3392000000000002,1.4464285714285716,1.4017857142857142,1.0,1.0271428571428571,1.0885714285714283,3.115771428571428,2.184342857142857,4.44,1.822857142857143,1.32,2.6950857142857143,2.7142857142857144
11-9121.01,Clinical Research Coordinators,4.1,2.77,1.31,1.9,1.6665142857142858,1.7734857142857143,1.822857142857143,1.8057142857142856,1.0,1.0535714285714286,1.0,2.8146,2.7262000000000004,4.56,1.7734857142857143,1.3706285714285715,2.7142857142857144,2.645714285714285
11-9121.02,Water Resource Specialists,2.1,1.76,1.29,2.05,1.6875,1.7385714285714284,1.9285714285714288,1.7734857142857143,1.0,1.0042857142857142,1.0,3.0339714285714283,1.5442857142857145,3.95,1.8571428571428568,1.2857142857142856,2.596342857142857,2.571428571428571
11-9131.00,Postmasters and Mail Superintendents,3.73,2.41,2.59,2.62,1.4542857142857144,1.6391999999999998,1.6714285714285717,1.5300000000000002,1.062857142857143,1.0336571428571428,1.077942857142857,3.072057142857143,3.0679142857142856,4.17,1.822857142857143,1.5300000000000002,2.327857142857143,2.1677714285714287
11-9141.00,"Property, Real Estate, and Community Association Managers",2.9,1.84,1.15,2.2,1.3392000000000002,1.5508,1.32,1.3392000000000002,1.0,1.0271428571428571,1.0,2.6846428571428573,2.5404285714285715,3.9,1.7857142857142856,1.0992,2.31,1.9449142857142856
11-9151.00,Social and Community Service Managers,3.43,2.05,1.18,2.23,1.6875,1.837942857142857,1.6875,1.6665142857142858,1.0,1.0442857142857145,1.0,2.805885714285714,2.8225,4.2,1.8057142857142856,1.32,2.7142857142857144,2.25
11-9161.00,Emergency Management Directors,2.45,2.32,1.38,1.86,1.7734857142857143,1.8571428571428568,1.8571428571428568,1.8571428571428568,1.0,1.12,1.0885714285714283,2.6392857142857142,2.796342857142857,3.73,1.8571428571428568,1.3008,3.0357142857142856,2.645714285714285
11-9171.00,Funeral Home Managers,3.68,2.69,1.37,2.15,1.6364285714285711,1.655,1.4542857142857144,1.32,1.0,1.0206285714285714,1.0664285714285715,3.047,3.395142857142857,4.56,1.5625,1.335714285714286,2.354914285714286,2.0608
11-9179.01,Fitness and Wellness Coordinators,2.85,2.48,1.12,1.96,1.822857142857143,1.7734857142857143,1.51,1.467857142857143,1.2142857142857144,1.25,1.0206285714285714,3.2839142857142862,2.4768,3.0,1.7200000000000002,1.3785714285714286,2.571428571428571,2.354914285714286
11-9179.02,Spa Managers,3.36,2.96,1.01,2.06,1.5892857142857142,1.7385714285714284,1.5785714285714287,1.4691999999999998,1.12,1.0549142857142857,1.0664285714285715,2.879714285714285,2.7382857142857144,4.01,1.7142857142857144,1.335714285714286,2.551428571428572,2.1492
11-9199.01,Regulatory Affairs Managers,3.22,2.87,1.0,2.0,1.467857142857143,1.5508,1.6063428571428573,1.6063428571428573,1.0,1.0357142857142856,1.0,2.524142857142857,2.131428571428572,4.35,1.7385714285714284,1.197142857142857,2.571428571428571,2.4035714285714285
11-9199.02,Compliance Managers,3.83,2.29,1.35,1.7,1.5892857142857142,1.4017857142857142,1.5892857142857142,1.542142857142857,1.0357142857142856,1.0271428571428571,1.0135714285714286,2.8559,2.9131428571428573,4.63,1.8571428571428568,1.335714285714286,2.9522285714285714,2.3392857142857144
11-9199.08,Loss Prevention Managers,3.0,2.32,1.32,2.41,1.5625,1.6063428571428573,1.8057142857142856,1.8057142857142856,1.197142857142857,1.0271428571428571,1.1785714285714286,2.3957714285714284,1.957642857142857,3.91,2.1635714285714283,1.3785714285714286,2.782857142857143,1.9449142857142856
11-9199.09,Wind Energy Operations Managers,3.06,2.43,1.83,2.45,1.7734857142857143,1.7734857142857143,1.9085714285714288,1.7200000000000002,1.0,1.2857142857142856,1.3808,3.4091714285714283,2.556314285714285,3.89,1.8914285714285717,1.3785714285714286,2.7142857142857144,2.5428571428571427
