O*NET-SOC Code,Title,Category Flexibility Combined,Mathematical Reasoning Combined,Updating and Using Relevant Knowledge Combined,Selective Attention Combined,Mathematics Combined,Complex Problem Solving Combined,Science Combined,Learning Strategies Combined,Deductive Reasoning Combined,Written Comprehension Combined,Inductive Reasoning Combined,Critical Thinking Combined,Reading Comprehension Combined,Time Management Combined,Active Learning Combined,Visualization Combined,Time Sharing Combined,Information Ordering Combined,Perceptual Speed Combined,Equipment Selection Combined,Flexibility of Closure Combined,"Organizing, Planning, and Prioritizing Work Combined",Speed of Closure Combined,Problem Sensitivity Combined,Memorization Combined,Written Expression Combined,Number Facility Combined,Writing Combined,Scheduling Work and Activities Combined
11-1011.00,Chief Executives,2.4285714285714284,2.205357142857143,3.406842857142857,1.8914285714285717,2.125,3.3563428571428573,1.0664285714285715,2.1357142857142857,3.117142857142857,3.265714285714286,3.091428571428572,3.2935714285714286,3.0592,3.0357142857142856,2.7678571428571432,1.9657142857142855,1.7734857142857143,2.765714285714286,1.8571428571428568,1.0042857142857142,2.1635714285714283,3.869385714285715,1.8914285714285717,3.091428571428572,1.837942857142857,3.117142857142857,2.1357142857142857,2.9522285714285714,2.7829
11-1011.03,Chief Sustainability Officers,2.06,1.75,3.635285714285714,1.9085714285714288,1.837942857142857,2.765714285714286,1.3008,2.275,2.954285714285714,2.821428571428571,2.6950857142857143,2.8363428571428573,2.821428571428571,2.3192,2.524285714285714,1.7200000000000002,1.5508,2.4035714285714285,1.3785714285714286,1.0042857142857142,1.8057142857142856,3.922271428571429,1.5165142857142857,2.6950857142857143,1.542142857142857,2.9522285714285714,1.8057142857142856,2.894285714285714,2.852271428571429
11-1021.00,General and Operations Managers,2.105,1.837942857142857,2.668,1.7734857142857143,1.6364285714285711,2.4522285714285714,1.0442857142857145,1.8914285714285717,2.6950857142857143,2.7142857142857144,2.25,2.596342857142857,2.7142857142857144,2.4522285714285714,2.4035714285714285,1.6875,1.7200000000000002,2.2928571428571427,1.4435714285714285,1.0,1.5785714285714287,3.1028571428571428,1.4435714285714285,2.6950857142857143,1.4017857142857142,2.7142857142857144,1.8057142857142856,2.3857142857142857,2.5736
11-2011.00,Advertising and Promotions Managers,2.3192,1.8914285714285717,2.7831714285714284,1.7385714285714284,1.9285714285714288,2.3857142857142857,1.0549142857142857,1.9285714285714288,2.8514285714285714,2.7142857142857144,2.3857142857142857,2.765714285714286,2.571428571428571,2.3857142857142857,2.3242857142857147,2.0028571428571427,1.5300000000000002,2.205357142857143,1.7385714285714284,1.0020571428571428,1.9449142857142856,3.5178857142857143,1.6364285714285711,2.4971428571428573,1.51,2.645714285714285,1.837942857142857,2.524285714285714,2.3572
11-2021.00,Marketing Managers,2.1635714285714283,2.096342857142857,2.8273714285714284,1.7734857142857143,1.78,2.4522285714285714,1.1607142857142858,2.06,2.8020571428571426,2.765714285714286,2.524285714285714,2.748571428571428,2.748571428571428,2.3392857142857144,2.6950857142857143,1.8571428571428568,1.655,2.125,1.7200000000000002,1.0,1.8571428571428568,3.8044285714285713,1.75,2.4522285714285714,1.6942857142857144,2.6950857142857143,2.06,2.2471428571428573,2.3577142857142857
11-2022.00,Sales Managers,2.1635714285714283,2.007142857142857,2.984928571428571,1.6875,1.8914285714285717,2.524285714285714,1.0549142857142857,2.096342857142857,2.645714285714285,2.7142857142857144,2.645714285714285,2.645714285714285,2.645714285714285,2.571428571428571,2.524285714285714,1.4464285714285716,1.4906285714285716,1.9085714285714288,1.5207142857142857,1.0,1.7734857142857143,3.404714285714286,1.8057142857142856,2.596342857142857,1.8057142857142856,2.7142857142857144,1.9722285714285717,2.4971428571428573,2.466742857142857
11-2033.00,Fundraising Managers,1.8914285714285717,1.8728571428571428,3.2824,1.68,1.7857142857142856,2.4035714285714285,1.0089285714285714,1.6364285714285711,2.6950857142857143,2.6950857142857143,2.105,2.729371428571429,2.596342857142857,2.2071428571428573,2.2308,1.32,1.6391999999999998,2.1607142857142856,1.3392000000000002,1.0,1.4821428571428572,3.4823142857142866,1.4821428571428572,2.2308,1.6063428571428573,2.8020571428571426,1.8914285714285717,2.645714285714285,2.0659
11-3012.00,Administrative Services Managers,1.9449142857142856,1.5785714285714287,3.0459,1.9085714285714288,1.3785714285714286,2.0028571428571427,1.0,1.9285714285714288,2.4522285714285714,2.7142857142857144,2.2071428571428573,2.524285714285714,2.7142857142857144,2.7142857142857144,2.023657142857143,1.7385714285714284,1.872228571428572,1.9449142857142856,1.595,1.0042857142857142,1.6391999999999998,3.639357142857142,1.4192,2.3392857142857144,1.6063428571428573,2.645714285714285,1.6875,2.4732142857142856,3.3195857142857146
11-3013.00,Facilities Managers,1.9842857142857144,1.655,3.1011999999999995,1.7385714285714284,1.6875,2.1492,1.0535714285714286,1.9285714285714288,2.4522285714285714,2.571428571428571,2.4035714285714285,2.4732142857142856,2.524285714285714,2.275,1.9449142857142856,1.6364285714285711,1.6364285714285711,2.422142857142857,1.6875,1.335714285714286,1.8728571428571428,3.735357142857143,1.5357142857142858,2.4732142857142856,1.5892857142857142,2.4522285714285714,1.6063428571428573,2.205357142857143,3.008657142857143
11-3013.01,Security Managers,2.31,1.6665142857142858,3.446742857142857,2.375,1.51,2.7142857142857144,1.0206285714285714,2.19,2.782857142857143,2.8363428571428573,2.729371428571429,2.912857142857143,2.782857142857143,2.3392857142857144,2.354914285714286,1.8057142857142856,1.9285714285714288,2.4732142857142856,1.9257142857142855,1.2142857142857144,2.354914285714286,3.2928571428571427,2.19,3.375,1.7200000000000002,2.765714285714286,1.7385714285714284,2.524285714285714,3.023214285714286
