O*NET-SOC Code,Title,Thinking Creatively Combined,Originality Combined,Fluency of Ideas Combined,Technology Design Combined,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment Combined"
11-1011.00,Chief Executives,3.110571428571429,2.6696428571428568,2.9008000000000003,1.0942857142857143,1.1107142857142858
11-1011.03,Chief Sustainability Officers,3.3072142857142857,2.645714285714285,2.6950857142857143,1.1408,1.3014285714285714
11-1021.00,General and Operations Managers,2.523571428571429,2.06,2.086428571428572,1.0442857142857145,1.2592
11-2011.00,Advertising and Promotions Managers,3.060928571428572,2.524285714285714,2.6185714285714288,1.0803571428571428,1.0216
11-2021.00,Marketing Managers,3.206971428571429,2.4971428571428573,2.6696428571428568,1.0942857142857143,1.0261
11-2022.00,Sales Managers,2.809971428571428,2.524285714285714,2.524285714285714,1.0357142857142856,1.0315857142857143
11-2033.00,Fundraising Managers,2.600714285714286,2.3857142857142857,2.4971428571428573,1.0942857142857143,1.0006285714285714
11-3012.00,Administrative Services Managers,2.4935714285714283,1.8914285714285717,1.9449142857142856,1.0535714285714286,1.2941714285714283
11-3013.00,Facilities Managers,3.1825571428571435,1.75,1.837942857142857,1.077942857142857,2.529457142857143
11-3013.01,Security Managers,2.9131428571428573,2.2928571428571427,2.645714285714285,1.0664285714285715,1.825
11-3021.00,Computer and Information Systems Managers,2.9165714285714284,2.125,2.275,1.4285714285714286,1.2674
11-3031.00,Financial Managers,2.0320428571428573,1.837942857142857,2.19,1.077942857142857,1.0212
11-3031.01,Treasurers and Controllers,2.7142285714285714,2.125,2.1635714285714283,1.0549142857142857,1.0073142857142856
11-3031.03,Investment Fund Managers,2.8837,2.19,2.2308,1.1734857142857142,1.0010285714285714
11-3051.00,Industrial Production Managers,2.648471428571429,2.1750857142857143,2.4285714285714284,1.0992,1.6816
11-3051.01,Quality Control Systems Managers,2.611757142857143,1.8914285714285717,2.205357142857143,1.2592,1.5112428571428569
11-3051.02,Geothermal Production Managers,2.7485,1.8728571428571428,1.9657142857142855,1.268571428571429,2.0590571428571427
11-3051.03,Biofuels Production Managers,2.7204,2.06,1.9842857142857144,1.1885714285714286,1.4846714285714286
11-3051.04,Biomass Power Plant Managers,2.677857142857143,1.837942857142857,1.9842857142857144,1.0664285714285715,1.8551142857142853
11-3051.06,Hydroelectric Production Managers,2.4805,1.9842857142857144,2.1492,1.1734857142857142,2.167
11-3061.00,Purchasing Managers,2.6521142857142856,2.3392857142857144,2.596342857142857,1.1734857142857142,1.4807714285714284
11-3071.00,"Transportation, Storage, and Distribution Managers",2.701171428571429,2.044642857142857,2.19,1.12,1.3134571428571429
11-3071.04,Supply Chain Managers,2.914,2.044642857142857,1.9842857142857144,1.2208,1.4994142857142858
