O*NET-SOC Code,Title,E-Mail,Processing Information Combined,Management of Material Resources Combined,"Estimating the Quantifiable Characteristics of Products, Events, or Information Combined","Inspecting Equipment, Structures, or Materials Combined",Systems Analysis Combined,Monitoring and Controlling Resources Combined,"Monitoring Processes, Materials, or Surroundings Combined",Programming Combined,Operations Analysis Combined,Management of Financial Resources Combined,"Judging the Qualities of Objects, Services, or People Combined",Working with Computers Combined,Evaluating Information to Determine Compliance with Standards Combined,"Identifying Objects, Actions, and Events Combined",Analyzing Data or Information Combined,Monitoring Combined,Quality Control Analysis Combined,Operations Monitoring Combined,Performing Administrative Activities Combined,Documenting/Recording Information Combined,Systems Evaluation Combined,Getting Information Combined
11-1011.00,Chief Executives,4.97,3.4615428571428573,3.0357142857142856,1.9944,1.481042857142857,3.282057142857143,3.110357142857143,3.418928571428572,1.1071428571428572,2.1750857142857143,3.4375,3.012485714285714,2.372157142857142,3.418071428571429,3.367128571428572,3.3370285714285712,3.25,1.1408,1.2142857142857144,3.006142857142857,2.4114285714285715,3.321428571428572,3.486914285714285
11-1011.03,Chief Sustainability Officers,5.0,3.021257142857143,1.467857142857143,2.5784285714285717,1.3758142857142857,2.645714285714285,2.978971428571428,2.441942857142857,1.1408,1.837942857142857,1.837942857142857,2.7832857142857144,2.449,2.666842857142857,2.8484285714285718,3.2126,2.571428571428571,1.1885714285714286,1.268571428571429,2.278142857142857,2.188628571428572,2.645714285714285,3.8998
11-1021.00,General and Operations Managers,4.86,2.8172,1.9842857142857144,1.9397857142857144,1.5346000000000002,1.9449142857142856,2.846742857142857,2.5921857142857143,1.0442857142857145,1.51,1.9657142857142855,2.718285714285714,3.051285714285714,2.2913,2.6376,2.8544,2.765714285714286,1.4179428571428572,1.3785714285714286,2.272,2.4154,1.9842857142857144,2.988485714285715
11-2011.00,Advertising and Promotions Managers,5.0,2.477314285714286,1.6063428571428573,1.6597428571428572,1.1188,1.9449142857142856,1.6688,1.7832,1.0803571428571428,1.78,1.905,2.239171428571429,3.031914285714286,1.3934285714285712,2.4411428571428573,2.3107999999999995,2.3660714285714284,1.0885714285714283,1.0549142857142857,2.100214285714286,2.0065,2.1357142857142857,3.214914285714286
11-2021.00,Marketing Managers,5.0,2.3216,1.6364285714285711,2.1248,1.0462857142857145,2.205357142857143,2.1990000000000003,2.173914285714286,1.157142857142857,2.2308,2.007142857142857,2.195157142857143,2.515428571428572,1.5911,3.1106285714285717,2.587142857142857,2.6696428571428568,1.1734857142857142,1.1339285714285714,1.6700714285714289,1.7228571428571429,2.3392857142857144,3.369057142857143
11-2022.00,Sales Managers,5.0,2.705928571428572,1.78,1.9018571428571431,1.0974285714285714,2.4522285714285714,2.272,2.071,1.0664285714285715,1.6063428571428573,2.0342857142857143,3.1870000000000003,2.7014,2.305257142857143,2.722128571428572,3.0270714285714284,2.9008000000000003,1.1071428571428572,1.1607142857142858,2.213214285714286,2.426028571428572,2.4522285714285714,3.1479000000000004
11-2033.00,Fundraising Managers,5.0,3.0391428571428567,1.5508,1.335714285714286,1.221228571428571,1.8328571428571427,1.5957,2.0112000000000005,1.1257142857142857,1.268571428571429,2.1635714285714283,1.7742857142857142,2.7404571428571427,2.508142857142857,1.9314142857142853,2.3508571428571425,2.1750857142857143,1.0135714285714286,1.1071428571428572,2.3912571428571425,2.494342857142857,1.9285714285714288,3.1996285714285717
11-3012.00,Administrative Services Managers,4.96,2.7174,1.7734857142857143,1.9657142857142855,1.86,1.9449142857142856,2.6738714285714287,2.7301571428571427,1.0336571428571428,1.625,1.7734857142857143,2.3733714285714287,2.6740000000000004,2.498242857142857,2.8083142857142858,2.335714285714286,2.2308,1.3785714285714286,1.4017857142857142,2.826657142857143,2.6646428571428573,1.78,3.601228571428572
11-3013.00,Facilities Managers,4.96,2.551085714285714,1.75,2.418214285714286,2.613942857142857,1.8914285714285717,2.8176,3.1692,1.0992,1.1734857142857142,1.6964285714285714,2.9585714285714286,2.5030857142857146,2.686628571428572,3.1839142857142857,2.6015999999999995,2.524285714285714,1.7734857142857143,1.6714285714285717,2.568914285714286,2.395457142857143,1.9285714285714288,3.3256
11-3013.01,Security Managers,5.0,2.9885714285714284,2.0028571428571427,2.250357142857143,2.492714285714285,2.0028571428571427,2.874942857142857,3.015357142857143,1.077942857142857,1.3571428571428572,2.354914285714286,2.837885714285714,3.1357142857142857,3.2750000000000004,3.1375,3.288071428571429,2.98,1.51,1.3125,2.376428571428572,3.050428571428571,2.105,3.488928571428572
11-3021.00,Computer and Information Systems Managers,5.0,3.1882,1.78,2.550057142857143,1.938,2.31,2.6512,3.1243857142857148,1.655,2.023657142857143,1.9657142857142855,2.957057142857143,4.3985714285714295,2.7835428571428573,3.4304857142857137,3.2935714285714286,2.8020571428571426,1.75,1.7734857142857143,2.247,2.385657142857143,2.4522285714285714,3.4940999999999995
11-3031.00,Financial Managers,4.98,3.265642857142857,1.4179428571428572,1.5003714285714285,1.2201428571428572,1.9285714285714288,1.7443428571428572,2.100214285714286,1.2036571428571428,1.12,2.096342857142857,2.682514285714286,2.67,3.024,2.282628571428571,2.8416428571428574,2.6185714285714288,1.1885714285714286,1.1734857142857142,2.3452,2.319914285714286,1.9285714285714288,3.284071428571429
