O*NET-SOC Code,Title,Consequence of Error,Freedom to Make Decisions,Frequency of Decision Making,Health and Safety of Other Workers,Impact of Decisions on Co-workers or Company Results,Work Outcomes and Results of Other Workers,"Determine Tasks, Priorities and Goals",Developing Objectives and Strategies Combined,Making Decisions and Solving Problems Combined,Judgment and Decision Making Combined
11-1011.00,Chief Executives,3.02,4.95,4.59,4.16,4.75,4.7,4.8,3.7846,4.3,3.8821428571428576
11-1011.03,Chief Sustainability Officers,2.15,4.37,3.67,2.63,3.96,3.85,4.44,3.78,3.898814285714285,2.645714285714285
11-1021.00,General and Operations Managers,2.52,4.81,4.92,4.54,4.53,4.33,4.7,2.436228571428571,3.3214857142857146,2.4522285714285714
11-2011.00,Advertising and Promotions Managers,2.19,4.04,4.31,2.52,4.03,3.8,4.23,2.3482857142857143,2.683942857142857,2.571428571428571
11-2021.00,Marketing Managers,2.76,4.42,4.1,2.21,4.15,4.04,4.63,2.828842857142857,3.2282571428571427,2.571428571428571
11-2022.00,Sales Managers,2.0,4.24,4.1,2.43,4.15,3.9,4.38,3.1589285714285715,3.8417714285714286,2.645714285714285
11-2033.00,Fundraising Managers,2.79,4.38,4.16,2.67,4.11,3.63,4.58,2.754642857142857,2.6668285714285718,2.524285714285714
11-3012.00,Administrative Services Managers,2.77,4.12,3.9,4.03,3.85,4.04,4.03,1.9352,3.1482,2.0028571428571427
11-3013.00,Facilities Managers,2.73,4.28,4.46,4.54,3.96,4.32,4.57,2.432628571428572,3.6175,2.2071428571428573
11-3013.01,Security Managers,3.26,4.25,3.72,4.1,4.15,3.89,4.0,3.1214285714285714,3.92,2.671428571428572
11-3021.00,Computer and Information Systems Managers,3.72,4.42,3.93,2.94,4.34,4.54,4.75,2.9776714285714285,3.5873714285714287,2.5428571428571427
11-3031.00,Financial Managers,2.99,4.12,4.26,3.04,4.52,4.53,4.43,2.548857142857143,3.2632,2.4522285714285714
11-3031.01,Treasurers and Controllers,3.33,4.36,3.88,2.16,4.2,4.12,4.36,3.4258428571428574,4.096428571428572,3.0592
11-3031.03,Investment Fund Managers,3.74,4.53,4.49,1.65,4.35,3.67,4.51,2.548857142857143,3.737157142857143,2.748571428571428
11-3051.00,Industrial Production Managers,3.02,4.39,4.44,4.54,4.27,4.48,4.54,2.277257142857142,3.2736,2.877142857142857
11-3051.01,Quality Control Systems Managers,2.76,4.23,4.4,4.13,4.43,4.13,4.49,2.435528571428572,3.324142857142857,2.765714285714286
11-3051.02,Geothermal Production Managers,4.11,4.63,4.24,4.83,4.39,4.73,4.74,2.3213714285714286,3.423942857142857,2.422142857142857
11-3051.03,Biofuels Production Managers,3.95,4.42,4.61,4.79,4.55,4.74,4.13,1.9919714285714285,3.4000000000000004,2.3857142857142857
11-3051.04,Biomass Power Plant Managers,3.56,4.54,4.25,4.94,4.32,4.74,4.41,2.577,3.3123142857142853,2.524285714285714
11-3051.06,Hydroelectric Production Managers,4.0,4.57,4.42,4.85,4.42,4.62,4.48,2.553828571428572,3.375142857142857,2.596342857142857
