O*NET-SOC Code,Title,Importance of Repeating Same Tasks,Pace Determined by Speed of Equipment,Degree of Automation,Spend Time Making Repetitive Motions,Importance of Being Exact or Accurate,Time Pressure,Level of Competition
11-1011.00,Chief Executives,3.37,1.35,2.23,2.55,4.47,4.16,3.57
11-1011.03,Chief Sustainability Officers,1.81,1.19,1.56,2.0,3.52,3.48,3.7
11-1021.00,General and Operations Managers,3.11,1.19,2.31,2.42,4.24,4.08,3.37
11-2011.00,Advertising and Promotions Managers,2.7,1.0,2.01,2.5,4.3,4.4,3.34
11-2021.00,Marketing Managers,2.78,1.02,2.1,2.73,3.81,4.21,3.95
11-2022.00,Sales Managers,2.16,1.1,2.26,1.52,3.38,3.9,4.35
11-2033.00,Fundraising Managers,3.0,1.0,1.69,2.67,4.37,3.97,4.02
11-3012.00,Administrative Services Managers,3.36,1.48,2.14,2.76,4.15,3.7,2.48
11-3013.00,Facilities Managers,3.82,1.54,2.02,2.44,4.09,3.9,2.62
11-3013.01,Security Managers,3.26,1.58,2.21,2.58,4.05,3.8,3.58
11-3021.00,Computer and Information Systems Managers,3.88,1.28,2.56,3.61,4.04,3.37,3.65
11-3031.00,Financial Managers,4.37,1.07,2.8,2.38,4.69,4.54,3.37
11-3031.01,Treasurers and Controllers,3.68,1.12,2.58,2.76,4.64,4.36,3.54
11-3031.03,Investment Fund Managers,2.67,1.13,2.46,2.38,4.24,4.01,4.54
11-3051.00,Industrial Production Managers,3.16,3.22,2.02,1.92,4.47,4.2,3.04
11-3051.01,Quality Control Systems Managers,3.55,1.5,2.25,1.94,4.33,4.32,3.84
11-3051.02,Geothermal Production Managers,3.53,2.73,2.49,2.34,4.27,4.19,3.47
11-3051.03,Biofuels Production Managers,3.53,3.58,3.41,2.07,4.27,3.97,3.05
11-3051.04,Biomass Power Plant Managers,3.92,3.74,2.67,2.29,4.31,4.13,2.67
11-3051.06,Hydroelectric Production Managers,3.58,2.35,2.5,2.53,4.09,3.93,3.15
11-3061.00,Purchasing Managers,3.5,1.42,2.79,2.58,4.26,4.16,3.39
11-3071.00,"Transportation, Storage, and Distribution Managers",3.25,1.65,2.53,2.66,4.08,4.38,3.37
11-3071.04,Supply Chain Managers,2.7,2.0,2.5,2.19,4.0,4.43,3.55
11-3111.00,Compensation and Benefits Managers,3.71,1.0,2.71,2.95,4.1,3.62,3.29
11-3121.00,Human Resources Managers,3.23,1.05,2.68,2.55,4.09,3.91,3.24
11-3131.00,Training and Development Managers,2.71,1.07,1.96,2.54,3.43,3.64,2.75
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",3.06,2.21,2.34,2.57,3.49,3.49,3.09
11-9021.00,Construction Managers,3.4,2.2,1.9,2.95,4.05,4.25,3.58
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",3.68,1.19,2.1,2.8,4.05,3.93,2.93
11-9032.00,"Education Administrators, Kindergarten through Secondary",1.89,1.02,1.04,1.89,3.47,3.46,2.31
11-9033.00,"Education Administrators, Postsecondary",2.35,1.01,1.88,2.61,4.13,3.95,2.88
11-9041.00,Architectural and Engineering Managers,3.48,1.14,2.04,2.25,3.99,3.79,3.38
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,2.86,1.89,2.08,2.33,4.13,3.49,3.61
11-9051.00,Food Service Managers,3.35,1.64,1.71,3.21,4.13,4.12,2.26
11-9071.00,Gambling Managers,3.72,1.5,2.43,3.01,4.48,3.91,3.13
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",2.6,1.78,1.65,1.68,3.46,3.44,2.67
11-9081.00,Lodging Managers,4.14,1.8,2.86,2.52,4.14,4.35,3.51
11-9111.00,Medical and Health Services Managers,3.79,1.29,2.86,3.37,4.36,3.93,3.43
11-9121.00,Natural Sciences Managers,2.95,1.22,1.5,2.44,4.44,3.28,3.76
11-9121.01,Clinical Research Coordinators,4.1,1.31,1.9,2.77,4.56,3.36,2.55
11-9121.02,Water Resource Specialists,2.1,1.29,2.05,1.76,3.95,3.5,3.26
11-9131.00,Postmasters and Mail Superintendents,3.73,2.59,2.62,2.41,4.17,4.92,3.39
11-9141.00,"Property, Real Estate, and Community Association Managers",2.9,1.15,2.2,1.84,3.9,3.95,3.65
11-9151.00,Social and Community Service Managers,3.43,1.18,2.23,2.05,4.2,3.91,2.21
11-9161.00,Emergency Management Directors,2.45,1.38,1.86,2.32,3.73,3.45,3.14
11-9171.00,Funeral Home Managers,3.68,1.37,2.15,2.69,4.56,4.39,3.09
11-9179.01,Fitness and Wellness Coordinators,2.85,1.12,1.96,2.48,3.0,3.15,3.23
11-9179.02,Spa Managers,3.36,1.01,2.06,2.96,4.01,3.52,2.75
11-9199.01,Regulatory Affairs Managers,3.22,1.0,2.0,2.87,4.35,3.65,3.3
11-9199.02,Compliance Managers,3.83,1.35,1.7,2.29,4.63,4.3,3.33
11-9199.08,Loss Prevention Managers,3.0,1.32,2.41,2.32,3.91,3.91,3.1
11-9199.09,Wind Energy Operations Managers,3.06,1.83,2.45,2.43,3.89,3.79,3.7
11-9199.10,Wind Energy Development Managers,2.27,1.14,1.55,2.11,3.59,3.5,3.24
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,2.5,1.29,1.64,2.0,3.73,3.64,3.32
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",2.86,1.0,1.66,2.05,4.43,4.65,3.96
13-1021.00,"Buyers and Purchasing Agents, Farm Products",4.2,1.23,2.95,2.21,4.39,3.81,3.64
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",4.13,1.06,1.81,3.57,4.02,4.03,3.4
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4.05,1.18,2.89,2.68,4.4,4.3,3.21
13-1031.00,"Claims Adjusters, Examiners, and Investigators",4.51,1.83,2.98,3.3,4.61,4.39,3.16
13-1032.00,"Insurance Appraisers, Auto Damage",3.79,1.28,3.25,3.54,4.41,4.55,3.31
13-1041.00,Compliance Officers,3.97,1.7,2.51,3.55,4.46,3.53,2.72
13-1041.01,Environmental Compliance Inspectors,3.3,1.2,1.6,1.85,4.0,3.65,2.3
13-1041.03,Equal Opportunity Representatives and Officers,3.0,1.35,2.34,2.83,4.32,3.51,2.21
13-1041.04,Government Property Inspectors and Investigators,3.31,1.59,2.18,2.14,4.44,3.92,3.18
13-1041.06,Coroners,3.35,1.05,1.55,2.6,4.3,4.45,3.1
13-1041.07,Regulatory Affairs Specialists,3.3,1.25,1.7,3.0,4.15,3.75,3.0
13-1041.08,Customs Brokers,4.3,2.1,3.45,2.75,4.85,4.8,3.95
13-1051.00,Cost Estimators,3.1,1.32,2.14,2.36,3.95,3.77,3.23
13-1071.00,Human Resources Specialists,3.87,1.0,2.97,3.5,4.34,3.76,2.97
13-1074.00,Farm Labor Contractors,4.49,2.51,2.2,1.88,4.26,4.45,3.8
13-1075.00,Labor Relations Specialists,2.25,1.15,1.9,1.76,3.67,3.71,3.1
13-1081.00,Logisticians,3.29,1.67,2.83,2.58,3.96,4.42,3.38
13-1081.01,Logistics Engineers,2.78,2.09,2.35,1.83,3.87,3.91,3.27
13-1081.02,Logistics Analysts,4.0,1.45,2.95,3.55,4.14,4.18,2.95
13-1111.00,Management Analysts,2.7,1.15,2.55,2.05,4.1,4.0,3.55
13-1121.00,"Meeting, Convention, and Event Planners",3.24,1.27,1.66,3.76,3.96,4.57,3.9
13-1131.00,Fundraisers,2.81,1.24,1.9,2.3,3.62,3.67,3.57
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",3.76,1.1,2.43,3.05,4.48,3.86,2.76
13-1151.00,Training and Development Specialists,2.52,1.09,1.96,2.23,3.0,3.7,2.7
13-1161.00,Market Research Analysts and Marketing Specialists,2.96,1.13,2.35,2.22,4.43,4.04,3.3
13-1161.01,Search Marketing Strategists,2.83,1.13,2.17,2.22,3.74,3.74,3.52
13-1199.04,Business Continuity Planners,2.45,1.23,2.43,2.09,3.65,3.26,2.73
13-1199.05,Sustainability Specialists,2.26,1.18,1.52,1.65,3.57,3.57,3.48
13-1199.06,Online Merchants,3.44,1.16,2.66,2.96,4.14,4.1,3.35
13-1199.07,Security Management Specialists,2.58,1.16,1.95,2.05,3.8,3.75,3.32
13-2011.00,Accountants and Auditors,3.85,1.08,3.05,2.58,4.71,4.19,3.41
13-2022.00,Appraisers of Personal and Business Property,3.39,1.22,1.73,2.22,4.43,3.87,3.39
13-2023.00,Appraisers and Assessors of Real Estate,3.22,1.09,2.39,2.21,4.62,4.54,3.26
13-2031.00,Budget Analysts,4.6,1.02,1.57,4.05,4.6,4.26,2.87
13-2041.00,Credit Analysts,4.1,1.05,2.4,3.05,4.5,4.2,3.15
13-2052.00,Personal Financial Advisors,3.08,1.08,2.44,1.92,4.62,3.69,3.52
13-2053.00,Insurance Underwriters,3.53,1.17,2.87,3.2,4.3,4.57,3.33
13-2061.00,Financial Examiners,2.7,1.22,2.3,2.09,4.0,3.61,3.09
13-2071.00,Credit Counselors,4.08,1.29,3.0,3.43,4.32,3.84,2.88
13-2072.00,Loan Officers,3.45,1.36,3.2,2.58,4.5,4.12,4.06
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",4.19,1.24,3.03,3.3,4.96,3.74,2.0
13-2082.00,Tax Preparers,4.24,1.0,2.81,3.21,4.9,4.05,3.4
13-2099.01,Financial Quantitative Analysts,2.74,1.39,2.79,2.6,4.2,3.75,4.42
13-2099.04,"Fraud Examiners, Investigators and Analysts",3.76,1.36,2.44,2.96,4.6,4.04,3.42
15-1211.00,Computer Systems Analysts,4.03,1.31,2.71,3.6,4.52,4.17,3.41
15-1211.01,Health Informatics Specialists,3.48,1.35,2.2,2.7,4.35,3.62,3.43
15-1212.00,Information Security Analysts,3.33,1.25,2.03,2.81,4.07,3.6,3.19
15-1221.00,Computer and Information Research Scientists,2.22,1.63,2.32,2.45,3.96,3.71,3.31
15-1231.00,Computer Network Support Specialists,3.71,1.75,2.28,3.33,4.45,3.9,2.96
15-1232.00,Computer User Support Specialists,3.5,1.32,2.06,4.05,4.04,3.65,2.75
15-1241.00,Computer Network Architects,3.25,1.7,2.45,2.75,4.1,3.6,3.45
15-1241.01,Telecommunications Engineering Specialists,2.86,1.33,2.24,1.9,4.1,4.05,3.48
15-1242.00,Database Administrators,3.39,1.2,2.63,3.89,4.34,2.99,2.77
15-1243.00,Database Architects,3.48,1.33,2.67,2.33,4.19,3.62,3.81
15-1243.01,Data Warehousing Specialists,3.39,1.0,2.39,3.09,4.43,3.3,3.0
15-1244.00,Network and Computer Systems Administrators,3.3,1.32,2.58,3.13,4.0,3.79,3.1
15-1251.00,Computer Programmers,3.15,1.13,2.29,3.28,4.22,4.04,3.55
15-1252.00,Software Developers,3.23,1.33,2.24,2.79,4.26,3.5,3.05
15-1253.00,Software Quality Assurance Analysts and Testers,3.66,1.61,2.88,3.26,4.44,3.88,3.55
15-1254.00,Web Developers,4.17,1.04,2.0,4.04,4.25,4.0,3.83
15-1255.01,Video Game Designers,3.4,1.1,1.79,4.05,3.16,4.05,4.35
15-1299.01,Web Administrators,3.55,1.35,2.7,3.2,4.05,3.75,3.35
15-1299.02,Geographic Information Systems Technologists and Technicians,3.98,1.58,2.9,3.73,4.68,3.46,3.1
15-1299.03,Document Management Specialists,3.37,1.89,3.0,2.2,4.05,3.7,3.05
