O*NET-SOC Code,Title,Conflict Situations,Contact With Others,Coordinate or Lead Others in Accomplishing Work Activities,Deal With External Customers or the Public in General,"Dealing With Unpleasant, Angry, or Discourteous People",Dealing with Violent or Physically Aggressive People,Face-to-Face Discussions with Individuals and Within Teams,Public Speaking,Telephone Conversations,Written Letters and Memos,Coordination Combined,Assisting and Caring for Others Combined,Developing and Building Teams Combined,Management of Personnel Resources Combined,"Guiding, Directing, and Motivating Subordinates Combined",Social Perceptiveness Combined,"Communicating with Supervisors, Peers, or Subordinates Combined",Speaking Combined,Selling or Influencing Others Combined,Establishing and Maintaining Interpersonal Relationships Combined,Oral Comprehension Combined,Interpreting the Meaning of Information for Others Combined,Oral Expression Combined,Instructing Combined,Providing Consultation and Advice to Others Combined,Resolving Conflicts and Negotiating with Others Combined,Performing for or Working Directly with the Public Combined,Staffing Organizational Units Combined,Coaching and Developing Others Combined,Training and Teaching Others Combined,Speech Clarity Combined,Speech Recognition Combined,Service Orientation Combined,Active Listening Combined,Coordinating the Work and Activities of Others Combined,Negotiation Combined,Persuasion Combined,Communicating with People Outside the Organization Combined,Work With or Contribute to a Work Group or Team
11-1011.00,Chief Executives,3.86,4.58,4.29,4.33,3.24,1.46,4.9,3.07,4.92,4.14,3.265714285714286,2.023,3.789914285714286,3.4375,4.243114285714286,2.894285714285714,4.117857142857143,3.205357142857143,2.9710142857142854,4.550285714285714,3.523657142857143,2.521,3.44,2.3192,3.2841428571428573,3.8454,2.822857142857143,2.906285714285714,4.1005,3.0468,3.205357142857143,2.928571428571429,2.023657142857143,3.0357142857142856,3.479999999999999,3.117142857142857,3.0357142857142856,3.774071428571428,4.36
11-1011.03,Chief Sustainability Officers,3.04,4.41,4.22,3.85,2.41,1.19,4.67,2.93,4.74,3.44,2.524285714285714,1.6636857142857144,3.1919857142857144,2.211428571428572,2.9579142857142857,2.596342857142857,4.227614285714285,2.765714285714286,3.252528571428572,4.302999999999999,2.98,3.4571428571428573,3.0357142857142856,2.086428571428572,3.2184285714285714,2.6382857142857143,2.6128,2.3753714285714285,3.000771428571429,2.585514285714286,2.607142857142857,2.662857142857143,2.044642857142857,2.7142857142857144,3.2104,1.9842857142857144,2.645714285714285,4.037542857142857,4.78
11-1021.00,General and Operations Managers,3.35,4.63,4.48,4.49,3.24,1.62,4.86,2.46,4.76,4.01,2.645714285714285,1.8743714285714288,2.557542857142857,2.571428571428571,3.1942857142857144,2.571428571428571,3.314142857142857,2.765714285714286,2.385828571428571,3.4646857142857144,2.765714285714286,2.1346285714285718,2.765714285714286,1.9285714285714288,2.6682,3.011885714285714,1.5126,2.6701428571428574,2.8831857142857142,2.3048428571428574,2.4893714285714283,2.31,2.0028571428571427,2.765714285714286,2.9734000000000003,2.2928571428571427,2.4035714285714285,2.6227714285714283,4.62
11-2011.00,Advertising and Promotions Managers,3.15,4.68,4.11,4.19,2.92,1.14,4.87,2.55,4.8,3.78,2.4714285714285715,1.3914285714285717,1.8708,2.1750857142857143,1.9221142857142857,2.7142857142857144,3.3910714285714287,2.765714285714286,2.7009142857142856,3.2446,2.877142857142857,1.8327142857142853,3.205357142857143,1.8057142857142856,1.4716,1.9022,2.1865428571428573,1.4257,1.7590857142857144,1.7034571428571432,2.662857142857143,2.645714285714285,1.9842857142857144,2.8363428571428573,2.1444142857142854,2.1357142857142857,2.3192,3.744142857142857,4.47
11-2021.00,Marketing Managers,3.18,4.61,4.32,4.25,2.74,1.16,4.76,3.35,4.92,3.52,2.3392857142857144,1.4546285714285714,2.8744,2.3192,2.716171428571428,2.645714285714285,3.828571428571429,2.6950857142857143,3.536585714285714,4.091199999999999,2.877142857142857,2.017457142857143,2.765714285714286,2.0,2.3516000000000004,2.891314285714286,1.7938142857142858,1.3892857142857142,2.2609142857142857,2.0210857142857144,2.524285714285714,2.4522285714285714,1.9842857142857144,2.6950857142857143,3.0493,2.4522285714285714,2.7207142857142856,3.56,4.67
11-2022.00,Sales Managers,3.52,4.86,4.1,4.71,3.35,1.24,4.65,2.71,5.0,3.95,2.571428571428571,1.9276428571428568,3.674285714285714,2.645714285714285,3.9631,2.645714285714285,3.9177142857142857,2.7142857142857144,4.490542857142858,4.0528,2.877142857142857,2.326,2.7142857142857144,2.524285714285714,3.867,3.628628571428571,2.5021714285714287,2.9448,3.835,3.468957142857143,2.571428571428571,2.6185714285714288,2.4522285714285714,2.7142857142857144,3.4365714285714293,2.7142857142857144,2.645714285714285,3.779142857142858,4.65
11-2033.00,Fundraising Managers,2.71,4.96,4.3,4.5,2.64,1.34,4.84,3.14,4.49,3.84,2.4732142857142856,1.4706142857142857,2.0812,1.9085714285714288,1.6870857142857143,2.765714285714286,3.4192,2.729371428571429,2.174514285714286,3.641228571428571,2.8363428571428573,1.9613571428571424,2.894285714285714,1.5508,1.7581428571428572,1.8926857142857143,2.131428571428572,1.3553571428571427,1.8585142857142856,2.008857142857143,2.596342857142857,2.4732142857142856,2.19,2.7142857142857144,2.112271428571429,2.2308,2.5,3.121,4.79
11-3012.00,Administrative Services Managers,3.2,4.5,3.9,4.12,3.08,1.75,4.9,2.28,4.78,3.55,2.422142857142857,2.1086285714285715,2.3666142857142853,2.275,2.976142857142857,2.205357142857143,3.5062857142857147,2.596342857142857,1.4789285714285714,3.365485714285714,2.7142857142857144,1.8917857142857144,2.7142857142857144,1.9285714285714288,2.2654000000000005,2.775428571428572,1.9093428571428568,2.2107142857142854,2.6481142857142856,2.2301714285714285,2.31,2.354914285714286,2.044642857142857,2.7142857142857144,2.9782,2.216428571428572,1.8914285714285717,2.5822857142857143,4.57
11-3013.00,Facilities Managers,3.32,4.72,4.31,4.13,3.15,1.81,4.81,2.63,4.72,3.26,2.4035714285714285,1.8646857142857145,2.6861428571428574,2.2928571428571427,2.816228571428572,2.354914285714286,3.4620571428571427,2.5428571428571427,1.6450285714285715,2.8827714285714285,2.524285714285714,2.4628,2.524285714285714,2.044642857142857,2.3702857142857146,3.0280857142857145,1.8595,2.2720571428571428,2.5254,2.4324285714285714,2.2928571428571427,2.354914285714286,1.822857142857143,2.4732142857142856,3.1614571428571425,2.0,2.023657142857143,3.0976000000000004,4.41
11-3013.01,Security Managers,3.53,4.5,3.84,3.6,3.53,2.74,4.61,2.55,4.89,3.84,2.6950857142857143,2.878857142857143,3.3800000000000003,2.4732142857142856,3.3616428571428574,2.607142857142857,3.8339285714285714,2.7142857142857144,2.6846428571428573,3.695714285714285,2.782857142857143,2.531428571428571,2.912857142857143,2.0608,3.2371428571428567,3.623214285714286,2.4228571428571426,3.1055714285714284,3.5848571428571425,3.192142857142857,2.4893714285714283,2.645714285714285,2.105,2.782857142857143,3.1567857142857143,2.0608,2.19,3.0439285714285718,4.39
