O*NET-SOC Code,Title,Active Learning Combined,Active Listening Combined,Assisting and Caring for Others Combined,Auditory Attention Combined,Category Flexibility Combined,Complex Problem Solving Combined,Controlling Machines and Processes Combined,Coordinating the Work and Activities of Others Combined,Coordination Combined,Critical Thinking Combined,Deductive Reasoning Combined,"Determine Tasks, Priorities and Goals",Developing Objectives and Strategies Combined,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment Combined",Dynamic Flexibility Combined,Equipment Maintenance Combined,Equipment Selection Combined,Establishing and Maintaining Interpersonal Relationships Combined,Explosive Strength Combined,Extent Flexibility Combined,Flexibility of Closure Combined,Fluency of Ideas Combined,Glare Sensitivity Combined,"Guiding, Directing, and Motivating Subordinates Combined","Identifying Objects, Actions, and Events Combined",In an Open Vehicle or Operating Equipment,"Indoors, Environmentally Controlled","Indoors, Not Environmentally Controlled",Inductive Reasoning Combined,"Inspecting Equipment, Structures, or Materials Combined",Installation Combined,"Judging the Qualities of Objects, Services, or People Combined",Judgment and Decision Making Combined,Learning Strategies Combined,Level of Competition,Making Decisions and Solving Problems Combined,Management of Financial Resources Combined,Management of Material Resources Combined,Management of Personnel Resources Combined,Mathematical Reasoning Combined,Mathematics Combined,Memorization Combined,Monitoring Combined,"Monitoring Processes, Materials, or Surroundings Combined",Monitoring and Controlling Resources Combined,Night Vision Combined,Number Facility Combined,"Operating Vehicles, Mechanized Devices, or Equipment Combined",Operation and Control Combined,Operations Analysis Combined,Operations Monitoring Combined,Oral Comprehension Combined,Oral Expression Combined,"Organizing, Planning, and Prioritizing Work Combined",Performing Administrative Activities Combined,Performing General Physical Activities Combined,Physical Proximity,Problem Sensitivity Combined,Providing Consultation and Advice to Others Combined,Quality Control Analysis Combined,Rate Control Combined,Reading Comprehension Combined,Repairing Combined,Repairing and Maintaining Electronic Equipment Combined,Repairing and Maintaining Mechanical Equipment Combined,Response Orientation Combined,Scheduling Work and Activities Combined,Science Combined,Selective Attention Combined,Selling or Influencing Others Combined,Sound Localization Combined,Speaking Combined,Speech Clarity Combined,Speech Recognition Combined,Speed of Closure Combined,Speed of Limb Movement Combined,Spend Time Keeping or Regaining Balance,Staffing Organizational Units Combined,Systems Analysis Combined,Systems Evaluation Combined,Telephone Conversations,Time Management Combined,Time Sharing Combined,Troubleshooting Combined,Updating and Using Relevant Knowledge Combined,Visual Color Discrimination Combined,Work Outcomes and Results of Other Workers,Wrist-Finger Speed Combined,Written Comprehension Combined,Written Expression Combined,Written Letters and Memos
11-1011.00,Chief Executives,2.7678571428571432,3.0357142857142856,2.023,1.32,2.4285714285714284,3.3563428571428573,1.2704,3.479999999999999,3.265714285714286,3.2935714285714286,3.117142857142857,4.8,3.7846,1.1107142857142858,1.0,1.0,1.0042857142857142,4.550285714285714,1.0,1.0,2.1635714285714283,2.9008000000000003,1.0089285714285714,4.243114285714286,3.367128571428572,1.26,4.82,2.19,3.091428571428572,1.481042857142857,1.0,3.012485714285714,3.8821428571428576,2.1357142857142857,3.57,4.3,3.4375,3.0357142857142856,3.4375,2.205357142857143,2.125,1.837942857142857,3.25,3.418928571428572,3.110357142857143,1.0089285714285714,2.1357142857142857,1.4485142857142856,1.1734857142857142,2.1750857142857143,1.2142857142857144,3.523657142857143,3.44,3.869385714285715,3.006142857142857,1.2605714285714285,2.67,3.091428571428572,3.2841428571428573,1.1408,1.0206285714285714,3.0592,1.0,1.0315,1.0081,1.0206285714285714,2.7829,1.0664285714285715,1.8914285714285717,2.9710142857142854,1.0206285714285714,3.205357142857143,3.205357142857143,2.928571428571429,1.8914285714285717,1.0,1.43,2.906285714285714,3.282057142857143,3.321428571428572,4.92,3.0357142857142856,1.7734857142857143,1.0357142857142856,3.406842857142857,1.2857142857142856,4.7,1.0271428571428571,3.265714285714286,3.117142857142857,4.14
11-1011.03,Chief Sustainability Officers,2.524285714285714,2.7142857142857144,1.6636857142857144,1.25,2.06,2.765714285714286,1.08,3.2104,2.524285714285714,2.8363428571428573,2.954285714285714,4.44,3.78,1.3014285714285714,1.0,1.0,1.0042857142857142,4.302999999999999,1.0,1.0,1.8057142857142856,2.6950857142857143,1.0,2.9579142857142857,2.8484285714285718,1.26,4.74,2.15,2.6950857142857143,1.3758142857142857,1.0,2.7832857142857144,2.645714285714285,2.275,3.7,3.898814285714285,1.837942857142857,1.467857142857143,2.211428571428572,1.75,1.837942857142857,1.542142857142857,2.571428571428571,2.441942857142857,2.978971428571428,1.0,1.8057142857142856,1.111,1.1428571428571428,1.837942857142857,1.268571428571429,2.98,3.0357142857142856,3.922271428571429,2.278142857142857,1.193242857142857,2.78,2.6950857142857143,3.2184285714285714,1.1885714285714286,1.0,2.821428571428571,1.0,1.0637714285714286,1.0456857142857143,1.0,2.852271428571429,1.3008,1.9085714285714288,3.252528571428572,1.0,2.765714285714286,2.607142857142857,2.662857142857143,1.5165142857142857,1.0,1.22,2.3753714285714285,2.645714285714285,2.645714285714285,4.74,2.3192,1.5508,1.0,3.635285714285714,1.32,3.85,1.0020571428571428,2.821428571428571,2.9522285714285714,3.44
11-1021.00,General and Operations Managers,2.4035714285714285,2.765714285714286,1.8743714285714288,1.32,2.105,2.4522285714285714,1.2873714285714286,2.9734000000000003,2.645714285714285,2.596342857142857,2.6950857142857143,4.7,2.436228571428571,1.2592,1.0,1.0,1.0,3.4646857142857144,1.0206285714285714,1.0089285714285714,1.5785714285714287,2.086428571428572,1.0,3.1942857142857144,2.6376,1.93,4.39,2.12,2.25,1.5346000000000002,1.0,2.718285714285714,2.4522285714285714,1.8914285714285717,3.37,3.3214857142857146,1.9657142857142855,1.9842857142857144,2.571428571428571,1.837942857142857,1.6364285714285711,1.4017857142857142,2.765714285714286,2.5921857142857143,2.846742857142857,1.0020571428571428,1.8057142857142856,1.2198571428571428,1.22,1.51,1.3785714285714286,2.765714285714286,2.765714285714286,3.1028571428571428,2.272,1.3377571428571429,3.2,2.6950857142857143,2.6682,1.4179428571428572,1.0,2.7142857142857144,1.0,1.2377571428571428,1.2264714285714289,1.0,2.5736,1.0442857142857145,1.7734857142857143,2.385828571428571,1.0089285714285714,2.765714285714286,2.4893714285714283,2.31,1.4435714285714285,1.0,1.17,2.6701428571428574,1.9449142857142856,1.9842857142857144,4.76,2.4522285714285714,1.7200000000000002,1.1071428571428572,2.668,1.22,4.33,1.0942857142857143,2.7142857142857144,2.7142857142857144,4.01
11-2011.00,Advertising and Promotions Managers,2.3242857142857147,2.8363428571428573,1.3914285714285717,1.1339285714285714,2.3192,2.3857142857142857,1.1687857142857143,2.1444142857142854,2.4714285714285715,2.765714285714286,2.8514285714285714,4.23,2.3482857142857143,1.0216,1.0,1.0,1.0020571428571428,3.2446,1.0,1.0,1.9449142857142856,2.6185714285714288,1.0,1.9221142857142857,2.4411428571428573,1.13,4.62,1.68,2.3857142857142857,1.1188,1.0,2.239171428571429,2.571428571428571,1.9285714285714288,3.34,2.683942857142857,1.905,1.6063428571428573,2.1750857142857143,1.8914285714285717,1.9285714285714288,1.51,2.3660714285714284,1.7832,1.6688,1.0,1.837942857142857,1.1241714285714286,1.0,1.78,1.0549142857142857,2.877142857142857,3.205357142857143,3.5178857142857143,2.100214285714286,1.2005714285714286,2.82,2.4971428571428573,1.4716,1.0885714285714283,1.0,2.571428571428571,1.0,1.0233142857142856,1.0198,1.0,2.3572,1.0549142857142857,1.7385714285714284,2.7009142857142856,1.0,2.765714285714286,2.662857142857143,2.645714285714285,1.6364285714285711,1.0,1.27,1.4257,1.9449142857142856,2.1357142857142857,4.8,2.3857142857142857,1.5300000000000002,1.0,2.7831714285714284,1.7385714285714284,3.8,1.0803571428571428,2.7142857142857144,2.645714285714285,3.78
11-2021.00,Marketing Managers,2.6950857142857143,2.6950857142857143,1.4546285714285714,1.2036571428571428,2.1635714285714283,2.4522285714285714,1.010571428571429,3.0493,2.3392857142857144,2.748571428571428,2.8020571428571426,4.63,2.828842857142857,1.0261,1.0,1.0,1.0,4.091199999999999,1.0,1.0,1.8571428571428568,2.6696428571428568,1.0,2.716171428571428,3.1106285714285717,1.08,4.53,1.86,2.524285714285714,1.0462857142857145,1.0,2.195157142857143,2.571428571428571,2.06,3.95,3.2282571428571427,2.007142857142857,1.6364285714285711,2.3192,2.096342857142857,1.78,1.6942857142857144,2.6696428571428568,2.173914285714286,2.1990000000000003,1.0,2.06,1.1047428571428572,1.0,2.2308,1.1339285714285714,2.877142857142857,2.765714285714286,3.8044285714285713,1.6700714285714289,1.1075142857142857,2.89,2.4522285714285714,2.3516000000000004,1.1734857142857142,1.0,2.748571428571428,1.0,1.0066428571428572,1.0056,1.0,2.3577142857142857,1.1607142857142858,1.7734857142857143,3.536585714285714,1.0,2.6950857142857143,2.524285714285714,2.4522285714285714,1.75,1.0,1.19,1.3892857142857142,2.205357142857143,2.3392857142857144,4.92,2.3392857142857144,1.655,1.0,2.8273714285714284,1.7734857142857143,4.04,1.0664285714285715,2.765714285714286,2.6950857142857143,3.52
11-2022.00,Sales Managers,2.524285714285714,2.7142857142857144,1.9276428571428568,1.2036571428571428,2.1635714285714283,2.524285714285714,1.058971428571429,3.4365714285714293,2.571428571428571,2.645714285714285,2.645714285714285,4.38,3.1589285714285715,1.0315857142857143,1.0,1.0,1.0,4.0528,1.0,1.0,1.7734857142857143,2.524285714285714,1.0,3.9631,2.722128571428572,1.05,4.45,1.71,2.645714285714285,1.0974285714285714,1.0,3.1870000000000003,2.645714285714285,2.096342857142857,4.35,3.8417714285714286,2.0342857142857143,1.78,2.645714285714285,2.007142857142857,1.8914285714285717,1.8057142857142856,2.9008000000000003,2.071,2.272,1.0,1.9722285714285717,1.134628571428571,1.0803571428571428,1.6063428571428573,1.1607142857142858,2.877142857142857,2.7142857142857144,3.404714285714286,2.213214285714286,1.0325,3.3,2.596342857142857,3.867,1.1071428571428572,1.0,2.645714285714285,1.0,1.0058,1.0007142857142857,1.0,2.466742857142857,1.0549142857142857,1.6875,4.490542857142858,1.0,2.7142857142857144,2.571428571428571,2.6185714285714288,1.8057142857142856,1.0,1.05,2.9448,2.4522285714285714,2.4522285714285714,5.0,2.571428571428571,1.4906285714285716,1.0,2.984928571428571,1.231428571428571,3.9,1.0549142857142857,2.7142857142857144,2.7142857142857144,3.95
11-2033.00,Fundraising Managers,2.2308,2.7142857142857144,1.4706142857142857,1.3571428571428572,1.8914285714285717,2.4035714285714285,1.0525,2.112271428571429,2.4732142857142856,2.729371428571429,2.6950857142857143,4.58,2.754642857142857,1.0006285714285714,1.0,1.0,1.0,3.641228571428571,1.0,1.0,1.4821428571428572,2.4971428571428573,1.0,1.6870857142857143,1.9314142857142853,1.11,4.84,1.43,2.105,1.221228571428571,1.0,1.7742857142857142,2.524285714285714,1.6364285714285711,4.02,2.6668285714285718,2.1635714285714283,1.5508,1.9085714285714288,1.8728571428571428,1.7857142857142856,1.6063428571428573,2.1750857142857143,2.0112000000000005,1.5957,1.0,1.8914285714285717,1.1177,1.0042857142857142,1.268571428571429,1.1071428571428572,2.8363428571428573,2.894285714285714,3.4823142857142866,2.3912571428571425,1.372,2.63,2.2308,1.7581428571428572,1.0135714285714286,1.0,2.596342857142857,1.0,1.0115142857142858,1.0003857142857142,1.0,2.0659,1.0089285714285714,1.68,2.174514285714286,1.0135714285714286,2.729371428571429,2.596342857142857,2.4732142857142856,1.4821428571428572,1.0,1.04,1.3553571428571427,1.8328571428571427,1.9285714285714288,4.49,2.2071428571428573,1.6391999999999998,1.0,3.2824,1.32,3.63,1.2000000000000002,2.6950857142857143,2.8020571428571426,3.84
11-3012.00,Administrative Services Managers,2.023657142857143,2.7142857142857144,2.1086285714285715,1.4017857142857142,1.9449142857142856,2.0028571428571427,1.7625142857142857,2.9782,2.422142857142857,2.524285714285714,2.4522285714285714,4.03,1.9352,1.2941714285714283,1.0,1.0,1.0042857142857142,3.365485714285714,1.0535714285714286,1.0535714285714286,1.6391999999999998,1.9449142857142856,1.0442857142857145,2.976142857142857,2.8083142857142858,1.51,4.26,1.9,2.2071428571428573,1.86,1.0,2.3733714285714287,2.0028571428571427,1.9285714285714288,2.48,3.1482,1.7734857142857143,1.7734857142857143,2.275,1.5785714285714287,1.3785714285714286,1.6063428571428573,2.2308,2.7301571428571427,2.6738714285714287,1.0442857142857145,1.6875,1.4323428571428571,1.0885714285714283,1.625,1.4017857142857142,2.7142857142857144,2.7142857142857144,3.639357142857142,2.826657142857143,2.0943,2.8,2.3392857142857144,2.2654000000000005,1.3785714285714286,1.077942857142857,2.7142857142857144,1.0,1.483,1.5342714285714285,1.0442857142857145,3.3195857142857146,1.0,1.9085714285714288,1.4789285714285714,1.0535714285714286,2.596342857142857,2.31,2.354914285714286,1.4192,1.0,1.31,2.2107142857142854,1.9449142857142856,1.78,4.78,2.7142857142857144,1.872228571428572,1.157142857142857,3.0459,1.2857142857142856,4.04,1.0135714285714286,2.7142857142857144,2.645714285714285,3.55
11-3013.00,Facilities Managers,1.9449142857142856,2.4732142857142856,1.8646857142857145,1.4928571428571429,1.9842857142857144,2.1492,2.4322285714285714,3.1614571428571425,2.4035714285714285,2.4732142857142856,2.4522285714285714,4.57,2.432628571428572,2.529457142857143,1.0089285714285714,1.4435714285714285,1.335714285714286,2.8827714285714285,1.157142857142857,1.4017857142857142,1.8728571428571428,1.837942857142857,1.1339285714285714,2.816228571428572,3.1839142857142857,1.8,4.49,2.85,2.4035714285714285,2.613942857142857,1.0020571428571428,2.9585714285714286,2.2071428571428573,1.9285714285714288,2.62,3.6175,1.6964285714285714,1.75,2.2928571428571427,1.655,1.6875,1.5892857142857142,2.524285714285714,3.1692,2.8176,1.1339285714285714,1.6063428571428573,1.953457142857143,1.4017857142857142,1.1734857142857142,1.6714285714285717,2.524285714285714,2.524285714285714,3.735357142857143,2.568914285714286,2.375,3.55,2.4732142857142856,2.3702857142857146,1.7734857142857143,1.1885714285714286,2.524285714285714,1.335714285714286,1.9234285714285717,2.165,1.3214285714285714,3.008657142857143,1.0535714285714286,1.7385714285714284,1.6450285714285715,1.12,2.5428571428571427,2.2928571428571427,2.354914285714286,1.5357142857142858,1.0042857142857142,1.66,2.2720571428571428,1.8914285714285717,1.9285714285714288,4.72,2.275,1.6364285714285711,1.5207142857142857,3.1011999999999995,1.4691999999999998,4.32,1.3392000000000002,2.571428571428571,2.4522285714285714,3.26
11-3013.01,Security Managers,2.354914285714286,2.782857142857143,2.878857142857143,1.7200000000000002,2.31,2.7142857142857144,1.5599999999999998,3.1567857142857143,2.6950857142857143,2.912857142857143,2.782857142857143,4.0,3.1214285714285714,1.825,1.0,1.0942857142857143,1.2142857142857144,3.695714285714285,1.2036571428571428,1.3392000000000002,2.354914285714286,2.645714285714285,1.2036571428571428,3.3616428571428574,3.1375,1.95,4.68,2.75,2.729371428571429,2.492714285714285,1.0,2.837885714285714,2.671428571428572,2.19,3.58,3.92,2.354914285714286,2.0028571428571427,2.4732142857142856,1.6665142857142858,1.51,1.7200000000000002,2.98,3.015357142857143,2.874942857142857,1.3571428571428572,1.7385714285714284,1.4821428571428572,1.302857142857143,1.3571428571428572,1.3125,2.782857142857143,2.912857142857143,3.2928571428571427,2.376428571428572,2.145428571428571,3.37,3.375,3.2371428571428567,1.51,1.0942857142857143,2.782857142857143,1.1071428571428572,1.5792142857142857,1.4375,1.3392000000000002,3.023214285714286,1.0206285714285714,2.375,2.6846428571428573,1.335714285714286,2.7142857142857144,2.4893714285714283,2.645714285714285,2.19,1.1785714285714286,1.67,3.1055714285714284,2.0028571428571427,2.105,4.89,2.3392857142857144,1.9285714285714288,1.2142857142857144,3.446742857142857,1.655,3.89,1.2208,2.8363428571428573,2.765714285714286,3.84
11-3021.00,Computer and Information Systems Managers,2.3192,2.7142857142857144,1.4613142857142858,1.25,2.0028571428571427,2.524285714285714,1.2156,3.137714285714286,2.524285714285714,2.782857142857143,2.7142857142857144,4.75,2.9776714285714285,1.2674,1.0,1.0336571428571428,1.2514285714285711,3.096285714285714,1.0,1.0,1.8571428571428568,2.275,1.0042857142857142,3.132828571428571,3.4304857142857137,1.09,3.8,1.66,2.7142857142857144,1.938,1.0,2.957057142857143,2.5428571428571427,2.125,3.65,3.5873714285714287,1.9657142857142855,1.78,2.4035714285714285,1.8571428571428568,1.9449142857142856,1.6063428571428573,2.8020571428571426,3.1243857142857148,2.6512,1.0,1.9449142857142856,1.0954,1.231428571428571,2.023657142857143,1.7734857142857143,2.928571428571429,2.877142857142857,3.837142857142857,2.247,1.2727,2.63,2.7142857142857144,2.8480000000000008,1.75,1.0089285714285714,2.7142857142857144,1.0535714285714286,1.251742857142857,1.0678857142857143,1.0089285714285714,2.760228571428572,1.147857142857143,1.7734857142857143,2.112271428571429,1.0,2.596342857142857,2.216428571428572,2.19,1.6875,1.0,1.11,2.643828571428571,2.31,2.4522285714285714,4.48,2.275,1.4906285714285716,1.5357142857142858,3.2087857142857144,1.4691999999999998,4.54,1.197142857142857,2.877142857142857,2.6185714285714288,3.01
