O*NET-SOC Code,Title,"Determine Tasks, Priorities and Goals",Frequency of Decision Making,In an Open Vehicle or Operating Equipment,"Indoors, Environmentally Controlled","Indoors, Not Environmentally Controlled",Level of Competition,Physical Proximity,Telephone Conversations,Work Outcomes and Results of Other Workers,Written Letters and Memos,Analyzing Data or Information Combined,Inductive Reasoning Combined,Staffing Organizational Units Combined,Repairing Combined,Systems Analysis Combined,Deductive Reasoning Combined,Repairing and Maintaining Mechanical Equipment Combined,Performing General Physical Activities Combined,Operations Monitoring Combined,"Guiding, Directing, and Motivating Subordinates Combined",Extent Flexibility Combined,Quality Control Analysis Combined,Selling or Influencing Others Combined,Rate Control Combined,Mathematics Combined,Wrist-Finger Speed Combined,Science Combined,Problem Sensitivity Combined,Establishing and Maintaining Interpersonal Relationships Combined,Complex Problem Solving Combined,Equipment Selection Combined,Assisting and Caring for Others Combined,Glare Sensitivity Combined,Learning Strategies Combined,Sound Localization Combined,Speed of Closure Combined,Repairing and Maintaining Electronic Equipment Combined,Developing Objectives and Strategies Combined,Fluency of Ideas Combined,Speaking Combined,Visual Color Discrimination Combined,Written Expression Combined,Operations Analysis Combined,Making Decisions and Solving Problems Combined,Mathematical Reasoning Combined,Providing Consultation and Advice to Others Combined,Response Orientation Combined,"Monitoring Processes, Materials, or Surroundings Combined",Controlling Machines and Processes Combined,Flexibility of Closure Combined,Night Vision Combined,Installation Combined,Number Facility Combined,"Operating Vehicles, Mechanized Devices, or Equipment Combined",Speed of Limb Movement Combined,Judgment and Decision Making Combined,Coordinating the Work and Activities of Others Combined,Memorization Combined,Time Management Combined,Management of Personnel Resources Combined,Selective Attention Combined,Auditory Attention Combined,Dynamic Flexibility Combined,Management of Material Resources Combined,Time Sharing Combined,Category Flexibility Combined,Thinking Creatively Combined,Interpreting the Meaning of Information for Others Combined,Updating and Using Relevant Knowledge Combined,Oral Comprehension Combined,Troubleshooting Combined,Reading Comprehension Combined,Active Learning Combined,Monitoring Combined,"Identifying Objects, Actions, and Events Combined","Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment Combined",Critical Thinking Combined,Equipment Maintenance Combined,Speech Recognition Combined,Systems Evaluation Combined,Speech Clarity Combined,Management of Financial Resources Combined,Active Listening Combined,Scheduling Work and Activities Combined,Written Comprehension Combined,Operation and Control Combined,Performing Administrative Activities Combined,"Judging the Qualities of Objects, Services, or People Combined","Organizing, Planning, and Prioritizing Work Combined",Oral Expression Combined,Monitoring and Controlling Resources Combined
11-1011.00,Chief Executives,4.8,4.59,1.26,4.82,2.19,3.57,2.67,4.92,4.7,4.14,3.3370285714285712,3.091428571428572,2.906285714285714,1.0,3.282057142857143,3.117142857142857,1.0081,1.2605714285714285,1.2142857142857144,4.243114285714286,1.0,1.1408,2.9710142857142854,1.0206285714285714,2.125,1.0271428571428571,1.0664285714285715,3.091428571428572,4.550285714285714,3.3563428571428573,1.0042857142857142,2.023,1.0089285714285714,2.1357142857142857,1.0206285714285714,1.8914285714285717,1.0315,3.7846,2.9008000000000003,3.205357142857143,1.2857142857142856,3.117142857142857,2.1750857142857143,4.3,2.205357142857143,3.2841428571428573,1.0206285714285714,3.418928571428572,1.2704,2.1635714285714283,1.0089285714285714,1.0,2.1357142857142857,1.4485142857142856,1.0,3.8821428571428576,3.479999999999999,1.837942857142857,3.0357142857142856,3.4375,1.8914285714285717,1.32,1.0,3.0357142857142856,1.7734857142857143,2.4285714285714284,3.110571428571429,2.521,3.406842857142857,3.523657142857143,1.0357142857142856,3.0592,2.7678571428571432,3.25,3.367128571428572,1.1107142857142858,3.2935714285714286,1.0,2.928571428571429,3.321428571428572,3.205357142857143,3.4375,3.0357142857142856,2.7829,3.265714285714286,1.1734857142857142,3.006142857142857,3.012485714285714,3.869385714285715,3.44,3.110357142857143
11-1011.03,Chief Sustainability Officers,4.44,3.67,1.26,4.74,2.15,3.7,2.78,4.74,3.85,3.44,3.2126,2.6950857142857143,2.3753714285714285,1.0,2.645714285714285,2.954285714285714,1.0456857142857143,1.193242857142857,1.268571428571429,2.9579142857142857,1.0,1.1885714285714286,3.252528571428572,1.0,1.837942857142857,1.0020571428571428,1.3008,2.6950857142857143,4.302999999999999,2.765714285714286,1.0042857142857142,1.6636857142857144,1.0,2.275,1.0,1.5165142857142857,1.0637714285714286,3.78,2.6950857142857143,2.765714285714286,1.32,2.9522285714285714,1.837942857142857,3.898814285714285,1.75,3.2184285714285714,1.0,2.441942857142857,1.08,1.8057142857142856,1.0,1.0,1.8057142857142856,1.111,1.0,2.645714285714285,3.2104,1.542142857142857,2.3192,2.211428571428572,1.9085714285714288,1.25,1.0,1.467857142857143,1.5508,2.06,3.3072142857142857,3.4571428571428573,3.635285714285714,2.98,1.0,2.821428571428571,2.524285714285714,2.571428571428571,2.8484285714285718,1.3014285714285714,2.8363428571428573,1.0,2.662857142857143,2.645714285714285,2.607142857142857,1.837942857142857,2.7142857142857144,2.852271428571429,2.821428571428571,1.1428571428571428,2.278142857142857,2.7832857142857144,3.922271428571429,3.0357142857142856,2.978971428571428
11-1021.00,General and Operations Managers,4.7,4.92,1.93,4.39,2.12,3.37,3.2,4.76,4.33,4.01,2.8544,2.25,2.6701428571428574,1.0,1.9449142857142856,2.6950857142857143,1.2264714285714289,1.3377571428571429,1.3785714285714286,3.1942857142857144,1.0089285714285714,1.4179428571428572,2.385828571428571,1.0,1.6364285714285711,1.0942857142857143,1.0442857142857145,2.6950857142857143,3.4646857142857144,2.4522285714285714,1.0,1.8743714285714288,1.0,1.8914285714285717,1.0089285714285714,1.4435714285714285,1.2377571428571428,2.436228571428571,2.086428571428572,2.765714285714286,1.22,2.7142857142857144,1.51,3.3214857142857146,1.837942857142857,2.6682,1.0,2.5921857142857143,1.2873714285714286,1.5785714285714287,1.0020571428571428,1.0,1.8057142857142856,1.2198571428571428,1.0,2.4522285714285714,2.9734000000000003,1.4017857142857142,2.4522285714285714,2.571428571428571,1.7734857142857143,1.32,1.0,1.9842857142857144,1.7200000000000002,2.105,2.523571428571429,2.1346285714285718,2.668,2.765714285714286,1.1071428571428572,2.7142857142857144,2.4035714285714285,2.765714285714286,2.6376,1.2592,2.596342857142857,1.0,2.31,1.9842857142857144,2.4893714285714283,1.9657142857142855,2.765714285714286,2.5736,2.7142857142857144,1.22,2.272,2.718285714285714,3.1028571428571428,2.765714285714286,2.846742857142857
11-2011.00,Advertising and Promotions Managers,4.23,4.31,1.13,4.62,1.68,3.34,2.82,4.8,3.8,3.78,2.3107999999999995,2.3857142857142857,1.4257,1.0,1.9449142857142856,2.8514285714285714,1.0198,1.2005714285714286,1.0549142857142857,1.9221142857142857,1.0,1.0885714285714283,2.7009142857142856,1.0,1.9285714285714288,1.0803571428571428,1.0549142857142857,2.4971428571428573,3.2446,2.3857142857142857,1.0020571428571428,1.3914285714285717,1.0,1.9285714285714288,1.0,1.6364285714285711,1.0233142857142856,2.3482857142857143,2.6185714285714288,2.765714285714286,1.7385714285714284,2.645714285714285,1.78,2.683942857142857,1.8914285714285717,1.4716,1.0,1.7832,1.1687857142857143,1.9449142857142856,1.0,1.0,1.837942857142857,1.1241714285714286,1.0,2.571428571428571,2.1444142857142854,1.51,2.3857142857142857,2.1750857142857143,1.7385714285714284,1.1339285714285714,1.0,1.6063428571428573,1.5300000000000002,2.3192,3.060928571428572,1.8327142857142853,2.7831714285714284,2.877142857142857,1.0,2.571428571428571,2.3242857142857147,2.3660714285714284,2.4411428571428573,1.0216,2.765714285714286,1.0,2.645714285714285,2.1357142857142857,2.662857142857143,1.905,2.8363428571428573,2.3572,2.7142857142857144,1.0,2.100214285714286,2.239171428571429,3.5178857142857143,3.205357142857143,1.6688
11-2021.00,Marketing Managers,4.63,4.1,1.08,4.53,1.86,3.95,2.89,4.92,4.04,3.52,2.587142857142857,2.524285714285714,1.3892857142857142,1.0,2.205357142857143,2.8020571428571426,1.0056,1.1075142857142857,1.1339285714285714,2.716171428571428,1.0,1.1734857142857142,3.536585714285714,1.0,1.78,1.0664285714285715,1.1607142857142858,2.4522285714285714,4.091199999999999,2.4522285714285714,1.0,1.4546285714285714,1.0,2.06,1.0,1.75,1.0066428571428572,2.828842857142857,2.6696428571428568,2.6950857142857143,1.7734857142857143,2.6950857142857143,2.2308,3.2282571428571427,2.096342857142857,2.3516000000000004,1.0,2.173914285714286,1.010571428571429,1.8571428571428568,1.0,1.0,2.06,1.1047428571428572,1.0,2.571428571428571,3.0493,1.6942857142857144,2.3392857142857144,2.3192,1.7734857142857143,1.2036571428571428,1.0,1.6364285714285711,1.655,2.1635714285714283,3.206971428571429,2.017457142857143,2.8273714285714284,2.877142857142857,1.0,2.748571428571428,2.6950857142857143,2.6696428571428568,3.1106285714285717,1.0261,2.748571428571428,1.0,2.4522285714285714,2.3392857142857144,2.524285714285714,2.007142857142857,2.6950857142857143,2.3577142857142857,2.765714285714286,1.0,1.6700714285714289,2.195157142857143,3.8044285714285713,2.765714285714286,2.1990000000000003
11-2022.00,Sales Managers,4.38,4.1,1.05,4.45,1.71,4.35,3.3,5.0,3.9,3.95,3.0270714285714284,2.645714285714285,2.9448,1.0,2.4522285714285714,2.645714285714285,1.0007142857142857,1.0325,1.1607142857142858,3.9631,1.0,1.1071428571428572,4.490542857142858,1.0,1.8914285714285717,1.0549142857142857,1.0549142857142857,2.596342857142857,4.0528,2.524285714285714,1.0,1.9276428571428568,1.0,2.096342857142857,1.0,1.8057142857142856,1.0058,3.1589285714285715,2.524285714285714,2.7142857142857144,1.231428571428571,2.7142857142857144,1.6063428571428573,3.8417714285714286,2.007142857142857,3.867,1.0,2.071,1.058971428571429,1.7734857142857143,1.0,1.0,1.9722285714285717,1.134628571428571,1.0,2.645714285714285,3.4365714285714293,1.8057142857142856,2.571428571428571,2.645714285714285,1.6875,1.2036571428571428,1.0,1.78,1.4906285714285716,2.1635714285714283,2.809971428571428,2.326,2.984928571428571,2.877142857142857,1.0,2.645714285714285,2.524285714285714,2.9008000000000003,2.722128571428572,1.0315857142857143,2.645714285714285,1.0,2.6185714285714288,2.4522285714285714,2.571428571428571,2.0342857142857143,2.7142857142857144,2.466742857142857,2.7142857142857144,1.0803571428571428,2.213214285714286,3.1870000000000003,3.404714285714286,2.7142857142857144,2.272
11-2033.00,Fundraising Managers,4.58,4.16,1.11,4.84,1.43,4.02,2.63,4.49,3.63,3.84,2.3508571428571425,2.105,1.3553571428571427,1.0,1.8328571428571427,2.6950857142857143,1.0003857142857142,1.372,1.1071428571428572,1.6870857142857143,1.0,1.0135714285714286,2.174514285714286,1.0,1.7857142857142856,1.2000000000000002,1.0089285714285714,2.2308,3.641228571428571,2.4035714285714285,1.0,1.4706142857142857,1.0,1.6364285714285711,1.0135714285714286,1.4821428571428572,1.0115142857142858,2.754642857142857,2.4971428571428573,2.729371428571429,1.32,2.8020571428571426,1.268571428571429,2.6668285714285718,1.8728571428571428,1.7581428571428572,1.0,2.0112000000000005,1.0525,1.4821428571428572,1.0,1.0,1.8914285714285717,1.1177,1.0,2.524285714285714,2.112271428571429,1.6063428571428573,2.2071428571428573,1.9085714285714288,1.68,1.3571428571428572,1.0,1.5508,1.6391999999999998,1.8914285714285717,2.600714285714286,1.9613571428571424,3.2824,2.8363428571428573,1.0,2.596342857142857,2.2308,2.1750857142857143,1.9314142857142853,1.0006285714285714,2.729371428571429,1.0,2.4732142857142856,1.9285714285714288,2.596342857142857,2.1635714285714283,2.7142857142857144,2.0659,2.6950857142857143,1.0042857142857142,2.3912571428571425,1.7742857142857142,3.4823142857142866,2.894285714285714,1.5957
11-3012.00,Administrative Services Managers,4.03,3.9,1.51,4.26,1.9,2.48,2.8,4.78,4.04,3.55,2.335714285714286,2.2071428571428573,2.2107142857142854,1.0,1.9449142857142856,2.4522285714285714,1.5342714285714285,2.0943,1.4017857142857142,2.976142857142857,1.0535714285714286,1.3785714285714286,1.4789285714285714,1.077942857142857,1.3785714285714286,1.0135714285714286,1.0,2.3392857142857144,3.365485714285714,2.0028571428571427,1.0042857142857142,2.1086285714285715,1.0442857142857145,1.9285714285714288,1.0535714285714286,1.4192,1.483,1.9352,1.9449142857142856,2.596342857142857,1.2857142857142856,2.645714285714285,1.625,3.1482,1.5785714285714287,2.2654000000000005,1.0442857142857145,2.7301571428571427,1.7625142857142857,1.6391999999999998,1.0442857142857145,1.0,1.6875,1.4323428571428571,1.0,2.0028571428571427,2.9782,1.6063428571428573,2.7142857142857144,2.275,1.9085714285714288,1.4017857142857142,1.0,1.7734857142857143,1.872228571428572,1.9449142857142856,2.4935714285714283,1.8917857142857144,3.0459,2.7142857142857144,1.157142857142857,2.7142857142857144,2.023657142857143,2.2308,2.8083142857142858,1.2941714285714283,2.524285714285714,1.0,2.354914285714286,1.78,2.31,1.7734857142857143,2.7142857142857144,3.3195857142857146,2.7142857142857144,1.0885714285714283,2.826657142857143,2.3733714285714287,3.639357142857142,2.7142857142857144,2.6738714285714287
11-3013.00,Facilities Managers,4.57,4.46,1.8,4.49,2.85,2.62,3.55,4.72,4.32,3.26,2.6015999999999995,2.4035714285714285,2.2720571428571428,1.335714285714286,1.8914285714285717,2.4522285714285714,2.165,2.375,1.6714285714285717,2.816228571428572,1.4017857142857142,1.7734857142857143,1.6450285714285715,1.1885714285714286,1.6875,1.3392000000000002,1.0535714285714286,2.4732142857142856,2.8827714285714285,2.1492,1.335714285714286,1.8646857142857145,1.1339285714285714,1.9285714285714288,1.12,1.5357142857142858,1.9234285714285717,2.432628571428572,1.837942857142857,2.5428571428571427,1.4691999999999998,2.4522285714285714,1.1734857142857142,3.6175,1.655,2.3702857142857146,1.3214285714285714,3.1692,2.4322285714285714,1.8728571428571428,1.1339285714285714,1.0020571428571428,1.6063428571428573,1.953457142857143,1.0042857142857142,2.2071428571428573,3.1614571428571425,1.5892857142857142,2.275,2.2928571428571427,1.7385714285714284,1.4928571428571429,1.0089285714285714,1.75,1.6364285714285711,1.9842857142857144,3.1825571428571435,2.4628,3.1011999999999995,2.524285714285714,1.5207142857142857,2.524285714285714,1.9449142857142856,2.524285714285714,3.1839142857142857,2.529457142857143,2.4732142857142856,1.4435714285714285,2.354914285714286,1.9285714285714288,2.2928571428571427,1.6964285714285714,2.4732142857142856,3.008657142857143,2.571428571428571,1.4017857142857142,2.568914285714286,2.9585714285714286,3.735357142857143,2.524285714285714,2.8176
11-3013.01,Security Managers,4.0,3.72,1.95,4.68,2.75,3.58,3.37,4.89,3.89,3.84,3.288071428571429,2.729371428571429,3.1055714285714284,1.1071428571428572,2.0028571428571427,2.782857142857143,1.4375,2.145428571428571,1.3125,3.3616428571428574,1.3392000000000002,1.51,2.6846428571428573,1.0942857142857143,1.51,1.2208,1.0206285714285714,3.375,3.695714285714285,2.7142857142857144,1.2142857142857144,2.878857142857143,1.2036571428571428,2.19,1.335714285714286,2.19,1.5792142857142857,3.1214285714285714,2.645714285714285,2.7142857142857144,1.655,2.765714285714286,1.3571428571428572,3.92,1.6665142857142858,3.2371428571428567,1.3392000000000002,3.015357142857143,1.5599999999999998,2.354914285714286,1.3571428571428572,1.0,1.7385714285714284,1.4821428571428572,1.1785714285714286,2.671428571428572,3.1567857142857143,1.7200000000000002,2.3392857142857144,2.4732142857142856,2.375,1.7200000000000002,1.0,2.0028571428571427,1.9285714285714288,2.31,2.9131428571428573,2.531428571428571,3.446742857142857,2.782857142857143,1.2142857142857144,2.782857142857143,2.354914285714286,2.98,3.1375,1.825,2.912857142857143,1.0942857142857143,2.645714285714285,2.105,2.4893714285714283,2.354914285714286,2.782857142857143,3.023214285714286,2.8363428571428573,1.302857142857143,2.376428571428572,2.837885714285714,3.2928571428571427,2.912857142857143,2.874942857142857
