O*NET-SOC Code,Title,Consequence of Error,Freedom to Make Decisions,Frequency of Decision Making,Health and Safety of Other Workers,Impact of Decisions on Co-workers or Company Results,Importance of Being Exact or Accurate,Evaluating Information to Determine Compliance with Standards Combined,Judgment and Decision Making Combined
11-1011.00,Chief Executives,3.02,4.95,4.59,4.16,4.75,4.47,3.418071428571429,3.8821428571428576
11-1011.03,Chief Sustainability Officers,2.15,4.37,3.67,2.63,3.96,3.52,2.666842857142857,2.645714285714285
11-1021.00,General and Operations Managers,2.52,4.81,4.92,4.54,4.53,4.24,2.2913,2.4522285714285714
11-2011.00,Advertising and Promotions Managers,2.19,4.04,4.31,2.52,4.03,4.3,1.3934285714285712,2.571428571428571
11-2021.00,Marketing Managers,2.76,4.42,4.1,2.21,4.15,3.81,1.5911,2.571428571428571
11-2022.00,Sales Managers,2.0,4.24,4.1,2.43,4.15,3.38,2.305257142857143,2.645714285714285
11-2033.00,Fundraising Managers,2.79,4.38,4.16,2.67,4.11,4.37,2.508142857142857,2.524285714285714
11-3012.00,Administrative Services Managers,2.77,4.12,3.9,4.03,3.85,4.15,2.498242857142857,2.0028571428571427
11-3013.00,Facilities Managers,2.73,4.28,4.46,4.54,3.96,4.09,2.686628571428572,2.2071428571428573
11-3013.01,Security Managers,3.26,4.25,3.72,4.1,4.15,4.05,3.2750000000000004,2.671428571428572
11-3021.00,Computer and Information Systems Managers,3.72,4.42,3.93,2.94,4.34,4.04,2.7835428571428573,2.5428571428571427
11-3031.00,Financial Managers,2.99,4.12,4.26,3.04,4.52,4.69,3.024,2.4522285714285714
11-3031.01,Treasurers and Controllers,3.33,4.36,3.88,2.16,4.2,4.64,2.8744,3.0592
11-3031.03,Investment Fund Managers,3.74,4.53,4.49,1.65,4.35,4.24,2.4738285714285717,2.748571428571428
11-3051.00,Industrial Production Managers,3.02,4.39,4.44,4.54,4.27,4.47,2.363842857142857,2.877142857142857
11-3051.01,Quality Control Systems Managers,2.76,4.23,4.4,4.13,4.43,4.33,3.5740857142857143,2.765714285714286
11-3051.02,Geothermal Production Managers,4.11,4.63,4.24,4.83,4.39,4.27,3.0324571428571425,2.422142857142857
11-3051.03,Biofuels Production Managers,3.95,4.42,4.61,4.79,4.55,4.27,2.482,2.3857142857142857
11-3051.04,Biomass Power Plant Managers,3.56,4.54,4.25,4.94,4.32,4.31,2.7192857142857143,2.524285714285714
11-3051.06,Hydroelectric Production Managers,4.0,4.57,4.42,4.85,4.42,4.09,2.7914857142857143,2.596342857142857
11-3061.00,Purchasing Managers,2.16,4.21,3.58,2.79,3.84,4.26,2.761428571428572,2.4732142857142856
11-3071.00,"Transportation, Storage, and Distribution Managers",3.04,4.16,4.4,3.94,4.02,4.08,2.793857142857143,2.25
11-3071.04,Supply Chain Managers,2.35,4.05,3.6,3.95,3.67,4.0,2.4685714285714284,2.7142857142857144
