O*NET-SOC Code,Title,Conflict Situations,Contact With Others,Coordinate or Lead Others in Accomplishing Work Activities,Deal With External Customers or the Public in General,"Dealing With Unpleasant, Angry, or Discourteous People",Dealing with Violent or Physically Aggressive People,Face-to-Face Discussions with Individuals and Within Teams,Public Speaking,Work With or Contribute to a Work Group or Team,"Communicating with Supervisors, Peers, or Subordinates Combined",Instructing Combined,Performing for or Working Directly with the Public Combined,Negotiation Combined,Coaching and Developing Others Combined,Training and Teaching Others Combined,Resolving Conflicts and Negotiating with Others Combined,Social Perceptiveness Combined,Developing and Building Teams Combined,Communicating with People Outside the Organization Combined,Service Orientation Combined,Persuasion Combined
11-1011.00,Chief Executives,3.86,4.58,4.29,4.33,3.24,1.46,4.9,3.07,4.36,4.117857142857143,2.3192,2.822857142857143,3.117142857142857,4.1005,3.0468,3.8454,2.894285714285714,3.789914285714286,3.774071428571428,2.023657142857143,3.0357142857142856
11-1011.03,Chief Sustainability Officers,3.04,4.41,4.22,3.85,2.41,1.19,4.67,2.93,4.78,4.227614285714285,2.086428571428572,2.6128,1.9842857142857144,3.000771428571429,2.585514285714286,2.6382857142857143,2.596342857142857,3.1919857142857144,4.037542857142857,2.044642857142857,2.645714285714285
11-1021.00,General and Operations Managers,3.35,4.63,4.48,4.49,3.24,1.62,4.86,2.46,4.62,3.314142857142857,1.9285714285714288,1.5126,2.2928571428571427,2.8831857142857142,2.3048428571428574,3.011885714285714,2.571428571428571,2.557542857142857,2.6227714285714283,2.0028571428571427,2.4035714285714285
11-2011.00,Advertising and Promotions Managers,3.15,4.68,4.11,4.19,2.92,1.14,4.87,2.55,4.47,3.3910714285714287,1.8057142857142856,2.1865428571428573,2.1357142857142857,1.7590857142857144,1.7034571428571432,1.9022,2.7142857142857144,1.8708,3.744142857142857,1.9842857142857144,2.3192
11-2021.00,Marketing Managers,3.18,4.61,4.32,4.25,2.74,1.16,4.76,3.35,4.67,3.828571428571429,2.0,1.7938142857142858,2.4522285714285714,2.2609142857142857,2.0210857142857144,2.891314285714286,2.645714285714285,2.8744,3.56,1.9842857142857144,2.7207142857142856
11-2022.00,Sales Managers,3.52,4.86,4.1,4.71,3.35,1.24,4.65,2.71,4.65,3.9177142857142857,2.524285714285714,2.5021714285714287,2.7142857142857144,3.835,3.468957142857143,3.628628571428571,2.645714285714285,3.674285714285714,3.779142857142858,2.4522285714285714,2.645714285714285
11-2033.00,Fundraising Managers,2.71,4.96,4.3,4.5,2.64,1.34,4.84,3.14,4.79,3.4192,1.5508,2.131428571428572,2.2308,1.8585142857142856,2.008857142857143,1.8926857142857143,2.765714285714286,2.0812,3.121,2.19,2.5
11-3012.00,Administrative Services Managers,3.2,4.5,3.9,4.12,3.08,1.75,4.9,2.28,4.57,3.5062857142857147,1.9285714285714288,1.9093428571428568,2.216428571428572,2.6481142857142856,2.2301714285714285,2.775428571428572,2.205357142857143,2.3666142857142853,2.5822857142857143,2.044642857142857,1.8914285714285717
11-3013.00,Facilities Managers,3.32,4.72,4.31,4.13,3.15,1.81,4.81,2.63,4.41,3.4620571428571427,2.044642857142857,1.8595,2.0,2.5254,2.4324285714285714,3.0280857142857145,2.354914285714286,2.6861428571428574,3.0976000000000004,1.822857142857143,2.023657142857143
11-3013.01,Security Managers,3.53,4.5,3.84,3.6,3.53,2.74,4.61,2.55,4.39,3.8339285714285714,2.0608,2.4228571428571426,2.0608,3.5848571428571425,3.192142857142857,3.623214285714286,2.607142857142857,3.3800000000000003,3.0439285714285718,2.105,2.19
