O*NET-SOC Code,Title,Technology Design Combined,Developing Objectives and Strategies Combined,Fluency of Ideas Combined,Writing Combined,Thinking Creatively Combined,Originality Combined
11-1011.00,Chief Executives,1.0942857142857143,3.7846,2.9008000000000003,2.9522285714285714,3.110571428571429,2.6696428571428568
11-1011.03,Chief Sustainability Officers,1.1408,3.78,2.6950857142857143,2.894285714285714,3.3072142857142857,2.645714285714285
11-1021.00,General and Operations Managers,1.0442857142857145,2.436228571428571,2.086428571428572,2.3857142857142857,2.523571428571429,2.06
11-2011.00,Advertising and Promotions Managers,1.0803571428571428,2.3482857142857143,2.6185714285714288,2.524285714285714,3.060928571428572,2.524285714285714
11-2021.00,Marketing Managers,1.0942857142857143,2.828842857142857,2.6696428571428568,2.2471428571428573,3.206971428571429,2.4971428571428573
11-2022.00,Sales Managers,1.0357142857142856,3.1589285714285715,2.524285714285714,2.4971428571428573,2.809971428571428,2.524285714285714
11-2033.00,Fundraising Managers,1.0942857142857143,2.754642857142857,2.4971428571428573,2.645714285714285,2.600714285714286,2.3857142857142857
11-3012.00,Administrative Services Managers,1.0535714285714286,1.9352,1.9449142857142856,2.4732142857142856,2.4935714285714283,1.8914285714285717
11-3013.00,Facilities Managers,1.077942857142857,2.432628571428572,1.837942857142857,2.205357142857143,3.1825571428571435,1.75
11-3013.01,Security Managers,1.0664285714285715,3.1214285714285714,2.645714285714285,2.524285714285714,2.9131428571428573,2.2928571428571427
11-3021.00,Computer and Information Systems Managers,1.4285714285714286,2.9776714285714285,2.275,2.571428571428571,2.9165714285714284,2.125
11-3031.00,Financial Managers,1.077942857142857,2.548857142857143,2.19,2.422142857142857,2.0320428571428573,1.837942857142857
11-3031.01,Treasurers and Controllers,1.0549142857142857,3.4258428571428574,2.1635714285714283,2.542057142857143,2.7142285714285714,2.125
11-3031.03,Investment Fund Managers,1.1734857142857142,2.548857142857143,2.2308,2.4522285714285714,2.8837,2.19
11-3051.00,Industrial Production Managers,1.0992,2.277257142857142,2.4285714285714284,2.36,2.648471428571429,2.1750857142857143
11-3051.01,Quality Control Systems Managers,1.2592,2.435528571428572,2.205357142857143,2.645714285714285,2.611757142857143,1.8914285714285717
11-3051.02,Geothermal Production Managers,1.268571428571429,2.3213714285714286,1.9657142857142855,2.4035714285714285,2.7485,1.8728571428571428
11-3051.03,Biofuels Production Managers,1.1885714285714286,1.9919714285714285,1.9842857142857144,2.25,2.7204,2.06
11-3051.04,Biomass Power Plant Managers,1.0664285714285715,2.577,1.9842857142857144,2.1357142857142857,2.677857142857143,1.837942857142857
11-3051.06,Hydroelectric Production Managers,1.1734857142857142,2.553828571428572,2.1492,2.3857142857142857,2.4805,1.9842857142857144
11-3061.00,Purchasing Managers,1.1734857142857142,2.820571428571429,2.596342857142857,2.645714285714285,2.6521142857142856,2.3392857142857144
11-3071.00,"Transportation, Storage, and Distribution Managers",1.12,2.5022,2.19,2.354914285714286,2.701171428571429,2.044642857142857
11-3071.04,Supply Chain Managers,1.2208,3.0270714285714284,1.9842857142857144,2.645714285714285,2.914,2.044642857142857
11-3111.00,Compensation and Benefits Managers,1.0442857142857145,2.92,2.086428571428572,2.765714285714286,2.5664285714285717,1.9449142857142856
11-3121.00,Human Resources Managers,1.0357142857142856,2.9554285714285715,2.6185714285714288,2.782857142857143,2.8252,2.571428571428571
11-3131.00,Training and Development Managers,1.0803571428571428,3.0892857142857144,2.645714285714285,2.6950857142857143,3.3214,2.524285714285714
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1.1408,2.633742857142857,2.2308,2.1635714285714283,2.922285714285714,2.1635714285714283
11-9021.00,Construction Managers,1.1071428571428572,2.426285714285714,2.2308,2.524285714285714,2.369814285714286,1.9842857142857144
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",1.0664285714285715,2.2968571428571427,2.2308,2.571428571428571,2.790057142857143,2.125
11-9032.00,"Education Administrators, Kindergarten through Secondary",1.1071428571428572,3.021257142857143,2.7142857142857144,3.44,3.247342857142857,2.645714285714285
11-9033.00,"Education Administrators, Postsecondary",1.0664285714285715,3.0858571428571424,2.524285714285714,2.821428571428571,3.0925857142857143,2.645714285714285
11-9041.00,Architectural and Engineering Managers,1.22,1.9387857142857143,2.6185714285714288,2.765714285714286,3.3828,2.4971428571428573
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,1.2592,2.9781571428571434,2.3192,2.4522285714285714,3.4095,2.4714285714285715
11-9051.00,Food Service Managers,1.0089285714285714,2.1351142857142857,1.8057142857142856,1.8914285714285717,2.134,1.8057142857142856
11-9071.00,Gambling Managers,1.0442857142857145,2.1908000000000003,1.8571428571428568,2.4522285714285714,2.1253714285714285,1.7200000000000002
