O*NET-SOC Code,Title,Degree of Automation,"Exposed to Cramped Work Space, Awkward Positions",Importance of Repeating Same Tasks,Pace Determined by Speed of Equipment,Spend Time Making Repetitive Motions,Time Pressure,Operations Monitoring Combined,Evaluating Information to Determine Compliance with Standards Combined,"Monitoring Processes, Materials, or Surroundings Combined",Controlling Machines and Processes Combined,Monitoring Combined,Monitoring and Controlling Resources Combined
11-1011.00,Chief Executives,2.23,1.2,3.37,1.35,2.55,4.16,1.2142857142857144,3.418071428571429,3.418928571428572,1.2704,3.25,3.110357142857143
11-1011.03,Chief Sustainability Officers,1.56,1.37,1.81,1.19,2.0,3.48,1.268571428571429,2.666842857142857,2.441942857142857,1.08,2.571428571428571,2.978971428571428
11-1021.00,General and Operations Managers,2.31,1.19,3.11,1.19,2.42,4.08,1.3785714285714286,2.2913,2.5921857142857143,1.2873714285714286,2.765714285714286,2.846742857142857
11-2011.00,Advertising and Promotions Managers,2.01,1.38,2.7,1.0,2.5,4.4,1.0549142857142857,1.3934285714285712,1.7832,1.1687857142857143,2.3660714285714284,1.6688
11-2021.00,Marketing Managers,2.1,1.2,2.78,1.02,2.73,4.21,1.1339285714285714,1.5911,2.173914285714286,1.010571428571429,2.6696428571428568,2.1990000000000003
11-2022.00,Sales Managers,2.26,1.14,2.16,1.1,1.52,3.9,1.1607142857142858,2.305257142857143,2.071,1.058971428571429,2.9008000000000003,2.272
11-2033.00,Fundraising Managers,1.69,1.29,3.0,1.0,2.67,3.97,1.1071428571428572,2.508142857142857,2.0112000000000005,1.0525,2.1750857142857143,1.5957
11-3012.00,Administrative Services Managers,2.14,1.52,3.36,1.48,2.76,3.7,1.4017857142857142,2.498242857142857,2.7301571428571427,1.7625142857142857,2.2308,2.6738714285714287
11-3013.00,Facilities Managers,2.02,2.08,3.82,1.54,2.44,3.9,1.6714285714285717,2.686628571428572,3.1692,2.4322285714285714,2.524285714285714,2.8176
11-3013.01,Security Managers,2.21,1.8,3.26,1.58,2.58,3.8,1.3125,3.2750000000000004,3.015357142857143,1.5599999999999998,2.98,2.874942857142857
11-3021.00,Computer and Information Systems Managers,2.56,1.57,3.88,1.28,3.61,3.37,1.7734857142857143,2.7835428571428573,3.1243857142857148,1.2156,2.8020571428571426,2.6512
11-3031.00,Financial Managers,2.8,1.08,4.37,1.07,2.38,4.54,1.1734857142857142,3.024,2.100214285714286,1.1381714285714286,2.6185714285714288,1.7443428571428572
11-3031.01,Treasurers and Controllers,2.58,1.0,3.68,1.12,2.76,4.36,1.1408,2.8744,2.0957714285714286,1.0349714285714289,2.8514285714285714,2.8989714285714285
11-3031.03,Investment Fund Managers,2.46,1.11,2.67,1.13,2.38,4.01,1.1885714285714286,2.4738285714285717,1.9737428571428568,1.0157142857142858,2.4285714285714284,1.4356
11-3051.00,Industrial Production Managers,2.02,1.97,3.16,3.22,1.92,4.2,2.06,2.363842857142857,3.1965428571428576,2.769628571428571,3.091428571428572,2.33
11-3051.01,Quality Control Systems Managers,2.25,1.27,3.55,1.5,1.94,4.32,2.125,3.5740857142857143,3.366228571428572,1.9324,2.8514285714285714,2.1834285714285717
11-3051.02,Geothermal Production Managers,2.49,1.62,3.53,2.73,2.34,4.19,2.125,3.0324571428571425,3.4182857142857146,1.4794,2.8020571428571426,3.1349714285714287
11-3051.03,Biofuels Production Managers,3.41,2.6,3.53,3.58,2.07,3.97,2.0,2.482,3.352314285714286,2.1342,2.524285714285714,2.5155000000000003
11-3051.04,Biomass Power Plant Managers,2.67,2.48,3.92,3.74,2.29,4.13,2.3192,2.7192857142857143,3.328457142857143,2.770342857142857,2.9008000000000003,2.7324571428571427
11-3051.06,Hydroelectric Production Managers,2.5,2.4,3.58,2.35,2.53,3.93,2.2308,2.7914857142857143,3.1939,2.158457142857143,2.5428571428571427,2.936
11-3061.00,Purchasing Managers,2.79,1.16,3.5,1.42,2.58,4.16,1.268571428571429,2.761428571428572,2.2670285714285714,1.1573714285714285,2.645714285714285,2.604742857142857
11-3071.00,"Transportation, Storage, and Distribution Managers",2.53,1.5,3.25,1.65,2.66,4.38,1.5785714285714287,2.793857142857143,2.710128571428572,1.3816857142857142,2.4732142857142856,2.757514285714286
11-3071.04,Supply Chain Managers,2.5,1.33,2.7,2.0,2.19,4.43,1.335714285714286,2.4685714285714284,2.36,1.2714285714285714,2.765714285714286,3.150142857142857
11-3111.00,Compensation and Benefits Managers,2.71,1.19,3.71,1.0,2.95,3.62,1.0357142857142856,3.115,1.8739714285714288,1.0617142857142856,2.2308,2.5664285714285717
11-3121.00,Human Resources Managers,2.68,1.32,3.23,1.05,2.55,3.91,1.0357142857142856,3.6566,2.5942857142857143,1.0785714285714283,2.765714285714286,2.7316
11-3131.00,Training and Development Managers,1.96,1.04,2.71,1.07,2.54,3.64,1.0942857142857143,2.644342857142857,2.632857142857143,1.0260571428571428,2.645714285714285,2.2975857142857143
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",2.34,2.25,3.06,2.21,2.57,3.49,1.9842857142857144,2.2300857142857144,2.799085714285714,2.4385000000000003,2.275,2.950214285714286
11-9021.00,Construction Managers,1.9,2.3,3.4,2.2,2.95,4.25,1.7200000000000002,3.2354285714285718,3.2982142857142858,1.9857142857142855,2.8514285714285714,3.0439285714285718
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",2.1,1.15,3.68,1.19,2.8,3.93,1.1607142857142858,2.9057000000000004,2.2067714285714284,1.0896,2.765714285714286,2.698057142857144
11-9032.00,"Education Administrators, Kindergarten through Secondary",1.04,1.33,1.89,1.02,1.89,3.46,1.1785714285714286,2.347914285714286,3.071928571428572,1.264,3.265714285714286,2.6569714285714285
11-9033.00,"Education Administrators, Postsecondary",1.88,1.01,2.35,1.01,2.61,3.95,1.197142857142857,3.209942857142857,2.6502142857142856,1.0161142857142855,2.821428571428571,2.1687000000000003
11-9041.00,Architectural and Engineering Managers,2.04,1.7,3.48,1.14,2.25,3.79,1.5614285714285714,3.7165142857142857,2.8768,1.4352,2.571428571428571,2.0240714285714283
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,2.08,1.96,2.86,1.89,2.33,3.49,1.8571428571428568,2.6669714285714288,3.2572,2.273542857142857,2.2471428571428573,2.4900285714285717
11-9051.00,Food Service Managers,1.71,2.04,3.35,1.64,3.21,4.12,1.5207142857142857,2.3029,2.3152857142857144,1.7448,2.596342857142857,2.4196428571428568
11-9071.00,Gambling Managers,2.43,1.3,3.72,1.5,3.01,3.91,1.32,2.882457142857143,2.533214285714285,1.611157142857143,2.645714285714285,2.285942857142857
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",1.65,1.46,2.6,1.78,1.68,3.44,1.32,1.5655714285714286,2.439228571428571,1.2375,2.25,2.476
11-9081.00,Lodging Managers,2.86,1.19,4.14,1.8,2.52,4.35,1.4179428571428572,2.185714285714285,2.2569142857142857,1.5420571428571428,2.4732142857142856,2.1509714285714283
11-9111.00,Medical and Health Services Managers,2.86,1.22,3.79,1.29,3.37,3.93,1.268571428571429,3.493171428571429,3.314728571428572,1.4188285714285715,2.765714285714286,3.2500000000000004
11-9121.00,Natural Sciences Managers,1.5,1.41,2.95,1.22,2.44,3.28,1.3392000000000002,3.0988,3.6901142857142855,1.9825714285714289,2.765714285714286,2.833342857142857
11-9121.01,Clinical Research Coordinators,1.9,1.63,4.1,1.31,2.77,3.36,1.1339285714285714,2.9888,3.3028571428571425,1.3562857142857143,2.4035714285714285,1.7760285714285715
11-9121.02,Water Resource Specialists,2.05,1.73,2.1,1.29,1.76,3.5,1.8057142857142856,3.164285714285714,2.845371428571429,1.1804142857142856,2.205357142857143,1.865
11-9131.00,Postmasters and Mail Superintendents,2.62,1.25,3.73,2.59,2.41,4.92,1.4821428571428572,2.703742857142857,2.6050142857142857,1.570128571428571,2.422142857142857,2.342714285714286
11-9141.00,"Property, Real Estate, and Community Association Managers",2.2,1.4,2.9,1.15,1.84,3.95,1.0942857142857143,2.3668571428571425,2.039642857142857,1.0825,1.9449142857142856,2.7085714285714286
11-9151.00,Social and Community Service Managers,2.23,1.09,3.43,1.18,2.05,3.91,1.36,2.6633142857142857,2.624,1.0676571428571429,2.645714285714285,1.5
11-9161.00,Emergency Management Directors,1.86,1.68,2.45,1.38,2.32,3.45,1.32,2.7703,2.8798000000000004,1.4921,2.98,3.278785714285714
11-9171.00,Funeral Home Managers,2.15,2.29,3.68,1.37,2.69,4.39,1.32,3.0662857142857143,2.9595714285714285,2.0353,2.1492,2.276
11-9179.01,Fitness and Wellness Coordinators,1.96,1.35,2.85,1.12,2.48,3.15,1.1607142857142858,1.9802857142857144,2.0336,1.3593142857142857,2.275,2.2485
