O*NET-SOC Code,Title,cognitive_complexity_avg,creativity_avg,data_structure_avg,decision_accountability_avg,physical_requirements_avg,routine_structure_avg,social_interactions_avg,weighted_average_Claude_v1_non_overlap,Claude_V1_NoOverlap_Scaled,Claude_V1_doubleweighed
11-1011.00,Chief Executives,2.1930785714285714,2.937940476190476,2.1521627976190483,0.8455400000000006,3.460524149659864,2.1797436507936507,1.5788324675324668,2.2612753596423416,1.451239478532166,1.8562574190872538
11-1011.03,Chief Sustainability Officers,2.469843406593407,3.0302261904761902,1.9148080357142856,1.5370000000000004,3.4406812925170076,1.8032071428571426,1.8962978354978355,2.3313795409055227,1.885317716325261,2.108348628615392
11-1021.00,General and Operations Managers,2.710165384615385,3.2873214285714285,1.8875997023809525,1.1113771428571426,3.3119431972789113,1.964175396825397,2.050599134199134,2.3967371355886176,2.2900055539868553,2.3433713447877365
11-2011.00,Advertising and Promotions Managers,2.7057549450549447,3.0251119047619044,1.7499979166666668,1.5871714285714291,3.509629931972789,1.8909873015873018,2.280097402597402,2.440003522499326,2.557906792507394,2.49895515750336
11-2021.00,Marketing Managers,2.594650549450549,3.045861904761905,1.777899702380953,1.4151157142857138,3.5576302721088435,1.8837706349206347,2.0183311688311685,2.3785267529236633,2.177248644565637,2.2778876987446504
11-2022.00,Sales Managers,2.605381318681319,3.1214476190476192,1.8590803571428571,1.4251071428571436,3.54715918367347,1.7874285714285716,1.6299891774891777,2.321501059119452,1.8241511227140919,2.072826090916772
11-2033.00,Fundraising Managers,2.776006043956044,3.2733333333333334,1.7425752976190474,1.4805357142857147,3.645245918367347,1.8823722222222221,2.2596385281385287,2.4919191192042085,2.8793630926249474,2.685641105914578
11-3012.00,Administrative Services Managers,2.8453719780219777,3.3295523809523813,1.9165428571428584,1.59748,3.306309183673469,2.066666666666667,2.2015406926406924,2.517151754340897,3.0356011029355017,2.7763764286381996
11-3013.00,Facilities Managers,2.811586813186813,3.1332642857142856,2.1085687500000003,1.343737142857143,2.935021088435375,2.0949793650793653,2.1329164502164497,2.4161447579345254,2.4101756544839876,2.4131602062092563
11-3013.01,Security Managers,2.5662983516483515,2.9649809523809525,2.1370562500000005,1.2598571428571423,3.036131292517007,2.249295238095238,1.8316939393939395,2.3494160672957993,1.9969981246878916,2.1732070959918453
11-3021.00,Computer and Information Systems Managers,2.4368478021978017,3.183071428571429,1.9826526785714285,1.2812328571428573,3.5642608843537413,2.1313595238095235,2.219646320346321,2.4632344236537276,2.7017502616664064,2.5824923426600668
11-3031.00,Financial Managers,2.665338461538462,3.3305976190476185,1.8179071428571423,1.2991142857142854,3.6456020408163266,2.102965079365079,2.2100588744588743,2.5100347081093504,2.9915330483513696,2.7507838782303597
11-3031.01,Treasurers and Controllers,2.4134956043956044,3.1529857142857143,1.952709226190476,1.350415714285714,3.711980612244898,2.108515079365079,2.1517432900432905,2.466546293066061,2.722257033336838,2.5944016632014497
11-3031.03,Investment Fund Managers,2.5151032967032974,3.076883333333333,1.8347505952380947,1.3571142857142862,3.7013333333333334,1.9291817460317457,2.448948051948052,2.4663630395992895,2.7211223457833658,2.5937426926913276
11-3051.00,Industrial Production Managers,2.590024725274725,3.1310738095238095,2.075177678571429,1.2162742857142854,2.905190136054422,2.1887380952380955,2.2761367965367967,2.4022566355846533,2.32418175843868,2.3632191970116665
11-3051.01,Quality Control Systems Managers,2.5004351648351646,3.1695738095238095,2.171808630952381,1.1744471428571437,3.313231972789115,2.108489682539682,2.138504761904761,2.4245853702468163,2.4624391008632998,2.4435122355550583
11-3051.02,Geothermal Production Managers,2.621954945054945,3.2140595238095244,2.2123523809523813,0.9658628571428567,2.7540170068027217,2.2458150793650793,2.1447497835497833,2.377201728565086,2.169044223256657,2.2731229759108715
11-3051.03,Biofuels Production Managers,2.697431868131868,3.160454761904762,2.0150553571428573,1.0498028571428577,2.589323469387755,2.3180174603174604,2.2127787878787877,2.3690876465875395,2.1188026207921844,2.243945133689862
11-3051.04,Biomass Power Plant Managers,2.6500818681318683,3.1801785714285717,2.2036711309523813,1.1322999999999999,2.6211411564625844,2.3226698412698408,2.2448896103896105,2.4025747623111013,2.3261515680323903,2.3643631651717456
11-3051.06,Hydroelectric Production Managers,2.603158791208791,3.1596785714285716,2.2213410714285713,1.0356171428571428,2.7618591836734687,2.3064452380952387,2.145454978354978,2.3875075977474904,2.232857157849388,2.310182377798439
11-3061.00,Purchasing Managers,2.672471428571429,3.199766666666666,1.9195401785714286,1.5569428571428574,3.5247040816326534,2.0855698412698414,1.9905506493506495,2.472886195758606,2.7615130910921977,2.617199643425402
11-3071.00,"Transportation, Storage, and Distribution Managers",2.7693554945054952,3.160340476190476,1.9415252976190471,1.2477800000000001,3.1367908163265303,2.063468253968254,2.13113722943723,2.411267783024515,2.3799779025588776,2.3956228427916963
11-3071.04,Supply Chain Managers,2.6154895604395603,3.1185,1.9200544642857145,1.336292857142857,3.3808918367346936,2.006275396825397,1.9841233766233763,2.391740527577581,2.2590670455941666,2.325403786585874
11-3111.00,Compensation and Benefits Managers,2.68853021978022,3.3389571428571427,1.765921130952381,1.6399999999999997,3.697354761904762,1.9565365079365078,2.2196246753246758,2.52356943466256,3.075338752167701,2.7994540934151306
11-3121.00,Human Resources Managers,2.5164164835164837,3.0944761904761906,1.9775514880952383,1.3294571428571431,3.5566153061224495,2.088709523809524,1.688132034632035,2.3767887700692163,2.1664872246163647,2.2716379973427907
11-3131.00,Training and Development Managers,2.552773076923077,3.005123809523809,1.88614880952381,1.8980714285714284,3.656673469387755,1.9542285714285716,1.8762233766233765,2.4328867979639406,2.513840729834447,2.4733637638991937
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",2.718566483516484,2.954142857142857,2.0360985119047617,1.4776257142857139,2.5455969387755104,2.1137992063492064,2.391496103896103,2.365602621388532,2.0972236854164112,2.231413153402472
11-9021.00,Construction Managers,2.540986813186813,3.0845833333333337,2.2040217261904766,1.249371428571429,2.609094217687075,2.2524357142857148,1.9615515151515153,2.325258840237144,1.8474189360768403,2.086338888156992
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",2.771078571428571,3.204290476190476,1.8377800595238096,1.1203142857142852,3.4061972789115647,2.0915198412698413,1.907329004329005,2.4074477024067202,2.356324336781185,2.381886019593953
11-9032.00,"Education Administrators, Kindergarten through Secondary",2.256180769230769,2.9159476190476195,2.0725502976190477,1.5008742857142856,3.452290476190476,1.9224555555555556,1.426381385281386,2.2494536069069824,1.3780403411550974,1.81374697403104
11-9033.00,"Education Administrators, Postsecondary",2.544426923076923,2.9855357142857146,1.9058693452380948,1.4174142857142855,3.5986833333333337,1.978530158730159,1.9968445887445898,2.3968579787573536,2.290753803075413,2.343805890916383
11-9041.00,Architectural and Engineering Managers,2.425502197802198,2.9688190476190472,2.1071199404761907,1.5001214285714282,3.3916462585034015,1.9916730158730158,2.050419047619048,2.384516722810919,2.214337952596102,2.2994273377035106
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,2.5103412087912096,2.935857142857143,2.05252380952381,1.4811842857142858,3.0702574829931977,2.049403174603175,2.369799134199135,2.3961896897705475,2.2866158229934506,2.3414027563819992
11-9051.00,Food Service Managers,3.0257516483516484,3.3801666666666668,1.8063029761904756,1.2864885714285714,3.138934693877551,2.023989682539682,2.136618614718615,2.4662978348120133,2.720718604114232,2.5935082194631227
11-9071.00,Gambling Managers,2.89005054945055,3.3511880952380952,1.8649943452380955,1.1649199999999995,3.3945758503401366,2.1705404761904763,2.069129004329005,2.492841054665573,2.885071626883775,2.688956340774674
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",2.8768351648351644,3.122523809523809,1.7957407738095237,1.4995728571428573,3.065547278911565,1.8517968253968258,1.9530419913419914,2.3525829648664827,2.016607244885627,2.184595104876055
11-9081.00,Lodging Managers,2.749710989010989,3.164695238095238,1.9091324404761905,1.0817114285714289,3.506181292517007,2.197738095238095,1.8198337662337658,2.424695198830931,2.463119148720544,2.4439071737757376
11-9111.00,Medical and Health Services Managers,2.476663186813187,3.1796952380952384,2.0331401785714287,1.4863657142857143,3.5170588435374155,2.216823015873016,1.7641056277056273,2.435943626883037,2.5327683157006167,2.484355971291827
11-9121.00,Natural Sciences Managers,2.3008148351648354,3.0273619047619045,2.0902443452380957,1.4891485714285713,3.3683044217687073,1.9504031746031747,2.1403696969696964,2.373547555387073,2.1464179401288668,2.25998274775797
11-9121.01,Clinical Research Coordinators,2.774628571428572,3.355485714285714,1.8728157738095241,1.9315971428571426,3.4686799319727886,2.1559476190476183,2.461808225108225,2.6207211818954854,3.6768928745826095,3.1488070282390472
11-9121.02,Water Resource Specialists,2.47476978021978,3.093516666666667,1.9625839285714288,1.6681771428571421,3.3353551020408165,1.8984055555555552,2.2853952380952385,2.421112736307344,2.4409368909553386,2.4310248136313413
11-9131.00,Postmasters and Mail Superintendents,2.895439010989011,3.3390023809523806,1.8971148809523812,1.0602914285714284,3.306503741496599,2.1654349206349206,1.9147147186147189,2.4471765928872715,2.6023217431916628,2.524749168039467
11-9141.00,"Property, Real Estate, and Community Association Managers",2.9062593406593407,3.425014285714286,1.7944127976190476,1.442878571428571,3.407890816326531,1.829513492063492,2.1183467532467533,2.468258514709497,2.7328589423856524,2.6005587285475746
11-9151.00,Social and Community Service Managers,2.6122005494505496,3.1745666666666663,1.8421598214285717,1.3790114285714288,3.4883836734693876,2.0406738095238093,1.9496748917748925,2.413975754108986,2.3967453948134256,2.4053605744612057
11-9161.00,Emergency Management Directors,2.4400104395604396,3.0201071428571424,2.0595744047619053,1.562385714285715,3.1852724489795916,2.0315825396825398,1.7577307359307364,2.3289806349404563,1.8704639250793704,2.0997222800099133
11-9171.00,Funeral Home Managers,2.9412401098901104,3.2164190476190475,1.9362113095238096,1.2000357142857148,2.7859836734693877,2.07549126984127,1.72242683982684,2.328633406970014,1.868313923427456,2.098473665198735
11-9179.01,Fitness and Wellness Coordinators,2.8536912087912087,3.067266666666667,1.7377232142857142,1.7736457142857143,3.2229653061224486,1.9585968253968256,2.0731991341991343,2.4254246053034265,2.467635562299744,2.4465300838015853
11-9179.02,Spa Managers,2.809271428571429,3.2341976190476185,1.889964880952381,1.4625485714285715,3.479478231292517,2.0214222222222222,1.9409281385281378,2.459117102298495,2.676256210297378,2.5676866562979366
11-9199.01,Regulatory Affairs Managers,2.6052164835164833,3.3030857142857144,1.8641770833333329,1.7171485714285715,3.7091619047619053,1.9596301587301592,2.2495649350649343,2.530112952866578,3.115855577266963,2.8229842650667702
11-9199.02,Compliance Managers,2.664531868131868,3.2831333333333337,1.8795163690476182,1.2666071428571426,3.4170795918367345,2.069574603174603,2.0461346320346308,2.4401591856258817,2.5588706433711685,2.4995149144985254
11-9199.08,Loss Prevention Managers,2.6697456043956045,3.180414285714286,1.931633333333333,1.2677228571428572,3.222018367346939,1.9870253968253968,1.9642800865800867,2.3728094500182353,2.14184766383382,2.2573285569260277
11-9199.09,Wind Energy Operations Managers,2.6890890109890107,3.1093761904761905,2.293583333333334,1.0252471428571424,2.4633792517006805,2.166371428571429,1.9808917748917754,2.301567767541982,1.7007261297185803,2.0011469486302813
11-9199.10,Wind Energy Development Managers,2.6862406593406596,3.270316666666667,1.9362095238095236,1.7813600000000003,3.4548999999999994,1.835238888888889,2.2261012987012987,2.4844385238650237,2.8330439775027507,2.658741250683887
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,2.5013719780219783,3.148647619047619,1.963019345238095,1.79696,3.2812278911564627,1.8866357142857142,2.2818809523809516,2.435294343472004,2.5287480162860714,2.4820211798790375
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",2.9453076923076926,3.256616666666667,1.5630369047619048,1.531138571428572,3.7167292517006802,1.809577777777778,2.400789610389611,2.519249586334301,3.048590673578431,2.783920129956366
13-1021.00,"Buyers and Purchasing Agents, Farm Products",2.9413280219780225,3.329880952380953,1.7630848214285713,1.340492857142857,3.3405850340136056,1.948573015873016,2.3216445887445882,2.4900881605993215,2.868025975917204,2.679057068258263
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",2.8878000000000004,3.3198476190476196,1.7306136904761908,1.4937485714285712,3.4312224489795913,1.9348150793650791,2.411738961038961,2.5169905964234176,3.0346032288634373,2.775796912643427
