O*NET-SOC Code,Title,cognitive_complexity_avg,creativity_avg,data_structure_avg,decision_accountability_avg,physical_requirements_avg,routine_structure_avg,social_interactions_avg,weighted_average_GPT_v1_non_overlap,GPT_V1_NoOverlap_Scaled,GPT_V1_doubleweighed
11-1011.00,Chief Executives,2.515544897959184,2.543317857142857,2.842732857142857,0.8059897959183671,3.5187180952380954,2.732,1.5248857142857135,2.42664225,1.672803394561214,2.049722822280607
11-1011.03,Chief Sustainability Officers,2.794998430141285,2.5029964285714286,2.935122857142857,1.7190224489795916,3.525297142857143,2.008,1.8975272108843537,2.4751374124803767,1.8893300467142762,2.1822337295973266
11-1021.00,General and Operations Managers,2.879341130298273,2.9966071428571426,2.639832857142857,1.0212428571428567,3.41384126984127,2.622,1.9925591836734688,2.5828598804290945,2.3703014292937183,2.476580654861406
11-2011.00,Advertising and Promotions Managers,3.0012681318681316,2.7025357142857143,2.4819614285714287,1.7452244897959184,3.552578095238095,2.5220000000000002,2.162071428571428,2.6398865973312398,2.624920724550199,2.632403660940719
11-2021.00,Marketing Managers,2.895340502354788,2.7386142857142852,2.494048571428572,1.7084142857142863,3.6028838095238096,2.568,1.9489027210884355,2.6117074835164837,2.499103449942279,2.5554054667293813
11-2022.00,Sales Managers,2.800613186813186,2.7832214285714287,2.6211185714285716,1.7706775510204085,3.6094736507936505,2.1879999999999997,1.591517687074829,2.4945035052328626,1.9757979543262625,2.2351507297795625
11-2033.00,Fundraising Managers,3.0462064364207233,2.8183928571428574,2.540792857142857,1.430265306122449,3.7107003174603177,2.466,2.0966571428571426,2.6410993294086866,2.6303354670370283,2.6357173982228574
11-3012.00,Administrative Services Managers,2.938614599686029,3.0220535714285717,2.578905714285715,1.3831081632653062,3.3978530158730162,2.688,2.114063265306122,2.6546890555991633,2.6910124039766945,2.672850729787929
11-3013.00,Facilities Managers,2.8008808477237044,2.9460357142857143,2.6739185714285716,1.1790530612244896,3.0720714285714283,2.744,2.017748299319728,2.559607606750392,2.26648206428729,2.413044835518841
11-3013.01,Security Managers,2.6491742543171117,2.8008214285714286,2.9284657142857147,1.1707142857142854,3.147684444444444,2.686,1.7907299319727898,2.505379508895866,2.0243583579110016,2.2648689334034335
