O*NET-SOC Code,Title,cognitive_complexity_avg,creativity_avg,data_structure_avg,decision_accountability_avg,physical_requirements_avg,routine_structure_avg,social_interactions_avg,weighted_average_Gemini_v1_non_overlap
11-1011.00,Chief Executives,2.467089655172414,2.8227971428571426,2.8178975155279504,0.7063257142857147,3.5836326530612244,3.1,1.5626124542124535,2.537842108776852
11-1011.03,Chief Sustainability Officers,2.7052128078817734,2.781951428571429,2.449029813664596,1.4605471428571426,3.591118979591837,2.4657142857142857,1.9417479853479844,2.5371052330039845
11-1021.00,General and Operations Managers,2.8938029556650244,3.205302857142857,2.3397819875776396,1.144005714285715,3.4947534693877547,2.9600000000000004,2.0674058608058608,2.68956854163656
11-2011.00,Advertising and Promotions Managers,2.8283078817733993,2.9388514285714287,2.061209937888199,1.7276342857142857,3.6228277551020405,2.8928571428571432,2.2833428571428565,2.708455339320136
11-2021.00,Marketing Managers,2.785777339901478,2.9011714285714283,2.181750310559006,1.506147142857143,3.6554038775510205,2.942857142857143,2.0823769230769225,2.671070609278171
11-2022.00,Sales Managers,2.8204935960591135,3.0148314285714286,2.3190602484472045,1.515358571428572,3.6575783673469386,2.667142857142857,1.6932377289377292,2.594791621553431
11-2033.00,Fundraising Managers,2.932133990147783,3.084302857142857,2.0764894409937886,1.5734242857142862,3.716308775510204,2.96,2.279835897435897,2.7588786007063186
11-3012.00,Administrative Services Managers,2.8943955665024634,3.2644685714285715,2.331783229813665,1.6173742857142854,3.4690318367346933,2.867142857142857,2.2227893772893768,2.745947125774632
11-3013.00,Facilities Managers,2.8917320197044334,2.92442,2.4461795031055904,1.2882728571428572,3.1413275510204084,2.9185714285714286,2.1925271062271063,2.6296605232819226
11-3013.01,Security Managers,2.6446995073891624,2.851371428571429,2.605004968944099,1.2917142857142858,3.2341020408163264,3.008571428571429,1.8648025641025638,2.5806325423120464
11-3021.00,Computer and Information Systems Managers,2.7435492610837438,2.9974914285714283,2.6936509316770185,1.2252099999999997,3.645150816326531,3.198571428571429,2.2324413919413924,2.7743953135704515
11-3031.00,Financial Managers,2.7474428571428575,3.368174285714286,2.2146260869565215,1.3845714285714288,3.7208177551020407,3.3171428571428576,2.219091575091575,2.8316772939389807
11-3031.01,Treasurers and Controllers,2.5985517241379315,3.186994285714286,2.5623472049689435,1.300852857142857,3.7655306122448984,3.2399999999999998,2.157069230769231,2.790541884141132
11-3031.03,Investment Fund Managers,2.7055147783251234,3.1041971428571427,2.3768844720496896,1.4025414285714284,3.753411020408163,3.0614285714285714,2.468111721611722,2.794913503828149
11-3051.00,Industrial Production Managers,2.7115645320197044,2.993414285714286,2.4979813664596273,1.1892000000000005,3.151667142857143,3.147142857142857,2.302229304029304,2.6719779977676
11-3051.01,Quality Control Systems Managers,2.65958472906404,3.104202857142857,2.809793788819876,1.2904614285714282,3.4334810204081636,3.1042857142857145,2.147641025641025,2.7326191094346863
