Tech Skill Title,Tech Type Title,Tech Type Code,Hot Technology,In Demand,TOTAL_JOBS_PER_TECH_SKILL,TOTAL_JOBS_PER_TECH_TYPE,JOB_TITLE_LIST
Adobe Acrobat,Document management software,43232202,1,0,165,293,"""Accountants and Auditors""; ""Administrative Law Judges, Adjudicators, and Hearing Officers""; ""Administrative Services Managers""; ""Advertising and Promotions Managers""; ""Air Traffic Controllers""; ""Animal Breeders""; ""Anthropologists and Archeologists""; ""Anthropology and Archeology Teachers, Postsecondary""; ""Architects, Except Landscape and Naval""; ""Architectural and Civil Drafters""; ""Architecture Teachers, Postsecondary""; ""Archivists""; ""Art Directors""; ""Art Therapists""; ""Art, Drama, and Music Teachers, Postsecondary""; ""Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary""; ""Bailiffs""; ""Biofuels Production Managers""; ""Biological Technicians""; ""Bookkeeping, Accounting, and Auditing Clerks""; ""Brokerage Clerks""; ""Business Continuity Planners""; ""Business Intelligence Analysts""; ""Camera Operators, Television, Video, and Film""; ""Cartographers and Photogrammetrists""; ""Chief Executives""; ""Chief Sustainability Officers""; ""Civil Engineers""; ""Commercial and Industrial Designers""; ""Communications Teachers, Postsecondary""; ""Compliance Managers""; ""Computer Network Support Specialists""; ""Computer Programmers""; ""Computer Systems Analysts""; ""Computer Systems Engineers/Architects""; ""Computer User Support Specialists""; ""Computer, Automated Teller, and Office Machine Repairers""; ""Conservation Scientists""; ""Construction Managers""; ""Correctional Officers and Jailers""; ""Cost Estimators""; ""Court, Municipal, and License Clerks""; ""Curators""; ""Customer Service Representatives""; ""Database Architects""; ""Desktop Publishers""; ""Document Management Specialists""; ""Editors""; ""Electrical and Electronic Engineering Technologists and Technicians""; ""Electrical and Electronics Installers and Repairers, Transportation Equipment""; ""Electricians""; ""Entertainment and Recreation Managers, Except Gambling""; ""Environmental Compliance Inspectors""; ""Environmental Restoration Planners""; ""Environmental Science Teachers, Postsecondary""; ""Environmental Science and Protection Technicians, Including Health""; ""Environmental Scientists and Specialists, Including Health""; ""Executive Secretaries and Executive Administrative Assistants""; ""Facilities Managers""; ""Fashion Designers""; ""File Clerks""; ""Financial Managers""; ""Fine Artists, Including Painters, Sculptors, and Illustrators""; ""First-Line Supervisors of Construction Trades and Extraction Workers""; ""First-Line Supervisors of Office and Administrative Support Workers""; ""First-Line Supervisors of Retail Sales Workers""; ""Fitness and Wellness Coordinators""; ""Fundraising Managers""; ""General and Operations Managers""; ""Geographic Information Systems Technologists and Technicians""; ""Geoscientists, Except Hydrologists and Geographers""; ""Government Property Inspectors and Investigators""; ""Graphic Designers""; ""Heating, Air Conditioning, and Refrigeration Mechanics and Installers""; ""Helpers--Production Workers""; ""Historians""; ""Human Factors Engineers and Ergonomists""; ""Human Resources Specialists""; ""Hydrologic Technicians""; ""Industrial Ecologists""; ""Industrial Production Managers""; ""Industrial-Organizational Psychologists""; ""Information Technology Project Managers""; ""Instructional Coordinators""; ""Insurance Appraisers, Auto Damage""; ""Interior Designers""; ""Judges, Magistrate Judges, and Magistrates""; ""Judicial Law Clerks""; ""Landscape Architects""; ""Lawyers""; ""Legal Secretaries and Administrative Assistants""; ""Legislators""; ""Librarians and Media Collections Specialists""; ""Library Assistants, Clerical""; ""Library Technicians""; ""Mail Clerks and Mail Machine Operators, Except Postal Service""; ""Management Analysts""; ""Marine Engineers and Naval Architects""; ""Market Research Analysts and Marketing Specialists""; ""Marketing Managers""; ""Media Programming Directors""; ""Medical and Health Services Managers""; ""Mental Health and Substance Abuse Social Workers""; ""Merchandise Displayers and Window Trimmers""; ""Museum Technicians and Conservators""; ""Natural Sciences Managers""; ""Network and Computer Systems Administrators""; ""Office Clerks, General""; ""Office Machine Operators, Except Computer""; ""Order Clerks""; ""Paper Goods Machine Setters, Operators, and Tenders""; ""Paralegals and Legal Assistants""; ""Park Naturalists""; ""Parts Salespersons""; ""Photographers""; ""Poets, Lyricists and Creative Writers""; ""Political Scientists""; ""Prepress Technicians and Workers""; ""Printing Press Operators""; ""Producers and Directors""; ""Production, Planning, and Expediting Clerks""; ""Project Management Specialists""; ""Proofreaders and Copy Markers""; ""Public Relations Managers""; ""Public Relations Specialists""; ""Purchasing Agents, Except Wholesale, Retail, and Farm Products""; ""Quality Control Analysts""; ""Quality Control Systems Managers""; ""Rail Car Repairers""; ""Real Estate Sales Agents""; ""Regulatory Affairs Managers""; ""Regulatory Affairs Specialists""; ""Retail Salespersons""; ""Sales Managers""; ""Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products""; ""Sawing Machine Setters, Operators, and Tenders, Wood""; ""Secretaries and Administrative Assistants, Except Legal, Medical, and Executive""; ""Security Management Specialists""; ""Self-Enrichment Teachers""; ""Set and Exhibit Designers""; ""Shoe Machine Operators and Tenders""; ""Social Work Teachers, Postsecondary""; ""Sociologists""; ""Software Developers""; ""Software Quality Assurance Analysts and Testers""; ""Solar Sales Representatives and Assessors""; ""Sound Engineering Technicians""; ""Special Education Teachers, Secondary School""; ""Special Effects Artists and Animators""; ""Sustainability Specialists""; ""Technical Writers""; ""Title Examiners, Abstractors, and Searchers""; ""Training and Development Managers""; ""Training and Development Specialists""; ""Transportation Inspectors""; ""Transportation Planners""; ""Umpires, Referees, and Other Sports Officials""; ""Urban and Regional Planners""; ""Veterinarians""; ""Web Administrators""; ""Web Developers""; ""Web and Digital Interface Designers""; ""Woodworking Machine Setters, Operators, and Tenders, Except Sawing""; ""Word Processors and Typists""; ""Writers and Authors"""
AdSense Tracker,Data base user interface and query software,43232306,0,0,2,632,"""Chief Executives""; ""Marketing Managers"""
Atlassian JIRA,Content workflow software,43232201,1,0,53,46,"""Administrative Services Managers""; ""Aerospace Engineering and Operations Technologists and Technicians""; ""Animal Trainers""; ""Architectural and Engineering Managers""; ""Art Directors""; ""Automotive Engineers""; ""Blockchain Engineers""; ""Business Continuity Planners""; ""Business Intelligence Analysts""; ""Buyers and Purchasing Agents, Farm Products""; ""Career/Technical Education Teachers, Middle School""; ""Chief Executives""; ""Computer Network Architects""; ""Computer Programmers""; ""Computer Systems Analysts""; ""Computer Systems Engineers/Architects""; ""Computer User Support Specialists""; ""Computer and Information Systems Managers""; ""Data Scientists""; ""Data Warehousing Specialists""; ""Database Administrators""; ""Database Architects""; ""Financial Risk Specialists""; ""Forestry and Conservation Science Teachers, Postsecondary""; ""General and Operations Managers""; ""Geographic Information Systems Technologists and Technicians""; ""Human Factors Engineers and Ergonomists""; ""Industrial Ecologists""; ""Information Security Analysts""; ""Information Security Engineers""; ""Information Technology Project Managers""; ""Inspectors, Testers, Sorters, Samplers, and Weighers""; ""Management Analysts""; ""Marketing Managers""; ""Mathematicians""; ""Media Technical Directors/Managers""; ""Network and Computer Systems Administrators""; ""Producers and Directors""; ""Project Management Specialists""; ""Quality Control Analysts""; ""Quality Control Systems Managers""; ""Remote Sensing Scientists and Technologists""; ""Remote Sensing Technicians""; ""Robotics Engineers""; ""Sales Engineers""; ""Secretaries and Administrative Assistants, Except Legal, Medical, and Executive""; ""Software Developers""; ""Software Quality Assurance Analysts and Testers""; ""Technical Writers""; ""Validation Engineers""; ""Video Game Designers""; ""Web Developers""; ""Web and Digital Interface Designers"""
Blackbaud The Raiser's Edge,Customer relationship management CRM software,43232303,0,0,44,155,"""Accountants and Auditors""; ""Administrative Services Managers""; ""Bookkeeping, Accounting, and Auditing Clerks""; ""Business Intelligence Analysts""; ""Chief Executives""; ""Computer Systems Analysts""; ""Computer and Information Systems Managers""; ""Customer Service Representatives""; ""Data Entry Keyers""; ""Data Warehousing Specialists""; ""Database Administrators""; ""Database Architects""; ""Education Administrators, Postsecondary""; ""Educational, Guidance, and Career Counselors and Advisors""; ""Executive Secretaries and Executive Administrative Assistants""; ""Facilities Managers""; ""Financial Managers""; ""First-Line Supervisors of Office and Administrative Support Workers""; ""Fundraisers""; ""Fundraising Managers""; ""General and Operations Managers""; ""Health Education Specialists""; ""Human Resources Specialists""; ""Information Technology Project Managers""; ""Management Analysts""; ""Market Research Analysts and Marketing Specialists""; ""Marketing Managers""; ""Medical and Health Services Managers""; ""Meeting, Convention, and Event Planners""; ""Network and Computer Systems Administrators""; ""Office Clerks, General""; ""Operations Research Analysts""; ""Public Relations Managers""; ""Public Relations Specialists""; ""Receptionists and Information Clerks""; ""Sales Managers""; ""Secretaries and Administrative Assistants, Except Legal, Medical, and Executive""; ""Social and Community Service Managers""; ""Software Developers""; ""Software Quality Assurance Analysts and Testers""; ""Training and Development Managers""; ""Training and Development Specialists""; ""Treasurers and Controllers""; ""Writers and Authors"""
ComputerEase construction accounting software,Accounting software,43231601,0,0,3,178,"""Bookkeeping, Accounting, and Auditing Clerks""; ""Chief Executives""; ""First-Line Supervisors of Mechanics, Installers, and Repairers"""
Database reporting software,Data base reporting software,43232305,0,0,3,92,"""Chief Executives""; ""Marketing Managers""; ""Purchasing Agents, Except Wholesale, Retail, and Farm Products"""
Databox,Data base user interface and query software,43232306,0,0,2,632,"""Chief Executives""; ""Marketing Managers"""
Email software,Electronic mail software,43233501,0,0,276,735,"""Actors""; ""Adapted Physical Education Specialists""; ""Administrative Law Judges, Adjudicators, and Hearing Officers""; ""Administrative Services Managers""; ""Advertising Sales Agents""; ""Advertising and Promotions Managers""; ""Agents and Business Managers of Artists, Performers, and Athletes""; ""Agricultural Sciences Teachers, Postsecondary""; ""Agricultural Technicians""; ""Allergists and Immunologists""; ""Anesthesiologist Assistants""; ""Animal Breeders""; ""Animal Scientists""; ""Anthropology and Archeology Teachers, Postsecondary""; ""Architecture Teachers, Postsecondary""; ""Area, Ethnic, and Cultural Studies Teachers, Postsecondary""; ""Art, Drama, and Music Teachers, Postsecondary""; ""Athletes and Sports Competitors""; ""Athletic Trainers""; ""Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary""; ""Bailiffs""; ""Bakers""; ""Biochemists and Biophysicists""; ""Biofuels/Biodiesel Technology and Product Development Managers""; ""Biological Science Teachers, Postsecondary""; ""Bridge and Lock Tenders""; ""Broadcast Technicians""; ""Budget Analysts""; ""Business Teachers, Postsecondary""; ""Camera Operators, Television, Video, and Film""; ""Camera and Photographic Equipment Repairers""; ""Career/Technical Education Teachers, Middle School""; ""Career/Technical Education Teachers, Postsecondary""; ""Career/Technical Education Teachers, Secondary School""; ""Cargo and Freight Agents""; ""Cartographers and Photogrammetrists""; ""Chefs and Head Cooks""; ""Chemical Technicians""; ""Chemistry Teachers, Postsecondary""; ""Chief Executives""; ""Chief Sustainability Officers""; ""Choreographers""; ""Civil Engineering Technologists and Technicians""; ""Civil Engineers""; ""Clergy""; ""Clinical Neuropsychologists""; ""Clinical Nurse Specialists""; ""Coin, Vending, and Amusement Machine Servicers and Repairers""; ""Commercial and Industrial Designers""; ""Communications Teachers, Postsecondary""; ""Compliance Managers""; ""Computer Science Teachers, Postsecondary""; ""Computer, Automated Teller, and Office Machine Repairers""; ""Conservation Scientists""; ""Construction Managers""; ""Construction and Building Inspectors""; ""Cooks, Private Household""; ""Coroners""; ""Court, Municipal, and License Clerks""; ""Craft Artists""; ""Credit Authorizers, Checkers, and Clerks""; ""Credit Counselors""; ""Criminal Justice and Law Enforcement Teachers, Postsecondary""; ""Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders""; ""Demonstrators and Product Promoters""; ""Dental Assistants""; ""Dental Hygienists""; ""Dental Laboratory Technicians""; ""Dermatologists""; ""Detectives and Criminal Investigators""; ""Diagnostic Medical Sonographers""; ""Directors, Religious Activities and Education""; ""Dispatchers, Except Police, Fire, and Ambulance""; ""Economics Teachers, Postsecondary""; ""Education Teachers, Postsecondary""; ""Educational, Guidance, and Career Counselors and Advisors""; ""Electrical Power-Line Installers and Repairers""; ""Electrical and Electronics Repairers, Commercial and Industrial Equipment""; ""Elementary School Teachers, Except Special Education""; ""Eligibility Interviewers, Government Programs""; ""Endoscopy Technicians""; ""Engineering Teachers, Postsecondary""; ""English Language and Literature Teachers, Postsecondary""; ""Environmental Engineering Technologists and Technicians""; ""Environmental Restoration Planners""; ""Environmental Science Teachers, Postsecondary""; ""Environmental Science and Protection Technicians, Including Health""; ""Excavating and Loading Machine and Dragline Operators, Surface Mining""; ""Exercise Physiologists""; ""Exercise Trainers and Group Fitness Instructors""; ""Facilities Managers""; ""Family Medicine Physicians""; ""Family and Consumer Sciences Teachers, Postsecondary""; ""Farmers, Ranchers, and Other Agricultural Managers""; ""File Clerks""; ""Financial and Investment Analysts""; ""Fine Artists, Including Painters, Sculptors, and Illustrators""; ""Fire Inspectors and Investigators""; ""Firefighters""; ""First-Line Supervisors of Correctional Officers""; ""First-Line Supervisors of Firefighting and Prevention Workers""; ""First-Line Supervisors of Housekeeping and Janitorial Workers""; ""First-Line Supervisors of Mechanics, Installers, and Repairers""; ""First-Line Supervisors of Police and Detectives""; ""First-Line Supervisors of Production and Operating Workers""; ""Fitness and Wellness Coordinators""; ""Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders""; ""Foreign Language and Literature Teachers, Postsecondary""; ""Forestry and Conservation Science Teachers, Postsecondary""; ""Forging Machine Setters, Operators, and Tenders, Metal and Plastic""; ""Freight Forwarders""; ""Fundraisers""; ""Funeral Home Managers""; ""Gambling Dealers""; ""General Internal Medicine Physicians""; ""Geneticists""; ""Geodetic Surveyors""; ""Geographic Information Systems Technologists and Technicians""; ""Geography Teachers, Postsecondary""; ""Geoscientists, Except Hydrologists and Geographers""; ""Geothermal Technicians""; ""Government Property Inspectors and Investigators""; ""Health Information Technologists and Medical Registrars""; ""Health Specialties Teachers, Postsecondary""; ""Healthcare Social Workers""; ""Historians""; ""History Teachers, Postsecondary""; ""Hospitalists""; ""Human Resources Assistants, Except Payroll and Timekeeping""; ""Hydroelectric Production Managers""; ""Hydrologic Technicians""; ""Hydrologists""; ""Industrial Ecologists""; ""Industrial Engineering Technologists and Technicians""; ""Industrial Production Managers""; ""Instructional Coordinators""; ""Insurance Appraisers, Auto Damage""; ""Intelligence Analysts""; ""Interior Designers""; ""Judges, Magistrate Judges, and Magistrates""; ""Laundry and Dry-Cleaning Workers""; ""Law Teachers, Postsecondary""; ""Legal Secretaries and Administrative Assistants""; ""Librarians and Media Collections Specialists""; ""Library Science Teachers, Postsecondary""; ""Library Technicians""; ""Lodging Managers""; ""Maids and Housekeeping Cleaners""; ""Mail Clerks and Mail Machine Operators, Except Postal Service""; ""Makeup Artists, Theatrical and Performance""; ""Manufactured Building and Mobile Home Installers""; ""Materials Scientists""; ""Mathematical Science Teachers, Postsecondary""; ""Media Programming Directors""; ""Medical Assistants""; ""Medical Equipment Preparers""; ""Medical Records Specialists""; ""Medical Secretaries and Administrative Assistants""; ""Medical Transcriptionists""; ""Medical and Clinical Laboratory Technicians""; ""Medical and Clinical Laboratory Technologists""; ""Mental Health Counselors""; ""Mental Health and Substance Abuse Social Workers""; ""Merchandise Displayers and Window Trimmers""; ""Microbiologists""; ""Middle School Teachers, Except Special and Career/Technical Education""; ""Midwives""; ""Mixing and Blending Machine Setters, Operators, and Tenders""; ""Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic""; ""Music Therapists""; ""Musicians and Singers""; ""Neurologists""; ""Neuropsychologists""; ""New Accounts Clerks""; ""Nursing Instructors and Teachers, Postsecondary""; ""Obstetricians and Gynecologists""; ""Occupational Health and Safety Technicians""; ""Occupational Therapists""; ""Occupational Therapy Assistants""; ""Ophthalmic Medical Technicians""; ""Ophthalmic Medical Technologists""; ""Ophthalmologists, Except Pediatric""; ""Order Clerks""; ""Orthoptists""; ""Orthotists and Prosthetists""; ""Packaging and Filling Machine Operators and Tenders""; ""Park Naturalists""; ""Parking Attendants""; ""Passenger Attendants""; ""Paving, Surfacing, and Tamping Equipment Operators""; ""Payroll and Timekeeping Clerks""; ""Pediatricians, General""; ""Personal Care Aides""; ""Pest Control Workers""; ""Petroleum Pump System Operators, Refinery Operators, and Gaugers""; ""Philosophy and Religion Teachers, Postsecondary""; ""Photographers""; ""Physical Medicine and Rehabilitation Physicians""; ""Physical Therapist Assistants""; ""Physics Teachers, Postsecondary""; ""Pile Driver Operators""; ""Plumbers, Pipefitters, and Steamfitters""; ""Podiatrists""; ""Police and Sheriff's Patrol Officers""; ""Political Science Teachers, Postsecondary""; ""Political Scientists""; ""Postmasters and Mail Superintendents""; ""Power Plant Operators""; ""Preschool Teachers, Except Special Education""; ""Pressers, Textile, Garment, and Related Materials""; ""Preventive Medicine Physicians""; ""Print Binding and Finishing Workers""; ""Printing Press Operators""; ""Private Detectives and Investigators""; ""Probation Officers and Correctional Treatment Specialists""; ""Producers and Directors""; ""Psychiatric Aides""; ""Psychology Teachers, Postsecondary""; ""Radiologists""; ""Real Estate Sales Agents""; ""Receptionists and Information Clerks""; ""Recreation and Fitness Studies Teachers, Postsecondary""; ""Recreational Therapists""; ""Recreational Vehicle Service Technicians""; ""Recycling Coordinators""; ""Rehabilitation Counselors""; ""Reservation and Transportation Ticket Agents and Travel Clerks""; ""Residential Advisors""; ""Rolling Machine Setters, Operators, and Tenders, Metal and Plastic""; ""School Psychologists""; ""Search Marketing Strategists""; ""Secondary School Teachers, Except Special and Career/Technical Education""; ""Securities, Commodities, and Financial Services Sales Agents""; ""Self-Enrichment Teachers""; ""Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders""; ""Sewing Machine Operators""; ""Shampooers""; ""Social Work Teachers, Postsecondary""; ""Sociologists""; ""Sociology Teachers, Postsecondary""; ""Special Education Teachers, Elementary School""; ""Special Education Teachers, Kindergarten""; ""Special Education Teachers, Middle School""; ""Special Education Teachers, Preschool""; ""Special Education Teachers, Secondary School""; ""Speech-Language Pathologists""; ""Speech-Language Pathology Assistants""; ""Sports Medicine Physicians""; ""Stationary Engineers and Boiler Operators""; ""Stockers and Order Fillers""; ""Substance Abuse and Behavioral Disorder Counselors""; ""Surgical Technologists""; ""Survey Researchers""; ""Surveying and Mapping Technicians""; ""Talent Directors""; ""Tax Examiners and Collectors, and Revenue Agents""; ""Tax Preparers""; ""Teaching Assistants, Postsecondary""; ""Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education""; ""Teaching Assistants, Special Education""; ""Telecommunications Line Installers and Repairers""; ""Tellers""; ""Tour Guides and Escorts""; ""Transportation Inspectors""; ""Transportation Security Screeners""; ""Transportation, Storage, and Distribution Managers""; ""Tutors""; ""Umpires, Referees, and Other Sports Officials""; ""Urban and Regional Planners""; ""Urologists""; ""Validation Engineers""; ""Web Administrators""; ""Weighers, Measurers, Checkers, and Samplers, Recordkeeping""; ""Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders""; ""Wholesale and Retail Buyers, Except Farm Products""; ""Zoologists and Wildlife Biologists"""
Enterprise resource planning ERP software,Enterprise resource planning ERP software,43231602,0,0,73,381,"""Adhesive Bonding Machine Operators and Tenders""; ""Aerospace Engineering and Operations Technologists and Technicians""; ""Agricultural Engineers""; ""Air Traffic Controllers""; ""Aircraft Structure, Surfaces, Rigging, and Systems Assemblers""; ""Arbitrators, Mediators, and Conciliators""; ""Aviation Inspectors""; ""Avionics Technicians""; ""Biofuels Processing Technicians""; ""Bioinformatics Technicians""; ""Brownfield Redevelopment Specialists and Site Managers""; ""Budget Analysts""; ""Business Intelligence Analysts""; ""Chief Executives""; ""Compensation and Benefits Managers""; ""Computer Numerically Controlled Tool Operators""; ""Computer Numerically Controlled Tool Programmers""; ""Computer User Support Specialists""; ""Correspondence Clerks""; ""Electrical and Electronics Drafters""; ""Environmental Compliance Inspectors""; ""Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders""; ""Fiberglass Laminators and Fabricators""; ""First-Line Supervisors of Farming, Fishing, and Forestry Workers""; ""First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand""; ""First-Line Supervisors of Material-Moving Machine and Vehicle Operators""; ""First-Line Supervisors of Passenger Attendants""; ""First-Line Supervisors of Security Workers""; ""Forest Fire Inspectors and Prevention Specialists""; ""Fuel Cell Engineers""; ""Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic""; ""Helpers--Extraction Workers""; ""Helpers--Production Workers""; ""Home Health Aides""; ""Human Resources Assistants, Except Payroll and Timekeeping""; ""Hydroelectric Production Managers""; ""Industrial Ecologists""; ""Industrial Engineering Technologists and Technicians""; ""Library Science Teachers, Postsecondary""; ""Log Graders and Scalers""; ""Logisticians""; ""Logistics Engineers""; ""Manufacturing Engineers""; ""Materials Engineers""; ""Midwives""; ""Mining and Geological Engineers, Including Mining Safety Engineers""; ""Mixing and Blending Machine Setters, Operators, and Tenders""; ""Motion Picture Projectionists""; ""Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic""; ""Nanosystems Engineers""; ""Network and Computer Systems Administrators""; ""Packaging and Filling Machine Operators and Tenders""; ""Petroleum Engineers""; ""Photonics Technicians""; ""Procurement Clerks""; ""Purchasing Managers""; ""Rail-Track Laying and Maintenance Equipment Operators""; ""Remote Sensing Technicians""; ""Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products""; ""Ship Engineers""; ""Software Developers""; ""Software Quality Assurance Analysts and Testers""; ""Structural Metal Fabricators and Fitters""; ""Team Assemblers""; ""Transportation, Storage, and Distribution Managers""; ""Upholsterers""; ""Urban and Regional Planners""; ""Weighers, Measurers, Checkers, and Samplers, Recordkeeping""; ""Welders, Cutters, Solderers, and Brazers""; ""Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders""; ""Wholesale and Retail Buyers, Except Farm Products""; ""Wind Energy Engineers""; ""Woodworking Machine Setters, Operators, and Tenders, Except Sawing"""
Exact Software Macola ES Labor Performance,Time accounting software,43231605,0,0,2,75,"""Chief Executives""; ""Human Resources Managers"""
