Column,Correlation,AbsCorrelation,Correlation Rank,AbsCorrelation Rank
Price,0.3624034267981248,0.3624034267981248,1,1
Horsepower (kW),0.2997338861473619,0.2997338861473619,2,2
Upholstery Material_Full leather,0.2778148610887699,0.2778148610887699,3,3
make_model_Renault Espace,0.2554558668752779,0.2554558668752779,4,4
Body Type_Van,0.2384039233956497,0.2384039233956497,5,5
Heads-up display,0.22994326570881962,0.22994326570881962,6,6
CO2 Emission (g CO2/km (comb)),0.21357030680594707,0.21357030680594707,7,7
Weight (kg),0.2050792498796764,0.2050792498796764,8,8
Cylinders,0.1998919306235509,0.1998919306235509,9,9
Upholstery Color_Brown,0.1803335384245306,0.1803335384245306,10,10
LED Headlights,0.17800241944543138,0.17800241944543138,11,11
Electrically adjustable seats,0.1776785509378857,0.1776785509378857,12,12
Blind spot monitor,0.16172636918884317,0.16172636918884317,13,13
Displacement (cc),0.1613410000104771,0.1613410000104771,14,14
Type_New,0.1539414148571181,0.1539414148571181,15,15
Massage seats,0.15089751960466483,0.15089751960466483,16,16
Panorama roof,0.14809502670917574,0.14809502670917574,17,17
Digital radio,0.14792371676770708,0.14792371676770708,18,18
Traffic sign recognition,0.14667708524454767,0.14667708524454767,19,19
Adaptive Cruise Control,0.1440022916252876,0.1440022916252876,20,20
Parking assist system self-steering,0.13839226309342434,0.13839226309342434,21,21
Parking assist system camera,0.13493087135103593,0.13493087135103593,22,22
Lane departure warning system,0.13287091089243327,0.13287091089243327,23,23
Type_Used,-0.1321971254702472,0.1321971254702472,172,24
Seat ventilation,0.13166255286377854,0.13166255286377854,24,25
make_model_Opel Insignia,0.12889997583429325,0.12889997583429325,25,26
Electric tailgate,0.126467245675616,0.126467245675616,26,27
Previous Owners,-0.123186903142655,0.123186903142655,171,28
Country version_Netherlands,0.12237162996794436,0.12237162996794436,27,29
# of Seats,0.12219138244209898,0.12219138244209898,28,30
Gearing Type_Semi-automatic,0.12169536396568048,0.12169536396568048,29,31
Sunroof,0.11942898062992252,0.11942898062992252,30,32
Drive chain_front,-0.11731071519008598,0.11731071519008598,170,33
Gearing Type_Manual,-0.11621791781719316,0.11621791781719316,169,34
