Column,Correlation,AbsCorrelation,Correlation Rank,AbsCorrelation Rank
LinReg Overpredicted,0.09424719330605716,0.09424719330605716,1,1
Type_Used,-0.07756694628053172,0.07756694628053172,174,2
Registration,0.06408253969778732,0.06408253969778732,2,3
Type_New,0.06204601555073247,0.06204601555073247,3,4
CO2 Emission (g CO2/km (comb)),0.058118667870996885,0.058118667870996885,4,5
make_model_Audi A3,-0.05511122572381451,0.05511122572381451,173,6
Previous Owners,-0.05448535320114292,0.05448535320114292,172,7
Price,0.054036738337511034,0.054036738337511034,5,8
Horsepower (kW),0.05143674037331053,0.05143674037331053,6,9
Alarm system,-0.05046065049198582,0.05046065049198582,171,10
Parking assist system sensors rear,-0.0504033130555244,0.0504033130555244,170,11
make_model_Opel Insignia,0.05036826806437617,0.05036826806437617,7,12
make_model_Opel Astra,-0.04801745554931444,0.04801745554931444,169,13
Traffic sign recognition,0.04492226292799788,0.04492226292799788,8,14
Blind spot monitor,0.04439979564813426,0.04439979564813426,9,15
Upholstery Material_Other,-0.04406754824338906,0.04406754824338906,168,16
Split rear seats,-0.042354435713261626,0.042354435713261626,167,17
Upholstery Material_Part leather,0.04112700434255414,0.04112700434255414,10,18
Head airbag,-0.040463562712768214,0.040463562712768214,166,19
Tire pressure monitoring system,-0.040307449072584885,0.040307449072584885,165,20
Side airbag,-0.03905370442899584,0.03905370442899584,164,21
Cruise control,-0.03869486505968541,0.03869486505968541,163,22
Traction control,-0.03865178757397415,0.03865178757397415,162,23
Keyless central door lock,0.03844078049015723,0.03844078049015723,11,24
Central door lock with remote control,-0.03750635696550482,0.03750635696550482,161,25
Lane departure warning system,0.03711953720344031,0.03711953720344031,12,26
Emergency brake assistant,0.037096030331931186,0.037096030331931186,13,27
Ski bag,-0.03686910202807187,0.03686910202807187,160,28
Leather steering wheel,-0.036720860012304506,0.036720860012304506,159,29
KM,-0.0364202384514673,0.0364202384514673,158,30
Touch screen,-0.03485996787561548,0.03485996787561548,157,31
Multi-function steering wheel,-0.034489021218354794,0.034489021218354794,156,32
Inspection new,-0.03410433238907101,0.03410433238907101,155,33
Cylinders,-0.03403011452476687,0.03403011452476687,154,34
Winter tyres,-0.03372468755991447,0.03372468755991447,153,35
LED Headlights,0.03362429911595025,0.03362429911595025,14,36
Gearing Type_Semi-automatic,-0.03348026834271314,0.03348026834271314,152,37
Emergency system,-0.03342020974754933,0.03342020974754933,151,38
Park Distance Control,-0.03269414864256336,0.03269414864256336,150,39
make_model_Renault Espace,0.0326600318053435,0.0326600318053435,15,40
Weight (kg),0.0325968340679694,0.0325968340679694,16,41
Voice Control,-0.03252514256662364,0.03252514256662364,149,42
Parking assist system self-steering,0.0324853372448582,0.0324853372448582,17,43
Alloy wheels,-0.03232042892379524,0.03232042892379524,148,44
Electrically heated windshield,-0.03137348269350765,0.03137348269350765,147,45
Electrically adjustable seats,0.0308838771112222,0.0308838771112222,18,46
Body Color_Other,-0.030818617316961894,0.030818617316961894,146,47
Type_Pre-registered,0.030346640815196686,0.030346640815196686,19,48
make_model_Renault Clio,0.02903149050349818,0.02903149050349818,20,49
Body Type_Station wagon,0.029002377070638314,0.029002377070638314,21,50
Upholstery Material_Full leather,0.028645124241350763,0.028645124241350763,22,51
Emission Label_4 (Green),0.02837353745973772,0.02837353745973772,23,52
Body Type_Sedans,-0.0279136514135003,0.0279136514135003,145,53
Hands-free equipment,-0.027814015310096963,0.027814015310096963,144,54
Light sensor,-0.02669322510576232,0.02669322510576232,143,55
Bluetooth,-0.026367011477948843,0.026367011477948843,142,56
Parking assist system sensors front,-0.025750409925822768,0.025750409925822768,141,57
Country version_Netherlands,-0.02556426427161207,0.02556426427161207,140,58
Body Type_Van,0.02545057090537467,0.02545057090537467,24,59
On-board computer,-0.025309985879386727,0.025309985879386727,139,60
Adaptive headlights,0.025282723680697287,0.025282723680697287,25,61
Power steering,-0.02405561143745133,0.02405561143745133,138,62
Electrical side mirrors,-0.02374551952658996,0.02374551952658996,137,63
Cab or rented Car,-0.023586959875029484,0.023586959875029484,136,64
Gears,-0.02352024317585168,0.02352024317585168,135,65
Country version_Italy,-0.023492808918652783,0.023492808918652783,134,66
Body Color_Silver,-0.022925132065607857,0.022925132065607857,133,67
Armrest,-0.02215939377284607,0.02215939377284607,132,68
LED Daytime Running Lights,-0.02191131838983818,0.02191131838983818,131,69
Upholstery Color_Grey,0.021871777339366648,0.021871777339366648,26,70
Consumption (L /100 km) comb,0.021788932883547166,0.021788932883547166,27,71
Electric tailgate,0.021519753633683622,0.021519753633683622,28,72
Television,-0.02143388276563827,0.02143388276563827,130,73
Wind deflector,-0.020965207220919456,0.020965207220919456,129,74
Catalytic Converter,-0.02047044502750633,0.02047044502750633,128,75
make_model_Opel Corsa,-0.019715037319504747,0.019715037319504747,127,76
Parking assist system camera,0.019416075786134544,0.019416075786134544,29,77
Country version_Germany,0.019212857447088158,0.019212857447088158,30,78
Heads-up display,0.01902450089737907,0.01902450089737907,31,79
Drive chain_front,0.01894242250091917,0.01894242250091917,32,80
Fuel_Gasoline and Others,0.018866634259713872,0.018866634259713872,33,81
Rain sensor,-0.01884797201976635,0.01884797201976635,126,82
Air conditioning,-0.01765401164837605,0.01765401164837605,125,83
Trailer hitch,-0.017565229790774843,0.017565229790774843,124,84
LogReg Prediction,0.01740574435424422,0.01740574435424422,34,85
Gearing Type_Manual,0.017232973218149688,0.017232973218149688,35,86
Seat ventilation,-0.01716772384498398,0.01716772384498398,123,87
Auxiliary heating,-0.016881620881128163,0.016881620881128163,122,88
Body Type_Transporter,-0.01628886917716647,0.01628886917716647,121,89
Body Type_Convertible,0.01627684800499538,0.01627684800499538,36,90
Fog lights,-0.01613106009491449,0.01613106009491449,120,91
Digital radio,0.01561301906823974,0.01561301906823974,37,92
MP3,-0.015489882003013225,0.015489882003013225,119,93
Fuel_Natural gas,-0.01524780674862721,0.01524780674862721,118,94
Immobilizer,-0.014867651413223205,0.014867651413223205,117,95
Sport seats,0.014486522194236176,0.014486522194236176,38,96
Sport package,0.014392817874740867,0.014392817874740867,39,97
Air suspension,-0.014274473879896835,0.014274473879896835,116,98
CD player,-0.014216748104934248,0.014216748104934248,115,99
Type_Employee's car,0.013938369163579642,0.013938369163579642,40,100
Central door lock,-0.013883785170318698,0.013883785170318698,114,101
Paint Type_Uni/basic,0.013786283898006728,0.013786283898006728,41,102
Panorama roof,0.013769040092409009,0.013769040092409009,42,103
Tinted windows,-0.013758582660401272,0.013758582660401272,113,104
Radio,-0.013664388130060469,0.013664388130060469,112,105
Country version_Belgium,-0.013342668387767553,0.013342668387767553,111,106
Body Color_Grey,0.0132351444733081,0.0132351444733081,43,107
USB,-0.013140116465251185,0.013140116465251185,110,108
Emission Class_Euro 5,0.013136416919830985,0.013136416919830985,44,109
Displacement (cc),0.01290938438499159,0.01290938438499159,45,110
Driver drowsiness detection,-0.012715583346234875,0.012715583346234875,109,111
Rear airbag,-0.012474477972925141,0.012474477972925141,108,112
Fuel_Liquid petroleum gas,0.012417481428988079,0.012417481428988079,46,113
Isofix,-0.0117813822607162,0.0117813822607162,107,114
# of Seats,0.01172904910117187,0.01172904910117187,47,115
Xenon headlights,-0.011670039148021788,0.011670039148021788,106,116
Emission Label_2 (Red),-0.011511374807305894,0.011511374807305894,105,117
Fuel_Hybrid,0.011507944662662199,0.011507944662662199,48,118
Body Color_White,0.010906659604445333,0.010906659604445333,49,119
# of Doors,-0.010723294813159234,0.010723294813159234,104,120
Automatic climate control,0.010632162438927159,0.010632162438927159,50,121
Leather seats,-0.009993951359530719,0.009993951359530719,103,122
Windshield,-0.009976738554092358,0.009976738554092358,102,123
Right hand drive,-0.009971123661957352,0.009971123661957352,101,124
Massage seats,0.009848029186905376,0.009848029186905376,51,125
Passenger-side airbag,-0.009772978721149014,0.009772978721149014,100,126
Electronic stability control,0.009393199707821752,0.009393199707821752,52,127
Heated steering wheel,-0.009317142228971512,0.009317142228971512,99,128
Upholstery Material_alcantara,-0.009175642474872677,0.009175642474872677,98,129
ABS,-0.009168364616289566,0.009168364616289566,97,130
Night view assist,-0.008731200288898696,0.008731200288898696,96,131
Warranty (months),-0.008436370181619862,0.008436370181619862,95,132
Hill Holder,-0.00774377811106754,0.00774377811106754,94,133
Sound system,0.0076113000732353515,0.0076113000732353515,53,134
Country version_Czech Republic,0.007253789731215475,0.007253789731215475,54,135
Paint Type_Perl effect,0.007045747558976564,0.007045747558976564,55,136
Shift paddles,0.007004747900204021,0.007004747900204021,56,137
Driver-side airbag,-0.006483198047376811,0.006483198047376811,93,138
Upholstery Color_Brown,0.006200455162986962,0.006200455162986962,57,139
Country version_Denmark,0.006008436156979799,0.006008436156979799,58,140
Body Color_Blue,0.005832202169516338,0.005832202169516338,59,141
Emission Label_3 (Yellow),0.0057534006784230665,0.0057534006784230665,60,142
Electric Starter,0.005753400678423064,0.005753400678423064,61,143
Sunroof,0.005473966464210426,0.005473966464210426,62,144
Country version_Hungary,-0.005450835715596276,0.005450835715596276,92,145
Country version_Other,0.005277583173912722,0.005277583173912722,63,146
Body Type_Off-Road,-0.005157425218486204,0.005157425218486204,91,147
Adaptive Cruise Control,-0.005093983936858527,0.005093983936858527,90,148
Country version_European Union,0.004928542903197903,0.004928542903197903,64,149
Sport suspension,0.004815430963550331,0.004815430963550331,65,150
Daytime running lights,-0.00451900925180621,0.00451900925180621,89,151
Upholstery Color_Other,-0.004103422993666587,0.004103422993666587,88,152
Emission Label_5 (Blue),0.00406597733352129,0.00406597733352129,66,153
Navigation system,-0.003945793386635543,0.003945793386635543,87,154
Country version_France,-0.0037482814869261834,0.0037482814869261834,86,155
Power windows,-0.0037379973145306488,0.0037379973145306488,85,156
Roof rack,0.0034253441819958722,0.0034253441819958722,67,157
Drive chain_rear,0.0028746992132286067,0.0028746992132286067,68,158
Handicapped enabled,-0.002432469991224743,0.002432469991224743,84,159
Upholstery Material_Velour,0.002221408706502631,0.002221408706502631,69,160
Body Type_Other,-0.0021688891188847317,0.0021688891188847317,83,161
Start-stop system,0.002052405787207891,0.002052405787207891,70,162
Country version_Spain,-0.001993413179943407,0.001993413179943407,82,163
Country version_Poland,0.0016709801992073952,0.0016709801992073952,71,164
Tuned car,0.0015912649131644265,0.0015912649131644265,72,165
Emission Class_Euro 6d,0.001452686055433101,0.001452686055433101,73,166
Seat heating,-0.0012061452595606272,0.0012061452595606272,81,167
Body Type_Coupe,0.001144272392387423,0.001144272392387423,74,168
Emission Class_Euro 6c,-0.0010548965051814753,0.0010548965051814753,80,169
Emission Class_Euro 6,-0.0010069724829387407,0.0010069724829387407,79,170
Body Color_Red,0.0007410205888925893,0.0007410205888925893,75,171
Emission Class_Euro 6d-TEMP,-0.0006433386015201712,0.0006433386015201712,78,172
Lumbar support,0.000247819923113576,0.000247819923113576,76,173
Sliding door,-2.6406577494734333e-06,2.6406577494734333e-06,77,174
