4MA Error,4MA Squared Error,4MA Absolute Error
-1458.25,2131286,1458.25
5188.0,26924205,5188.0
855.25,737655,855.25
-1470.5,2177079,1470.5
-768.75,591259,768.75
931.25,869000,931.25
-289.5,85038,289.5
1818.75,3308895,1818.75
-221.5,49540,221.5
507.75,260692,507.75
2789.0,7778758,2789.0
178.5,32320,178.5
-543.75,295758,543.75
634.75,403797,634.75
-1449.25,2100805,1449.25
-846.5,716720,846.5
2147.75,4631737,2147.75
-1083.25,1174035,1083.25
27.0,2020,43.5
3153.5,9947704,3153.5
-102.5,18885,102.5
342.75,117495,342.75
-897.0,804696,897.0
4064.0,16516344,4064.0
1051.0,1202546,1051.0
973.75,948268,973.75
-64.5,4433,64.5
-178.0,32394,178.0
1402.5,1967568,1402.5
1801.25,3244589,1801.25
-1027.0,1060894,1027.0
679.25,461914,679.25
2355.75,5549900,2355.75
-2163.25,4690110,2163.25
-520.0,270546,520.0
-211.5,44804,211.5
146.25,21504,146.25
-731.0,534667,731.0
-1010.75,1022001,1010.75
-97.0,9820,97.0
-499.0,251358,499.0
-46.5,2587,46.5
-828.75,693822,828.75
947.0,899362,947.0
-1307.25,1712969,1307.25
-659.75,435304,659.75
1393.5,1942202,1393.5
-503.25,253705,503.25
-2056.75,4232059,2056.75
-483.75,234292,483.75
1121.75,1258718,1121.75
2440.0,5953606,2440.0
374.75,140529,374.75
1496.0,2238524,1496.0
2487.75,6191343,2487.75
983.5,967808,983.5
2155.25,4645146,2155.25
11.5,1832,36.0
1737.0,3017252,1737.0
-272.0,74662,272.0
-648.75,421519,648.75
505.5,256167,505.5
-1830.0,3348940,1830.0
491.25,243462,491.25
1315.25,1732284,1315.25
947.5,897976,947.5
-330.5,109848,330.5
1234.75,1525619,1234.75
-1021.0,1047948,1021.0
62.0,4808,62.0
-222.75,51535,222.75
-671.25,450690,671.25
28.5,1423,29.0
-2180.25,4768721,2180.25
-45.25,2214,45.25
484.25,235191,484.25
114.75,24300,118.25
-1939.25,3762611,1939.25
3420.0,11696450,3420.0
3153.5,9947704,3153.5
1260.5,1594946,1260.5
-2306.0,5317888,2306.0
-789.25,623644,789.25
-948.75,900502,948.75
90.5,8908,90.5
-2892.5,8375212,2892.5
339.25,115822,339.25
-1438.0,2068164,1438.0
34.0,1645,34.0
1607.0,2583643,1607.0
