Rk,Player,Count,From,To,Ind. Seasons Link,Player-additional
1,Warren Spahn,14,1947,1963,Seasons List,spahnwa01
2,Mariano Rivera,13,1997,2013,Seasons List,riverma01
3,Tom Seaver,12,1967,1981,Seasons List,seaveto01
4,Roger Clemens,11,1986,2005,Seasons List,clemero02
5,Tom Glavine,10,1991,2006,Seasons List,glavito02
6,Randy Johnson,10,1990,2004,Seasons List,johnsra05
7,Steve Carlton,10,1968,1982,Seasons List,carltst01
8,Rich Gossage,9,1975,1985,Seasons List,gossari01
9,Juan Marichal,9,1962,1971,Seasons List,maricju01
10,Carl Hubbell,9,1933,1942,Seasons List,hubbeca01
11,Roy Halladay,8,2002,2011,Seasons List,hallaro01
12,Pedro Martínez,8,1996,2006,Seasons List,martipe02
13,John Smoltz,8,1989,2007,Seasons List,smoltjo01
14,Greg Maddux,8,1988,2000,Seasons List,maddugr01
15,Nolan Ryan,8,1972,1989,Seasons List,ryanno01
16,Catfish Hunter,8,1966,1976,Seasons List,hunteca01
17,Bob Gibson,8,1962,1972,Seasons List,gibsobo01
18,Don Drysdale,8,1959,1968,Seasons List,drysddo01
19,Whitey Ford,8,1954,1964,Seasons List,fordwh01
20,Bob Feller,8,1938,1950,Seasons List,fellebo01
21,Satchel Paige,8,1933,1953,Seasons List,paigesa01
22,Billy Wagner,7,1999,2010,Seasons List,wagnebi02
23,Trevor Hoffman,7,1998,2009,Seasons List,hoffmtr01
24,Lee Smith,7,1983,1995,Seasons List,smithle02
25,Dave Stieb,7,1980,1990,Seasons List,stiebda01
26,Rollie Fingers,7,1973,1982,Seasons List,fingero01
27,Jim Bunning,7,1957,1966,Seasons List,bunniji01
28,Billy Pierce,7,1953,1961,Seasons List,piercbi02
29,Robin Roberts,7,1950,1956,Seasons List,roberro01
30,Bob Lemon,7,1948,1954,Seasons List,lemonbo01
31,Early Wynn,7,1947,1960,Seasons List,wynnea01
32,Lefty Gomez,7,1933,1939,Seasons List,gomezle01
33,Félix Hernández,6,2009,2015,Seasons List,hernafe02
34,Jonathan Papelbon,6,2006,2015,Seasons List,papeljo01
35,Joe Nathan,6,2004,2013,Seasons List,nathajo01
36,Francisco Rodríguez,6,2004,2015,Seasons List,rodrifr03
37,CC Sabathia,6,2003,2012,Seasons List,sabatc.01
38,Curt Schilling,6,1997,2004,Seasons List,schilcu01
39,Kevin Brown,6,1992,2003,Seasons List,brownke01
40,Fernando Valenzuela,6,1981,1986,Seasons List,valenfe01
41,Dennis Eckersley,6,1977,1992,Seasons List,eckerde01
42,Bruce Sutter,6,1977,1984,Seasons List,suttebr01
43,Vida Blue,6,1971,1981,Seasons List,bluevi01
44,Jim Palmer,6,1970,1978,Seasons List,palmeji01
45,Sam McDowell,6,1965,1971,Seasons List,mcdowsa01
46,Sandy Koufax,6,1961,1966,Seasons List,koufasa01
47,Ewell Blackwell,6,1946,1951,Seasons List,blackew01
48,Hal Newhouser,6,1942,1948,Seasons List,newhoha01
49,Hilton Smith,6,1937,1942,Seasons List,smithhi99
50,Bucky Walters,6,1937,1944,Seasons List,waltebu01
51,Bill Byrd,6,1936,1946,Seasons List,byrdbi01
52,Leon Day,6,1935,1946,Seasons List,dayle99
53,Paul Derringer,6,1935,1942,Seasons List,derripa01
54,Tommy Bridges,6,1934,1940,Seasons List,bridgto01
55,Red Ruffing,6,1934,1942,Seasons List,ruffire01
56,Lefty Grove,6,1933,1939,Seasons List,grovele01
57,Mark Buehrle,5,2002,2014,Seasons List,buehrma01
58,Mike Mussina,5,1992,1999,Seasons List,mussimi01
59,Chuck Finley,5,1989,2000,Seasons List,finlech01
60,David Cone,5,1988,1999,Seasons List,coneda01
61,Doug Jones,5,1988,1994,Seasons List,jonesdo01
62,Jimmy Key,5,1985,1997,Seasons List,keyji01
63,Jack Morris,5,1981,1991,Seasons List,morrija02
64,Steve Rogers,5,1974,1983,Seasons List,rogerst01
65,Phil Niekro,5,1969,1984,Seasons List,niekrph01
66,Gaylord Perry,5,1966,1979,Seasons List,perryga01
67,Mel Stottlemyre,5,1965,1970,Seasons List,stottme01
