Rk,Player,IP,From,To,Age,W,L,W-L%,Dec,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Pos,Team,Player-additional
1,Cy Young,7356.0,1890,1911,23-44,511,315,.619,826,2.63,906,815,749,76,18,7356.0,7092,3167,2147,138,1217,,2803,161,3,156,29565,138,2.84,1.130,8.7,0.2,1.5,3.4,2.30,1/3H,BOSBSNCLECLVSTL,youngcy01
2,Pud Galvin,6003.1,1875,1892,18-35,365,310,.541,675,2.85,705,688,646,57,2,6003.1,6405,3352,1903,121,745,,1807,61,2,221,25415,107,2.96,1.191,9.6,0.2,1.1,2.7,2.43,1O/6,BUFPBBPITSTL,galvipu01
3,Walter Johnson,5914.1,1907,1927,19-39,417,279,.599,696,2.17,802,666,531,110,34,5914.1,4913,1902,1424,97,1363,,3509,205,4,154,23415,147,2.38,1.061,7.5,0.1,2.1,5.3,2.57,1H/8974,WSH,johnswa01
4,Phil Niekro,5404.0,1964,1987,25-48,318,274,.537,592,3.35,864,716,245,45,29,5404.0,5044,2337,2012,482,1809,86,3342,123,42,226,22677,115,3.62,1.268,8.4,0.8,3.0,5.6,1.85,1/H,ATLCLEMLNNYYTOR,niekrph01
5,Nolan Ryan,5386.0,1966,1993,19-46,324,292,.526,616,3.19,807,773,222,61,3,5386.0,3923,2178,1911,321,2795,78,5714,158,33,277,22575,112,2.97,1.247,6.6,0.5,4.7,9.5,2.04,1,CALHOUNYMTEX,ryanno01
6,Gaylord Perry,5350.0,1962,1983,23-44,314,265,.542,579,3.11,777,690,303,53,10,5350.0,4938,2128,1846,399,1379,164,3534,108,6,160,21953,117,3.06,1.181,8.3,0.7,2.3,5.9,2.56,1H,ATLCLEKCRNYYSDPSEASFGTEX,perryga01
7,Don Sutton,5282.1,1966,1988,21-43,324,256,.559,580,3.26,774,756,178,58,5,5282.1,4692,2104,1914,472,1343,102,3574,82,21,112,21631,108,3.24,1.142,8.0,0.8,2.3,6.1,2.66,1H,CALHOULADMILOAK,suttodo01
8,Warren Spahn,5243.2,1942,1965,21-44,363,245,.597,608,3.09,750,665,382,63,28,5243.2,4830,2016,1798,434,1434,112,2583,42,5,81,21547,119,3.46,1.195,8.3,0.7,2.5,4.4,1.80,1H,BSNMLNNYMSFG,spahnwa01
9,Steve Carlton,5217.2,1965,1988,20-43,329,244,.574,573,3.22,741,709,254,55,2,5217.2,4672,2130,1864,414,1833,150,4136,53,90,183,21683,115,3.15,1.247,8.1,0.7,3.2,7.1,2.26,1/H,CHWCLEMINPHISFGSTL,carltst01
10,Grover Alexander,5190.0,1911,1930,24-43,373,208,.642,581,2.56,696,600,436,90,32,5190.0,4868,1852,1476,165,951,8,2198,70,1,38,20893,135,2.82,1.121,8.4,0.3,1.6,3.8,2.31,1/H7,CHCPHISTL,alexape01
11,Kid Nichols,5067.1,1890,1906,20-36,362,208,.635,570,2.96,621,562,532,48,16,5067.1,4929,2480,1664,156,1272,,1881,129,1,169,21099,139,3.48,1.224,8.8,0.3,2.3,3.3,1.48,1O/3H789,BSNPHISTL,nichoki01
12,Tim Keefe,5049.2,1880,1893,23-36,342,225,.603,567,2.63,600,594,554,39,2,5049.2,4438,2470,1474,75,1233,,2564,98,0,240,20941,126,2.92,1.123,7.9,0.1,2.2,4.6,2.08,1O/54,NYGNYINYPPHITRO,keefeti01
13,Greg Maddux,5008.1,1986,2008,20-42,355,227,.610,582,3.16,744,740,109,35,0,5008.1,4726,1981,1756,353,999,177,3371,137,28,70,20421,132,3.26,1.143,8.5,0.6,1.8,6.1,3.37,1H,ATLCHCLADSDP,maddugr01
14,Bert Blyleven,4970.0,1970,1992,19-41,287,250,.534,537,3.31,692,685,242,60,0,4970.0,4632,2029,1830,430,1322,71,3701,155,19,114,20491,118,3.19,1.198,8.4,0.8,2.4,6.7,2.80,1/H,CALCLEMINPITTEX,blylebe01
15,Mickey Welch,4802.0,1880,1892,20-32,307,210,.594,517,2.71,565,549,525,41,4,4802.0,4588,2556,1447,106,1297,,1850,52,1,274,20308,113,3.28,1.226,8.6,0.2,2.4,3.5,1.43,1O,NYGTRO,welchmi01
16,Christy Mathewson,4788.2,1900,1916,19-35,373,188,.665,561,2.13,636,552,435,79,30,4788.2,4219,1620,1135,89,848,,2507,59,8,115,18929,136,2.26,1.058,7.9,0.2,1.6,4.7,2.96,1/H397,CINNYG,mathech01
17,Tom Seaver,4783.0,1967,1986,22-41,311,205,.603,516,2.86,656,647,231,61,1,4783.0,3971,1674,1521,380,1390,116,3640,76,8,126,19369,127,3.04,1.121,7.5,0.7,2.6,6.8,2.62,1H,BOSCHWCINNYM,seaveto01
18,Robin Roberts,4688.2,1948,1966,21-39,286,245,.539,531,3.41,676,609,305,45,25,4688.2,4582,1962,1774,505,902,109,2357,54,3,33,19174,113,3.51,1.170,8.8,1.0,1.7,4.5,2.61,1H,BALCHCHOUPHI,roberro01
19,Early Wynn,4564.0,1939,1963,19-43,300,244,.551,544,3.54,691,611,289,49,16,4564.0,4291,2037,1796,338,1775,100,2334,64,2,51,19408,107,3.66,1.329,8.5,0.7,3.5,4.6,1.31,1H,CHWCLEWSH,wynnea01
20,John Clarkson,4536.1,1882,1894,20-32,328,178,.648,506,2.81,531,518,485,37,5,4536.1,4295,2384,1417,159,1191,,1978,80,0,182,19146,133,3.35,1.209,8.5,0.3,2.4,3.9,1.66,1O/53,BSNCHCCLVWOR,clarkjo01
21,Jim Kaat,4530.1,1959,1983,20-44,283,237,.544,520,3.45,898,625,180,31,17,4530.1,4620,2038,1738,395,1083,116,2461,122,6,128,19023,108,3.41,1.259,9.2,0.8,2.2,4.9,2.27,1H/D,CHWMINNYYPHISTLWSH,kaatji01
22,Old Hoss Radbourn,4527.1,1880,1891,25-36,310,194,.615,504,2.68,527,502,488,35,2,4527.1,4328,2273,1347,118,875,,1830,54,0,214,18918,119,3.15,1.149,8.6,0.2,1.7,3.6,2.09,1O6/345,BOSBSNBUFCINPRO,radboch01
23,Fergie Jenkins,4500.2,1965,1983,22-40,284,226,.557,510,3.34,664,594,267,49,7,4500.2,4142,1853,1669,484,997,116,3192,84,18,62,18400,115,3.28,1.142,8.3,1.0,2.0,6.4,3.20,1/H,BOSCHCPHITEX,jenkife01
24,Eddie Plank,4495.2,1901,1917,25-41,326,194,.627,520,2.35,623,529,410,69,23,4495.2,3958,1566,1174,42,1072,,2246,190,6,88,17814,122,2.45,1.119,7.9,0.1,2.1,4.5,2.10,1/H,PHASLBSLM,planked01
25,Eppa Rixey,4494.2,1912,1933,21-42,266,251,.515,517,3.15,692,554,290,37,14,4494.2,4633,1986,1572,93,1082,16,1350,76,10,97,18754,115,3.18,1.272,9.3,0.2,2.2,2.7,1.25,1/H,CINPHI,rixeyep01
26,Tom Glavine,4413.1,1987,2008,21-42,305,203,.600,508,3.54,682,682,56,25,0,4413.1,4298,1900,1734,356,1500,145,2607,66,7,65,18604,118,3.95,1.314,8.8,0.7,3.1,5.3,1.74,1H,ATLNYM,glavito02
27,Red Ruffing,4344.0,1924,1947,19-42,273,225,.548,498,3.80,624,538,335,45,18,4344.0,4284,2115,1833,254,1541,67,1987,58,7,46,18546,109,3.83,1.341,8.9,0.5,3.2,4.1,1.29,1H/79,BOSCHWNYY,ruffire01
28,Burleigh Grimes,4180.0,1916,1934,22-40,270,212,.560,482,3.53,616,497,314,35,18,4180.0,4412,2050,1638,148,1295,25,1512,101,12,92,17974,108,3.52,1.365,9.5,0.3,2.8,3.3,1.17,1H,BROBSNCHCNYGNYYPITSTL,grimebu01
29,Ted Lyons,4161.0,1923,1946,22-45,260,230,.531,490,3.67,594,484,356,27,25,4161.0,4489,2056,1696,222,1121,49,1073,31,6,55,17797,118,3.85,1.348,9.7,0.5,2.4,2.3,0.96,1H/9,CHW,lyonste01
30,Randy Johnson,4135.1,1988,2009,24-45,303,166,.646,469,3.29,618,603,100,37,2,4135.1,3346,1703,1513,411,1497,37,4875,190,33,109,17067,135,3.19,1.171,7.3,0.9,3.3,10.6,3.26,1/7,ARIHOUMONNYYSEASFG,johnsra05
31,Red Faber,4086.2,1914,1933,25-44,254,213,.544,467,3.15,669,483,273,29,27,4086.2,4106,1813,1430,111,1213,10,1471,103,2,52,17104,119,3.34,1.302,9.0,0.2,2.7,3.2,1.21,1/H,CHW,faberre01
32,Vic Willis,3996.0,1898,1910,22-34,249,205,.548,454,2.63,513,471,388,50,11,3996.0,3621,1620,1167,66,1212,,1651,156,6,94,16279,117,2.96,1.209,8.2,0.1,2.7,3.7,1.36,13/H,BSNPITSTL,willivi01
33,Jim Palmer,3948.0,1965,1984,19-38,268,152,.638,420,2.86,558,521,211,53,4,3948.0,3349,1395,1253,303,1311,37,2212,38,11,85,16114,125,3.50,1.180,7.6,0.7,3.0,5.0,1.69,1H/D,BAL,palmeji01
34,Lefty Grove,3940.2,1925,1941,25-41,300,141,.680,441,3.06,616,457,298,35,54,3940.2,3849,1594,1339,162,1187,24,2266,42,1,51,16622,148,3.24,1.278,8.8,0.4,2.7,5.2,1.91,1/H,BOSPHA,grovele01
35,Bob Gibson,3884.1,1959,1975,23-39,251,174,.591,425,2.91,528,482,255,56,6,3884.1,3279,1420,1258,257,1336,118,3117,102,13,108,16068,127,2.89,1.188,7.6,0.6,3.1,7.2,2.33,1H,STL,gibsobo01
36,Bob Feller,3827.0,1936,1956,17-37,266,162,.621,428,3.25,570,484,279,44,22,3827.0,3271,1557,1384,224,1764,89,2581,60,13,69,16180,122,3.54,1.316,7.7,0.5,4.1,6.1,1.46,1,CLE,fellebo01
37,Jack Morris,3824.0,1977,1994,22-39,254,186,.577,440,3.90,549,527,175,28,0,3824.0,3567,1815,1657,389,1390,99,2478,58,27,206,16120,105,3.94,1.296,8.4,0.9,3.3,5.8,1.78,1H/D,CLEDETMINTOR,morrija02
38,Amos Rusie,3778.2,1889,1901,18-30,246,174,.586,420,3.07,463,427,393,30,5,3778.2,3389,2068,1288,75,1707,,1950,112,1,153,16313,129,3.71,1.349,8.1,0.2,4.1,4.6,1.14,1O/3,CININDNYG,rusieam01
39,Waite Hoyt,3762.1,1918,1938,18-38,237,182,.566,419,3.59,674,425,226,26,53,3762.1,4037,1780,1500,154,1003,24,1206,49,5,39,16031,112,3.65,1.340,9.7,0.4,2.4,2.9,1.20,1,BOSBRODETNYGNYYPHAPIT,hoytwa01
40,Jim Bunning,3760.1,1955,1971,23-39,224,184,.549,408,3.27,591,519,151,40,16,3760.1,3433,1527,1366,372,1000,98,2855,160,8,47,15618,115,3.22,1.179,8.2,0.9,2.4,6.8,2.86,1H,DETLADPHIPIT,bunniji01
41,Carl Hubbell,3590.1,1928,1943,25-40,253,154,.622,407,2.98,535,433,260,36,33,3590.1,3461,1380,1188,227,725,68,1677,53,1,53,14805,130,3.50,1.166,8.7,0.6,1.8,4.2,2.31,1,NYG,hubbeca01
42,CC Sabathia,3577.1,2001,2019,20-38,251,161,.609,412,3.74,561,560,38,12,0,3577.1,3404,1623,1485,382,1099,44,3093,123,17,74,14989,116,3.78,1.259,8.6,1.0,2.8,7.8,2.81,1/H,CLEMILNYY,sabatc.01
43,Herb Pennock,3571.2,1912,1934,18-40,241,162,.598,403,3.60,617,419,249,35,37,3571.2,3900,1699,1428,128,916,18,1227,36,6,65,15093,106,3.36,1.348,9.8,0.3,2.3,3.1,1.34,1/H,BOSNYYPHA,pennohe01
44,Mike Mussina,3562.2,1991,2008,22-39,270,153,.638,423,3.68,537,536,57,23,0,3562.2,3460,1559,1458,376,785,29,2813,60,1,71,14593,123,3.57,1.192,8.7,0.9,2.0,7.1,3.58,1,BALNYY,mussimi01
45,Juan Marichal,3507.0,1960,1975,22-37,243,142,.631,385,2.89,471,457,244,52,2,3507.0,3153,1329,1126,320,709,82,2303,40,20,51,14236,123,3.04,1.101,8.1,0.8,1.8,5.9,3.25,1/H,BOSLADSFG,maricju01
46,John Smoltz,3473.0,1988,2009,21-42,213,155,.579,368,3.33,723,481,53,16,154,3473.0,3074,1391,1284,288,1010,84,3084,57,16,145,14271,125,3.24,1.176,8.0,0.7,2.6,8.0,3.05,1H,ATLBOSSTL,smoltjo01
