Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence,Adjusted Prediction Score
Cy Young,1,1,1,0.999999730064438,0.9999994601289488
Pud Galvin,1,1,1,0.7011157744117475,0.4915633291289845
Walter Johnson,1,1,1,0.9999994289889164,0.9999988579781588
Phil Niekro,1,1,1,0.96198344414869,0.9254121468161757
Nolan Ryan,1,1,1,0.9999475421765216,0.9998950871048664
Gaylord Perry,1,1,1,0.9983547995880362,0.9967123058604679
Don Sutton,1,1,1,0.995967876915377,0.9919520118473236
Warren Spahn,1,1,1,0.9997159110598836,0.999431902826293
Steve Carlton,1,1,1,0.9948307967412524,0.989688314144835
Grover Alexander,1,1,1,0.999847681559759,0.9996953863204252
Kid Nichols,1,1,1,0.9933531991754266,0.9867505783120548
Tim Keefe,1,1,1,0.9991094876402316,0.998219768292726
Greg Maddux,1,1,1,0.9188749215189193,0.8443311213964
Bert Blyleven,1,1,1,0.971829533736697,0.9444526426428859
Bobby Mathews,0,0,1,0.9996912301746524,0.99938255568811
Roger Clemens,0,1,0,0.999947955706644,-1.9997918282437928
Mickey Welch,1,1,1,0.6934105438949658,0.4808181823847123
Christy Mathewson,1,1,1,0.9999978534198188,0.9999957068442454
Tom Seaver,1,1,1,0.9975764234721304,0.9951587206674471
Tommy John,0,0,1,0.9728159852250226,0.9463709411093313
Robin Roberts,1,1,1,0.9986519253730172,0.9973056680512342
Early Wynn,1,1,1,0.9648401022319502,0.93091642287496
John Clarkson,1,1,1,0.9869954368350587,0.9741599923332285
Tony Mullane,0,0,1,0.9794685093312552,0.9593585607715911
Jim Kaat,1,0,0,0.9396894513562728,-1.766032529980506
Old Hoss Radbourn,1,1,1,0.9570343607257848,0.9159147676098117
Fergie Jenkins,1,1,1,0.9996850851675524,0.9993702695064565
Eddie Plank,1,1,1,0.999242765490869,0.9984861043858398
Eppa Rixey,1,0,0,0.8516513840513998,-1.45062015991333
Tom Glavine,1,0,0,0.7740186101193066,-1.1982096176220465
Jack Powell,0,1,0,0.9647297820092466,-1.861407104591217
Red Ruffing,1,1,1,0.909135889257056,0.826528065135218
Gus Weyhing,0,0,1,0.9960539316300896,0.9921234347157591
Jim McCormick,0,1,0,0.9652223070150648,-1.8633082039189681
Frank Tanana,0,0,1,0.8576126617327559,0.7354994775643423
Burleigh Grimes,1,0,0,0.7507747548006061,-1.1273254648918203
