Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence,Adjusted Prediction Score
Cy Young,1,1,1,0.9999929070472716,0.9999858141448532
Pud Galvin,1,1,1,0.7244583964347839,0.5248399681648586
Walter Johnson,1,1,1,0.9994264245033264,0.9988531779955032
Phil Niekro,1,1,1,0.93106210231781,0.86687663837246
Nolan Ryan,1,1,1,0.9081259965896606,0.8246928256819643
Gaylord Perry,1,1,1,0.9626376628875732,0.9266712700096491
Don Sutton,1,1,1,0.961393415927887,0.9242773001894911
Warren Spahn,1,1,1,0.9971761703491212,0.9943603147121396
Steve Carlton,1,0,0,0.0113220587372779,-0.00025637802810074165
Grover Alexander,1,1,1,0.9985257387161256,0.9970536508785843
Kid Nichols,1,1,1,0.9907211661338806,0.9815284290256763
Tim Keefe,1,1,1,0.9967117309570312,0.9934342746273614
Greg Maddux,1,1,1,0.7000961899757385,0.49013467521854537
Bert Blyleven,1,1,1,0.8549875020980835,0.7310036287439203
Bobby Mathews,0,0,1,0.0145419389009475,0.00021146798699889018
Roger Clemens,0,1,0,0.9997915625572203,-1.9991663371212165
Mickey Welch,1,1,1,0.7799382209777832,0.6083036285419894
Christy Mathewson,1,1,1,0.9987304210662842,0.9974624539632373
Tom Seaver,1,1,1,0.9772009253501892,0.9549216485052661
Tommy John,0,0,1,0.4511505365371704,0.20353680661777673
Robin Roberts,1,0,0,0.4827626347541809,-0.46611952302959736
Early Wynn,1,0,0,0.3990402817726135,-0.3184662929543336
John Clarkson,1,1,1,0.9979252815246582,0.9958548675060683
Tony Mullane,0,0,1,0.1892455965280532,0.0358138958052587
Jim Kaat,1,1,1,0.5154939889907837,0.2657340526856302
Old Hoss Radbourn,1,1,1,0.92666894197464,0.8587153280203987
Fergie Jenkins,1,1,1,0.9869357347488404,0.9740421445242335
Eddie Plank,1,1,1,0.9903375506401062,0.9807684642078449
Eppa Rixey,1,1,1,0.5833756327629089,0.3403271289015244
Tom Glavine,1,0,0,0.0265161134302616,-0.0014062085428929994
Jack Powell,0,1,0,0.8827090859413147,-1.5583506608067026
Red Ruffing,1,1,1,0.8955597877502441,0.8020273334352623
Gus Weyhing,0,0,1,0.0001546067214803,2.3903238326887063e-08
Jim McCormick,0,1,0,0.8843768835067749,-1.5642449441623114
Frank Tanana,0,0,1,0.1945359855890274,0.03784424968909428
Burleigh Grimes,1,1,1,0.8455731272697449,0.7149939135607362
Ted Lyons,1,1,1,0.5112617611885071,0.26138858845357404
Randy Johnson,1,1,1,0.9971660375595092,0.9943401064621324
Red Faber,1,1,1,0.6485128402709961,0.4205689039963545
Jamie Moyer,0,0,1,0.0001582782570039,2.5052006640192617e-08
Dennis Martínez,0,0,1,0.1303828209638595,0.01699968000249384
Vic Willis,1,1,1,0.6109598875045776,0.37327198413960616
Jim Palmer,1,1,1,0.9690430760383606,0.9390444832178879
Lefty Grove,1,1,1,0.979981541633606,0.960363821942579
Jack Quinn,0,0,1,0.3164218068122864,0.10012275982635188
Bob Gibson,1,1,1,0.9917029738426208,0.9834747883282979
Sad Sam Jones,0,0,1,0.0636033937335014,0.004045391694418806
Jerry Koosman,0,0,1,0.2351042628288269,0.05527401440028612
Bob Feller,1,1,1,0.9857653975486756,0.9717334190042985
Jack Morris,1,0,0,0.0394501723349094,-0.0031126321945081016
Charlie Hough,0,0,1,0.0038460411597043,1.4792032602139596e-05
Amos Rusie,1,0,0,0.153158813714981,-0.046915244437160504
Waite Hoyt,1,0,0,0.2597139775753021,-0.13490270029596907
Jim Bunning,1,1,1,0.7282958626747131,0.5304148635891046
Bobo Newsom,0,0,1,0.1333994716405868,0.017795419033987722
George Mullin,0,0,1,0.2153386175632476,0.04637072021405061
Jerry Reuss,0,0,1,0.013561581261456,0.00018391648631107453
Paul Derringer,0,0,1,0.1291018277406692,0.016667281925981423
Mickey Lolich,0,1,0,0.8061341047286987,-1.2997043896134812
Tommy Bond,0,0,1,0.1147124022245407,0.013158935224124809
Bob Friend,0,0,1,0.0018587597878649,3.454987948983568e-06
Carl Hubbell,1,1,1,0.9476391077041626,0.8980198784503415
Joe Niekro,0,0,1,0.0135865844786167,0.00018459527779458824
CC Sabathia,1,0,0,0.0584244094789028,-0.006826823245917015
Herb Pennock,1,0,0,0.2586026191711426,-0.13375062928435
Earl Whitehill,0,0,1,0.0158714745193719,0.00025190370341907146
Mike Mussina,1,0,0,0.3630634248256683,-0.2636301008922874
Rick Reuschel,0,0,1,0.0095417676493525,9.104532987422994e-05
Will White,0,0,1,0.000619422935415,3.836847729181353e-07
Adonis Terry,0,0,1,0.0002050176408374,4.2032233054533146e-08
Juan Marichal,1,1,1,0.911001682281494,0.8299240651197122
Jim Whitney,0,0,1,0.0010713132796809,1.147712143220646e-06
Luis Tiant,0,1,0,0.8554254174232483,-1.4635052895474772
Wilbur Cooper,0,0,1,0.2950928211212158,0.08707977307727788
John Smoltz,1,1,1,0.8211565017700195,0.6742980003991761
Bartolo Colon,0,0,1,0.0001872699067462,3.507001797273044e-08
Claude Osteen,0,0,1,0.003986254800111,1.5890227331407986e-05
Catfish Hunter,1,0,0,0.0430025123059749,-0.003698432129251045
Joe McGinnity,1,0,0,0.0283536482602357,-0.001607858739330334
David Wells,0,0,1,0.0073351287283003,5.380411346073638e-05
Don Drysdale,1,1,1,0.5910832285881042,0.3493793831181371
Mel Harder,0,0,1,0.0028488796669989,8.116115357039764e-06
Charlie Buffinton,0,1,0,0.846539318561554,-1.4332576357413203
Hooks Dauss,0,0,1,0.3522463142871856,0.12407746592890674
Clark Griffith,0,0,1,0.4706005752086639,0.2214649013867253
Doyle Alexander,0,0,1,0.0049005215987563,2.4015111939877004e-05
Chick Fraser,0,0,1,5.914439498155843e-07,3.4980594577345946e-13
