Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.9970292033232481
Pud Galvin,1,0,0,0.8178424491224436
Walter Johnson,1,1,1,0.9999509429772748
Phil Niekro,1,1,1,0.9877581261779578
Nolan Ryan,1,1,1,0.9780436942975785
Gaylord Perry,1,1,1,0.9990501825449317
Don Sutton,1,1,1,0.9986760018645676
Warren Spahn,1,1,1,0.9938796559999085
Steve Carlton,1,1,1,0.9978771818689832
Grover Alexander,1,1,1,0.9992171788168989
Kid Nichols,1,1,1,0.9984071444542072
Tim Keefe,1,1,1,0.9473949446940001
Greg Maddux,1,0,0,0.6300123439337192
Bert Blyleven,1,1,1,0.9948259653646734
Bobby Mathews,0,0,1,0.9722735516520672
Roger Clemens,0,1,0,0.9998436770689877
Mickey Welch,1,1,1,0.6685932541800023
Christy Mathewson,1,1,1,0.9997452357199774
Tom Seaver,1,1,1,0.9993035029948557
Tommy John,0,1,0,0.9879932431068702
Robin Roberts,1,1,1,0.9860119256926058
Early Wynn,1,1,1,0.9781369352264367
John Clarkson,1,1,1,0.99831384759541
Tony Mullane,0,1,0,0.8360320516378442
Jim Kaat,1,1,1,0.6050023865557008
Old Hoss Radbourn,1,1,1,0.9453925082547883
Fergie Jenkins,1,1,1,0.9968917564555749
Eddie Plank,1,1,1,0.9983811259504431
Eppa Rixey,1,1,1,0.624740522381482
Tom Glavine,1,0,0,0.9069259319686285
Jack Powell,0,1,0,0.8740641256797711
Red Ruffing,1,1,1,0.6571286704780576
Gus Weyhing,0,0,1,0.6027589015748369
Jim McCormick,0,1,0,0.8574734696129604
Frank Tanana,0,0,1,0.6908629555220911
Burleigh Grimes,1,1,1,0.9847340800146652
Ted Lyons,1,1,1,0.8169589044962
Randy Johnson,1,1,1,0.9997540388993361
Red Faber,1,1,1,0.6734821579666869
Jamie Moyer,0,0,1,0.9877607382945836
Dennis Martínez,0,0,1,0.8598831432392686
Vic Willis,1,1,1,0.863789820634356
Jim Palmer,1,1,1,0.9996570953863756
Lefty Grove,1,1,1,0.9954549042273109
Jack Quinn,0,1,0,0.85782504309115
Bob Gibson,1,1,1,0.9995590155236885
Sad Sam Jones,0,0,1,0.992339582094315
Jerry Koosman,0,0,1,0.988724993337096
Bob Feller,1,1,1,0.997969338182448
Jack Morris,1,0,0,0.8018496604223261
Charlie Hough,0,0,1,0.9875889930410922
Amos Rusie,1,0,0,0.4835423065263227
Waite Hoyt,1,0,0,0.99291828530693
Jim Bunning,1,0,0,0.9781021921925024
Bobo Newsom,0,0,1,0.9501949663980974
George Mullin,0,0,1,0.9435077140128131
Jerry Reuss,0,0,1,0.9849440118109603
Paul Derringer,0,0,1,0.9939749642382035
Mickey Lolich,0,0,1,0.6372357403382247
Tommy Bond,0,0,1,0.9545015938901383
Bob Friend,0,0,1,0.9988406778028768
Carl Hubbell,1,1,1,0.9972380969807493
Joe Niekro,0,0,1,0.9960085968136374
CC Sabathia,1,0,0,0.6703862857322695
Herb Pennock,1,1,1,0.9228804546774944
Earl Whitehill,0,0,1,0.9933481644223092
Mike Mussina,1,1,1,0.5883258942890366
Rick Reuschel,0,0,1,0.9909115950178233
Will White,0,0,1,0.9864163290354439
Adonis Terry,0,0,1,0.9990887644635964
Juan Marichal,1,1,1,0.8709138525792544
Jim Whitney,0,0,1,0.9988105174533621
Luis Tiant,0,1,0,0.8956239660115604
Wilbur Cooper,0,0,1,0.9857795462775786
John Smoltz,1,0,0,0.9270114254517973
Bartolo Colon,0,1,0,0.52870904217845
Claude Osteen,0,0,1,0.995744556264543
Catfish Hunter,1,0,0,0.9709466357618396
Joe McGinnity,1,0,0,0.948453978734834
David Wells,0,0,1,0.6914192978409953
Don Drysdale,1,0,0,0.6812079989561131
Mel Harder,0,0,1,0.978381603913664
Charlie Buffinton,0,0,1,0.969074863681863
