Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.9968651743738349
Pud Galvin,1,1,1,0.9395992535907692
Walter Johnson,1,1,1,0.9992983473609656
Phil Niekro,1,1,1,0.9770099804605383
Nolan Ryan,1,1,1,0.9531575601536191
Gaylord Perry,1,1,1,0.9981183885697905
Don Sutton,1,1,1,0.9745128734099645
Warren Spahn,1,1,1,0.9961645706598267
Steve Carlton,1,1,1,0.9969007486317543
Grover Alexander,1,1,1,0.999198000661171
Kid Nichols,1,1,1,0.9953313064755858
Tim Keefe,1,1,1,0.9370913681814718
Greg Maddux,1,1,1,0.9403363984851302
Bert Blyleven,1,1,1,0.9967538807625947
Bobby Mathews,0,1,0,0.6633304526118327
Roger Clemens,0,1,0,0.9996922640101903
Mickey Welch,1,1,1,0.8552397240091457
Christy Mathewson,1,1,1,0.998746807328718
Tom Seaver,1,1,1,0.9995906209624751
Tommy John,0,1,0,0.9833949788307089
Robin Roberts,1,1,1,0.9835539803698339
Early Wynn,1,1,1,0.9647696966790672
John Clarkson,1,1,1,0.9863443215382827
Tony Mullane,0,1,0,0.9232668948765071
Jim Kaat,1,1,1,0.7043955752326293
Old Hoss Radbourn,1,1,1,0.8489113451856215
Fergie Jenkins,1,1,1,0.9972148971817713
Eddie Plank,1,1,1,0.9951743293949247
Eppa Rixey,1,1,1,0.6312140647629806
Tom Glavine,1,0,0,0.8511354619339963
Jack Powell,0,1,0,0.8717180663099195
Red Ruffing,1,1,1,0.9716960477282909
Gus Weyhing,0,0,1,0.6387273074419639
Jim McCormick,0,1,0,0.9239085505239624
Frank Tanana,0,0,1,0.959070982969176
Burleigh Grimes,1,0,0,0.2216124445971549
Ted Lyons,1,1,1,0.36506680179817363
Randy Johnson,1,1,1,0.4110235706458977
Red Faber,1,1,1,0.9522082896830143
Jamie Moyer,0,0,1,0.9632545652511775
Dennis Martínez,0,0,1,0.46957342983437855
Vic Willis,1,0,0,0.4091573281670775
Jim Palmer,1,1,1,0.9964557378653395
Lefty Grove,1,1,1,0.9911823069424077
Jack Quinn,0,1,0,0.94833075520344
Bob Gibson,1,1,1,0.9968182078860677
Sad Sam Jones,0,0,1,0.8311967412409255
Jerry Koosman,0,0,1,0.9530473214358169
Bob Feller,1,1,1,0.9982736251566009
Jack Morris,1,0,0,0.7166252675225392
Charlie Hough,0,0,1,0.9556445803398359
Amos Rusie,1,1,1,0.945538955033208
Waite Hoyt,1,0,0,0.9224018976144237
Jim Bunning,1,0,0,0.9729095712342695
Bobo Newsom,0,0,1,0.953650170099127
George Mullin,0,0,1,0.7823167754179609
Jerry Reuss,0,0,1,0.9803344540997782
Paul Derringer,0,0,1,0.9278172330001436
Mickey Lolich,0,0,1,0.2125692571248584
Tommy Bond,0,1,0,0.04127644402278834
Bob Friend,0,0,1,0.9921953559035892
Carl Hubbell,1,1,1,0.9911768503998928
Joe Niekro,0,0,1,0.9922461476998875
CC Sabathia,1,0,0,0.8068826836097898
Herb Pennock,1,1,1,0.1848873185595031
Earl Whitehill,0,0,1,0.970411151382552
Mike Mussina,1,1,1,0.8636882562162679
Rick Reuschel,0,0,1,0.9918754811161202
Will White,0,0,1,0.9829902063349388
Adonis Terry,0,0,1,0.9974791297648589
Juan Marichal,1,1,1,0.9423989334861741
Jim Whitney,0,0,1,0.9853708021158578
Luis Tiant,0,1,0,0.5932581016381099
Wilbur Cooper,0,0,1,0.9779275875120153
John Smoltz,1,0,0,0.8667917679902433
Bartolo Colon,0,0,1,0.8046806998065077
Claude Osteen,0,0,1,0.9972192285523793
Catfish Hunter,1,0,0,0.9723564387190176
Joe McGinnity,1,1,1,0.17336953754583906
David Wells,0,0,1,0.8930689321773692
Don Drysdale,1,0,0,0.9163689254775149
Mel Harder,0,0,1,0.993011760150232
Charlie Buffinton,0,0,1,0.8440362924075872
Hooks Dauss,0,0,1,0.9934001102875789
Clark Griffith,0,1,0,0.6424312123433119
Doyle Alexander,0,0,1,0.9993064724908133
Chick Fraser,0,0,1,0.9992376076939408
Al Orth,0,0,1,0.9968828072186828
Curt Simmons,0,0,1,0.9987405682571496
Vida Blue,0,0,1,0.9874399354843891
Andy Pettitte,0,1,0,0.5558460684116567
Rube Marquard,1,0,0,0.9976271295737934
Billy Pierce,0,0,1,0.4462388164106025
Kenny Rogers,0,0,1,0.97586020024011
Dennis Eckersley,1,1,1,0.7656782218460052
Jim Perry,0,0,1,0.9908181157176137
Mark Buehrle,0,0,1,0.9905735676810983
Larry Jackson,0,0,1,0.9989820430219739
Curt Schilling,0,1,0,0.8589789298416994
Kevin Brown,0,0,1,0.9433596479449279
Tim Wakefield,0,0,1,0.996340101779693
Eddie Cicotte,0,1,0,0.8911152009452564
Freddie Fitzsimmons,0,0,1,0.9511897495909304
Dolf Luque,0,0,1,0.9973448545509285
Dutch Leonard (leonadu02),0,0,1,0.9981752417819173
Jesse Haines,1,0,0,0.9975282453241121
Red Ames,0,0,1,0.9988818646749139
Chuck Finley,0,0,1,0.9976372532516276
Charlie Root,0,0,1,0.9439575502523445
Liván Hernández,0,0,1,0.9991745287445977
Milt Pappas,0,0,1,0.9486228462355125
Silver King,0,0,1,0.9761014662339276
Mordecai Brown,1,1,1,0.9865975124088494
Whitey Ford,1,1,1,0.8482872739923906
Lee Meadows,0,0,1,0.9992604016408536
Larry French,0,0,1,0.9778210472120964
Orel Hershiser,0,0,1,0.9906639629394797
Rick Wise,0,0,1,0.9992926734645199
