Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.6666024623811765
Pud Galvin,1,0,0,0.47405585756345925
Walter Johnson,1,1,1,0.7027762669728627
Phil Niekro,1,1,1,0.5567432567462598
Nolan Ryan,1,1,1,0.533431734984137
Gaylord Perry,1,1,1,0.613780865512887
Don Sutton,1,1,1,0.6016063613705305
Warren Spahn,1,1,1,0.6005569499309795
Steve Carlton,1,1,1,0.5840054096508045
Grover Alexander,1,1,1,0.6391872009101393
Kid Nichols,1,1,1,0.6012550005319072
Tim Keefe,1,1,1,0.6282606849979929
Greg Maddux,1,1,1,0.5321405619125575
Bert Blyleven,1,1,1,0.5563132729679395
Bobby Mathews,0,0,1,0.6566166966672955
Roger Clemens,0,1,0,0.7074219958746286
Mickey Welch,1,0,0,0.557701300515087
Christy Mathewson,1,1,1,0.7130632262096652
Tom Seaver,1,1,1,0.6414892353231749
Tommy John,0,1,0,0.5210798172983115
Robin Roberts,1,1,1,0.610419338515004
Early Wynn,1,1,1,0.4971148595622818
John Clarkson,1,1,1,0.5894208181887415
Tony Mullane,0,1,0,0.39898047315465673
Jim Kaat,1,0,0,0.5711446376729552
Old Hoss Radbourn,1,1,1,0.46716202598697626
Fergie Jenkins,1,1,1,0.5898178302406806
Eddie Plank,1,1,1,0.5897640568625481
Eppa Rixey,1,0,0,0.6604947345820107
Tom Glavine,1,0,0,0.67125387898059
Jack Powell,0,0,1,0.5064540667843164
Red Ruffing,1,0,0,0.5788791396138091
Gus Weyhing,0,0,1,0.7216051501829922
Jim McCormick,0,0,1,0.5709817279112623
Frank Tanana,0,0,1,0.7477734237540163
Burleigh Grimes,1,0,0,0.6914144735990653
Ted Lyons,1,0,0,0.676114501779244
Randy Johnson,1,1,1,0.6344998780039058
Red Faber,1,0,0,0.7717726635603808
Jamie Moyer,0,0,1,0.7731577596810407
Dennis Martínez,0,0,1,0.6958258921784259
Vic Willis,1,0,0,0.5953516216467432
Jim Palmer,1,1,1,0.4558538588766677
Lefty Grove,1,1,1,0.5096874937787018
Jack Quinn,0,0,1,0.6800326900678179
Bob Gibson,1,0,0,0.5694813077050693
Sad Sam Jones,0,0,1,0.8602442877032046
Jerry Koosman,0,0,1,0.7553385582518115
Bob Feller,1,0,0,0.6261813780133025
Jack Morris,1,0,0,0.8203398325059323
Charlie Hough,0,0,1,0.8546775467372228
Amos Rusie,1,0,0,0.7890631960657633
Waite Hoyt,1,0,0,0.8854952618934089
Jim Bunning,1,0,0,0.8418350183889973
Bobo Newsom,0,0,1,0.8594135630854256
George Mullin,0,0,1,0.8338260434617035
Jerry Reuss,0,0,1,0.7917371021990182
Paul Derringer,0,0,1,0.9027231485584968
Mickey Lolich,0,0,1,0.7660048663023614
Tommy Bond,0,0,1,0.7439088671409351
Bob Friend,0,0,1,0.846381542903626
Carl Hubbell,1,0,0,0.5741347378428703
Joe Niekro,0,0,1,0.8911169539056973
CC Sabathia,1,0,0,0.783946264615017
Herb Pennock,1,0,0,0.8722110264251329
Earl Whitehill,0,0,1,0.8562453767421595
Mike Mussina,1,0,0,0.7286680157845493
Rick Reuschel,0,0,1,0.8542903000323918
Will White,0,0,1,0.849266745443397
Adonis Terry,0,0,1,0.9106201235283992
Juan Marichal,1,0,0,0.6600974968371787
Jim Whitney,0,0,1,0.9045310165331006
Luis Tiant,0,0,1,0.6911711228613135
Wilbur Cooper,0,0,1,0.8936354269517583
John Smoltz,1,0,0,0.9099106584005727
Bartolo Colon,0,0,1,0.77441613372665
Claude Osteen,0,0,1,0.8846076331539935
Catfish Hunter,1,0,0,0.8942869374021771
Joe McGinnity,1,0,0,0.8437835460710126
David Wells,0,0,1,0.8268925428273717
Don Drysdale,1,0,0,0.8427904746963848
Mel Harder,0,0,1,0.9039100870436937
Charlie Buffinton,0,0,1,0.889425053652365
Hooks Dauss,0,0,1,0.9283578609160846
Clark Griffith,0,0,1,0.8244908866473288
Doyle Alexander,0,0,1,0.9453903974143019
Chick Fraser,0,0,1,0.9385996081399385
Al Orth,0,0,1,0.9384966432295506
Curt Simmons,0,0,1,0.911015832539189
Vida Blue,0,0,1,0.9265956286464341
Andy Pettitte,0,0,1,0.8257831522564211
Rube Marquard,1,0,0,0.9366646533077728
Billy Pierce,0,0,1,0.890786707843072
Kenny Rogers,0,0,1,0.9151089137601712
Dennis Eckersley,1,0,0,0.9400654153488216
Jim Perry,0,0,1,0.9382242684594854
Mark Buehrle,0,0,1,0.9257898403190755
Larry Jackson,0,0,1,0.9300076714169272
Curt Schilling,0,0,1,0.856755951614494
Kevin Brown,0,0,1,0.8854952357010681
Tim Wakefield,0,0,1,0.9388999579365276
Eddie Cicotte,0,0,1,0.8287476545335237
Freddie Fitzsimmons,0,0,1,0.9379520811645868
Dolf Luque,0,0,1,0.9444362659026658
Dutch Leonard (leonadu02),0,0,1,0.9380663129350906
Jesse Haines,1,0,0,0.9463293834538246
Red Ames,0,0,1,0.9525473810259825
Chuck Finley,0,0,1,0.9113339118877861
Charlie Root,0,0,1,0.9509651501221311
Liván Hernández,0,0,1,0.9543161432848816
Milt Pappas,0,0,1,0.9113847118047147
Silver King,0,0,1,0.9228602754961441
Mordecai Brown,1,0,0,0.5316714794496651
Whitey Ford,1,0,0,0.7610603755667331
Lee Meadows,0,0,1,0.9521334721962927
Larry French,0,0,1,0.9387639399730877
Orel Hershiser,0,0,1,0.9332094452811324
Rick Wise,0,0,1,0.9528528174289753
Tim Hudson,0,0,1,0.9305105688353326
Tom Zachary,0,0,1,0.9475636868723483
George Uhle,0,0,1,0.9410790289035597
Bucky Walters,0,0,1,0.9170170418263911
