Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.6721846911688987
Pud Galvin,1,1,1,0.5282220511798987
Walter Johnson,1,1,1,0.7100955475128486
Phil Niekro,1,1,1,0.5984803288097269
Nolan Ryan,1,1,1,0.5186271172762875
Gaylord Perry,1,1,1,0.6727831022581727
Don Sutton,1,1,1,0.5813114148807467
Warren Spahn,1,1,1,0.6002199134483662
Steve Carlton,1,1,1,0.6054424787821109
Grover Alexander,1,1,1,0.6728777053529551
Kid Nichols,1,1,1,0.6312134024592914
Tim Keefe,1,1,1,0.620347605744753
Greg Maddux,1,0,0,0.4165594740573063
Bert Blyleven,1,1,1,0.559105967181125
Bobby Mathews,0,0,1,0.6016280729657164
Roger Clemens,0,1,0,0.6973866645836838
Mickey Welch,1,1,1,0.482430922639526
Christy Mathewson,1,1,1,0.6996395253739949
Tom Seaver,1,1,1,0.6592644008303342
Tommy John,0,1,0,0.5514656741869404
Robin Roberts,1,1,1,0.5749183300519485
Early Wynn,1,1,1,0.5724980241861336
John Clarkson,1,1,1,0.5873544166478002
Tony Mullane,0,0,1,0.543263159362378
Jim Kaat,1,0,0,0.5751795316175954
Old Hoss Radbourn,1,0,0,0.6092373209813229
Fergie Jenkins,1,1,1,0.5954727063561529
Eddie Plank,1,1,1,0.5963514032268006
Eppa Rixey,1,0,0,0.6314098148961995
Tom Glavine,1,0,0,0.6669306841471987
Jack Powell,0,0,1,0.5723116510467463
Red Ruffing,1,0,0,0.5792573848258944
Gus Weyhing,0,0,1,0.723376704794511
Jim McCormick,0,1,0,0.4379965943314173
Frank Tanana,0,0,1,0.7296699958662851
Burleigh Grimes,1,0,0,0.6519019996676453
Ted Lyons,1,0,0,0.6812462201193482
Randy Johnson,1,1,1,0.6586324718685206
Red Faber,1,0,0,0.7214733307309483
Jamie Moyer,0,0,1,0.6361824017818578
Dennis Martínez,0,0,1,0.6471128982909853
Vic Willis,1,0,0,0.5977065216505368
Jim Palmer,1,1,1,0.5894164346466592
Lefty Grove,1,0,0,0.5265430139456551
Jack Quinn,0,0,1,0.7036209262787007
Bob Gibson,1,1,1,0.523821397454882
Sad Sam Jones,0,0,1,0.7919010563691042
Jerry Koosman,0,0,1,0.8112790112181116
Bob Feller,1,1,1,0.543143613157009
Jack Morris,1,0,0,0.8007179938833278
Charlie Hough,0,0,1,0.8503903403487488
Amos Rusie,1,0,0,0.705725582165476
Waite Hoyt,1,0,0,0.8601626196366828
Jim Bunning,1,0,0,0.8441842922273908
Bobo Newsom,0,0,1,0.8628610476634018
George Mullin,0,0,1,0.826597710722115
Jerry Reuss,0,0,1,0.8067848701227514
Paul Derringer,0,0,1,0.8581371650981102
Mickey Lolich,0,0,1,0.785095037098828
Tommy Bond,0,0,1,0.7479339776867167
Bob Friend,0,0,1,0.8781964328040128
Carl Hubbell,1,0,0,0.6295697021009716
Joe Niekro,0,0,1,0.915751625366637
CC Sabathia,1,0,0,0.8259458486029101
Herb Pennock,1,0,0,0.8387726904252193
Earl Whitehill,0,0,1,0.868891458084603
Mike Mussina,1,0,0,0.7585091840384007
Rick Reuschel,0,0,1,0.882082554802005
Will White,0,0,1,0.8432151474632722
Adonis Terry,0,0,1,0.9181271324265897
Juan Marichal,1,0,0,0.5321808530548392
Jim Whitney,0,0,1,0.9157898102585276
Luis Tiant,0,0,1,0.6943709368380309
Wilbur Cooper,0,0,1,0.8991694350679883
John Smoltz,1,0,0,0.824058328098735
Bartolo Colon,0,0,1,0.8305017646915629
Claude Osteen,0,0,1,0.8809163149862653
Catfish Hunter,1,0,0,0.8871654825747317
Joe McGinnity,1,0,0,0.8583564960410544
David Wells,0,0,1,0.7787687279307581
Don Drysdale,1,0,0,0.8323573135104434
Mel Harder,0,0,1,0.9083854151844307
Charlie Buffinton,0,0,1,0.9172181353629127
Hooks Dauss,0,0,1,0.9320956279916671
Clark Griffith,0,0,1,0.7923250658212534
Doyle Alexander,0,0,1,0.9471238568349877
Chick Fraser,0,0,1,0.943370954145148
Al Orth,0,0,1,0.9441331626456159
Curt Simmons,0,0,1,0.9471071165423537
Vida Blue,0,0,1,0.9191052505391103
Andy Pettitte,0,0,1,0.8586397840633653
Rube Marquard,1,0,0,0.944397072846513
Billy Pierce,0,0,1,0.912524572660576
Kenny Rogers,0,0,1,0.915658796786918
Dennis Eckersley,1,0,0,0.917092130385837
Jim Perry,0,0,1,0.9420867293707766
Mark Buehrle,0,0,1,0.9033700168378263
Larry Jackson,0,0,1,0.9379740004362558
Curt Schilling,0,0,1,0.851378817164627
Kevin Brown,0,0,1,0.8838698415183466
Tim Wakefield,0,0,1,0.9077803692951674
Eddie Cicotte,0,0,1,0.8423695682737736
Freddie Fitzsimmons,0,0,1,0.9289173224900585
Dolf Luque,0,0,1,0.9575084017685404
Dutch Leonard (leonadu02),0,0,1,0.9559046947717482
Jesse Haines,1,0,0,0.9398387719347878
Red Ames,0,0,1,0.9619644854604359
Chuck Finley,0,0,1,0.9466730197692184
Charlie Root,0,0,1,0.9170534354952563
Liván Hernández,0,0,1,0.9575646022327825
Milt Pappas,0,0,1,0.9244115512442596
Silver King,0,0,1,0.8953347650058463
Mordecai Brown,1,0,0,0.5300999552090659
Whitey Ford,1,0,0,0.527956855666623
Lee Meadows,0,0,1,0.9445070689515133
Larry French,0,0,1,0.9022956887108741
Orel Hershiser,0,0,1,0.94221127020278
Rick Wise,0,0,1,0.9558210086856772
Tim Hudson,0,0,1,0.9270269167489411
Tom Zachary,0,0,1,0.9527520470535887
George Uhle,0,0,1,0.9286461412569793
Bucky Walters,0,0,1,0.8811566790897715
Bob Welch,0,0,1,0.9463970363770049
Bullet Joe Bush,0,0,1,0.9298280250112368
Stan Coveleski,1,0,0,0.919236924709562
Bill Hutchison,0,0,1,0.9508605278230464
Bill Dinneen,0,0,1,0.9565556040813106
Lew Burdette,0,0,1,0.915085635259012
Murry Dickson,0,0,1,0.9552040297548641
Mike Torrez,0,0,1,0.9526764747096217
Doc White,0,0,1,0.8834538575834828
