Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.987626743563097
Pud Galvin,1,1,1,0.9478470866606917
Walter Johnson,1,1,1,0.9996763482127909
Phil Niekro,1,1,1,0.9680421154063076
Nolan Ryan,1,1,1,0.844866273985222
Gaylord Perry,1,1,1,0.9925059250645544
Don Sutton,1,1,1,0.9284505003560373
Warren Spahn,1,1,1,0.9636121331121248
Steve Carlton,1,1,1,0.9768884352304948
Grover Alexander,1,1,1,0.9998089931778585
Kid Nichols,1,1,1,0.963695317808919
Tim Keefe,1,1,1,0.9928346157086223
Greg Maddux,1,0,0,0.35544074934190073
Bert Blyleven,1,1,1,0.9917518420643424
Bobby Mathews,0,0,1,0.42675363122823373
Roger Clemens,0,1,0,0.9998046296479388
Mickey Welch,1,1,1,0.3296589997287532
Christy Mathewson,1,1,1,0.9989668223321421
Tom Seaver,1,1,1,0.9995308952136935
Tommy John,0,1,0,0.9662181045924898
Robin Roberts,1,1,1,0.9066141373809997
Early Wynn,1,1,1,0.9410459016509956
John Clarkson,1,1,1,0.9794460408491198
Tony Mullane,0,1,0,0.9109242854678613
Jim Kaat,1,1,1,0.4489430218172833
Old Hoss Radbourn,1,1,1,0.9705855093498333
Fergie Jenkins,1,1,1,0.9758065469768736
Eddie Plank,1,1,1,0.9979377353442626
Eppa Rixey,1,0,0,0.38665179972053443
Tom Glavine,1,1,1,0.7428691117943137
Jack Powell,0,1,0,0.05275737227335674
Red Ruffing,1,1,1,0.7668497503584425
Gus Weyhing,0,1,0,0.7391588447201807
Jim McCormick,0,1,0,0.8697112962472809
Frank Tanana,0,0,1,0.20620581587447628
Burleigh Grimes,1,1,1,0.5663114478259562
Ted Lyons,1,0,0,0.7481974289751817
Randy Johnson,1,1,1,0.9985806691445432
Red Faber,1,1,1,0.31116312949712827
Jamie Moyer,0,1,0,0.051012265533279824
Dennis Martínez,0,0,1,0.4437332286854321
Vic Willis,1,0,0,0.4438756854634561
Jim Palmer,1,1,1,0.9934025561047453
Lefty Grove,1,1,1,0.9659862495102246
Jack Quinn,0,1,0,0.731549637117599
Bob Gibson,1,1,1,0.9972492274269281
Sad Sam Jones,0,0,1,0.9379302022306705
Jerry Koosman,0,0,1,0.9569634315186024
Bob Feller,1,1,1,0.9518769031140459
Jack Morris,1,0,0,0.9811918177004172
Charlie Hough,0,0,1,0.9867999429153339
Amos Rusie,1,1,1,0.5391520520025206
Waite Hoyt,1,0,0,0.8999924402855086
Jim Bunning,1,0,0,0.9911228351751051
Bobo Newsom,0,0,1,0.9065658387137155
George Mullin,0,0,1,0.94236790628586
Jerry Reuss,0,0,1,0.984334205463811
Paul Derringer,0,0,1,0.9433937357947803
Mickey Lolich,0,0,1,0.9001390957233238
Tommy Bond,0,1,0,0.425451692490948
Bob Friend,0,0,1,0.9556985933227908
Carl Hubbell,1,1,1,0.9951007207014853
Joe Niekro,0,0,1,0.9730801703349148
CC Sabathia,1,0,0,0.8870904590525266
Herb Pennock,1,1,1,0.7563586932331334
Earl Whitehill,0,0,1,0.9183707102695186
Mike Mussina,1,0,0,0.027591277235123668
Rick Reuschel,0,0,1,0.8334535402882434
Will White,0,0,1,0.7863936960562972
Adonis Terry,0,0,1,0.9779548783965046
Juan Marichal,1,1,1,0.54901550979177
Jim Whitney,0,0,1,0.9317811420447297
Luis Tiant,0,1,0,0.7313007775672805
Wilbur Cooper,0,1,0,0.12505083646190332
John Smoltz,1,0,0,0.6199856734235389
Bartolo Colon,0,1,0,0.13937716292172292
Claude Osteen,0,0,1,0.9923047332719983
Catfish Hunter,1,0,0,0.8935589795417864
Joe McGinnity,1,0,0,0.7967196774386222
David Wells,0,1,0,0.17277920071997568
Don Drysdale,1,1,1,0.1569210146022997
Mel Harder,0,0,1,0.9187712174224527
Charlie Buffinton,0,0,1,0.7044593167520758
Hooks Dauss,0,0,1,0.8841318781160362
Clark Griffith,0,0,1,0.3996867707357119
Doyle Alexander,0,0,1,0.9983715452836318
Chick Fraser,0,0,1,0.9972744892827524
Al Orth,0,0,1,0.9781131227661435
Curt Simmons,0,0,1,0.9738234695219262
Vida Blue,0,0,1,0.9807221741243006
Andy Pettitte,0,1,0,0.5083170232268679
Rube Marquard,1,0,0,0.9880811163179029
Billy Pierce,0,0,1,0.599969159734841
Kenny Rogers,0,0,1,0.9891954560311061
Dennis Eckersley,1,1,1,0.08259716662849616
Jim Perry,0,0,1,0.9892050017119404
Mark Buehrle,0,0,1,0.9631735510640324
Larry Jackson,0,0,1,0.9949144633335439
Curt Schilling,0,1,0,0.8832490232150579
Kevin Brown,0,0,1,0.670078233161643
Tim Wakefield,0,0,1,0.8551437406801969
Eddie Cicotte,0,0,1,0.1765702479188478
Freddie Fitzsimmons,0,0,1,0.9373316302442495
Dolf Luque,0,0,1,0.9909697355496623
Dutch Leonard (leonadu02),0,0,1,0.964746507090649
Jesse Haines,1,0,0,0.9934832230055879
Red Ames,0,0,1,0.9882936065800901
Chuck Finley,0,0,1,0.954724667885561
Charlie Root,0,0,1,0.9507360233620882
Liván Hernández,0,0,1,0.9962612980164228
Milt Pappas,0,0,1,0.9902726401193301
Silver King,0,0,1,0.48453577405691906
Mordecai Brown,1,1,1,0.9721288070095406
Whitey Ford,1,1,1,0.9908305687610318
Lee Meadows,0,0,1,0.9810387549045398
Larry French,0,0,1,0.9971339199213561
Orel Hershiser,0,0,1,0.9712807731612213
Rick Wise,0,0,1,0.9983445134359469
Tim Hudson,0,0,1,0.8366497867707311
Tom Zachary,0,0,1,0.9973240248492881
George Uhle,0,0,1,0.6353207788822414
Bucky Walters,0,0,1,0.9481653887689478
Bob Welch,0,0,1,0.9821141776489607
Bullet Joe Bush,0,0,1,0.9913696065267623
Stan Coveleski,1,0,0,0.3662984907818976
Bill Hutchison,0,0,1,0.9950930373198943
Bill Dinneen,0,0,1,0.9988551093038438
Lew Burdette,0,0,1,0.9872537532665618
Murry Dickson,0,0,1,0.9964793277259864
Mike Torrez,0,0,1,0.9982812096195328
Doc White,0,0,1,0.9937260345932275
Brickyard Kennedy,0,0,1,0.9867364265693156
Carl Mays,0,0,1,0.1155653380477899
Charles Bender,1,1,1,0.797119701924619
Danny Darwin,0,0,1,0.9815441331122997
Pink Hawley,0,0,1,0.9984168895817735
Babe Adams,0,0,1,0.7289699535343347
Hal Newhouser,1,0,0,0.6315635750241033
Theodore Breitenstein,0,0,1,0.9980022826982395
Dazzy Vance,1,0,0,0.9383632972061915
Red Donahue,0,0,1,0.9983611151902497
Bill Donovan,0,0,1,0.9080758302559198
Ed Walsh,1,1,1,0.9957411479179251
Mark Langston,0,0,1,0.9960091802439867
Rube Waddell,1,1,1,0.5860560260748228
Bump Hadley,0,0,1,0.9979916867207286
George Bradley,0,0,1,0.9968159684243744
Bob Shawkey,0,0,1,0.9716383404331453
Camilo Pascual,0,0,1,0.9956446661443775
Fernando Valenzuela,0,0,1,0.9980892571913119
Guy Hecker,0,0,1,0.9968788458318324
David Cone,0,0,1,0.9525807356642699
Jack Chesbro,1,0,0,0.9845179734629586
Dave Stieb,0,0,1,0.9947921520343285
Jack Stivetts,0,0,1,0.9291796607891227
Al Spalding,0,1,0,0.9565030365342423
Ken Holtzman,0,0,1,0.9984581643910885
Bill Lee (leebi02),0,0,1,0.997760434897008
Bob Lemon,1,0,0,0.8798368553317361
John Lackey,0,0,1,0.9983766814681119
Javier Vázquez,0,0,1,0.9847673873635623
Steve Rogers,0,0,1,0.9988844789381964
Frank Viola,0,0,1,0.9987056870839573
Mike Moore,0,0,1,0.9983803719756046
Bob Caruthers,0,0,1,0.39330580646432345
Pedro Martínez,1,1,1,0.9948375318491632
Tommy Bridges,0,0,1,0.9425597624874295
Slim Sallee,0,0,1,0.9988773553306441
Howard Ehmke,0,0,1,0.9978881490134657
Frank Dwyer,0,0,1,0.9974845365301739
Mike Cuellar,0,0,1,0.99673443811065
Mark Baldwin,0,0,1,0.9945432642558794
Dwight Gooden,0,0,1,0.9788616497890281
Bob Forsch,0,0,1,0.999122549247625
Bill Doak,0,0,1,0.9980979725811111
Lon Warneke,0,0,1,0.988029820104343
Earl Moore,0,0,1,0.9969533667228915
Mike Morgan,0,0,1,0.9985338646901724
Mike Flanagan,0,0,1,0.9988492215597591
Jesse Tannehill,0,0,1,0.8394163116633945
Red Ehret,0,0,1,0.9993740509766131
Roy Halladay,1,0,0,0.1133913776565304
Bert Cunningham,0,0,1,0.9972526365476714
A.J. Burnett,0,0,1,0.9973404338101551
Dave McNally,0,0,1,0.9965350896311833
