Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.9999997300644379
Pud Galvin,1,1,1,0.7011157744117475
Walter Johnson,1,1,1,0.9999994289889164
Phil Niekro,1,1,1,0.96198344414869
Nolan Ryan,1,1,1,0.9999475421765217
Gaylord Perry,1,1,1,0.9983547995880362
Don Sutton,1,1,1,0.995967876915377
Warren Spahn,1,1,1,0.9997159110598837
Steve Carlton,1,1,1,0.9948307967412523
Grover Alexander,1,1,1,0.999847681559759
Kid Nichols,1,1,1,0.9933531991754266
Tim Keefe,1,1,1,0.9991094876402316
Greg Maddux,1,1,1,0.9188749215189191
Bert Blyleven,1,1,1,0.971829533736697
Bobby Mathews,0,0,1,0.9996912301746523
Roger Clemens,0,1,0,0.999947955706644
Mickey Welch,1,1,1,0.6934105438949658
Christy Mathewson,1,1,1,0.9999978534198188
Tom Seaver,1,1,1,0.9975764234721303
Tommy John,0,0,1,0.9728159852250226
Robin Roberts,1,1,1,0.9986519253730171
Early Wynn,1,1,1,0.9648401022319502
John Clarkson,1,1,1,0.9869954368350587
Tony Mullane,0,0,1,0.9794685093312551
Jim Kaat,1,0,0,0.9396894513562727
Old Hoss Radbourn,1,1,1,0.9570343607257847
Fergie Jenkins,1,1,1,0.9996850851675524
Eddie Plank,1,1,1,0.999242765490869
Eppa Rixey,1,0,0,0.8516513840513998
Tom Glavine,1,0,0,0.7740186101193066
Jack Powell,0,1,0,0.9647297820092466
Red Ruffing,1,1,1,0.9091358892570559
Gus Weyhing,0,0,1,0.9960539316300895
Jim McCormick,0,1,0,0.9652223070150648
Frank Tanana,0,0,1,0.8576126617327559
Burleigh Grimes,1,0,0,0.7507747548006061
Ted Lyons,1,1,1,0.8032512255212799
Randy Johnson,1,1,1,0.9998709644908413
Red Faber,1,0,0,0.6954196162911619
Jamie Moyer,0,0,1,0.9724899417529821
Dennis Martínez,0,0,1,0.8712478527295691
Vic Willis,1,1,1,0.8590014694745863
Jim Palmer,1,1,1,0.9884464384662338
Lefty Grove,1,1,1,0.9974628713118953
Jack Quinn,0,0,1,0.6051740724645606
Bob Gibson,1,1,1,0.9984983710981223
Sad Sam Jones,0,0,1,0.9719278334042555
Jerry Koosman,0,0,1,0.6822150249554317
Bob Feller,1,1,1,0.9982181195660569
Jack Morris,1,0,0,0.7592912220338373
Charlie Hough,0,0,1,0.9831871842375947
Amos Rusie,1,0,0,0.8679198120813723
Waite Hoyt,1,0,0,0.7927302929213877
Jim Bunning,1,1,1,0.5951537107509544
Bobo Newsom,0,0,1,0.8539157231347604
George Mullin,0,1,0,0.5808378220796159
Jerry Reuss,0,0,1,0.9763436729482062
Paul Derringer,0,0,1,0.724911209527298
Mickey Lolich,0,1,0,0.5246424542578735
Tommy Bond,0,0,1,0.8415035162616817
Bob Friend,0,0,1,0.9397127057854817
Carl Hubbell,1,1,1,0.8658205072656032
Joe Niekro,0,0,1,0.9938415504021737
CC Sabathia,1,0,0,0.8555664577931402
Herb Pennock,1,0,0,0.6193523114749738
Earl Whitehill,0,0,1,0.968820102496967
Mike Mussina,1,1,1,0.5620750103550771
Rick Reuschel,0,0,1,0.9883454789432775
Will White,0,0,1,0.9948231232441251
Adonis Terry,0,0,1,0.9305958764603064
Juan Marichal,1,1,1,0.9726348753280325
Jim Whitney,0,0,1,0.7969928741333162
Luis Tiant,0,1,0,0.9463559824579
Wilbur Cooper,0,0,1,0.7556116044428574
John Smoltz,1,1,1,0.823454642880306
Bartolo Colon,0,0,1,0.9058790046100547
Claude Osteen,0,0,1,0.9284825445846947
Catfish Hunter,1,1,1,0.6950502952931732
Joe McGinnity,1,0,0,0.5034757356900021
David Wells,0,0,1,0.9767643731308514
Don Drysdale,1,0,0,0.700771282906592
Mel Harder,0,0,1,0.9547478535020177
Charlie Buffinton,0,1,0,0.6853467765835635
Hooks Dauss,0,0,1,0.7544531023394688
Clark Griffith,0,0,1,0.8637410572182171
Doyle Alexander,0,0,1,0.9942630197475594
Chick Fraser,0,0,1,0.9994991399988691
Al Orth,0,0,1,0.8168358419337142
Curt Simmons,0,0,1,0.9403400074338866
Vida Blue,0,0,1,0.6763599228565826
Andy Pettitte,0,0,1,0.9679565340091452
Rube Marquard,1,0,0,0.8841381227698354
Billy Pierce,0,1,0,0.8317658702599472
Kenny Rogers,0,0,1,0.999112485378742
Dennis Eckersley,1,1,1,0.9969740382166565
Jim Perry,0,0,1,0.9416704371125384
Mark Buehrle,0,0,1,0.9654377944770455
Larry Jackson,0,0,1,0.8770261776047034
Curt Schilling,0,1,0,0.805020787477531
Kevin Brown,0,0,1,0.9601551818687061
Tim Wakefield,0,0,1,0.9989589183642011
Eddie Cicotte,0,1,0,0.8325185148316995
Freddie Fitzsimmons,0,0,1,0.9788299110295665
