Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.8126743916473959
Pud Galvin,1,1,1,0.9935003066856565
Walter Johnson,1,1,1,0.9917711858506647
Phil Niekro,1,1,1,0.9883604508988258
Nolan Ryan,1,1,1,0.9970048612933926
Gaylord Perry,1,1,1,0.9863936676102026
Don Sutton,1,1,1,0.9843207114019382
Warren Spahn,1,1,1,0.9713792635846848
Steve Carlton,1,1,1,0.9942839204334631
Grover Alexander,1,1,1,0.9574221378567783
Kid Nichols,1,1,1,0.9722062584098908
Tim Keefe,1,1,1,0.9582301592318413
Greg Maddux,1,1,1,0.9655632383865805
Bert Blyleven,1,1,1,0.9849389551283712
Bobby Mathews,0,1,0,0.9791219517338334
Roger Clemens,0,1,0,0.9858842815177065
Mickey Welch,1,1,1,0.9580590201290407
Christy Mathewson,1,1,1,0.9003836059120494
Tom Seaver,1,1,1,0.9120511573290089
Tommy John,0,1,0,0.9391996730172828
Robin Roberts,1,1,1,0.8973467297114546
Early Wynn,1,1,1,0.9131576735505571
John Clarkson,1,1,1,0.8616532917440027
Tony Mullane,0,1,0,0.8646752521578661
Jim Kaat,1,1,1,0.7933605602957624
Old Hoss Radbourn,1,1,1,0.8049310367825729
Fergie Jenkins,1,1,1,0.8370760401941946
Eddie Plank,1,1,1,0.6975999005599174
Eppa Rixey,1,1,1,0.6790133289734697
Tom Glavine,1,1,1,0.8104380700554724
Jack Powell,0,1,0,0.6000159646496168
Red Ruffing,1,1,1,0.7414683697120249
Gus Weyhing,0,1,0,0.8145313728431629
Jim McCormick,0,1,0,0.4878670425354604
Frank Tanana,0,1,0,0.6524222413226591
Burleigh Grimes,1,0,0,0.45563454894943173
Ted Lyons,1,0,0,0.5963180434605353
Randy Johnson,1,1,1,0.6991972622656387
Red Faber,1,0,0,0.6676524763675046
Jamie Moyer,0,1,0,0.47450809786969383
Dennis Martínez,0,0,1,0.6686195338486624
Vic Willis,1,0,0,0.7839098549208808
Jim Palmer,1,0,0,0.7638975116903488
Lefty Grove,1,0,0,0.6517377831281518
Jack Quinn,0,0,1,0.8028124850927179
Bob Gibson,1,0,0,0.694951949192145
Sad Sam Jones,0,0,1,0.8134300564924508
Jerry Koosman,0,0,1,0.7444850655045009
Bob Feller,1,0,0,0.7445140545257533
Jack Morris,1,0,0,0.7809771603652245
Charlie Hough,0,0,1,0.7884493454764165
Amos Rusie,1,0,0,0.7839327882942309
Waite Hoyt,1,0,0,0.8785115554113172
Jim Bunning,1,0,0,0.7392326951447111
Bobo Newsom,0,0,1,0.7641071263552863
George Mullin,0,0,1,0.8862517130603954
Jerry Reuss,0,0,1,0.873906465743953
Paul Derringer,0,0,1,0.9116788358143973
Mickey Lolich,0,0,1,0.853140082855968
Tommy Bond,0,0,1,0.9216828607002684
Bob Friend,0,0,1,0.8936602065821657
Carl Hubbell,1,0,0,0.9171087591594753
Joe Niekro,0,0,1,0.9156991630671381
CC Sabathia,1,0,0,0.8654211368804273
Herb Pennock,1,0,0,0.9398104945587225
Earl Whitehill,0,0,1,0.8817264067517494
Mike Mussina,1,0,0,0.894482355905408
