Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.9976622367225124
Pud Galvin,1,0,0,0.7863275382315058
Walter Johnson,1,1,1,0.9986812987237776
Phil Niekro,1,1,1,0.99089176891771
Nolan Ryan,1,1,1,0.936866083374497
Gaylord Perry,1,1,1,0.9972014569742451
Don Sutton,1,1,1,0.997497968681822
Warren Spahn,1,1,1,0.9878769041904302
Steve Carlton,1,1,1,0.9945402090060348
Grover Alexander,1,1,1,0.9965041456952874
Kid Nichols,1,1,1,0.994375107967362
Tim Keefe,1,1,1,0.9550820257575185
Greg Maddux,1,0,0,0.579328753544955
Bert Blyleven,1,1,1,0.9949178133137256
Bobby Mathews,0,0,1,0.9670670669737395
Roger Clemens,0,1,0,0.999337635159978
Mickey Welch,1,1,1,0.7262232877129509
Christy Mathewson,1,1,1,0.9984837707306464
Tom Seaver,1,1,1,0.9965896289237776
Tommy John,0,1,0,0.9708377897041109
Robin Roberts,1,1,1,0.9742033434846248
Early Wynn,1,1,1,0.967524695460145
John Clarkson,1,1,1,0.9951958344585038
Tony Mullane,0,1,0,0.7683276667900085
Jim Kaat,1,1,1,0.857690740405166
Old Hoss Radbourn,1,1,1,0.9345785775047822
Fergie Jenkins,1,1,1,0.9907345825565795
Eddie Plank,1,1,1,0.9912777010593694
Eppa Rixey,1,1,1,0.7244030284658555
Tom Glavine,1,0,0,0.9003952835480102
Jack Powell,0,1,0,0.8914841408203927
Red Ruffing,1,1,1,0.563770808537247
Gus Weyhing,0,0,1,0.5692987996941061
Jim McCormick,0,1,0,0.8353007596865591
Frank Tanana,0,0,1,0.5730980078386791
Burleigh Grimes,1,1,1,0.9684700855156333
Ted Lyons,1,1,1,0.8614470486724355
Randy Johnson,1,1,1,0.9985143338965656
Red Faber,1,1,1,0.7103460964023263
Jamie Moyer,0,0,1,0.9791752993855316
Dennis Martínez,0,0,1,0.707176722758075
Vic Willis,1,1,1,0.855368813899786
Jim Palmer,1,1,1,0.9989554051881749
Lefty Grove,1,1,1,0.9904525009713352
Jack Quinn,0,1,0,0.7037752313224381
Bob Gibson,1,1,1,0.9982084242444261
Sad Sam Jones,0,0,1,0.9738226784626873
Jerry Koosman,0,0,1,0.9853554938445878
Bob Feller,1,1,1,0.9942473392420217
Jack Morris,1,0,0,0.8811585656361605
Charlie Hough,0,0,1,0.9657874822442123
Amos Rusie,1,0,0,0.6711313189067268
Waite Hoyt,1,0,0,0.980730925199461
Jim Bunning,1,0,0,0.9542400351376479
Bobo Newsom,0,0,1,0.9125582115312709
George Mullin,0,0,1,0.9165923392486296
Jerry Reuss,0,0,1,0.9560137044222718
Paul Derringer,0,0,1,0.9823148190198823
Mickey Lolich,0,0,1,0.6288664710380311
Tommy Bond,0,0,1,0.8436361546521083
Bob Friend,0,0,1,0.9951555058652741
Carl Hubbell,1,1,1,0.9864491074252794
Joe Niekro,0,0,1,0.9897358271970005
CC Sabathia,1,0,0,0.7602657355084524
Herb Pennock,1,1,1,0.7237782863611026
Earl Whitehill,0,0,1,0.9934038819457104
Mike Mussina,1,0,0,0.5047761053200019
Rick Reuschel,0,0,1,0.9760847599454215
Will White,0,0,1,0.9696721767928959
Adonis Terry,0,0,1,0.9968796896058509
Juan Marichal,1,1,1,0.8238871625458176
Jim Whitney,0,0,1,0.9979086809769752
Luis Tiant,0,1,0,0.8605810493485418
Wilbur Cooper,0,0,1,0.9641998868939867
John Smoltz,1,0,0,0.9025299575208384
Bartolo Colon,0,0,1,0.5046001531927856
Claude Osteen,0,0,1,0.9835424381539639
Catfish Hunter,1,0,0,0.9252524938817439
Joe McGinnity,1,0,0,0.9287399954618224
David Wells,0,0,1,0.5692864980791317
Don Drysdale,1,0,0,0.8000013500786146
Mel Harder,0,0,1,0.9560352111769724
Charlie Buffinton,0,0,1,0.90150515354341
Hooks Dauss,0,0,1,0.9872169916727334
Clark Griffith,0,1,0,0.9194035964604163
Doyle Alexander,0,0,1,0.999234002064826
Chick Fraser,0,0,1,0.9993522255918994
Al Orth,0,0,1,0.9966734374104245
Curt Simmons,0,0,1,0.9979592023251643
Vida Blue,0,0,1,0.9787365565516466
Andy Pettitte,0,1,0,0.7830599046227502
Rube Marquard,1,0,0,0.9952250989041006
Billy Pierce,0,0,1,0.6098477146638899
Kenny Rogers,0,0,1,0.9913250485415863
Dennis Eckersley,1,0,0,0.9298724015030075
Jim Perry,0,0,1,0.9956920369646203
Mark Buehrle,0,0,1,0.992441624220007
Larry Jackson,0,0,1,0.9971296345557599
Curt Schilling,0,1,0,0.648931231080952
Kevin Brown,0,0,1,0.6398338503646235
Tim Wakefield,0,0,1,0.9916175308087266
Eddie Cicotte,0,1,0,0.9008105595463246
Freddie Fitzsimmons,0,0,1,0.8816820435984558
Dolf Luque,0,0,1,0.9941195108220968
Dutch Leonard (leonadu02),0,0,1,0.9817428085179574
Jesse Haines,1,0,0,0.9929679133414351
Red Ames,0,0,1,0.9987069506823028
Chuck Finley,0,0,1,0.9895201800472915
Charlie Root,0,0,1,0.979072621644517
Liván Hernández,0,0,1,0.9991299353082748
Milt Pappas,0,0,1,0.9800362652245224
Silver King,0,0,1,0.9292635514220893
Mordecai Brown,1,1,1,0.925106331752736
Whitey Ford,1,1,1,0.8143653277494718
Lee Meadows,0,0,1,0.9989568669562959
Larry French,0,0,1,0.982667485786184
Orel Hershiser,0,0,1,0.9929679133414351
Rick Wise,0,0,1,0.9986067879483556
Tim Hudson,0,0,1,0.9138343397694271
Tom Zachary,0,0,1,0.9977687529162018
George Uhle,0,0,1,0.9671133127912134
Bucky Walters,0,0,1,0.9664961718711607
Bob Welch,0,0,1,0.9749299921893723
Bullet Joe Bush,0,0,1,0.9552644703365846
Stan Coveleski,1,1,1,0.5070639134691001
Bill Hutchison,0,0,1,0.9990363400224409
Bill Dinneen,0,0,1,0.9994650771308291
Lew Burdette,0,0,1,0.9672884671569962
Murry Dickson,0,0,1,0.998744403491593
Mike Torrez,0,0,1,0.9989181875175721
Doc White,0,0,1,0.9955144206075125
Brickyard Kennedy,0,0,1,0.9990363400224409
Carl Mays,0,0,1,0.7255884746703286
Charles Bender,1,1,1,0.6559208838563075
Danny Darwin,0,0,1,0.99800970837857
Pink Hawley,0,0,1,0.9992037293095597
Babe Adams,0,0,1,0.9636090921658538
Hal Newhouser,1,1,1,0.5371739370245918
Theodore Breitenstein,0,0,1,0.9991229857500713
Dazzy Vance,1,0,0,0.7974422166038967
Red Donahue,0,0,1,0.9971691133574855
Bill Donovan,0,0,1,0.9914222464575949
Ed Walsh,1,1,1,0.9975183985897472
Mark Langston,0,0,1,0.9984844363514432
Rube Waddell,1,0,0,0.6817062754494703
Bump Hadley,0,0,1,0.9991935358591815
George Bradley,0,0,1,0.998582389524874
Bob Shawkey,0,0,1,0.9725202306048816
Camilo Pascual,0,0,1,0.9983503893025001
Fernando Valenzuela,0,0,1,0.9990467550808302
Guy Hecker,0,0,1,0.998910204708597
David Cone,0,0,1,0.9847332517970603
Jack Chesbro,1,0,0,0.9497201389137132
Dave Stieb,0,0,1,0.9987592092675781
Jack Stivetts,0,0,1,0.9617999132021549
Al Spalding,0,1,0,0.4776546958982069
Ken Holtzman,0,0,1,0.9989105321111191
Bill Lee (leebi02),0,0,1,0.9984918494926228
Bob Lemon,1,0,0,0.9219648066846986
John Lackey,0,0,1,0.9990983346356216
Javier Vázquez,0,0,1,0.9954902657491805
Steve Rogers,0,0,1,0.9990636865111032
Frank Viola,0,0,1,0.9993534006867159
Mike Moore,0,0,1,0.9994306758352577
Bob Caruthers,0,0,1,0.8886854894494731
Pedro Martínez,1,1,1,0.999865935695739
Tommy Bridges,0,0,1,0.8809137924273353
Slim Sallee,0,0,1,0.9991538421709285
Howard Ehmke,0,0,1,0.9992037293095597
Frank Dwyer,0,0,1,0.9989676402746139
Mike Cuellar,0,0,1,0.9958289942325861
Mark Baldwin,0,0,1,0.9994650771308291
Dwight Gooden,0,0,1,0.9958877178246787
Bob Forsch,0,0,1,0.9991935358591815
Bill Doak,0,0,1,0.9978141945027726
Lon Warneke,0,0,1,0.9936630296059518
Earl Moore,0,0,1,0.9986714977769375
Mike Morgan,0,0,1,0.9989884895920899
Mike Flanagan,0,0,1,0.9993689091161697
Jesse Tannehill,0,1,0,0.5377428171961175
Red Ehret,0,0,1,0.9994650771308291
Roy Halladay,1,0,0,0.8121650779160777
Bert Cunningham,0,0,1,0.9991229857500713
A.J. Burnett,0,0,1,0.9992640071880984
Dave McNally,0,0,1,0.9986754082578442
Hippo Vaughn,0,0,1,0.9962958128221451
Félix Hernández,0,0,1,0.9984206140503012
Dizzy Trout,0,0,1,0.984392651917055
Tom Candiotti,0,0,1,0.9994650771308291
Guy Bush,0,0,1,0.9974077057215481
Kevin Millwood,0,0,1,0.9994650771308291
Claude Passeau,0,0,1,0.9989444923307387
Bill Sherdel,0,0,1,0.999389799414376
Bob Knepper,0,0,1,0.9991446095624027
Art Nehf,0,0,1,0.9984182471906753
Danny MacFayden,0,0,1,0.9993383861789557
Rick Sutcliffe,0,0,1,0.9993689091161697
Wilbur Wood,0,0,1,0.9991045552555476
Jim Slaton,0,0,1,0.999389799414376
Virgil Trucks,0,0,1,0.9988732525317551
Urban Shocker,0,0,1,0.992660559788632
Ed Morris,0,0,1,0.9981561096050963
Vern Law,0,0,1,0.9991045552555476
Derek Lowe,0,0,1,0.9994650771308291
Mel Stottlemyre,0,0,1,0.9972114408327417
Sam Leever,0,0,1,0.9421283569071546
Burt Hooton,0,0,1,0.9992908707183897
John Burkett,0,0,1,0.9993534006867159
Tom Hughes,0,0,1,0.9983344025204229
Rube Walberg,0,0,1,0.999389799414376
Sadie McMahon,0,0,1,0.9993037557458481
Ed Reulbach,0,0,1,0.9612533544256117
Dave Stewart,0,0,1,0.9986786843647977
Jack Taylor (tayloja02),0,0,1,0.9988746353086084
Wes Ferrell,0,0,1,0.9966041204070246
Rudy May,0,0,1,0.9989181875175721
James Shields,0,0,1,0.9990983346356216
Willis Hudlin,0,0,1,0.9993383861789557
Deacon Phillippe,0,0,1,0.9916973560196498
Jouett Meekin,0,0,1,0.9992145052557415
Kevin Appier,0,0,1,0.999389799414376
Rick Rhoden,0,0,1,0.9991935358591815
Jimmy Key,0,0,1,0.9989247246744953
Bob Buhl,0,0,1,0.9991935358591815
Barry Zito,0,0,1,0.9992640071880984
Terry Mulholland,0,0,1,0.9993383861789557
Jesse Barnes,0,0,1,0.9992427143878484
Joe Coleman (colemjo05),0,0,1,0.9992640071880984
Harry Howell,0,0,1,0.9988879633657308
Bret Saberhagen,0,0,1,0.9467819206495173
Scott Sanderson,0,0,1,0.9991835008212568
Bill Gullickson,0,0,1,0.999389799414376
Eddie Rommel,0,0,1,0.9955603297779209
Paul Splittorff,0,0,1,0.999389799414376
Jeff Suppan,0,0,1,0.9986786843647977
Red Lucas,0,0,1,0.998309504407664
Pretzels Getzien,0,0,1,0.9994650771308291
Doug Drabek,0,0,1,0.9992640071880984
Kyle Lohse,0,0,1,0.9991935358591815
Stan Bahnsen,0,0,1,0.9992640071880984
John Candelaria,0,0,1,0.9989268016887087
Ice Box Chamberlain,0,0,1,0.9982533200038379
Rube Benton,0,0,1,0.9992640071880984
Jim Clancy,0,0,1,0.999389799414376
Frank Killen,0,0,1,0.9993037557458481
Andy Benes,0,0,1,0.9994650771308291
Lefty Gomez,1,0,0,0.9593741126374188
Steve Trachsel,0,0,1,0.9992783185718767
Ray Sadecki,0,0,1,0.9989181875175721
Steve Renko,0,0,1,0.9991935358591815
Sam McDowell,0,0,1,0.999045443350965
Allie Reynolds,0,0,1,0.9948005977380833
Kevin Gross,0,0,1,0.9993534006867159
Win Mercer,0,0,1,0.9992145052557415
Hal Schumacher,0,0,1,0.9988749630170008
Ned Garver,0,0,1,0.9994650771308291
Ron Reed,0,0,1,0.9986774494737121
John Ward,1,0,0,0.9983249351336931
Bobby Witt,0,0,1,0.9991935358591815
Jim Lonborg,0,0,1,0.999389799414376
Brad Radke,0,0,1,0.9992640071880984
Tim Belcher,0,0,1,0.9992640071880984
Mudcat Grant,0,0,1,0.9992908707183897
Eddie Lopat,0,0,1,0.9987992550601601
Bronson Arroyo,0,0,1,0.9986786843647977
Matt Kilroy,0,0,1,0.9992037293095597
Dan Haren,0,0,1,0.9991303605033842
Bruce Hurst,0,0,1,0.9994650771308291
Woodie Fryman,0,0,1,0.9993373133349556
Bob Rush,0,0,1,0.9993534006867159
Mike Caldwell,0,0,1,0.9989105321111191
Jeff Pfeffer,0,0,1,0.998144934556333
Larry Corcoran,0,0,1,0.971205748731728
Ron Guidry,0,0,1,0.9254269727389084
Al Leiter,0,0,1,0.9989181875175721
Kid Gleason,0,0,1,0.9981007535411862
Floyd Bannister,0,0,1,0.9993534006867159
Ryan Dempster,0,0,1,0.999389799414376
Mike McCormick,0,0,1,0.9991021883446694
Jake Peavy,0,0,1,0.9990983346356216
Nap Rucker,0,0,1,0.9823019867341073
Claude Hendrix,0,0,1,0.9987620467945989
Jon Matlack,0,0,1,0.9990314448415075
Scott Erickson,0,0,1,0.9994650771308291
Ron Darling,0,0,1,0.9994650771308291
Jimmy Ring,0,0,1,0.9992640071880984
Pedro Ramos,0,0,1,0.999389799414376
General Crowder,0,0,1,0.9994650771308291
Tully Sparks,0,0,1,0.9992427143878484
Earl Hamilton,0,0,1,0.999389799414376
Bob Groom,0,0,1,0.9992640071880984
Larry Dierker,0,0,1,0.9992233066425132
Thornton Lee,0,0,1,0.9991264469121716
Randy Wolf,0,0,1,0.9993534006867159
Addie Joss,1,1,1,0.8779516124679697
Curt Davis,0,0,1,0.9992908707183897
Chris Short,0,0,1,0.9989105321111191
Sandy Koufax,1,1,1,0.8412851622153446
Aaron Harang,0,0,1,0.999389799414376
Jack Coombs,0,0,1,0.994493297796276
George Weidman,0,0,1,0.9988879633657308
Charlie Leibrandt,0,0,1,0.9994650771308291
Joe Nuxhall,0,0,1,0.9986786843647977
Bob Ewing,0,0,1,0.9991688488153627
Larry Benton,0,0,1,0.9994650771308291
George Cuppy,0,0,1,0.9909734039937959
Si Johnson,0,0,1,0.9992967009029677
Harry Staley,0,0,1,0.9989335875464986
Cy Falkenberg,0,0,1,0.9987505919897319
Frank Smith,0,0,1,0.9967660983418244
Ed Brandt,0,0,1,0.999389799414376
Al Downing,0,0,1,0.9992640071880984
Mike Hampton,0,0,1,0.9986786843647977
George Mogridge,0,0,1,0.9994650771308291
Johnny Podres,0,0,1,0.9992640071880984
Kevin Tapani,0,0,1,0.9993534006867159
Freddy García,0,0,1,0.9989022281011444
Hoyt Wilhelm,1,1,1,0.9283172572237582
Don Newcombe,0,0,1,0.9980539052596067
Bob Smith,0,0,1,0.999389799414376
Roy Oswalt,0,0,1,0.9559333197614688
Ray Caldwell,0,0,1,0.9988160345357345
Ed Whitson,0,0,1,0.9994650771308291
Harvey Haddix,0,0,1,0.9991836667032563
Kid Carsey,0,0,1,0.9994650771308291
Greg Swindell,0,0,1,0.9992640071880984
Jack Billingham,0,0,1,0.9988749630170008
Andy Messersmith,0,0,1,0.9966634568269568
Lefty Tyler,0,0,1,0.9981860449576273
Mark Gubicza,0,0,1,0.9991935358591815
Frank Kitson,0,0,1,0.9991385548582253
Chris Carpenter,0,0,1,0.9993522862274872
Schoolboy Rowe,0,0,1,0.9993301125211794
Fritz Peterson,0,0,1,0.9991873525143342
Clarence Mitchell,0,0,1,0.9989181875175721
Woody Williams,0,0,1,0.9994650771308291
Fred Toney,0,0,1,0.9989084484109019
Jon Lieber,0,0,1,0.9993781831612376
Pedro Astacio,0,0,1,0.9991935358591815
Dutch Leonard (leonadu01),0,0,1,0.9992233066425132
Todd Stottlemyre,0,0,1,0.9994650771308291
Mike Krukow,0,0,1,0.9994650771308291
Ray Burris,0,0,1,0.999389799414376
Dennis Leonard,0,0,1,0.9989817424114014
Sid Hudson,0,0,1,0.999389799414376
George Zettlein,0,0,1,0.9992145052557415
Tommy Thomas,0,0,1,0.9992640071880984
Mike García,0,0,1,0.999045443350965
Bill Singer,0,0,1,0.9994650771308291
Joe Dobson,0,0,1,0.9994650771308291
Syl Johnson,0,0,1,0.9993689091161697
Darryl Kile,0,0,1,0.9992640071880984
Frank Lary,0,0,1,0.9992640071880984
Rick Honeycutt,0,0,1,0.9993383861789557
Cliff Lee,0,0,1,0.9969894889226368
Harry Gumbert,0,0,1,0.999389799414376
Dick Ellsworth,0,0,1,0.9994650771308291
Joaquín Andújar,0,0,1,0.9991935358591815
Aaron Sele,0,0,1,0.999389799414376
Sonny Siebert,0,0,1,0.9992233066425132
Ken Raffensberger,0,0,1,0.9991446095624027
Jon Garland,0,0,1,0.999389799414376
Candy Cummings,0,0,1,0.999099631197047
John Denny,0,0,1,0.999389799414376
Dean Chance,0,0,1,0.9988707354829204
Scott McGregor,0,0,1,0.9989105321111191
Lindy McDaniel,0,0,1,0.998203759262639
Dock Ellis,0,0,1,0.9992640071880984
Ken Forsch,0,0,1,0.9990979965960471
Johnny Sain,0,0,1,0.9994650771308291
Dutch Ruether,0,0,1,0.9990965494289205
Mike Boddicker,0,0,1,0.999389799414376
