Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.9996405967983475
Pud Galvin,1,1,1,0.7031962637693531
Walter Johnson,1,1,1,0.9999841234021805
Phil Niekro,1,1,1,0.9844693676013087
Nolan Ryan,1,1,1,0.8810141554903411
Gaylord Perry,1,1,1,0.9974565413942633
Don Sutton,1,1,1,0.92013447804869
Warren Spahn,1,1,1,0.9995426383357038
Steve Carlton,1,1,1,0.9892568812136172
Grover Alexander,1,1,1,0.9991414136285941
Kid Nichols,1,1,1,0.9698178446419892
Tim Keefe,1,1,1,0.9782125016085998
Greg Maddux,1,1,1,0.8652032404127671
Bert Blyleven,1,1,1,0.9597092666201563
Bobby Mathews,0,1,0,0.8210319769756321
Roger Clemens,0,1,0,0.9992638416296412
Mickey Welch,1,1,1,0.8493202218170137
Christy Mathewson,1,1,1,0.9995190887520427
Tom Seaver,1,1,1,0.999741017764049
Tommy John,0,1,0,0.9735254192875287
Robin Roberts,1,1,1,0.9420258324765597
Early Wynn,1,1,1,0.9421694528545634
John Clarkson,1,1,1,0.9984431901904914
Tony Mullane,0,1,0,0.8964434137298759
Jim Kaat,1,1,1,0.8772605345696726
Old Hoss Radbourn,1,1,1,0.37346377700916267
Fergie Jenkins,1,1,1,0.9788262317835463
Eddie Plank,1,1,1,0.9951063660379076
Eppa Rixey,1,1,1,0.7264524574243996
Tom Glavine,1,0,0,0.974526894726823
Jack Powell,0,1,0,0.6681832753598017
Red Ruffing,1,1,1,0.5718815187328957
Gus Weyhing,0,0,1,0.9552985642815663
Jim McCormick,0,1,0,0.41379418515398664
Frank Tanana,0,0,1,0.8885586166361069
Burleigh Grimes,1,1,1,0.574289221111024
Ted Lyons,1,0,0,0.4663655676428794
Randy Johnson,1,1,1,0.994322010993022
Red Faber,1,1,1,0.553329532493246
Jamie Moyer,0,0,1,0.604868337289896
Dennis Martínez,0,0,1,0.18571412885290484
Vic Willis,1,1,1,0.26182339301649266
Jim Palmer,1,1,1,0.9900618553380169
Lefty Grove,1,1,1,0.9904092474600402
Jack Quinn,0,1,0,0.7872595890521314
Bob Gibson,1,1,1,0.996936854918306
Sad Sam Jones,0,0,1,0.5945915742663255
Jerry Koosman,0,0,1,0.6476040922875873
Bob Feller,1,1,1,0.9904670746432577
Jack Morris,1,0,0,0.9355785555232985
Charlie Hough,0,0,1,0.9049390024181466
Amos Rusie,1,0,0,0.9158053412143695
Waite Hoyt,1,0,0,0.9841060685501503
Jim Bunning,1,0,0,0.8614693850329966
Bobo Newsom,0,0,1,0.7725882897747497
George Mullin,0,0,1,0.8701881266609006
Jerry Reuss,0,0,1,0.8113599509965409
Paul Derringer,0,0,1,0.8488402211769839
Mickey Lolich,0,0,1,0.5473727516091524
Tommy Bond,0,1,0,0.5950990996155433
Bob Friend,0,0,1,0.9604798678365073
Carl Hubbell,1,1,1,0.9819825651538051
Joe Niekro,0,0,1,0.9542071447832148
CC Sabathia,1,0,0,0.8946460534014284
Herb Pennock,1,0,0,0.6879775539639257
Earl Whitehill,0,0,1,0.9649996666988638
Mike Mussina,1,0,0,0.035743740739805574
Rick Reuschel,0,0,1,0.9043464883687674
Will White,0,0,1,0.9393819811865916
Adonis Terry,0,0,1,0.9892747599700511
Juan Marichal,1,1,1,0.9578299266894362
Jim Whitney,0,0,1,0.9361552546909331
Luis Tiant,0,1,0,0.8439277523967054
Wilbur Cooper,0,0,1,0.6850885005153451
John Smoltz,1,0,0,0.6550777025801133
Bartolo Colon,0,0,1,0.9611165430341839
Claude Osteen,0,0,1,0.9619783620737495
Catfish Hunter,1,0,0,0.9786027154740163
Joe McGinnity,1,0,0,0.5988021600032437
David Wells,0,0,1,0.8909195204702649
Don Drysdale,1,0,0,0.4438553722109808
Mel Harder,0,0,1,0.9823780156739031
Charlie Buffinton,0,0,1,0.9210047591209696
Hooks Dauss,0,0,1,0.9882821289393084
Clark Griffith,0,1,0,0.23279426715931498
Doyle Alexander,0,0,1,0.9952243679230036
Chick Fraser,0,0,1,0.9802213908823054
Al Orth,0,0,1,0.9856474970360024
Curt Simmons,0,0,1,0.9859230292014354
Vida Blue,0,0,1,0.9833897732012122
Andy Pettitte,0,0,1,0.8037976447420605
Rube Marquard,1,0,0,0.9939144602470166
Billy Pierce,0,1,0,0.4351050907154027
Kenny Rogers,0,0,1,0.9896093351588784
Dennis Eckersley,1,0,0,0.5475583177203447
Jim Perry,0,0,1,0.9827739008850519
Mark Buehrle,0,0,1,0.9894720960131607
Larry Jackson,0,0,1,0.991318695545515
Curt Schilling,0,1,0,0.21146084216189553
Kevin Brown,0,0,1,0.9048851791547072
Tim Wakefield,0,0,1,0.994566041537471
Eddie Cicotte,0,1,0,0.7577690945160153
Freddie Fitzsimmons,0,0,1,0.9905837238640322
Dolf Luque,0,0,1,0.9824656936943348
Dutch Leonard (leonadu02),0,0,1,0.9815470278784876
Jesse Haines,1,0,0,0.985848462242574
Red Ames,0,0,1,0.9944248775597501
Chuck Finley,0,0,1,0.9903075294578186
Charlie Root,0,0,1,0.9668934465523603
Liván Hernández,0,0,1,0.9971633459158342
Milt Pappas,0,0,1,0.9094338616243439
Silver King,0,0,1,0.8616418086060231
Mordecai Brown,1,1,1,0.9952530274304288
Whitey Ford,1,1,1,0.9283200823104955
Lee Meadows,0,0,1,0.9976234195268664
Larry French,0,0,1,0.9813070999953049
Orel Hershiser,0,0,1,0.9232753549609093
Rick Wise,0,0,1,0.9974858219770029
Tim Hudson,0,0,1,0.9802631564965415
Tom Zachary,0,0,1,0.9932129184889532
George Uhle,0,0,1,0.9827096035408031
Bucky Walters,0,0,1,0.953171290953353
Bob Welch,0,0,1,0.9935833323627706
Bullet Joe Bush,0,0,1,0.9951007534674348
Stan Coveleski,1,0,0,0.8743214424263264
Bill Hutchison,0,0,1,0.9977558577266419
Bill Dinneen,0,0,1,0.9989032077218551
Lew Burdette,0,0,1,0.9483705198671035
Murry Dickson,0,0,1,0.9939886861204335
Mike Torrez,0,0,1,0.9970875981968434
Doc White,0,0,1,0.9943229385421019
Brickyard Kennedy,0,0,1,0.9991021501926864
Carl Mays,0,0,1,0.6714806438221905
Charles Bender,1,1,1,0.9668874409260898
Danny Darwin,0,0,1,0.9978123743380896
Pink Hawley,0,0,1,0.9990739435817414
Babe Adams,0,0,1,0.7298438023270813
Hal Newhouser,1,0,0,0.6036554276501873
Theodore Breitenstein,0,0,1,0.9991213144240635
Dazzy Vance,1,1,1,0.36931566232415103
Red Donahue,0,0,1,0.9984129220195549
Bill Donovan,0,0,1,0.975082846430239
Ed Walsh,1,1,1,0.9897636213095325
Mark Langston,0,0,1,0.9988958134101138
Rube Waddell,1,1,1,0.9416033426549313
Bump Hadley,0,0,1,0.9996672706285713
George Bradley,0,0,1,0.9972250356422145
Bob Shawkey,0,0,1,0.9934019881169481
Camilo Pascual,0,0,1,0.99841550145502
Fernando Valenzuela,0,0,1,0.99841550145502
Guy Hecker,0,0,1,0.998762248076484
David Cone,0,0,1,0.9979070608068256
Jack Chesbro,1,0,0,0.9954241032533332
Dave Stieb,0,0,1,0.9723742906418064
Jack Stivetts,0,0,1,0.9411944293621896
Al Spalding,0,1,0,0.8533461159663346
Ken Holtzman,0,0,1,0.9980498944709264
Bill Lee (leebi02),0,0,1,0.9991225078046022
Bob Lemon,1,0,0,0.9029020059042238
John Lackey,0,0,1,0.9972084868557447
Javier Vázquez,0,0,1,0.9990953278412154
Steve Rogers,0,0,1,0.9983949222242362
Frank Viola,0,0,1,0.9998302377837736
Mike Moore,0,0,1,0.9994041410581443
Bob Caruthers,0,0,1,0.6046563604771237
