Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.9974186386902424
Pud Galvin,1,0,0,0.8196963372094598
Walter Johnson,1,1,1,0.9994438891641872
Phil Niekro,1,1,1,0.9873690174345113
Nolan Ryan,1,1,1,0.9318865034940248
Gaylord Perry,1,1,1,0.9957370510392368
Don Sutton,1,1,1,0.9963434488031603
Warren Spahn,1,1,1,0.9881799672523012
Steve Carlton,1,1,1,0.9945402090060348
Grover Alexander,1,1,1,0.9982850121396508
Kid Nichols,1,1,1,0.9946008662703593
Tim Keefe,1,1,1,0.964754818712526
Greg Maddux,1,0,0,0.5968835800391299
Bert Blyleven,1,1,1,0.9913516596026091
Bobby Mathews,0,0,1,0.9670139269428878
Roger Clemens,0,1,0,0.9993067739211858
Mickey Welch,1,1,1,0.715266662672908
Christy Mathewson,1,1,1,0.9984837707306464
Tom Seaver,1,1,1,0.9981651868442164
Tommy John,0,1,0,0.969287165740544
Robin Roberts,1,1,1,0.9700502306495167
Early Wynn,1,1,1,0.9688472331533204
John Clarkson,1,1,1,0.9951958344585038
Tony Mullane,0,1,0,0.7425122042964543
Jim Kaat,1,1,1,0.7663123822944504
Old Hoss Radbourn,1,1,1,0.9479831552114225
Fergie Jenkins,1,1,1,0.9922991671223835
Eddie Plank,1,1,1,0.9957545291099291
Eppa Rixey,1,1,1,0.7678409104458848
Tom Glavine,1,0,0,0.7263151644212613
Jack Powell,0,1,0,0.8619919551349674
Red Ruffing,1,1,1,0.4574228479217385
Gus Weyhing,0,0,1,0.5692987996941061
Jim McCormick,0,1,0,0.8392401665558836
Frank Tanana,0,0,1,0.6509015086297807
Burleigh Grimes,1,1,1,0.963703994275588
Ted Lyons,1,1,1,0.8624980258062271
Randy Johnson,1,1,1,0.9984451726696587
Red Faber,1,1,1,0.7103460964023263
Jamie Moyer,0,0,1,0.9613094279649853
Dennis Martínez,0,0,1,0.707176722758075
Vic Willis,1,1,1,0.8266976122287895
Jim Palmer,1,1,1,0.9989554051881749
Lefty Grove,1,1,1,0.9869085429338775
Jack Quinn,0,1,0,0.7629253514798465
Bob Gibson,1,1,1,0.9982084242444261
Sad Sam Jones,0,0,1,0.9738226784626873
Jerry Koosman,0,0,1,0.9860420357382408
Bob Feller,1,1,1,0.9942473392420217
Jack Morris,1,0,0,0.8781398879113071
Charlie Hough,0,0,1,0.9657874822442123
Amos Rusie,1,1,1,0.38629658902669045
Waite Hoyt,1,0,0,0.980730925199461
Jim Bunning,1,0,0,0.9542400351376479
Bobo Newsom,0,0,1,0.9166018501172838
George Mullin,0,0,1,0.9162467461520717
Jerry Reuss,0,0,1,0.9752840628173919
Paul Derringer,0,0,1,0.9823148190198823
Mickey Lolich,0,0,1,0.7790553832838694
Tommy Bond,0,0,1,0.9308534404202535
Bob Friend,0,0,1,0.994459640204945
Carl Hubbell,1,1,1,0.9852988709276945
Joe Niekro,0,0,1,0.9876765877904714
