Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.9999991356065594
Pud Galvin,1,1,1,0.6189777628378382
Walter Johnson,1,1,1,0.999998778385992
Phil Niekro,1,1,1,0.9187635111528989
Nolan Ryan,1,1,1,0.9987042072416396
Gaylord Perry,1,1,1,0.9976914871375804
Don Sutton,1,1,1,0.9852071570760579
Warren Spahn,1,1,1,0.9999702534127877
Steve Carlton,1,1,1,0.9974203309128361
Grover Alexander,1,1,1,0.9999317919267251
Kid Nichols,1,1,1,0.9857421960733977
Tim Keefe,1,1,1,0.9939982684305292
Greg Maddux,1,1,1,0.5403705719568666
Bert Blyleven,1,1,1,0.8792183219470903
Bobby Mathews,0,0,1,0.9976013684894106
Roger Clemens,0,1,0,0.996427952221145
Mickey Welch,1,0,0,0.5539402504471245
Christy Mathewson,1,1,1,0.999977999909428
Tom Seaver,1,1,1,0.9993304781916121
Tommy John,0,0,1,0.9527124702695969
Robin Roberts,1,1,1,0.978179259955651
Early Wynn,1,1,1,0.8470842099451967
John Clarkson,1,1,1,0.6463154671423058
Tony Mullane,0,0,1,0.9919863394850175
Jim Kaat,1,0,0,0.9338957900386174
Old Hoss Radbourn,1,1,1,0.9561037296750301
Fergie Jenkins,1,1,1,0.996162606684906
Eddie Plank,1,1,1,0.9995992843274896
Eppa Rixey,1,0,0,0.9606683754786374
Tom Glavine,1,0,0,0.9334898844974144
Jack Powell,0,1,0,0.95630283642403
Red Ruffing,1,1,1,0.6904134933903207
Gus Weyhing,0,0,1,0.9989625163132995
Jim McCormick,0,1,0,0.9507346945870196
Frank Tanana,0,0,1,0.9306225412010405
Burleigh Grimes,1,0,0,0.7946262859582519
Ted Lyons,1,0,0,0.7924960414755388
Randy Johnson,1,1,1,0.9954799538659544
Red Faber,1,0,0,0.8684720439898564
Jamie Moyer,0,0,1,0.9952248054862711
Dennis Martínez,0,0,1,0.9388904844610527
Vic Willis,1,1,1,0.7077480085069223
Jim Palmer,1,1,1,0.927891286094121
Lefty Grove,1,1,1,0.9936316674696616
Jack Quinn,0,0,1,0.8506141977306297
Bob Gibson,1,1,1,0.9967348465471443
Sad Sam Jones,0,0,1,0.9901747824330449
Jerry Koosman,0,0,1,0.7207904698637053
Bob Feller,1,1,1,0.9856745901737946
Jack Morris,1,1,1,0.5222566765840496
Charlie Hough,0,0,1,0.9977023550510655
Amos Rusie,1,0,0,0.9682334443342973
Waite Hoyt,1,0,0,0.886619401348414
Jim Bunning,1,0,0,0.6245459051136074
Bobo Newsom,0,0,1,0.987627915419645
George Mullin,0,1,0,0.8600694295787905
Jerry Reuss,0,0,1,0.9664160907828157
Paul Derringer,0,0,1,0.5207935483335921
Mickey Lolich,0,0,1,0.517686334080538
Tommy Bond,0,0,1,0.5116861702326923
Bob Friend,0,0,1,0.9575296060947064
Carl Hubbell,1,1,1,0.9449271070999857
Joe Niekro,0,0,1,0.9873729112271694
CC Sabathia,1,0,0,0.8225762712154067
Herb Pennock,1,0,0,0.5169374179149224
Earl Whitehill,0,0,1,0.9895270667864601
Mike Mussina,1,0,0,0.6400788661524248
Rick Reuschel,0,0,1,0.991152979016914
Will White,0,0,1,0.9904857666769785
Adonis Terry,0,0,1,0.9967930077426806
Juan Marichal,1,1,1,0.9894628003783075
Jim Whitney,0,0,1,0.9286966005449455
Luis Tiant,0,1,0,0.9212869826840644
Wilbur Cooper,0,0,1,0.7871287066767124
John Smoltz,1,1,1,0.8567913106376299
Bartolo Colon,0,0,1,0.9447727702036749
Claude Osteen,0,0,1,0.8872123946490972
Catfish Hunter,1,1,1,0.9727454869828427
Joe McGinnity,1,1,1,0.5028246730565552
David Wells,0,0,1,0.9363549009303053
Don Drysdale,1,0,0,0.6349715115697273
Mel Harder,0,0,1,0.9776453785053766
Charlie Buffinton,0,1,0,0.5448985389166258
Hooks Dauss,0,0,1,0.6359609878643129
Clark Griffith,0,0,1,0.9663007363405869
Doyle Alexander,0,0,1,0.9913287710938092
Chick Fraser,0,0,1,0.9999381943138539
Al Orth,0,0,1,0.8866552804784203
Curt Simmons,0,0,1,0.9740683611174356
Vida Blue,0,1,0,0.63217603000133
Andy Pettitte,0,0,1,0.9557633350868039
Rube Marquard,1,0,0,0.8672424725971867
Billy Pierce,0,1,0,0.7894186704070981
Kenny Rogers,0,0,1,0.9994359179449899
Dennis Eckersley,1,1,1,0.9990054399558634
Jim Perry,0,0,1,0.966222830133849
Mark Buehrle,0,0,1,0.9597406969504424
Larry Jackson,0,0,1,0.9041664147145545
Curt Schilling,0,1,0,0.7696020823764884
Kevin Brown,0,0,1,0.9532310974261232
Tim Wakefield,0,0,1,0.9997445951939057
Eddie Cicotte,0,1,0,0.9157070842969609
Freddie Fitzsimmons,0,0,1,0.9878829349624418
Dolf Luque,0,0,1,0.9687648088532584
Dutch Leonard (leonadu02),0,0,1,0.9839922015366274
Jesse Haines,1,0,0,0.9803713007283014
Red Ames,0,0,1,0.7858415045277709
Chuck Finley,0,0,1,0.9894546444125456
Charlie Root,0,0,1,0.85299936490545
Liván Hernández,0,0,1,0.9960541516720831
Milt Pappas,0,0,1,0.880261178851343
Silver King,0,0,1,0.9832031894958099
Mordecai Brown,1,1,1,0.9639353969007738
Whitey Ford,1,1,1,0.9239956345953813
Lee Meadows,0,0,1,0.9947181436130561
Larry French,0,0,1,0.952101810678875
Orel Hershiser,0,0,1,0.9875023571815237
Rick Wise,0,0,1,0.949737283734061
Tim Hudson,0,0,1,0.9768695377965757
Tom Zachary,0,0,1,0.9979311599092379
George Uhle,0,0,1,0.9691364165838895
Bucky Walters,0,0,1,0.8953057575787875
Bob Welch,0,0,1,0.8420224038818367
Bullet Joe Bush,0,0,1,0.9198243498602728
Stan Coveleski,1,0,0,0.8130995438350807
Bill Hutchison,0,0,1,0.9859278266532913
Bill Dinneen,0,0,1,0.7133186590950991
Lew Burdette,0,0,1,0.9389202188638895
Murry Dickson,0,0,1,0.9697224899029778
Mike Torrez,0,0,1,0.9946642068338359
Doc White,0,0,1,0.7924501583286949
Brickyard Kennedy,0,0,1,0.9863842477014108
Carl Mays,0,0,1,0.6305395050127295
Charles Bender,1,1,1,0.8943564783735931
Danny Darwin,0,0,1,0.99770031086848
Pink Hawley,0,0,1,0.9999813365314083
Babe Adams,0,0,1,0.6479015165514462
Hal Newhouser,1,0,0,0.5056855138128689
Theodore Breitenstein,0,0,1,0.9957213087214029
Dazzy Vance,1,0,0,0.5374819153126469
Red Donahue,0,0,1,0.9942306947236218
Bill Donovan,0,1,0,0.8246172141338104
Ed Walsh,1,1,1,0.9468213385464747
Mark Langston,0,0,1,0.9251003782886368
Rube Waddell,1,0,0,0.575099244226746
Bump Hadley,0,0,1,0.9971002878108054
George Bradley,0,0,1,0.9926352904876419
Bob Shawkey,0,1,0,0.5638438646383059
Camilo Pascual,0,0,1,0.9519273276308841
Fernando Valenzuela,0,0,1,0.880248757836633
Guy Hecker,0,0,1,0.9866427338343273
David Cone,0,0,1,0.8740958485421275
Jack Chesbro,1,0,0,0.545249462222585
Dave Stieb,0,0,1,0.9930156092679588
Jack Stivetts,0,0,1,0.997530727983086
Al Spalding,0,0,1,0.9121247408436346
Ken Holtzman,0,0,1,0.9581756448954285
Bill Lee (leebi02),0,0,1,0.9758966455165454
Bob Lemon,1,0,0,0.7130475553029543
John Lackey,0,0,1,0.9845060833693597
Javier Vázquez,0,0,1,0.9707431399593246
Steve Rogers,0,0,1,0.9665955077257142
Frank Viola,0,0,1,0.9679261729029845
Mike Moore,0,0,1,0.9989517616273468
Bob Caruthers,0,0,1,0.6389594874215136
Pedro Martínez,1,0,0,0.9632367068759333
Tommy Bridges,0,0,1,0.8859795807492532
Slim Sallee,0,0,1,0.8793610169802153
Howard Ehmke,0,0,1,0.9981610205071366
Frank Dwyer,0,0,1,0.9983732533734389
Mike Cuellar,0,1,0,0.6188223078637961
Mark Baldwin,0,0,1,0.9996100696021203
Dwight Gooden,0,0,1,0.8769291162022801
Bob Forsch,0,0,1,0.9931277122332636
Bill Doak,0,0,1,0.9821143968945109
Lon Warneke,0,0,1,0.8288444507361605
Earl Moore,0,0,1,0.9651090695890936
Mike Morgan,0,0,1,0.9998710481864259
Mike Flanagan,0,0,1,0.9872209503210194
Jesse Tannehill,0,0,1,0.6807364028262685
Red Ehret,0,0,1,0.9998108265442266
Roy Halladay,1,0,0,0.9072869901951339
Bert Cunningham,0,0,1,0.9998534203569323
A.J. Burnett,0,0,1,0.9994034387630426
Dave McNally,0,0,1,0.7586689058065593
Hippo Vaughn,0,0,1,0.9298751218415124
Félix Hernández,0,0,1,0.9688148791162143
Dizzy Trout,0,0,1,0.989431899823803
Tom Candiotti,0,0,1,0.9985496587960786
Guy Bush,0,0,1,0.9821811340402169
Kevin Millwood,0,0,1,0.9943615856524196
Claude Passeau,0,0,1,0.938491648757287
Bill Sherdel,0,0,1,0.9709510636825447
Bob Knepper,0,0,1,0.9947792923589058
Art Nehf,0,0,1,0.9219235190858264
Danny MacFayden,0,0,1,0.9985825242882634
Rick Sutcliffe,0,0,1,0.9841956077298649
Wilbur Wood,0,0,1,0.9873727335194789
Jim Slaton,0,0,1,0.9955974133141455
Virgil Trucks,0,0,1,0.9431250309171603
Urban Shocker,0,0,1,0.7771501573611799
Ed Morris,0,0,1,0.8411168842138839
Vern Law,0,0,1,0.9852053199348649
Derek Lowe,0,0,1,0.9967756523270463
Mel Stottlemyre,0,0,1,0.8363984766521121
Sam Leever,0,0,1,0.6330678402838119
Burt Hooton,0,0,1,0.9876711761447811
John Burkett,0,0,1,0.9922915748492631
Tom Hughes,0,0,1,0.9949485230950775
Rube Walberg,0,0,1,0.9959561997140393
Sadie McMahon,0,0,1,0.9987318091849327
Ed Reulbach,0,0,1,0.6635629924461441
Dave Stewart,0,0,1,0.9770306845481479
Jack Taylor (tayloja02),0,0,1,0.8936611472132105
Wes Ferrell,0,0,1,0.9020113360732218
Rudy May,0,0,1,0.98572085020204
James Shields,0,0,1,0.9896291597707244
Willis Hudlin,0,0,1,0.9989252311419231
Deacon Phillippe,0,1,0,0.5342721449948505
Jouett Meekin,0,0,1,0.9960888014073335
Kevin Appier,0,0,1,0.9969643318895215
Rick Rhoden,0,0,1,0.989046543168308
Jimmy Key,0,0,1,0.991619420577259
Bob Buhl,0,0,1,0.9621708293629975
Barry Zito,0,0,1,0.999105478198351
Terry Mulholland,0,0,1,0.9998388531557048
Jesse Barnes,0,0,1,0.9908111536691127
Joe Coleman (colemjo05),0,0,1,0.9894458586019228
Harry Howell,0,0,1,0.9782124283006662
Bret Saberhagen,0,0,1,0.9592349306027104
Scott Sanderson,0,0,1,0.9906717321031514
Bill Gullickson,0,0,1,0.9751300906640386
Eddie Rommel,0,0,1,0.9821284252132212
Paul Splittorff,0,0,1,0.9938068439989276
Jeff Suppan,0,0,1,0.9998275161338986
Red Lucas,0,0,1,0.9530117056030912
Pretzels Getzien,0,0,1,0.9814934526763712
Doug Drabek,0,0,1,0.990142336122918
Kyle Lohse,0,0,1,0.9993061241463443
Stan Bahnsen,0,0,1,0.9897472825751813
John Candelaria,0,0,1,0.9134568938225872
