Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence,Adjusted Prediction Score
Cy Young,1,1,1,0.9999997300644379,0.9999994601289486
Pud Galvin,1,1,1,0.7011157744117475,0.4915633291289845
Walter Johnson,1,1,1,0.9999994289889164,0.9999988579781588
Phil Niekro,1,1,1,0.96198344414869,0.9254121468161757
Nolan Ryan,1,1,1,0.9999475421765217,0.9998950871048666
Gaylord Perry,1,1,1,0.9983547995880362,0.9967123058604679
Don Sutton,1,1,1,0.995967876915377,0.9919520118473236
Warren Spahn,1,1,1,0.9997159110598837,0.9994319028262932
Steve Carlton,1,1,1,0.9948307967412523,0.9896883141448348
Grover Alexander,1,1,1,0.999847681559759,0.9996953863204252
Kid Nichols,1,1,1,0.9933531991754266,0.9867505783120548
Tim Keefe,1,1,1,0.9991094876402316,0.998219768292726
Greg Maddux,1,1,1,0.9188749215189191,0.8443311213963998
Bert Blyleven,1,1,1,0.971829533736697,0.9444526426428859
Bobby Mathews,0,0,1,0.9996912301746523,0.9993825556881097
Roger Clemens,0,1,0,0.999947955706644,-1.9997918282437928
Mickey Welch,1,1,1,0.6934105438949658,0.4808181823847123
Christy Mathewson,1,1,1,0.9999978534198188,0.9999957068442454
Tom Seaver,1,1,1,0.9975764234721303,0.9951587206674469
Tommy John,0,0,1,0.9728159852250226,0.9463709411093313
Robin Roberts,1,1,1,0.9986519253730171,0.997305668051234
Early Wynn,1,1,1,0.9648401022319502,0.93091642287496
John Clarkson,1,1,1,0.9869954368350587,0.9741599923332285
Tony Mullane,0,0,1,0.9794685093312551,0.9593585607715909
Jim Kaat,1,0,0,0.9396894513562727,-1.7660325299805055
Old Hoss Radbourn,1,1,1,0.9570343607257847,0.9159147676098115
Fergie Jenkins,1,1,1,0.9996850851675524,0.9993702695064565
Eddie Plank,1,1,1,0.999242765490869,0.9984861043858398
Eppa Rixey,1,0,0,0.8516513840513998,-1.45062015991333
Tom Glavine,1,0,0,0.7740186101193066,-1.1982096176220465
Jack Powell,0,1,0,0.9647297820092466,-1.861407104591217
Red Ruffing,1,1,1,0.9091358892570559,0.8265280651352178
Gus Weyhing,0,0,1,0.9960539316300895,0.9921234347157589
Jim McCormick,0,1,0,0.9652223070150648,-1.8633082039189681
Frank Tanana,0,0,1,0.8576126617327559,0.7354994775643423
Burleigh Grimes,1,0,0,0.7507747548006061,-1.1273254648918203
Ted Lyons,1,1,1,0.8032512255212799,0.6452125313014381
