Player,Hall of Fame,Logreg Pred,DTree Pred,RFC Pred,ETC Pred,GBC Pred,SVC Pred,Correct Models (out of 6),Mean Confidence in Prediction,Mean Adjusted Prediction Score
Cy Young,1,1,1,1,1,1,1,6,0.9660975632911345,0.9353989654580094
Pud Galvin,1,1,1,1,1,1,1,6,0.8474017773860109,0.7398640553791442
Walter Johnson,1,1,1,1,1,1,1,6,0.982103017634229,0.9651642575100498
Phil Niekro,1,1,1,1,1,1,1,6,0.9318014351868692,0.8731340375966973
Nolan Ryan,1,1,1,1,1,1,1,6,0.925245466752919,0.8624865024197987
Gaylord Perry,1,1,1,1,1,1,1,6,0.9826290613960063,0.965957922933213
Don Sutton,1,1,1,1,1,1,1,6,0.9557065688384941,0.9151588156847144
Warren Spahn,1,1,1,1,1,1,1,6,0.9732473559576706,0.9476710243892487
Steve Carlton,1,1,1,1,1,1,1,6,0.9729077484404954,0.9478532645060093
Grover Alexander,1,1,1,1,1,1,1,6,0.98646189199992,0.9733256963881535
Kid Nichols,1,1,1,1,1,1,1,6,0.9631133479040611,0.9281481404620999
Tim Keefe,1,1,1,1,1,1,1,6,0.966515943791033,0.9358175413430381
Greg Maddux,1,1,0,1,1,0,1,4,0.7256563014601028,0.016380826912901696
Bert Blyleven,1,1,1,1,1,1,1,6,0.9202239418408782,0.8517182942173984
Bobby Mathews,0,0,1,0,1,0,1,3,0.7421847430687345,-0.5151667114702275
Roger Clemens,0,1,1,1,1,1,1,0,0.9818151429132059,-1.928926812971956
Mickey Welch,1,0,1,1,1,1,1,5,0.7339367994438056,0.43840711158343265
Christy Mathewson,1,1,1,1,1,1,1,6,0.9583627962430916,0.9214219255667734
Tom Seaver,1,1,1,1,1,1,1,6,0.9690049865441012,0.9403723891113301
Tommy John,0,0,1,1,1,1,1,1,0.9373031731151715,-1.309172975126122
Robin Roberts,1,1,1,1,1,1,1,6,0.8960738784458853,0.8092673169346852
Early Wynn,1,1,1,1,1,1,1,6,0.8814872623335136,0.7830115746349323
John Clarkson,1,1,1,1,1,1,1,6,0.8481107802416598,0.7337896560691114
Tony Mullane,0,0,1,1,1,1,1,1,0.9093051279974049,-1.1734399820606798
Jim Kaat,1,0,0,1,1,1,1,4,0.7590834685414319,-0.31994551121049614
Old Hoss Radbourn,1,1,1,1,1,1,1,6,0.8695662159791188,0.7693646875075291
Fergie Jenkins,1,1,1,1,1,1,1,6,0.9296167489822689,0.8684537033769534
Eddie Plank,1,1,1,1,1,1,1,6,0.9169054095497424,0.8602333612943153
Eppa Rixey,1,0,1,1,1,0,1,4,0.7149745077238013,0.020153243686801974
Tom Glavine,1,0,0,1,1,1,1,4,0.7665666374830139,-0.3230427699026528
Jack Powell,0,1,1,1,1,1,0,1,0.6526015519373772,-0.9512844868077491
Red Ruffing,1,1,1,1,1,1,1,6,0.7763042285738154,0.6161254099566368
Gus Weyhing,0,0,1,0,1,1,1,2,0.7675503996929902,-0.6031636812169392
Jim McCormick,0,1,1,1,1,1,1,0,0.7863412849337282,-1.2881237842561069
Frank Tanana,0,0,1,0,1,0,1,3,0.6740304805493532,-0.3496215008691374
Burleigh Grimes,1,0,1,1,1,1,0,4,0.692881025674974,0.04729434679176205
Ted Lyons,1,0,0,1,1,0,0,2,0.709628471859025,-0.6779499569010867
Randy Johnson,1,1,1,1,1,1,1,6,0.9019273070722126,0.8267578897089866
Red Faber,1,0,1,0,1,1,0,3,0.6638787613647833,-0.26954227522602753
Jamie Moyer,0,0,0,0,0,1,0,5,0.6508993211111982,0.5246169403492437
Dennis Martínez,0,0,1,0,1,0,0,4,0.7345338108664827,-0.13694135119281964
Vic Willis,1,1,1,1,1,0,0,4,0.7104701586657772,0.12109181128188384
Jim Palmer,1,1,1,1,1,1,0,5,0.8855713302969804,0.5219151999549292
Lefty Grove,1,1,1,1,1,1,0,5,0.8805613165245124,0.5350310504211043
Jack Quinn,0,0,1,1,1,1,0,2,0.8027952309282652,-0.597964341975879
Bob Gibson,1,1,1,1,1,1,0,5,0.896123292266975,0.5772636586632282
Sad Sam Jones,0,0,0,0,0,0,0,6,0.8598520188754187,0.7582405079325495
Jerry Koosman,0,0,0,0,1,0,0,5,0.7734363909325356,0.5003485998839543
Bob Feller,1,1,1,1,1,1,0,5,0.8471147675988743,0.5658679994102412
Jack Morris,1,1,0,0,0,0,0,1,0.7886107626679427,-1.1676107274737526
Charlie Hough,0,0,1,0,0,0,0,5,0.8754369921463246,0.2819939210253454
Amos Rusie,1,0,0,1,1,1,0,3,0.7150240544458772,-0.6684558550163944
Waite Hoyt,1,0,1,0,1,0,0,2,0.8224991576002711,-0.7848063326843846
Jim Bunning,1,0,0,0,1,0,0,1,0.7890040121493452,-1.0702175047213398
Bobo Newsom,0,0,0,0,0,0,0,6,0.8205883440606065,0.6822773805627551
George Mullin,0,1,0,0,1,0,0,4,0.7185437758947687,0.07117785973652162
Jerry Reuss,0,0,0,0,0,0,0,6,0.899710811204833,0.8170895360254277
Paul Derringer,0,0,0,0,0,0,0,6,0.8172369156366445,0.6958136080889991
Mickey Lolich,0,0,1,0,1,0,0,4,0.7181527571679133,-0.07086300687718994
Tommy Bond,0,0,0,0,0,1,0,5,0.7274405098869692,0.4805321429708452
Bob Friend,0,0,0,0,0,0,0,6,0.9047110182646607,0.8254047591437854
Carl Hubbell,1,1,1,1,1,1,0,5,0.9128531865444072,0.4166502973794957
Joe Niekro,0,0,0,0,0,0,0,6,0.899589629324104,0.8153414395762844
CC Sabathia,1,0,0,0,0,0,0,0,0.8116693691704482,-1.3538094843831223
Herb Pennock,1,0,0,0,1,1,0,2,0.7341389735957499,-0.6942496155466024
Earl Whitehill,0,0,0,0,0,0,0,6,0.8261542100359632,0.6965096621804787
Mike Mussina,1,0,0,1,1,0,0,2,0.634975243131272,-0.611576000274819
Rick Reuschel,0,0,0,0,0,0,0,6,0.8477518959876428,0.7405414143607748
Will White,0,0,0,0,0,0,0,6,0.8575294804790846,0.7504359228521879
Adonis Terry,0,0,0,0,0,0,0,6,0.9367440105172413,0.8818089791292228
Juan Marichal,1,1,1,1,1,1,0,5,0.834404033610978,0.3032033932333668
Jim Whitney,0,0,0,0,0,0,0,6,0.902876040227507,0.8207582524154716
Luis Tiant,0,1,0,1,1,1,0,2,0.8329930632922277,-0.5208789488274406
Wilbur Cooper,0,0,0,0,1,1,0,4,0.6608180359782357,0.3982338619489867
John Smoltz,1,1,0,0,0,0,0,1,0.6866794183492413,-0.6160920261114408
Bartolo Colon,0,0,1,0,0,1,0,4,0.7277832485251695,0.10635256574991413
Claude Osteen,0,0,0,0,0,0,0,6,0.9290571421094015,0.8660127270537455
Catfish Hunter,1,1,0,0,0,0,0,1,0.8471427664669631,-1.0096119191784068
Joe McGinnity,1,1,0,0,1,0,0,2,0.7212330909716291,-0.8862366150008479
David Wells,0,0,1,0,0,1,0,4,0.7417325528795451,0.11288314320247729
Don Drysdale,1,0,1,1,1,1,0,4,0.6837288087910877,-0.08565208135896878
Mel Harder,0,0,0,0,0,0,0,6,0.8261364635351783,0.6986377186150049
Charlie Buffinton,0,1,0,0,1,0,0,4,0.7023061152309112,0.280593941029562
Hooks Dauss,0,0,0,0,0,0,0,6,0.8042766750190782,0.6706450526577465
Clark Griffith,0,0,0,0,0,0,0,6,0.7231704873653713,0.5868271937191007
Doyle Alexander,0,0,0,0,0,0,0,6,0.960571945807802,0.9257491848523882
Chick Fraser,0,0,0,0,0,0,0,6,0.9720063177125806,0.9457025274517785
Al Orth,0,0,0,0,0,0,0,6,0.9315727176953925,0.8722997410001017
Curt Simmons,0,0,0,0,0,0,0,6,0.937510646323791,0.8825168268811421
Vida Blue,0,1,0,0,0,0,0,5,0.8534781947628974,0.5462441907037028
Andy Pettitte,0,0,1,0,1,1,0,3,0.7399008265344209,-0.15430216591764803
Rube Marquard,1,0,0,0,0,0,0,0,0.9340039291891187,-1.7519460873764767
Billy Pierce,0,1,0,0,0,0,0,5,0.6891162895911781,0.1865529608385651
Kenny Rogers,0,0,0,0,0,0,0,6,0.96198492790128,0.9268093577295615
Dennis Eckersley,1,1,0,0,0,1,0,2,0.7145393930882937,-0.701453227582349
Jim Perry,0,0,0,0,0,0,0,6,0.9372841816418741,0.8843376439711318
Mark Buehrle,0,0,0,0,0,0,0,6,0.9211881140739869,0.8539640421453328
Larry Jackson,0,0,0,0,0,0,0,6,0.9045727321919439,0.8292703265342122
Curt Schilling,0,1,0,1,1,1,0,2,0.8286338808031039,-0.46667287394079
Kevin Brown,0,0,0,0,1,0,0,5,0.7759678131410244,0.5317959988191467
Tim Wakefield,0,0,0,0,0,0,0,6,0.9368750864402795,0.8808572589363654
Eddie Cicotte,0,1,1,1,1,0,0,2,0.7026925347970611,-0.6869830217145125
Freddie Fitzsimmons,0,0,0,0,0,0,0,6,0.8952566004059266,0.8172523129652219
Dolf Luque,0,0,0,0,0,0,0,6,0.9181816403720466,0.8539935383268477
Dutch Leonard (leonadu02),0,0,0,0,0,0,0,6,0.9208967459317462,0.8549890183201279
Jesse Haines,1,0,0,0,0,0,0,0,0.9471651480573894,-1.8038576734180571
Red Ames,0,0,0,0,0,0,0,6,0.8800818733675176,0.7875015151341889
Chuck Finley,0,0,0,0,0,0,0,6,0.9483926601831287,0.9011387328397787
Charlie Root,0,0,0,0,0,0,0,6,0.84512934718726,0.7270669753246706
Liván Hernández,0,0,0,0,0,0,0,6,0.9793461477241833,0.9595062791174556
Milt Pappas,0,0,0,0,0,0,0,6,0.8761673329654464,0.785370119863097
Silver King,0,0,0,0,0,0,0,6,0.7995334858636394,0.6699350208922684
Mordecai Brown,1,1,1,1,1,1,0,5,0.895824672886066,0.36288733901678305
Whitey Ford,1,1,1,1,1,1,0,5,0.8581802403117605,0.31188973838764616
Lee Meadows,0,0,0,0,0,0,0,6,0.9580506382765788,0.920156968224061
Larry French,0,0,0,0,0,0,0,6,0.8939138956238731,0.8111599550058027
Orel Hershiser,0,0,1,0,0,0,0,5,0.9533015026444884,0.41038226791353244
Rick Wise,0,0,0,0,0,0,0,6,0.9720595540751771,0.9453480177997956
Tim Hudson,0,0,0,0,0,0,0,6,0.8891905615361432,0.7993005610003854
Tom Zachary,0,0,0,0,0,0,0,6,0.9580422011217884,0.9208821868981777
George Uhle,0,0,0,0,0,0,0,6,0.8124164136241525,0.6751982765208814
Bucky Walters,0,0,0,0,0,0,0,6,0.8813295284568062,0.790275596685047
Bob Welch,0,0,1,0,0,0,0,5,0.9140843232682999,0.34067158054804536
Bullet Joe Bush,0,0,0,0,0,0,0,6,0.9202803678692226,0.8537262968052506
Stan Coveleski,1,0,0,0,0,0,0,0,0.7138310472271335,-1.130596936580593
