Player,Hall of Fame,Logreg Pred,DTree Pred,RFC Pred,ETC Pred,GBC Pred,SVC Pred,Correct Models (out of 6),Mean Confidence in Prediction,Mean Adjusted Prediction Score
Cy Young,1,1,1,1,1,1,1,6,0.9660975632911345,0.9353989654580094
Pud Galvin,1,1,1,1,1,1,1,6,0.8474017773860109,0.7398640553791442
Walter Johnson,1,1,1,1,1,1,1,6,0.982103017634229,0.9651642575100498
Phil Niekro,1,1,1,1,1,1,1,6,0.9318014351868692,0.8731340375966973
Nolan Ryan,1,1,1,1,1,1,1,6,0.925245466752919,0.8624865024197987
Gaylord Perry,1,1,1,1,1,1,1,6,0.9826290613960063,0.965957922933213
Don Sutton,1,1,1,1,1,1,1,6,0.9557065688384941,0.9151588156847144
Warren Spahn,1,1,1,1,1,1,1,6,0.9732473559576706,0.9476710243892487
Steve Carlton,1,1,1,1,1,1,1,6,0.9729077484404954,0.9478532645060093
Grover Alexander,1,1,1,1,1,1,1,6,0.98646189199992,0.9733256963881535
Kid Nichols,1,1,1,1,1,1,1,6,0.9631133479040611,0.9281481404620999
Tim Keefe,1,1,1,1,1,1,1,6,0.966515943791033,0.9358175413430381
Greg Maddux,1,1,0,1,1,0,1,4,0.7256563014601028,0.016380826912901696
Bert Blyleven,1,1,1,1,1,1,1,6,0.9202239418408782,0.8517182942173984
Mickey Welch,1,0,1,1,1,1,1,5,0.7339367994438056,0.43840711158343265
Christy Mathewson,1,1,1,1,1,1,1,6,0.9583627962430916,0.9214219255667734
Tom Seaver,1,1,1,1,1,1,1,6,0.9690049865441012,0.9403723891113301
Robin Roberts,1,1,1,1,1,1,1,6,0.8960738784458853,0.8092673169346852
Early Wynn,1,1,1,1,1,1,1,6,0.8814872623335136,0.7830115746349323
John Clarkson,1,1,1,1,1,1,1,6,0.8481107802416598,0.7337896560691114
Jim Kaat,1,0,0,1,1,1,1,4,0.7590834685414319,-0.31994551121049614
Old Hoss Radbourn,1,1,1,1,1,1,1,6,0.8695662159791188,0.7693646875075291
Fergie Jenkins,1,1,1,1,1,1,1,6,0.9296167489822689,0.8684537033769534
Eddie Plank,1,1,1,1,1,1,1,6,0.9169054095497424,0.8602333612943153
Eppa Rixey,1,0,1,1,1,0,1,4,0.7149745077238013,0.020153243686801974
Tom Glavine,1,0,0,1,1,1,1,4,0.7665666374830139,-0.3230427699026528
Red Ruffing,1,1,1,1,1,1,1,6,0.7763042285738154,0.6161254099566368
Burleigh Grimes,1,0,1,1,1,1,0,4,0.692881025674974,0.04729434679176205
Ted Lyons,1,0,0,1,1,0,0,2,0.709628471859025,-0.6779499569010867
Randy Johnson,1,1,1,1,1,1,1,6,0.9019273070722126,0.8267578897089866
Red Faber,1,0,1,0,1,1,0,3,0.6638787613647833,-0.26954227522602753
Vic Willis,1,1,1,1,1,0,0,4,0.7104701586657772,0.12109181128188384
Jim Palmer,1,1,1,1,1,1,0,5,0.8855713302969804,0.5219151999549292
Lefty Grove,1,1,1,1,1,1,0,5,0.8805613165245124,0.5350310504211043
Bob Gibson,1,1,1,1,1,1,0,5,0.896123292266975,0.5772636586632282
Bob Feller,1,1,1,1,1,1,0,5,0.8471147675988743,0.5658679994102412
Jack Morris,1,1,0,0,0,0,0,1,0.7886107626679427,-1.1676107274737526
Amos Rusie,1,0,0,1,1,1,0,3,0.7150240544458772,-0.6684558550163944
Waite Hoyt,1,0,1,0,1,0,0,2,0.8224991576002711,-0.7848063326843846
Jim Bunning,1,0,0,0,1,0,0,1,0.7890040121493452,-1.0702175047213398
Carl Hubbell,1,1,1,1,1,1,0,5,0.9128531865444072,0.4166502973794957
CC Sabathia,1,0,0,0,0,0,0,0,0.8116693691704482,-1.3538094843831223
Herb Pennock,1,0,0,0,1,1,0,2,0.7341389735957499,-0.6942496155466024
Mike Mussina,1,0,0,1,1,0,0,2,0.634975243131272,-0.611576000274819
Juan Marichal,1,1,1,1,1,1,0,5,0.834404033610978,0.3032033932333668
John Smoltz,1,1,0,0,0,0,0,1,0.6866794183492413,-0.6160920261114408
Catfish Hunter,1,1,0,0,0,0,0,1,0.8471427664669631,-1.0096119191784068
Joe McGinnity,1,1,0,0,1,0,0,2,0.7212330909716291,-0.8862366150008479
Don Drysdale,1,0,1,1,1,1,0,4,0.6837288087910877,-0.08565208135896878
Rube Marquard,1,0,0,0,0,0,0,0,0.9340039291891187,-1.7519460873764767
Dennis Eckersley,1,1,0,0,0,1,0,2,0.7145393930882937,-0.701453227582349
Jesse Haines,1,0,0,0,0,0,0,0,0.9471651480573894,-1.8038576734180571
Mordecai Brown,1,1,1,1,1,1,0,5,0.895824672886066,0.36288733901678305
Whitey Ford,1,1,1,1,1,1,0,5,0.8581802403117605,0.31188973838764616
Stan Coveleski,1,0,0,0,0,0,0,0,0.7138310472271335,-1.130596936580593
Charles Bender,1,1,1,1,1,1,0,5,0.8196197718910049,0.24066933812423433
Hal Newhouser,1,0,0,0,1,0,0,1,0.702382977802201,-0.8866891540300298
Dazzy Vance,1,0,0,0,0,0,0,0,0.7599134458052959,-1.2472409717680628
Ed Walsh,1,1,1,1,1,1,0,5,0.9099712840043218,0.3855868966042307
Rube Waddell,1,0,1,1,1,1,0,4,0.7619744366198584,0.00023422321841633695
Jack Chesbro,1,0,1,0,0,0,0,1,0.840847237605403,-0.9713703975569042
Bob Lemon,1,0,0,0,0,0,0,0,0.7749106760384575,-1.233525982365958
Pedro Martínez,1,0,1,1,1,1,0,4,0.8859654570857423,-0.10306365346183739
Roy Halladay,1,0,0,0,0,0,0,0,0.7502802617885392,-1.3086686179440032
Lefty Gomez,1,0,0,0,0,0,0,0,0.851521297945414,-1.478346397393578
John Ward,1,0,0,0,0,0,0,0,0.9327115095117904,-1.7508480242145381
Addie Joss,1,0,0,0,0,1,0,1,0.7829439592960935,-0.8204273470683267
Sandy Koufax,1,1,1,0,0,1,0,3,0.6723652096118764,-0.2518608233913624
Hoyt Wilhelm,1,0,1,1,1,1,0,4,0.8317232926300347,-0.20918982080286344
Dizzy Dean,1,0,0,0,0,0,0,0,0.8622435217138781,-1.5149604363765334
Rich Gossage,1,1,0,0,1,0,0,2,0.8192644304218296,-0.9985244748208585
Satchel Paige,1,1,1,1,1,1,0,5,0.7182230461515363,0.10978762389612362
Rollie Fingers,1,1,0,0,1,0,0,2,0.826116012368011,-0.922612574892741
Andy Cooper,1,0,0,0,0,0,0,0,0.9101224295374442,-1.669473497870598
Bullet Rogan,1,0,1,1,1,1,0,4,0.8123819538290887,-0.24733158294315638
Bill Foster,1,1,1,0,0,1,0,3,0.7161710539344357,-0.3134205138997597
Ray Brown,1,0,0,0,0,0,0,0,0.7909367867262754,-1.3240306253210452
Lee Smith,1,1,0,0,1,1,0,3,0.8163960441580643,-0.49643158382703695
Mariano Rivera,1,1,1,1,1,1,0,5,0.8808962848415579,0.3413086207395324
Babe Ruth,1,0,0,0,0,0,0,0,0.9337861020497616,-1.755554792568675
Trevor Hoffman,1,1,1,1,1,1,0,5,0.8983807740526225,0.3710565801299605
Bruce Sutter,1,0,0,0,0,0,0,0,0.8525840330034429,-1.4920129853951327
