Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.9999929070472717
Pud Galvin,1,1,1,0.7244583964347839
Walter Johnson,1,1,1,0.9994264245033264
Phil Niekro,1,1,1,0.9310621023178101
Nolan Ryan,1,1,1,0.9081259965896606
Gaylord Perry,1,1,1,0.9626376628875732
Don Sutton,1,1,1,0.961393415927887
Warren Spahn,1,1,1,0.9971761703491211
Steve Carlton,1,0,0,0.011322058737277985
Grover Alexander,1,1,1,0.9985257387161255
Kid Nichols,1,1,1,0.9907211661338806
Tim Keefe,1,1,1,0.9967117309570312
Greg Maddux,1,1,1,0.7000961899757385
Bert Blyleven,1,1,1,0.8549875020980835
Bobby Mathews,0,0,1,0.01454193890094757
Roger Clemens,0,1,0,0.9997915625572205
Mickey Welch,1,1,1,0.7799382209777832
Christy Mathewson,1,1,1,0.9987304210662842
Tom Seaver,1,1,1,0.9772009253501892
Tommy John,0,0,1,0.4511505365371704
Robin Roberts,1,0,0,0.4827626347541809
Early Wynn,1,0,0,0.3990402817726135
John Clarkson,1,1,1,0.9979252815246582
Tony Mullane,0,0,1,0.18924559652805328
Jim Kaat,1,1,1,0.5154939889907837
Old Hoss Radbourn,1,1,1,0.9266689419746399
Fergie Jenkins,1,1,1,0.9869357347488403
Eddie Plank,1,1,1,0.9903375506401062
Eppa Rixey,1,1,1,0.5833756327629089
Tom Glavine,1,0,0,0.026516113430261612
Jack Powell,0,1,0,0.8827090859413147
Red Ruffing,1,1,1,0.8955597877502441
Gus Weyhing,0,0,1,0.00015460672148037702
Jim McCormick,0,1,0,0.8843768835067749
Frank Tanana,0,0,1,0.1945359855890274
Burleigh Grimes,1,1,1,0.8455731272697449
Ted Lyons,1,1,1,0.5112617611885071
Randy Johnson,1,1,1,0.9971660375595093
Red Faber,1,1,1,0.6485128402709961
Jamie Moyer,0,0,1,0.00015827825700398535
Dennis Martínez,0,0,1,0.13038282096385956
Vic Willis,1,1,1,0.6109598875045776
Jim Palmer,1,1,1,0.9690430760383606
Lefty Grove,1,1,1,0.979981541633606
Jack Quinn,0,0,1,0.3164218068122864
Bob Gibson,1,1,1,0.9917029738426208
Sad Sam Jones,0,0,1,0.06360339373350143
Jerry Koosman,0,0,1,0.2351042628288269
Bob Feller,1,1,1,0.9857653975486755
Jack Morris,1,0,0,0.03945017233490944
Charlie Hough,0,0,1,0.0038460411597043276
Amos Rusie,1,0,0,0.15315881371498108
Waite Hoyt,1,0,0,0.2597139775753021
Jim Bunning,1,1,1,0.7282958626747131
Bobo Newsom,0,0,1,0.13339947164058685
George Mullin,0,0,1,0.21533861756324768
Jerry Reuss,0,0,1,0.013561581261456013
Paul Derringer,0,0,1,0.12910182774066925
Mickey Lolich,0,1,0,0.8061341047286987
Tommy Bond,0,0,1,0.11471240222454071
Bob Friend,0,0,1,0.001858759787864983
Carl Hubbell,1,1,1,0.9476391077041626
Joe Niekro,0,0,1,0.013586584478616714
CC Sabathia,1,0,0,0.05842440947890282
Herb Pennock,1,0,0,0.2586026191711426
Earl Whitehill,0,0,1,0.015871474519371986
Mike Mussina,1,0,0,0.36306342482566833
Rick Reuschel,0,0,1,0.00954176764935255
Will White,0,0,1,0.0006194229354150593
Adonis Terry,0,0,1,0.0002050176408374682
Juan Marichal,1,1,1,0.9110016822814941
Jim Whitney,0,0,1,0.0010713132796809077
Luis Tiant,0,1,0,0.8554254174232483
Wilbur Cooper,0,0,1,0.2950928211212158
John Smoltz,1,1,1,0.8211565017700195
Bartolo Colon,0,0,1,0.00018726990674622357
Claude Osteen,0,0,1,0.003986254800111055
Catfish Hunter,1,0,0,0.04300251230597496
Joe McGinnity,1,0,0,0.028353648260235786
David Wells,0,0,1,0.007335128728300333
Don Drysdale,1,1,1,0.5910832285881042
Mel Harder,0,0,1,0.0028488796669989824
Charlie Buffinton,0,1,0,0.846539318561554
Hooks Dauss,0,0,1,0.35224631428718567
Clark Griffith,0,0,1,0.47060057520866394
Doyle Alexander,0,0,1,0.004900521598756313
Chick Fraser,0,0,1,5.914439498155843e-07
Al Orth,0,0,1,9.597915777703747e-05
Curt Simmons,0,0,1,0.06608937680721283
Vida Blue,0,0,1,0.3099230229854584
Andy Pettitte,0,0,1,0.07643333822488785
Rube Marquard,1,0,0,0.03689994663000107
Billy Pierce,0,1,0,0.9412060379981995
Kenny Rogers,0,0,1,2.889956158469431e-05
Dennis Eckersley,1,1,1,0.9635593891143799
Jim Perry,0,0,1,0.0095518222078681
Mark Buehrle,0,0,1,0.0009873388335108757
Larry Jackson,0,0,1,0.03603312745690346
