Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.8719309686328424
Pud Galvin,1,1,1,0.9940643865212041
Walter Johnson,1,1,1,0.9968576881732831
Phil Niekro,1,1,1,0.9957392263393436
Nolan Ryan,1,1,1,0.9967546061283068
Gaylord Perry,1,1,1,0.9958246506998105
Don Sutton,1,1,1,0.9923209148105985
Warren Spahn,1,1,1,0.9742558022658792
Steve Carlton,1,1,1,0.9928211285673633
Grover Alexander,1,1,1,0.9850725411674961
Kid Nichols,1,1,1,0.9563206295788145
Tim Keefe,1,1,1,0.9885633164779756
Greg Maddux,1,1,1,0.963959679123487
Bert Blyleven,1,1,1,0.9686292256194999
Bobby Mathews,0,1,0,0.9863359784971664
Roger Clemens,0,1,0,0.9934541432442157
Mickey Welch,1,1,1,0.9326069147962852
Christy Mathewson,1,1,1,0.8461967012937335
Tom Seaver,1,1,1,0.9187340879055629
Tommy John,0,1,0,0.962630034862111
Robin Roberts,1,1,1,0.8212328277726186
Early Wynn,1,1,1,0.8502252362235602
John Clarkson,1,1,1,0.7758743096593915
Tony Mullane,0,1,0,0.9027122485390207
Jim Kaat,1,1,1,0.884551068201723
Old Hoss Radbourn,1,1,1,0.7741889776615086
Fergie Jenkins,1,1,1,0.8391113507418826
Eddie Plank,1,1,1,0.6092617207842788
Eppa Rixey,1,1,1,0.6469708033586606
Tom Glavine,1,1,1,0.752778543734327
Jack Powell,0,0,1,0.46586379851492116
Red Ruffing,1,1,1,0.6529896774625177
Gus Weyhing,0,1,0,0.7605829589615635
Jim McCormick,0,1,0,0.6702743771994921
Frank Tanana,0,1,0,0.6193556922665133
Burleigh Grimes,1,0,0,0.5356469180506402
Ted Lyons,1,0,0,0.4847042599194605
Randy Johnson,1,1,1,0.6810757237399682
Red Faber,1,0,0,0.7063974502907004
Jamie Moyer,0,0,1,0.6118771669875688
Dennis Martínez,0,0,1,0.7287482714357246
Vic Willis,1,0,0,0.7916294928680457
Jim Palmer,1,0,0,0.7377385018115218
Lefty Grove,1,0,0,0.7109479926436715
Jack Quinn,0,0,1,0.8453044809704999
Bob Gibson,1,0,0,0.6916357369733455
Sad Sam Jones,0,0,1,0.8404569073879296
Jerry Koosman,0,0,1,0.7709911336886975
Bob Feller,1,0,0,0.5888690473626633
Jack Morris,1,0,0,0.8185861006099189
Charlie Hough,0,0,1,0.7900091057323056
Amos Rusie,1,0,0,0.708755272621954
Waite Hoyt,1,0,0,0.8911992554899562
Jim Bunning,1,0,0,0.7996119665223146
Bobo Newsom,0,0,1,0.7892737145772187
George Mullin,0,0,1,0.8968582075760848
Jerry Reuss,0,0,1,0.8354730514620426
Paul Derringer,0,0,1,0.8930780358680726
Mickey Lolich,0,0,1,0.7760642208546867
Tommy Bond,0,0,1,0.9220622422225584
Bob Friend,0,0,1,0.9046061856433019
Carl Hubbell,1,0,0,0.9197760924330202
Joe Niekro,0,0,1,0.9150190937476719
CC Sabathia,1,0,0,0.8743221319287706
Herb Pennock,1,0,0,0.9236842429331864
Earl Whitehill,0,0,1,0.909035224070538
Mike Mussina,1,0,0,0.9017633586757213
Rick Reuschel,0,0,1,0.8856865273280704
Will White,0,0,1,0.9352735069516845
Adonis Terry,0,0,1,0.9244553800401085
Juan Marichal,1,0,0,0.9160936344814319
Jim Whitney,0,0,1,0.9312525831428575
Luis Tiant,0,0,1,0.8861791978132377
Wilbur Cooper,0,0,1,0.9406893878081675
John Smoltz,1,0,0,0.8959785117924529
Bartolo Colon,0,0,1,0.9225887455064075
Claude Osteen,0,0,1,0.9396156723668323
Catfish Hunter,1,0,0,0.9365172144195213
Joe McGinnity,1,0,0,0.9473158355632377
David Wells,0,0,1,0.9230180148328803
Don Drysdale,1,0,0,0.9239292706685016
Mel Harder,0,0,1,0.940769457867101
Charlie Buffinton,0,0,1,0.932122996330175
Hooks Dauss,0,0,1,0.954092444062764
Clark Griffith,0,0,1,0.9518336189131689
Doyle Alexander,0,0,1,0.9510899408974942
Chick Fraser,0,0,1,0.949646646865882
Al Orth,0,0,1,0.9656062714336248
Curt Simmons,0,0,1,0.9484363011372439
Vida Blue,0,0,1,0.9386407483327222
Andy Pettitte,0,0,1,0.9381799068539225
Rube Marquard,1,0,0,0.9548139609983965
Billy Pierce,0,0,1,0.9370752882127413
Kenny Rogers,0,0,1,0.948986379845314
Dennis Eckersley,1,0,0,0.9403647215391747
