Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.98340476
Pud Galvin,1,0,0,0.6239913
Walter Johnson,1,1,1,0.9944819
Phil Niekro,1,1,1,0.90891814
Nolan Ryan,1,1,1,0.9282769
Gaylord Perry,1,1,1,0.96565306
Don Sutton,1,1,1,0.94423646
Warren Spahn,1,1,1,0.97350216
Steve Carlton,1,1,1,0.97469574
Grover Alexander,1,1,1,0.9919775
Kid Nichols,1,1,1,0.9548596
Tim Keefe,1,1,1,0.96978766
Greg Maddux,1,1,1,0.8719038
Bert Blyleven,1,1,1,0.8946965
Bobby Mathews,0,0,1,0.89803815
Roger Clemens,0,1,0,0.9911094
Mickey Welch,1,1,1,0.6248925
Christy Mathewson,1,1,1,0.9745976
Tom Seaver,1,1,1,0.9942551
Tommy John,0,1,0,0.86308616
Robin Roberts,1,1,1,0.8893939
Early Wynn,1,1,1,0.7091456
John Clarkson,1,1,1,0.8448183
Tony Mullane,0,1,0,0.61806816
Jim Kaat,1,1,1,0.6525071
Old Hoss Radbourn,1,1,1,0.8649974
Fergie Jenkins,1,1,1,0.9590128
Eddie Plank,1,1,1,0.98812824
Eppa Rixey,1,1,1,0.77232444
Tom Glavine,1,0,0,0.6824941
Jack Powell,0,1,0,0.55519724
Red Ruffing,1,1,1,0.7696783
Gus Weyhing,0,0,1,0.82886446
Jim McCormick,0,0,1,0.50054574
Frank Tanana,0,0,1,0.7520357
Burleigh Grimes,1,1,1,0.755411
Ted Lyons,1,1,1,0.56535685
Randy Johnson,1,1,1,0.97667515
Red Faber,1,1,1,0.7002941
Jamie Moyer,0,0,1,0.9310189
Dennis Martínez,0,0,1,0.70595014
Vic Willis,1,0,0,0.5791837
Jim Palmer,1,1,1,0.982408
Lefty Grove,1,1,1,0.9741814
Jack Quinn,0,1,0,0.81919473
Bob Gibson,1,1,1,0.9755127
Sad Sam Jones,0,0,1,0.81864566
Jerry Koosman,0,0,1,0.7031541
Bob Feller,1,1,1,0.97561896
Jack Morris,1,0,0,0.87220967
Charlie Hough,0,0,1,0.9124297
Amos Rusie,1,1,1,0.5235133
Waite Hoyt,1,0,0,0.75983304
Jim Bunning,1,1,1,0.5692302
Bobo Newsom,0,0,1,0.87522817
George Mullin,0,0,1,0.7561068
Jerry Reuss,0,0,1,0.8799428
Paul Derringer,0,0,1,0.95429516
Mickey Lolich,0,0,1,0.6850287
Tommy Bond,0,0,1,0.84274113
Bob Friend,0,0,1,0.9392111
Carl Hubbell,1,1,1,0.9561912
Joe Niekro,0,0,1,0.96467143
CC Sabathia,1,0,0,0.89987034
Herb Pennock,1,1,1,0.5687917
Earl Whitehill,0,0,1,0.9327092
Mike Mussina,1,1,1,0.6903879
Rick Reuschel,0,0,1,0.93600374
Will White,0,0,1,0.9063775
Adonis Terry,0,0,1,0.9914635
Juan Marichal,1,1,1,0.87555313
Jim Whitney,0,0,1,0.9757313
Luis Tiant,0,1,0,0.9437889
Wilbur Cooper,0,0,1,0.8837567
John Smoltz,1,1,1,0.5416105
Bartolo Colon,0,0,1,0.91622084
Claude Osteen,0,0,1,0.93409836
Catfish Hunter,1,0,0,0.8658669
Joe McGinnity,1,1,1,0.53085357
David Wells,0,0,1,0.8184473
Don Drysdale,1,0,0,0.50112677
Mel Harder,0,0,1,0.9071753
Charlie Buffinton,0,1,0,0.5090881
Hooks Dauss,0,0,1,0.95137864
Clark Griffith,0,1,0,0.72831887
Doyle Alexander,0,0,1,0.9950146
Chick Fraser,0,0,1,0.99670523
Al Orth,0,0,1,0.9944389
Curt Simmons,0,0,1,0.982033
Vida Blue,0,0,1,0.9488312
Andy Pettitte,0,0,1,0.5279498
Rube Marquard,1,0,0,0.9709032
Billy Pierce,0,1,0,0.6961651
Kenny Rogers,0,0,1,0.9558137
Dennis Eckersley,1,0,0,0.8868824
Jim Perry,0,0,1,0.97500753
Mark Buehrle,0,0,1,0.9827126
