Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.9931304
Pud Galvin,1,1,1,0.7433606
Walter Johnson,1,1,1,0.9981371
Phil Niekro,1,1,1,0.93984634
Nolan Ryan,1,1,1,0.9669087
Gaylord Perry,1,1,1,0.99790984
Don Sutton,1,1,1,0.91815996
Warren Spahn,1,1,1,0.9979469
Steve Carlton,1,1,1,0.9847756
Grover Alexander,1,1,1,0.9991917
Kid Nichols,1,1,1,0.9794103
Tim Keefe,1,1,1,0.9957818
Greg Maddux,1,1,1,0.94524264
Bert Blyleven,1,1,1,0.93498117
Bobby Mathews,0,0,1,0.50304794
Roger Clemens,0,1,0,0.99914694
Mickey Welch,1,1,1,0.57947534
Christy Mathewson,1,1,1,0.998458
Tom Seaver,1,1,1,0.9927866
Tommy John,0,1,0,0.94920737
Robin Roberts,1,1,1,0.99326056
Early Wynn,1,1,1,0.9563255
John Clarkson,1,1,1,0.93255603
Tony Mullane,0,1,0,0.9281562
Jim Kaat,1,1,1,0.5458081
Old Hoss Radbourn,1,1,1,0.58989257
Fergie Jenkins,1,1,1,0.99302167
Eddie Plank,1,1,1,0.99408025
Eppa Rixey,1,0,0,0.77969176
Tom Glavine,1,0,0,0.7532394
Jack Powell,0,1,0,0.5199597
Red Ruffing,1,1,1,0.7329989
Gus Weyhing,0,0,1,0.93601274
Jim McCormick,0,1,0,0.5878162
Frank Tanana,0,0,1,0.9664316
Burleigh Grimes,1,0,0,0.6120207
Ted Lyons,1,1,1,0.6614985
Randy Johnson,1,1,1,0.8814692
Red Faber,1,1,1,0.84159076
Jamie Moyer,0,0,1,0.91541225
Dennis Martínez,0,0,1,0.890061
Vic Willis,1,0,0,0.7774268
Jim Palmer,1,1,1,0.9896707
Lefty Grove,1,1,1,0.9916857
Jack Quinn,0,1,0,0.86860794
Bob Gibson,1,1,1,0.9923693
Sad Sam Jones,0,0,1,0.9580541
Jerry Koosman,0,0,1,0.88421726
Bob Feller,1,1,1,0.9913886
Jack Morris,1,0,0,0.9651723
Charlie Hough,0,0,1,0.96991724
Amos Rusie,1,0,0,0.5052999
Waite Hoyt,1,0,0,0.7503222
Jim Bunning,1,0,0,0.6378832
Bobo Newsom,0,0,1,0.6888391
George Mullin,0,0,1,0.93915206
Jerry Reuss,0,0,1,0.9588686
Paul Derringer,0,0,1,0.8808026
Mickey Lolich,0,1,0,0.603291
Tommy Bond,0,0,1,0.5213637
Bob Friend,0,0,1,0.975601
Carl Hubbell,1,1,1,0.96474075
Joe Niekro,0,0,1,0.9943183
CC Sabathia,1,0,0,0.9084401
Herb Pennock,1,1,1,0.79562527
Earl Whitehill,0,0,1,0.9838253
Mike Mussina,1,1,1,0.84049094
Rick Reuschel,0,0,1,0.9538857
Will White,0,0,1,0.9194102
Adonis Terry,0,0,1,0.9980435
Juan Marichal,1,1,1,0.9919917
Jim Whitney,0,0,1,0.98743516
Luis Tiant,0,1,0,0.9437139
Wilbur Cooper,0,0,1,0.8720062
John Smoltz,1,0,0,0.8971228
Bartolo Colon,0,0,1,0.9336395
Claude Osteen,0,0,1,0.9888922
Catfish Hunter,1,0,0,0.9706282
Joe McGinnity,1,0,0,0.63152045
David Wells,0,0,1,0.9636439
Don Drysdale,1,1,1,0.79803145
Mel Harder,0,0,1,0.9698412
Charlie Buffinton,0,0,1,0.8247157
Hooks Dauss,0,0,1,0.9933105
Clark Griffith,0,0,1,0.61355877
Doyle Alexander,0,0,1,0.997087
Chick Fraser,0,0,1,0.9988518
Al Orth,0,0,1,0.99886024
Curt Simmons,0,0,1,0.99368906
Vida Blue,0,0,1,0.98716295
Andy Pettitte,0,0,1,0.5036186
Rube Marquard,1,0,0,0.9810394
Billy Pierce,0,1,0,0.59776056
Kenny Rogers,0,0,1,0.992217
Dennis Eckersley,1,0,0,0.9451226
Jim Perry,0,0,1,0.9922269
Mark Buehrle,0,0,1,0.98506635
Larry Jackson,0,0,1,0.99445266
Curt Schilling,0,1,0,0.9318901
Kevin Brown,0,0,1,0.90865743
Tim Wakefield,0,0,1,0.99324495
Eddie Cicotte,0,1,0,0.97027427
Freddie Fitzsimmons,0,0,1,0.8126234
Dolf Luque,0,0,1,0.9718218
Dutch Leonard (leonadu02),0,0,1,0.978027
Jesse Haines,1,0,0,0.9960734
Red Ames,0,0,1,0.9899653
Chuck Finley,0,0,1,0.99645364
Charlie Root,0,0,1,0.90245324
Liván Hernández,0,0,1,0.999332
Milt Pappas,0,0,1,0.91336787
Silver King,0,0,1,0.64776456
Mordecai Brown,1,1,1,0.9448835
Whitey Ford,1,1,1,0.93448067
Lee Meadows,0,0,1,0.99895245
Larry French,0,0,1,0.94815147
Orel Hershiser,0,0,1,0.9904598
Rick Wise,0,0,1,0.9947598
Tim Hudson,0,0,1,0.9621237
Tom Zachary,0,0,1,0.9950491
George Uhle,0,0,1,0.99170434
Bucky Walters,0,0,1,0.9457716
Bob Welch,0,0,1,0.98818
Bullet Joe Bush,0,0,1,0.99635845
Stan Coveleski,1,0,0,0.66721606
Bill Hutchison,0,0,1,0.9980057
Bill Dinneen,0,0,1,0.9987069
Lew Burdette,0,0,1,0.93621165
Murry Dickson,0,0,1,0.99551946
Mike Torrez,0,0,1,0.99795616
Doc White,0,0,1,0.9611349
Brickyard Kennedy,0,0,1,0.9997543
Carl Mays,0,0,1,0.7534783
Charles Bender,1,1,1,0.876477
Danny Darwin,0,0,1,0.9984239
Pink Hawley,0,0,1,0.999822
Babe Adams,0,0,1,0.5482775
Hal Newhouser,1,1,1,0.5840209
Theodore Breitenstein,0,0,1,0.999649
Dazzy Vance,1,0,0,0.68862605
Red Donahue,0,0,1,0.9992677
Bill Donovan,0,0,1,0.9845274
Ed Walsh,1,1,1,0.8807633
Mark Langston,0,0,1,0.9992115
Rube Waddell,1,1,1,0.8996179
Bump Hadley,0,0,1,0.9990439
George Bradley,0,0,1,0.99570984
Bob Shawkey,0,0,1,0.98733115
Camilo Pascual,0,0,1,0.9987918
Fernando Valenzuela,0,0,1,0.99944854
Guy Hecker,0,0,1,0.99944115
David Cone,0,0,1,0.96980846
Jack Chesbro,1,0,0,0.99482983
Dave Stieb,0,0,1,0.9848073
Jack Stivetts,0,0,1,0.8791012
Al Spalding,0,1,0,0.5565725
Ken Holtzman,0,0,1,0.9995947
Bill Lee (leebi02),0,0,1,0.99945307
Bob Lemon,1,0,0,0.5202839
John Lackey,0,0,1,0.99920833
Javier Vázquez,0,0,1,0.998937
Steve Rogers,0,0,1,0.99807394
Frank Viola,0,0,1,0.9996716
Mike Moore,0,0,1,0.9997309
Bob Caruthers,0,0,1,0.97342664
Pedro Martínez,1,1,1,0.98936903
Tommy Bridges,0,0,1,0.9717755
Slim Sallee,0,0,1,0.99924207
Howard Ehmke,0,0,1,0.99962074
Frank Dwyer,0,0,1,0.9994989
Mike Cuellar,0,0,1,0.94515395
Mark Baldwin,0,0,1,0.99932736
Dwight Gooden,0,0,1,0.97420347
Bob Forsch,0,0,1,0.9994419
Bill Doak,0,0,1,0.99693125
Lon Warneke,0,0,1,0.9779596
Earl Moore,0,0,1,0.99472
Mike Morgan,0,0,1,0.99945384
Mike Flanagan,0,0,1,0.9993213
Jesse Tannehill,0,0,1,0.5938338
Red Ehret,0,0,1,0.9997179
