Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.59479153
Pud Galvin,1,0,0,0.69168407
Walter Johnson,1,1,1,0.59183437
Phil Niekro,1,1,1,0.5592197
Nolan Ryan,1,0,0,0.587846
Gaylord Perry,1,1,1,0.5710477
Don Sutton,1,1,1,0.5322188
Warren Spahn,1,1,1,0.5839328
Steve Carlton,1,1,1,0.564746
Grover Alexander,1,1,1,0.6163767
Kid Nichols,1,1,1,0.5493037
Tim Keefe,1,1,1,0.5896936
Greg Maddux,1,0,0,0.5010004
Bert Blyleven,1,1,1,0.51087886
Bobby Mathews,0,0,1,0.7487223
Roger Clemens,0,1,0,0.6013426
Mickey Welch,1,0,0,0.5133418
Christy Mathewson,1,1,1,0.6278996
Tom Seaver,1,1,1,0.5911077
Tommy John,0,0,1,0.5247165
Robin Roberts,1,0,0,0.5446011
Early Wynn,1,0,0,0.58255166
John Clarkson,1,1,1,0.59588933
Tony Mullane,0,0,1,0.5133815
Jim Kaat,1,0,0,0.6116754
Old Hoss Radbourn,1,1,1,0.5540597
Fergie Jenkins,1,1,1,0.57032615
Eddie Plank,1,1,1,0.59183437
Eppa Rixey,1,0,0,0.6061039
Tom Glavine,1,0,0,0.65195763
Jack Powell,0,0,1,0.5543395
Red Ruffing,1,0,0,0.60057974
Gus Weyhing,0,0,1,0.69516224
Jim McCormick,0,1,0,0.5204169
Frank Tanana,0,0,1,0.70128435
Burleigh Grimes,1,0,0,0.64154345
Ted Lyons,1,0,0,0.6945915
Randy Johnson,1,1,1,0.5970579
Red Faber,1,0,0,0.6393118
Jamie Moyer,0,0,1,0.78143114
Dennis Martínez,0,0,1,0.69678146
Vic Willis,1,1,1,0.5400102
Jim Palmer,1,1,1,0.6227126
Lefty Grove,1,1,1,0.5575342
Jack Quinn,0,0,1,0.5991963
Bob Gibson,1,1,1,0.6286662
Sad Sam Jones,0,0,1,0.83174515
Jerry Koosman,0,0,1,0.7665831
Bob Feller,1,1,1,0.57172245
Jack Morris,1,0,0,0.76146066
Charlie Hough,0,0,1,0.8331114
Amos Rusie,1,0,0,0.59987926
Waite Hoyt,1,0,0,0.8100685
Jim Bunning,1,0,0,0.75958
Bobo Newsom,0,0,1,0.80117273
George Mullin,0,0,1,0.67023575
Jerry Reuss,0,0,1,0.74979687
Paul Derringer,0,0,1,0.85735625
Mickey Lolich,0,0,1,0.70559436
Tommy Bond,0,0,1,0.7075726
Bob Friend,0,0,1,0.79985124
Carl Hubbell,1,1,1,0.5486644
Joe Niekro,0,0,1,0.8632183
CC Sabathia,1,0,0,0.7668603
Herb Pennock,1,0,0,0.77190995
Earl Whitehill,0,0,1,0.82419103
Mike Mussina,1,0,0,0.650049
Rick Reuschel,0,0,1,0.79906696
Will White,0,0,1,0.68017226
Adonis Terry,0,0,1,0.8979782
Juan Marichal,1,0,0,0.51186967
Jim Whitney,0,0,1,0.9043827
Luis Tiant,0,0,1,0.57712823
Wilbur Cooper,0,0,1,0.7169089
John Smoltz,1,0,0,0.72158486
Bartolo Colon,0,0,1,0.7645352
Claude Osteen,0,0,1,0.80684817
Catfish Hunter,1,0,0,0.7833526
Joe McGinnity,1,0,0,0.71117926
David Wells,0,0,1,0.7184856
Don Drysdale,1,0,0,0.687516
Mel Harder,0,0,1,0.8493034
Charlie Buffinton,0,0,1,0.7217672
Hooks Dauss,0,0,1,0.8418965
Clark Griffith,0,0,1,0.6430349
Doyle Alexander,0,0,1,0.92929155
Chick Fraser,0,0,1,0.9261492
Al Orth,0,0,1,0.9058708
Curt Simmons,0,0,1,0.8841632
Vida Blue,0,0,1,0.8068451
Andy Pettitte,0,0,1,0.68497145
Rube Marquard,1,0,0,0.89297366
Billy Pierce,0,0,1,0.7076528
Kenny Rogers,0,0,1,0.86003983
Dennis Eckersley,1,0,0,0.8476958
Jim Perry,0,0,1,0.888069
Mark Buehrle,0,0,1,0.8772629
Larry Jackson,0,0,1,0.8826841
Curt Schilling,0,0,1,0.6105789
Kevin Brown,0,0,1,0.74476147
Tim Wakefield,0,0,1,0.8668821
Eddie Cicotte,0,0,1,0.60398734
Freddie Fitzsimmons,0,0,1,0.8539673
Dolf Luque,0,0,1,0.9060695
Dutch Leonard (leonadu02),0,0,1,0.8688527
Jesse Haines,1,0,0,0.8945896
Red Ames,0,0,1,0.9148053
Chuck Finley,0,0,1,0.8794501
Charlie Root,0,0,1,0.8820295
Liván Hernández,0,0,1,0.9309522
Milt Pappas,0,0,1,0.77459514
Silver King,0,0,1,0.83353436
Mordecai Brown,1,1,1,0.52352655
Whitey Ford,1,0,0,0.6073033
Lee Meadows,0,0,1,0.9280789
Larry French,0,0,1,0.86609626
Orel Hershiser,0,0,1,0.8411191
Rick Wise,0,0,1,0.9322455
Tim Hudson,0,0,1,0.80401766
Tom Zachary,0,0,1,0.9299018
George Uhle,0,0,1,0.87205476
Bucky Walters,0,0,1,0.8536887
Bob Welch,0,0,1,0.8628552
Bullet Joe Bush,0,0,1,0.7986274
Stan Coveleski,1,0,0,0.78425443
Bill Hutchison,0,0,1,0.9339512
Bill Dinneen,0,0,1,0.9374571
Lew Burdette,0,0,1,0.859227
Murry Dickson,0,0,1,0.92771286
Mike Torrez,0,0,1,0.93287766
Doc White,0,0,1,0.90084237
Brickyard Kennedy,0,0,1,0.93174434
Carl Mays,0,0,1,0.78335196
Charles Bender,1,0,0,0.75689185
Danny Darwin,0,0,1,0.92715776
Pink Hawley,0,0,1,0.932962
Babe Adams,0,0,1,0.79871404
Hal Newhouser,1,0,0,0.64592516
Theodore Breitenstein,0,0,1,0.9348171
Dazzy Vance,1,0,0,0.7659004
Red Donahue,0,0,1,0.9281685
Bill Donovan,0,0,1,0.8871312
Ed Walsh,1,0,0,0.50657046
Mark Langston,0,0,1,0.9278607
Rube Waddell,1,0,0,0.6399257
Bump Hadley,0,0,1,0.93760574
George Bradley,0,0,1,0.9153342
Bob Shawkey,0,0,1,0.7991212
Camilo Pascual,0,0,1,0.91955924
Fernando Valenzuela,0,0,1,0.9277463
Guy Hecker,0,0,1,0.9324261
David Cone,0,0,1,0.8327458
Jack Chesbro,1,0,0,0.85499716
Dave Stieb,0,0,1,0.904145
Jack Stivetts,0,0,1,0.85280395
Al Spalding,0,0,1,0.67241096
Ken Holtzman,0,0,1,0.93632853
Bill Lee (leebi02),0,0,1,0.933804
Bob Lemon,1,0,0,0.81882733
John Lackey,0,0,1,0.9344753
Javier Vázquez,0,0,1,0.9365741
Steve Rogers,0,0,1,0.9296847
Frank Viola,0,0,1,0.9356377
Mike Moore,0,0,1,0.93655205
Bob Caruthers,0,0,1,0.8056803
Pedro Martínez,1,0,0,0.5228358
