Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.58208567
Pud Galvin,1,0,0,0.57730365
Walter Johnson,1,1,1,0.63716894
Phil Niekro,1,1,1,0.55340093
Nolan Ryan,1,1,1,0.5427228
Gaylord Perry,1,1,1,0.6316655
Don Sutton,1,0,0,0.5769845
Warren Spahn,1,1,1,0.5908881
Steve Carlton,1,1,1,0.53156644
Grover Alexander,1,1,1,0.62373394
Kid Nichols,1,1,1,0.5827693
Tim Keefe,1,1,1,0.556187
Greg Maddux,1,0,0,0.5199853
Bert Blyleven,1,1,1,0.5509701
Bobby Mathews,0,0,1,0.669454
Roger Clemens,0,1,0,0.63815624
Mickey Welch,1,0,0,0.52528214
Christy Mathewson,1,1,1,0.57491696
Tom Seaver,1,1,1,0.6055812
Tommy John,0,1,0,0.52808106
Robin Roberts,1,1,1,0.5368273
Early Wynn,1,1,1,0.5102746
John Clarkson,1,1,1,0.55444336
Tony Mullane,0,1,0,0.5103976
Jim Kaat,1,0,0,0.5998514
Old Hoss Radbourn,1,0,0,0.56210166
Fergie Jenkins,1,0,0,0.50282145
Eddie Plank,1,1,1,0.56213456
Eppa Rixey,1,0,0,0.59312534
Tom Glavine,1,0,0,0.7122472
Jack Powell,0,0,1,0.53044015
Red Ruffing,1,0,0,0.5441996
Gus Weyhing,0,0,1,0.71133006
Jim McCormick,0,1,0,0.51512796
Frank Tanana,0,0,1,0.7815429
Burleigh Grimes,1,0,0,0.58510494
Ted Lyons,1,0,0,0.6476779
Randy Johnson,1,1,1,0.5436022
Red Faber,1,0,0,0.6285602
Jamie Moyer,0,0,1,0.7432763
Dennis Martínez,0,0,1,0.6612525
Vic Willis,1,0,0,0.5149336
Jim Palmer,1,1,1,0.5954208
Lefty Grove,1,1,1,0.55363053
Jack Quinn,0,0,1,0.661335
Bob Gibson,1,1,1,0.5989445
Sad Sam Jones,0,0,1,0.82039624
Jerry Koosman,0,0,1,0.80630594
Bob Feller,1,1,1,0.5958676
Jack Morris,1,0,0,0.689631
Charlie Hough,0,0,1,0.83973193
Amos Rusie,1,0,0,0.5700495
Waite Hoyt,1,0,0,0.81700814
Jim Bunning,1,0,0,0.7714947
Bobo Newsom,0,0,1,0.85415184
George Mullin,0,0,1,0.81199104
Jerry Reuss,0,0,1,0.81303936
Paul Derringer,0,0,1,0.79060996
Mickey Lolich,0,0,1,0.76985586
Tommy Bond,0,0,1,0.7009933
Bob Friend,0,0,1,0.8600609
Carl Hubbell,1,1,1,0.5526373
Joe Niekro,0,0,1,0.8512036
CC Sabathia,1,0,0,0.7141692
Herb Pennock,1,0,0,0.7038983
Earl Whitehill,0,0,1,0.8550572
Mike Mussina,1,0,0,0.5851871
Rick Reuschel,0,0,1,0.78566617
Will White,0,0,1,0.6689167
Adonis Terry,0,0,1,0.9139303
Juan Marichal,1,1,1,0.55596226
Jim Whitney,0,0,1,0.90787536
Luis Tiant,0,0,1,0.57065356
Wilbur Cooper,0,0,1,0.73063785
John Smoltz,1,0,0,0.67500705
Bartolo Colon,0,0,1,0.7540219
Claude Osteen,0,0,1,0.8920011
Catfish Hunter,1,0,0,0.7902323
Joe McGinnity,1,0,0,0.63399875
David Wells,0,0,1,0.72190166
Don Drysdale,1,0,0,0.7547227
Mel Harder,0,0,1,0.8522525
Charlie Buffinton,0,0,1,0.72727764
Hooks Dauss,0,0,1,0.85415363
Clark Griffith,0,0,1,0.64657193
Doyle Alexander,0,0,1,0.9240739
Chick Fraser,0,0,1,0.9383007
Al Orth,0,0,1,0.87655413
Curt Simmons,0,0,1,0.9012313
Vida Blue,0,0,1,0.79256666
Andy Pettitte,0,0,1,0.661255
Rube Marquard,1,0,0,0.87656
Billy Pierce,0,0,1,0.6694552
Kenny Rogers,0,0,1,0.8617863
Dennis Eckersley,1,0,0,0.8682989
Jim Perry,0,0,1,0.8388016
Mark Buehrle,0,0,1,0.8421695
Larry Jackson,0,0,1,0.9063426
Curt Schilling,0,0,1,0.5567492
Kevin Brown,0,0,1,0.7259825
Tim Wakefield,0,0,1,0.8784432
Eddie Cicotte,0,0,1,0.54402405
Freddie Fitzsimmons,0,0,1,0.817089
Dolf Luque,0,0,1,0.9158793
Dutch Leonard (leonadu02),0,0,1,0.90852606
Jesse Haines,1,0,0,0.89429176
Red Ames,0,0,1,0.9381605
Chuck Finley,0,0,1,0.88839096
Charlie Root,0,0,1,0.840611
Liván Hernández,0,0,1,0.9401008
Milt Pappas,0,0,1,0.7331072
Silver King,0,0,1,0.71403134
