Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.9719848
Pud Galvin,1,0,0,0.7789025
Walter Johnson,1,1,1,0.9971125
Phil Niekro,1,1,1,0.9164036
Nolan Ryan,1,1,1,0.93687254
Gaylord Perry,1,1,1,0.9882003
Don Sutton,1,1,1,0.98581
Warren Spahn,1,1,1,0.9909922
Steve Carlton,1,1,1,0.9921238
Grover Alexander,1,1,1,0.99772304
Kid Nichols,1,1,1,0.9750386
Tim Keefe,1,1,1,0.979381
Greg Maddux,1,1,1,0.81040585
Bert Blyleven,1,1,1,0.9058022
Bobby Mathews,0,0,1,0.9250598
Roger Clemens,0,1,0,0.99722123
Mickey Welch,1,1,1,0.7453049
Christy Mathewson,1,1,1,0.9916711
Tom Seaver,1,1,1,0.99644804
Tommy John,0,1,0,0.8155892
Robin Roberts,1,1,1,0.9237249
Early Wynn,1,1,1,0.89985883
John Clarkson,1,1,1,0.9829016
Tony Mullane,0,1,0,0.72688353
Jim Kaat,1,1,1,0.5568347
Old Hoss Radbourn,1,1,1,0.8999826
Fergie Jenkins,1,1,1,0.95844305
Eddie Plank,1,1,1,0.99393153
Eppa Rixey,1,1,1,0.73121154
Tom Glavine,1,0,0,0.6972171
Jack Powell,0,0,1,0.5425695
Red Ruffing,1,1,1,0.85388297
Gus Weyhing,0,0,1,0.88410574
Jim McCormick,0,1,0,0.57585406
Frank Tanana,0,0,1,0.60186017
Burleigh Grimes,1,1,1,0.6330095
Ted Lyons,1,1,1,0.5208873
Randy Johnson,1,1,1,0.9917754
Red Faber,1,1,1,0.740197
Jamie Moyer,0,0,1,0.96773547
Dennis Martínez,0,0,1,0.8955392
Vic Willis,1,0,0,0.6957797
Jim Palmer,1,1,1,0.9929953
Lefty Grove,1,1,1,0.99555403
Jack Quinn,0,1,0,0.8862296
Bob Gibson,1,1,1,0.98709387
Sad Sam Jones,0,0,1,0.9535535
Jerry Koosman,0,0,1,0.88398296
Bob Feller,1,1,1,0.986127
Jack Morris,1,0,0,0.9519693
Charlie Hough,0,0,1,0.9752816
Amos Rusie,1,1,1,0.5785159
Waite Hoyt,1,0,0,0.871392
Jim Bunning,1,0,0,0.5880619
Bobo Newsom,0,0,1,0.85697436
George Mullin,0,0,1,0.91557467
Jerry Reuss,0,0,1,0.9145659
Paul Derringer,0,0,1,0.98772806
Mickey Lolich,0,0,1,0.8642207
Tommy Bond,0,0,1,0.8374239
Bob Friend,0,0,1,0.9904857
Carl Hubbell,1,1,1,0.9802894
Joe Niekro,0,0,1,0.98831373
CC Sabathia,1,0,0,0.9476341
Herb Pennock,1,1,1,0.9044961
Earl Whitehill,0,0,1,0.9165025
Mike Mussina,1,1,1,0.6501289
Rick Reuschel,0,0,1,0.9819305
Will White,0,0,1,0.9210637
Adonis Terry,0,0,1,0.99491525
Juan Marichal,1,1,1,0.9820535
Jim Whitney,0,0,1,0.9916163
Luis Tiant,0,1,0,0.96462995
Wilbur Cooper,0,0,1,0.8484934
John Smoltz,1,0,0,0.7067212
Bartolo Colon,0,0,1,0.9079444
Claude Osteen,0,0,1,0.9646389
Catfish Hunter,1,0,0,0.7644936
Joe McGinnity,1,0,0,0.66462374
David Wells,0,0,1,0.868004
Don Drysdale,1,1,1,0.8506905
Mel Harder,0,0,1,0.7565887
Charlie Buffinton,0,0,1,0.69323635
Hooks Dauss,0,0,1,0.97964436
Clark Griffith,0,1,0,0.5357046
Doyle Alexander,0,0,1,0.9981508
Chick Fraser,0,0,1,0.99878436
Al Orth,0,0,1,0.99771446
Curt Simmons,0,0,1,0.9821619
Vida Blue,0,0,1,0.971145
Andy Pettitte,0,0,1,0.53299344
Rube Marquard,1,0,0,0.9857537
Billy Pierce,0,1,0,0.6581064
Kenny Rogers,0,0,1,0.98755354
Dennis Eckersley,1,0,0,0.95416224
Jim Perry,0,0,1,0.9857827
Mark Buehrle,0,0,1,0.9883124
Larry Jackson,0,0,1,0.98303163
Curt Schilling,0,1,0,0.830268
Kevin Brown,0,0,1,0.66161263
Tim Wakefield,0,0,1,0.9922424
Eddie Cicotte,0,1,0,0.96699196
Freddie Fitzsimmons,0,0,1,0.9546277
Dolf Luque,0,0,1,0.9853747
Dutch Leonard (leonadu02),0,0,1,0.9878655
Jesse Haines,1,0,0,0.99500555
Red Ames,0,0,1,0.9763806
Chuck Finley,0,0,1,0.9981808
Charlie Root,0,0,1,0.9566569
Liván Hernández,0,0,1,0.99820054
Milt Pappas,0,0,1,0.9644679
Silver King,0,0,1,0.9828289
Mordecai Brown,1,1,1,0.9736632
Whitey Ford,1,1,1,0.8935976
Lee Meadows,0,0,1,0.9983404
Larry French,0,0,1,0.9868124
Orel Hershiser,0,0,1,0.9838755
Rick Wise,0,0,1,0.9961655
Tim Hudson,0,0,1,0.8691838
Tom Zachary,0,0,1,0.99299246
George Uhle,0,0,1,0.936886
Bucky Walters,0,0,1,0.8827047
Bob Welch,0,0,1,0.9753885
Bullet Joe Bush,0,0,1,0.9655396
Stan Coveleski,1,0,0,0.654814
Bill Hutchison,0,0,1,0.99908775
Bill Dinneen,0,0,1,0.9984719
Lew Burdette,0,0,1,0.975709
Murry Dickson,0,0,1,0.9849055
Mike Torrez,0,0,1,0.9982278
Doc White,0,0,1,0.9711169
Brickyard Kennedy,0,0,1,0.9993174
Carl Mays,0,0,1,0.7295773
Charles Bender,1,1,1,0.8963775
Danny Darwin,0,0,1,0.9965807
Pink Hawley,0,0,1,0.9992312
Babe Adams,0,1,0,0.55351174
Hal Newhouser,1,1,1,0.93851674
Theodore Breitenstein,0,0,1,0.9988919
Dazzy Vance,1,1,1,0.7749274
Red Donahue,0,0,1,0.99915075
Bill Donovan,0,0,1,0.8801708
Ed Walsh,1,1,1,0.9606544
Mark Langston,0,0,1,0.9989616
Rube Waddell,1,1,1,0.8034364
Bump Hadley,0,0,1,0.9984948
George Bradley,0,0,1,0.9906085
Bob Shawkey,0,0,1,0.95974755
Camilo Pascual,0,0,1,0.9971347
Fernando Valenzuela,0,0,1,0.9970448
Guy Hecker,0,0,1,0.9991425
David Cone,0,0,1,0.95344704
Jack Chesbro,1,0,0,0.95727456
Dave Stieb,0,0,1,0.9950606
Jack Stivetts,0,0,1,0.9881484
Al Spalding,0,0,1,0.6187603
Ken Holtzman,0,0,1,0.99955386
Bill Lee (leebi02),0,0,1,0.998755
Bob Lemon,1,0,0,0.8086281
John Lackey,0,0,1,0.9987203
Javier Vázquez,0,0,1,0.9979994
Steve Rogers,0,0,1,0.9967844
Frank Viola,0,0,1,0.9994047
Mike Moore,0,0,1,0.99967766
Bob Caruthers,0,0,1,0.8889529
Pedro Martínez,1,1,1,0.9740408
Tommy Bridges,0,0,1,0.8499493
Slim Sallee,0,0,1,0.99641865
Howard Ehmke,0,0,1,0.99927694
Frank Dwyer,0,0,1,0.9986503
Mike Cuellar,0,0,1,0.980855
Mark Baldwin,0,0,1,0.99902654
Dwight Gooden,0,0,1,0.9967497
Bob Forsch,0,0,1,0.9991007
Bill Doak,0,0,1,0.9976057
Lon Warneke,0,0,1,0.9720471
Earl Moore,0,0,1,0.9959758
Mike Morgan,0,0,1,0.9982095
Mike Flanagan,0,0,1,0.99959576
Jesse Tannehill,0,0,1,0.8130151
Red Ehret,0,0,1,0.99959517
Roy Halladay,1,0,0,0.9282204
Bert Cunningham,0,0,1,0.9993563
A.J. Burnett,0,0,1,0.9993061
Dave McNally,0,0,1,0.9978065
Hippo Vaughn,0,0,1,0.9529606
Félix Hernández,0,0,1,0.997011
Dizzy Trout,0,0,1,0.9726358
Tom Candiotti,0,0,1,0.99938416
Guy Bush,0,0,1,0.99674904
Kevin Millwood,0,0,1,0.99905175
Claude Passeau,0,0,1,0.9984768
Bill Sherdel,0,0,1,0.9992498
Bob Knepper,0,0,1,0.99949306
Art Nehf,0,0,1,0.9973011
Danny MacFayden,0,0,1,0.9992495
Rick Sutcliffe,0,0,1,0.99946654
Wilbur Wood,0,0,1,0.9952971
Jim Slaton,0,0,1,0.99965537
Virgil Trucks,0,0,1,0.9973721
Urban Shocker,0,0,1,0.98312896
Ed Morris,0,0,1,0.9918857
Vern Law,0,0,1,0.9992455
Derek Lowe,0,0,1,0.9991231
Mel Stottlemyre,0,0,1,0.9965226
Sam Leever,0,0,1,0.8523545
Burt Hooton,0,0,1,0.999307
John Burkett,0,0,1,0.99920076
Tom Hughes,0,0,1,0.9977068
Rube Walberg,0,0,1,0.9988658
Sadie McMahon,0,0,1,0.99932003
Ed Reulbach,0,0,1,0.7598711
