Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence
Cy Young,1,1,1,0.9878165
Pud Galvin,1,1,1,0.63978726
Walter Johnson,1,1,1,0.9943317
Phil Niekro,1,1,1,0.96928734
Nolan Ryan,1,1,1,0.9518639
Gaylord Perry,1,1,1,0.99591655
Don Sutton,1,1,1,0.86222327
Warren Spahn,1,1,1,0.9945956
Steve Carlton,1,1,1,0.98632485
Grover Alexander,1,1,1,0.9984451
Kid Nichols,1,1,1,0.9881692
Tim Keefe,1,1,1,0.9819358
Greg Maddux,1,1,1,0.8762943
Bert Blyleven,1,1,1,0.9577183
Bobby Mathews,0,0,1,0.71227396
Roger Clemens,0,1,0,0.9960937
Mickey Welch,1,1,1,0.7692963
Christy Mathewson,1,1,1,0.997447
Tom Seaver,1,1,1,0.99108887
Tommy John,0,1,0,0.9409361
Robin Roberts,1,1,1,0.98072124
Early Wynn,1,1,1,0.9129624
John Clarkson,1,1,1,0.9597772
Tony Mullane,0,1,0,0.91786855
Jim Kaat,1,0,0,0.64213526
Old Hoss Radbourn,1,1,1,0.7466747
Fergie Jenkins,1,1,1,0.99011225
Eddie Plank,1,1,1,0.9943944
Eppa Rixey,1,1,1,0.55639666
Tom Glavine,1,0,0,0.7990612
Jack Powell,0,1,0,0.5967265
Red Ruffing,1,1,1,0.9244926
Gus Weyhing,0,0,1,0.8219984
Jim McCormick,0,1,0,0.8232442
Frank Tanana,0,0,1,0.9721849
Burleigh Grimes,1,1,1,0.7230613
Ted Lyons,1,0,0,0.6005932
Randy Johnson,1,1,1,0.63705945
Red Faber,1,1,1,0.70179343
Jamie Moyer,0,0,1,0.9511938
Dennis Martínez,0,0,1,0.91958696
Vic Willis,1,0,0,0.7175965
Jim Palmer,1,1,1,0.9856807
Lefty Grove,1,1,1,0.98691654
Jack Quinn,0,1,0,0.8536706
Bob Gibson,1,1,1,0.9946681
Sad Sam Jones,0,0,1,0.83080447
Jerry Koosman,0,0,1,0.8942373
Bob Feller,1,1,1,0.9934776
Jack Morris,1,0,0,0.8972591
Charlie Hough,0,0,1,0.9645402
Amos Rusie,1,0,0,0.5716306
Waite Hoyt,1,0,0,0.7470561
Jim Bunning,1,0,0,0.6802887
Bobo Newsom,0,0,1,0.84561884
George Mullin,0,0,1,0.8626553
Jerry Reuss,0,0,1,0.9502671
Paul Derringer,0,0,1,0.79226375
Mickey Lolich,0,0,1,0.5640042
Tommy Bond,0,0,1,0.7473464
Bob Friend,0,0,1,0.9764934
Carl Hubbell,1,1,1,0.96346515
Joe Niekro,0,0,1,0.9953909
CC Sabathia,1,0,0,0.9019306
Herb Pennock,1,1,1,0.6715721
Earl Whitehill,0,0,1,0.95887226
Mike Mussina,1,1,1,0.7666546
Rick Reuschel,0,0,1,0.9045615
Will White,0,0,1,0.9499266
Adonis Terry,0,0,1,0.9964387
Juan Marichal,1,1,1,0.9742076
Jim Whitney,0,0,1,0.9856308
Luis Tiant,0,1,0,0.9073026
Wilbur Cooper,0,0,1,0.84971976
John Smoltz,1,0,0,0.8706122
