fullName,country,politicalGroup,id,nationalPoliticalGroup
Mika AALTOLA,Finland,Group of the European People's Party (Christian Democrats),256810,Kansallinen Kokoomus
Maravillas ABADÍA JOVER,Spain,Group of the European People's Party (Christian Democrats),257043,Partido Popular
Magdalena ADAMOWICZ,Poland,Group of the European People's Party (Christian Democrats),197490,Independent
Georgios AFTIAS,Greece,Group of the European People's Party (Christian Democrats),256820,Nea Demokratia
Oihane AGIRREGOITIA MARTÍNEZ,Spain,Renew Europe Group,256987,Partido Nacionalista Vasco
Peter AGIUS,Malta,Group of the European People's Party (Christian Democrats),113523,Partit Nazzjonalista
Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197403,Partit Laburista
Galato ALEXANDRAKI,Greece,European Conservatives and Reformists Group,256956,Elliniki Lusi-Greek Solution
Grégory ALLIONE,France,Renew Europe Group,256869,Renaissance
Abir AL-SAHLANI,Sweden,Renew Europe Group,197400,Centerpartiet
Nikolaos ANADIOTIS,Greece,Non-attached Members,256858,Dimokratikó Patriotikó Kínima «NIKI»
Christine ANDERSON,Germany,Europe of Sovereign Nations Group,197475,Alternative für Deutschland
Li ANDERSSON,Finland,The Left group in the European Parliament - GUE/NGL,256805,Vasemmistoliitto
Rasmus ANDRESEN,Germany,Group of the Greens/European Free Alliance,197448,Bündnis 90/Die Grünen
Barry ANDREWS,Ireland,Renew Europe Group,204332,Fianna Fáil Party
Mieke ANDRIESE,Netherlands,Patriots for Europe Group,130881,Partij voor de Vrijheid
Vytenis Povilas ANDRIUKAITIS,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,119652,Lietuvos socialdemokratų partija
Mathilde ANDROUËT,France,Patriots for Europe Group,197691,Rassemblement national
Marc ANGEL,Luxembourg,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,202073,Parti ouvrier socialiste luxembourgeois
Gerolf ANNEMANS,Belgium,Patriots for Europe Group,124973,Vlaams Belang
Lucia ANNUNZIATA,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257123,Partito Democratico
Giuseppe ANTOCI,Italy,The Left group in the European Parliament - GUE/NGL,257138,Movimento 5 Stelle
Pablo ARIAS ECHEVERRÍA,Spain,Group of the European People's Party (Christian Democrats),96808,Partido Popular
Pascal ARIMONT,Belgium,Group of the European People's Party (Christian Democrats),24922,Christlich Soziale Partei
Bartosz ARŁUKOWICZ,Poland,Group of the European People's Party (Christian Democrats),197492,Platforma Obywatelska
Sakis ARNAOUTOGLOU,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256829,PASOK-KINAL
Anja ARNDT,Germany,Europe of Sovereign Nations Group,256951,Alternative für Deutschland
Konstantinos ARVANITIS,Greece,The Left group in the European Parliament - GUE/NGL,197701,Coalition of the Radical Left
Jaume ASENS LLODRÀ,Spain,Group of the Greens/European Free Alliance,257015,Comuns
Francisco ASSIS,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28307,Partido Socialista
Daniel ATTARD,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256934,Partit Laburista
Manon AUBRY,France,The Left group in the European Parliament - GUE/NGL,197533,La France Insoumise
René AUST,Germany,Europe of Sovereign Nations Group,256929,Alternative für Deutschland
Petras AUŠTREVIČIUS,Lithuania,Renew Europe Group,124766,Liberalų sąjūdis
Adrian-George AXINIA,Romania,European Conservatives and Reformists Group,257117,Alianța pentru Unirea Românilor
Malik AZMANI,Netherlands,Renew Europe Group,197781,Volkspartij voor Vrijheid en Democratie
Thomas BAJADA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256936,Partit Laburista
Jeannette BALJEU,Netherlands,Renew Europe Group,257003,Volkspartij voor Vrijheid en Democratie
Laura BALLARÍN CEREZA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,247735,Partido Socialista Obrero Español
Jordan BARDELLA,France,Patriots for Europe Group,131580,Rassemblement national
Katarina BARLEY,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197433,Sozialdemokratische Partei Deutschlands
Dan BARNA,Romania,Renew Europe Group,257110,Uniunea Salvați România
Pernando BARRENA ARZA,Spain,The Left group in the European Parliament - GUE/NGL,197684,EH BILDU
Stephen Nikola BARTULICA,Croatia,European Conservatives and Reformists Group,257000,Dom i nacionalno okupljanje
