Member ID,Country,Full Name,Given Names,Surnames,EU Political Group,National Political Group,Multi-Part Given Name,Multi-Part Surname
256810,Finland,Mika AALTOLA,Mika,AALTOLA,Group of the European People's Party (Christian Democrats),Kansallinen Kokoomus,0,0
257043,Spain,Maravillas ABADÍA JOVER,Maravillas,ABADÍA JOVER,Group of the European People's Party (Christian Democrats),Partido Popular,0,1
197490,Poland,Magdalena ADAMOWICZ,Magdalena,ADAMOWICZ,Group of the European People's Party (Christian Democrats),Independent,0,0
256820,Greece,Georgios AFTIAS,Georgios,AFTIAS,Group of the European People's Party (Christian Democrats),Nea Demokratia,0,0
256987,Spain,Oihane AGIRREGOITIA MARTÍNEZ,Oihane,AGIRREGOITIA MARTÍNEZ,Renew Europe Group,Partido Nacionalista Vasco,0,1
113523,Malta,Peter AGIUS,Peter,AGIUS,Group of the European People's Party (Christian Democrats),Partit Nazzjonalista,0,0
197403,Malta,Alex AGIUS SALIBA,Alex,AGIUS SALIBA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista,0,1
256956,Greece,Galato ALEXANDRAKI,Galato,ALEXANDRAKI,European Conservatives and Reformists Group,Elliniki Lusi-Greek Solution,0,0
256869,France,Grégory ALLIONE,Grégory,ALLIONE,Renew Europe Group,Renaissance,0,0
197400,Sweden,Abir AL-SAHLANI,Abir,AL-SAHLANI,Renew Europe Group,Centerpartiet,0,0
256858,Greece,Nikolaos ANADIOTIS,Nikolaos,ANADIOTIS,Non-attached Members,Dimokratikó Patriotikó Kínima «NIKI»,0,0
197475,Germany,Christine ANDERSON,Christine,ANDERSON,Europe of Sovereign Nations Group,Alternative für Deutschland,0,0
256805,Finland,Li ANDERSSON,Li,ANDERSSON,The Left group in the European Parliament - GUE/NGL,Vasemmistoliitto,0,0
197448,Germany,Rasmus ANDRESEN,Rasmus,ANDRESEN,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,0,0
204332,Ireland,Barry ANDREWS,Barry,ANDREWS,Renew Europe Group,Fianna Fáil Party,0,0
130881,Netherlands,Mieke ANDRIESE,Mieke,ANDRIESE,Patriots for Europe Group,Partij voor de Vrijheid,0,0
119652,Lithuania,Vytenis Povilas ANDRIUKAITIS,Vytenis Povilas,ANDRIUKAITIS,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Lietuvos socialdemokratų partija,1,0
197691,France,Mathilde ANDROUËT,Mathilde,ANDROUËT,Patriots for Europe Group,Rassemblement national,0,0
202073,Luxembourg,Marc ANGEL,Marc,ANGEL,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti ouvrier socialiste luxembourgeois,0,0
124973,Belgium,Gerolf ANNEMANS,Gerolf,ANNEMANS,Patriots for Europe Group,Vlaams Belang,0,0
257123,Italy,Lucia ANNUNZIATA,Lucia,ANNUNZIATA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,0,0
257138,Italy,Giuseppe ANTOCI,Giuseppe,ANTOCI,The Left group in the European Parliament - GUE/NGL,Movimento 5 Stelle,0,0
96808,Spain,Pablo ARIAS ECHEVERRÍA,Pablo,ARIAS ECHEVERRÍA,Group of the European People's Party (Christian Democrats),Partido Popular,0,1
24922,Belgium,Pascal ARIMONT,Pascal,ARIMONT,Group of the European People's Party (Christian Democrats),Christlich Soziale Partei,0,0
197492,Poland,Bartosz ARŁUKOWICZ,Bartosz,ARŁUKOWICZ,Group of the European People's Party (Christian Democrats),Platforma Obywatelska,0,0
256829,Greece,Sakis ARNAOUTOGLOU,Sakis,ARNAOUTOGLOU,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,PASOK-KINAL,0,0
256951,Germany,Anja ARNDT,Anja,ARNDT,Europe of Sovereign Nations Group,Alternative für Deutschland,0,0
197701,Greece,Konstantinos ARVANITIS,Konstantinos,ARVANITIS,The Left group in the European Parliament - GUE/NGL,Coalition of the Radical Left,0,0
257015,Spain,Jaume ASENS LLODRÀ,Jaume,ASENS LLODRÀ,Group of the Greens/European Free Alliance,Comuns,0,1
28307,Portugal,Francisco ASSIS,Francisco,ASSIS,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista,0,0
256934,Malta,Daniel ATTARD,Daniel,ATTARD,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista,0,0
197533,France,Manon AUBRY,Manon,AUBRY,The Left group in the European Parliament - GUE/NGL,La France Insoumise,0,0
256929,Germany,René AUST,René,AUST,Europe of Sovereign Nations Group,Alternative für Deutschland,0,0
124766,Lithuania,Petras AUŠTREVIČIUS,Petras,AUŠTREVIČIUS,Renew Europe Group,Liberalų sąjūdis,0,0
257117,Romania,Adrian-George AXINIA,Adrian-George,AXINIA,European Conservatives and Reformists Group,Alianța pentru Unirea Românilor,0,0
197781,Netherlands,Malik AZMANI,Malik,AZMANI,Renew Europe Group,Volkspartij voor Vrijheid en Democratie,0,0
256936,Malta,Thomas BAJADA,Thomas,BAJADA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista,0,0
257003,Netherlands,Jeannette BALJEU,Jeannette,BALJEU,Renew Europe Group,Volkspartij voor Vrijheid en Democratie,0,0
247735,Spain,Laura BALLARÍN CEREZA,Laura,BALLARÍN CEREZA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,0,1
131580,France,Jordan BARDELLA,Jordan,BARDELLA,Patriots for Europe Group,Rassemblement national,0,0
197433,Germany,Katarina BARLEY,Katarina,BARLEY,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,0,0
257110,Romania,Dan BARNA,Dan,BARNA,Renew Europe Group,Uniunea Salvați România,0,0
197684,Spain,Pernando BARRENA ARZA,Pernando,BARRENA ARZA,The Left group in the European Parliament - GUE/NGL,EH BILDU,0,1
257000,Croatia,Stephen Nikola BARTULICA,Stephen Nikola,BARTULICA,European Conservatives and Reformists Group,Dom i nacionalno okupljanje,1,0
256852,Czechia,Nikola BARTŮŠEK,Nikola,BARTŮŠEK,Non-attached Members,Přísaha,0,0
256948,Germany,Arno BAUSEMER,Arno,BAUSEMER,Europe of Sovereign Nations Group,Alternative für Deutschland,0,0
124760,France,Nicolas BAY,Nicolas,BAY,European Conservatives and Reformists Group,Identité Libertés,0,0
261797,France,Christophe BAY,Christophe,BAY,Patriots for Europe Group,Rassemblement national,0,0
256887,Belgium,Wouter BEKE,Wouter,BEKE,Group of the European People's Party (Christian Democrats),Christen-Democratisch & Vlaams,0,0
256947,Greece,Fredis BELERIS,Fredis,BELERIS,Group of the European People's Party (Christian Democrats),Nea Demokratia,0,0
197534,France,François-Xavier BELLAMY,François-Xavier,BELLAMY,Group of the European People's Party (Christian Democrats),Les Républicains,0,0
197658,Romania,Dragoş BENEA,Dragoş,BENEA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat,0,0
124867,Italy,Brando BENIFEI,Brando,BENIFEI,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,0,0
197679,Spain,Isabel BENJUMEA BENJUMEA,Isabel,BENJUMEA BENJUMEA,Group of the European People's Party (Christian Democrats),Partido Popular,0,1
23868,Slovakia,Monika BEŇOVÁ,Monika,BEŇOVÁ,Non-attached Members,SMER-Sociálna demokracia,0,0
